"","code","title","timing","scope","severity","score","invasive","sp"
"1","11.5","Other impacts","Future","Majority (50-90%)","Slow, Significant Declines","Low Impact: 4",NA,"Amytornis dorotheae"
"2","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Amytornis dorotheae"
"3","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis dorotheae"
"4","7.1.1","Increase in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis dorotheae"
"5","8.1","Invasive non-native/alien species/diseases (Cenchrus ciliaris)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Cenchrus ciliaris","Amytornis dorotheae"
"6","8.1.2","Named species (Cenchrus ciliaris)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Cenchrus ciliaris","Amytornis dorotheae"
"7","11.5","Other impacts","Future","Whole (>90%)","Unknown","Unknown",NA,"Amytornis housei"
"8","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis housei"
"9","7.1.1","Increase in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis housei"
"10","2.3","Livestock farming & ranching","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis merrotsyi"
"11","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis merrotsyi"
"12","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis merrotsyi"
"13","7.1.1","Increase in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Amytornis merrotsyi"
"14","8.1","Invasive non-native/alien species/diseases (Vulpes vulpes)","Ongoing","Majority (50-90%)","Unknown","Unknown","Vulpes vulpes","Amytornis merrotsyi"
"15","8.1.2","Named species (Vulpes vulpes)","Ongoing","Majority (50-90%)","Unknown","Unknown","Vulpes vulpes","Amytornis merrotsyi"
"16","11.5","Other impacts","Future","Whole (>90%)","Unknown",NA,NA,"Amytornis woodwardi"
"17","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Amytornis woodwardi"
"18","7.1.1","Increase in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Amytornis woodwardi"
"19","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"20","1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"21","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"22","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"23","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"24","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"25","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"26","4.1","Roads & railroads","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anabacerthia amaurotis"
"27","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Anairetes alpinus"
