"","code","title","timing","scope","severity","score","invasive","sp"
"1","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"2","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"3","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"4","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"5","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"6","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Aburria aburri"
"7","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthidops bairdi"
"8","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthis flammea"
"9","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthiza inornata"
"10","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthiza katherina"
"11","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthiza lineata"
"12","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthiza pusilla"
"13","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Acanthorhynchus superciliosus"
"14","11.1","Habitat shifting & alteration","Future","Majority (50-90%)","Unknown",NA,NA,"Acanthorhynchus tenuirostris"
"15","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"16","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"17","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"18","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"19","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"20","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"21","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"22","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"23","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"24","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter badius"
"25","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Accipiter brachyurus"
"26","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Accipiter brachyurus"
"27","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Accipiter brachyurus"
"28","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Accipiter brachyurus"
"29","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Accipiter brachyurus"
"30","3.3","Renewable energy","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Accipiter brevipes"
"31","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter brevipes"
"32","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Accipiter brevipes"
"33","9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Accipiter brevipes"
"34","9.2.3","Type Unknown/Unrecorded","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Accipiter brevipes"
"35","10.2","Earthquakes/tsunamis","Past, Unlikely to Return","Minority (<50%)","Unknown","Past Impact",NA,"Accipiter butleri"
"36","1.1","Housing & urban areas","Ongoing","Unknown","Unknown","Unknown",NA,"Accipiter butleri"
"37","1.1","Housing & urban areas","Ongoing","Unknown","Unknown",NA,NA,"Accipiter butleri"
"38","2.1","Annual & perennial non-timber crops","Ongoing","Unknown","Unknown","Unknown",NA,"Accipiter butleri"
"39","2.1","Annual & perennial non-timber crops","Ongoing","Unknown","Unknown",NA,NA,"Accipiter butleri"
"40","2.1.3","Agro-industry farming","Ongoing","Unknown","Unknown","Unknown",NA,"Accipiter butleri"
"41","2.1.3","Agro-industry farming","Ongoing","Unknown","Unknown",NA,NA,"Accipiter butleri"
"42","2.3","Livestock farming & ranching","Ongoing","Unknown","Unknown","Unknown",NA,"Accipiter butleri"
"43","2.3","Livestock farming & ranching","Ongoing","Unknown","Unknown",NA,NA,"Accipiter butleri"
"44","2.3.4","Scale Unknown/Unrecorded","Ongoing","Unknown","Unknown","Unknown",NA,"Accipiter butleri"
"45","2.3.4","Scale Unknown/Unrecorded","Ongoing","Unknown","Unknown",NA,NA,"Accipiter butleri"
