"","code","title","timing","scope","severity","score","invasive","sp"
"1","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Ptilinopus chrysogaster"
"2","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Ptilinopus chrysogaster"
"3","8.1","Invasive non-native/alien species/diseases","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Ptilinopus chrysogaster"
"4","8.1","Invasive non-native/alien species/diseases (Circus approximans)","Ongoing","Majority (50-90%)","Unknown","Unknown","Circus approximans","Ptilinopus chrysogaster"
"5","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Felis catus","Ptilinopus chrysogaster"
"6","8.1","Invasive non-native/alien species/diseases (Rattus exulans)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus exulans","Ptilinopus chrysogaster"
"7","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus rattus","Ptilinopus chrysogaster"
"8","8.1.1","Unspecified species","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Ptilinopus chrysogaster"
"9","8.1.2","Named species (Circus approximans)","Ongoing","Majority (50-90%)","Unknown","Unknown","Circus approximans","Ptilinopus chrysogaster"
"10","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Felis catus","Ptilinopus chrysogaster"
"11","8.1.2","Named species (Rattus exulans)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus exulans","Ptilinopus chrysogaster"
"12","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus rattus","Ptilinopus chrysogaster"
"13","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Ptilinopus coralensis"
"14","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Ptilinopus coralensis"
"15","2.1.4","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Ptilinopus coralensis"
"16","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Ptilinopus coralensis"
"17","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Ptilinopus coralensis"
"18","5.2","Gathering terrestrial plants","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Ptilinopus coralensis"
"19","5.2.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Ptilinopus coralensis"
"20","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Rattus rattus","Ptilinopus coralensis"
"21","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Rattus","Ptilinopus coralensis"
"22","8.1.2","Named species (Rattus rattus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Rattus rattus","Ptilinopus coralensis"
"23","8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Rattus","Ptilinopus coralensis"
"24","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Ptilinopus dohertyi"
"25","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Ptilinopus dohertyi"
"26","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Ptilinopus dohertyi"
