"","code","title","timing","scope","severity","score","invasive","sp"
"1","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Tachybaptus pelzelnii"
"2","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Tachybaptus pelzelnii"
"3","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Tachybaptus pelzelnii"
"4","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Tachybaptus pelzelnii"
"5","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Tachybaptus pelzelnii"
"6","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Tachybaptus pelzelnii"
"7","8.1","Invasive non-native/alien species/diseases (Coptodon zillii)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Coptodon zillii","Tachybaptus pelzelnii"
"8","8.1","Invasive non-native/alien species/diseases (Eichhornia crassipes)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Eichhornia crassipes","Tachybaptus pelzelnii"
"9","8.1","Invasive non-native/alien species/diseases (Unspecified Channa)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Channa","Tachybaptus pelzelnii"
"10","8.1","Invasive non-native/alien species/diseases (Unspecified Salvinia)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Unspecified Salvinia","Tachybaptus pelzelnii"
"11","8.1.2","Named species (Coptodon zillii)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Coptodon zillii","Tachybaptus pelzelnii"
"12","8.1.2","Named species (Eichhornia crassipes)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Eichhornia crassipes","Tachybaptus pelzelnii"
"13","8.1.2","Named species (Unspecified Channa)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Channa","Tachybaptus pelzelnii"
"14","8.1.2","Named species (Unspecified Salvinia)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Unspecified Salvinia","Tachybaptus pelzelnii"
"15","8.2","Problematic native species/diseases (Tachybaptus ruficollis)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Tachybaptus ruficollis","Tachybaptus pelzelnii"
"16","8.2.2","Named species (Tachybaptus ruficollis)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Tachybaptus ruficollis","Tachybaptus pelzelnii"
"17","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Tachybaptus pelzelnii"
"18","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Tachybaptus pelzelnii"
"19","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"20","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Whole (>90%)","Unknown","Past Impact",NA,"Tachybaptus rufolavatus"
"21","2.1.2","Small-holder farming","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"22","2.1.4","Scale Unknown/Unrecorded","Past, Unlikely to Return","Whole (>90%)","Unknown","Past Impact",NA,"Tachybaptus rufolavatus"
"23","5.1","Hunting & trapping terrestrial animals","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"24","5.1.1","Intentional use (species is the target)","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"25","5.4","Fishing & harvesting aquatic resources","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"26","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"27","8.1","Invasive non-native/alien species/diseases","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"28","8.1","Invasive non-native/alien species/diseases (Channa striata)","Past, Unlikely to Return","Whole (>90%)","Very Rapid Declines","Past Impact","Channa striata","Tachybaptus rufolavatus"
"29","8.1","Invasive non-native/alien species/diseases (Eichhornia crassipes)","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Eichhornia crassipes","Tachybaptus rufolavatus"
"30","8.1","Invasive non-native/alien species/diseases (Micropterus salmoides)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Micropterus salmoides","Tachybaptus rufolavatus"
"31","8.1","Invasive non-native/alien species/diseases (Unspecified Tilapia)","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Unspecified Tilapia","Tachybaptus rufolavatus"
"32","8.1.1","Unspecified species","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"33","8.1.2","Named species (Channa striata)","Past, Unlikely to Return","Whole (>90%)","Very Rapid Declines","Past Impact","Channa striata","Tachybaptus rufolavatus"
"34","8.1.2","Named species (Eichhornia crassipes)","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Eichhornia crassipes","Tachybaptus rufolavatus"
"35","8.1.2","Named species (Micropterus salmoides)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Micropterus salmoides","Tachybaptus rufolavatus"
"36","8.1.2","Named species (Unspecified Tilapia)","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Unspecified Tilapia","Tachybaptus rufolavatus"
"37","8.2","Problematic native species/diseases (Tachybaptus ruficollis)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Tachybaptus ruficollis","Tachybaptus rufolavatus"
"38","8.2.2","Named species (Tachybaptus ruficollis)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Tachybaptus ruficollis","Tachybaptus rufolavatus"
"39","9.3","Agricultural & forestry effluents","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"40","9.3.2","Soil erosion, sedimentation","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"41","9.3.4","Type Unknown/Unrecorded","Past, Unlikely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact",NA,"Tachybaptus rufolavatus"
"42","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Tachycineta cyaneoviridis"
"43","11.4","Storms & flooding","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Tachycineta cyaneoviridis"
"44","1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Tachycineta cyaneoviridis"
"45","5.3","Logging & wood harvesting","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA,"Tachycineta cyaneoviridis"
"46","5.3.4","Unintentional effects: (large scale) [harvest]","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA,"Tachycineta cyaneoviridis"
"47","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Tachycineta cyaneoviridis"
"48","7.1.2","Supression in fire frequency/intensity","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Tachycineta cyaneoviridis"
