"","code","title","timing","scope","severity","score","invasive","sp"
"51","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Somateria spectabilis"
"52","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Somateria spectabilis"
"53","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Somateria spectabilis"
"54","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Somateria spectabilis"
"55","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Somateria spectabilis"
"56","9.4","Garbage & solid waste","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Somateria spectabilis"
"57","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Somateria mollissima"
"58","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA,"Somateria mollissima"
"59","2.4.2","Industrial aquaculture","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA,"Somateria mollissima"
"60","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Somateria mollissima"
"61","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Somateria mollissima"
"62","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Somateria mollissima"
"63","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Somateria mollissima"
"64","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Somateria mollissima"
"65","6.1","Recreational activities","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Somateria mollissima"
"66","6.3","Work & other activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Somateria mollissima"
"67","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing",NA,NA,"Low Impact: 3","Neovison vison","Somateria mollissima"
"68","8.1","Invasive non-native/alien species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus","Somateria mollissima"
"69","8.1.2","Named species (Neovison vison)","Ongoing",NA,NA,"Low Impact: 3","Neovison vison","Somateria mollissima"
"70","8.1.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus","Somateria mollissima"
"71","8.2","Problematic native species/diseases (Haliaeetus albicilla)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Haliaeetus albicilla","Somateria mollissima"
"72","8.2","Problematic native species/diseases (Pasteurella multocida)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Pasteurella multocida","Somateria mollissima"
"73","8.2.2","Named species (Haliaeetus albicilla)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Haliaeetus albicilla","Somateria mollissima"
"74","8.2.2","Named species (Pasteurella multocida)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Pasteurella multocida","Somateria mollissima"
"75","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Somateria mollissima"
