"","X","code","title","timing","scope","severity","score","invasive","Scientific.name","Common_Name","Scientific_name","GBIF_ID","Dietary_Guild","Water_Forager","Ground.Understory_Forager","Midhigh.Canopy_Forager","Aerial_Forager","Foraging.Strata","Activity_Time","Global.IUCN.Red.List.Category","Annual_Trend","Mean_Wing_Length_.mm.","Mean_M_Wing_Length_.mm.","Mean_F_Wing_Length_.mm.","Mean_Tail_Length_.mm.","Mean_M_Tail_Length_.mm.","Mean_F_Tail_Length_.mm.","Mean_Bill_Length_.mm.","Mean_M_Bill_Length_.mm.","Mean_F_Bill_Length_.mm.","Wingspan_cm","Mean_Body_Length_.cm.","Mean_M_Body_Length_.cm.","Mean_F_Body_Length_.cm.","Mean_Body_Mass_.g.","Mean_F_Body_Mass_.g.","Mean_M_Body_Mass_.g.","Mean_Clutch_Size_.n.","Clutches_per_year","Life_Span_.years.","Generation_length","Number_of_Subspecies","Population_size_MIN","Population_size_MAX","Social","Flight_pattern","Migration.Distance","Migration.Status","Scienttific_name","Waterfowl","Birds.of.Prey","Wetland.Birds","Seabirds","Forest.Birds","All.Other.Birds.","Shorebirds","Grassland.Birds","Aerial.Insectivores","Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies","Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards","Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes","Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles","Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances","Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances","Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud","Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada","Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres"
"296",296,"8.2","Problematic native species/diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Grus americana","Whooping Crane","Grus_americana",2474941,"VertFishScav",50,50,0,0,"Water_Ground.Understory",0,"EN",6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,"Solitary/Pairs","Gull-like","short","Facultative","Grus americana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297",297,"8.2","Problematic native species/diseases","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Grus americana","Whooping Crane","Grus_americana",2474941,"VertFishScav",50,50,0,0,"Water_Ground.Understory",0,"EN",6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,"Solitary/Pairs","Gull-like","short","Facultative","Grus americana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298",298,"8.2.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Grus americana","Whooping Crane","Grus_americana",2474941,"VertFishScav",50,50,0,0,"Water_Ground.Understory",0,"EN",6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,"Solitary/Pairs","Gull-like","short","Facultative","Grus americana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299",299,"9.2","Industrial & military effluents","Future","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 3",NA,"Grus americana","Whooping Crane","Grus_americana",2474941,"VertFishScav",50,50,0,0,"Water_Ground.Understory",0,"EN",6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,"Solitary/Pairs","Gull-like","short","Facultative","Grus americana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",300,"9.2.1","Oil spills","Future","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 3",NA,"Grus americana","Whooping Crane","Grus_americana",2474941,"VertFishScav",50,50,0,0,"Water_Ground.Understory",0,"EN",6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,"Solitary/Pairs","Gull-like","short","Facultative","Grus americana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301",301,"1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"302",302,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"303",303,"1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"304",304,"2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"305",305,"2.4.2","Industrial aquaculture","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"306",306,"6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"307",307,"8.2","Problematic native species/diseases","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA,"Pluvialis squatarola","Black-bellied Plover","Pluvialis_squatarola",2480327,"Invertebrate",70.36,20.665,0.19,-1.55e-15,"Water",0,"LC",-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,"Flocks","Duck-like","long","Obligate","Pluvialis squatarola",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"308",308,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Pluvialis dominica","American Golden-Plover","Pluvialis_dominica",2480328,"Invertebrate",40.57,51.159,1.209,0.103,"Water_Ground.Understory",0,"LC",-0.757619,187,182,182.5,70.59378,66.7,64.4,22.73,22.45,23.3,65.5,26,37.8391,32.37803,159.2389233,157.5,152,3.75,1,9.523383083,5.6,0,5086378.3,6890574.988,"Solitary/Flocks","Duck-like","long","Obligate","Pluvialis dominica",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"309",309,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Pluvialis fulva","Pacific Golden-Plover","Pluvialis_fulva",2480331,"Invertebrate",41.01,52.054,1.776,0.06,"Water_Ground.Understory",0,"LC",-1.385199,169.18,162.33,162.16,63.796055,61.4,60.8,23.21,23.4,23.4,57,25,29.62285,25.92372,143.94,136.33,129.33,4,1,5,5.6,0,4723917.8,9224044.962,"Solitary/Flocks","Duck-like","short","Obligate","Pluvialis fulva",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"310",310,"1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"311",311,"11.2","Droughts","Future","Unknown","Unknown","Unknown",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"312",312,"5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"313",313,"5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"314",314,"5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"315",315,"6.1","Recreational activities","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"316",316,"7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"317",317,"7.2.11","Dams (size unknown)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"318",318,"7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"319",319,"8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum","Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"320",320,"8.1.2","Named species (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum","Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"321",321,"9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"322",322,"9.1.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Charadrius nivosus","Snowy Plover","Charadrius_nivosus",6065879,"Invertebrate",33.38,55.341,5.986,1.045,"Water_Ground.Understory",0,"NT",-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,"Flocks","Duck-like","long","Facultative","Charadrius nivosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"323",323,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Charadrius hiaticula","Common Ringed Plover","Charadrius_hiaticula",9566659,"Invertebrate",0,100,0,0,"Ground.Understory",0,"LC",-2.107104,133.5,132,135,58.75,58.1,59.4,14.3,14.1,14.5,52.5,19,26.140125,22.10067,63.96333333,64.625,63.25,3.5,2,20.67925,5.1,2,415000,1400000,"Flocks","Duck-like","long","Obligate","Charadrius hiaticula",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"324",324,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Charadrius semipalmatus","Semipalmated Plover","Charadrius_semipalmatus",2480295,"Invertebrate",0,100,0,0,"Ground.Understory",0,"LC",-3.88,123,123.7,125.57,67.007335,66.75203,65.127275,15.084385,12.06,11.85,47.5,18,24.49737,20.62609,49.37,48,47.5,3.79,1.5,9.2,5.2,0,150000,33310424.44,"Solitary/Flocks","Duck-like","long","Obligate","Charadrius semipalmatus",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"325",325,"11.2","Droughts","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"326",326,"11.4","Storms & flooding","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"327",327,"1.2","Commercial & industrial areas","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"328",328,"6.1","Recreational activities","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"329",329,"6.3","Work & other activities","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"330",330,"8.1","Invasive non-native/alien species/diseases (Canis familiaris)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Canis familiaris","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"331",331,"8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Felis catus","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"332",332,"8.1.2","Named species (Canis familiaris)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Canis familiaris","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"333",333,"8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Felis catus","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"334",334,"8.2","Problematic native species/diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"335",335,"8.2","Problematic native species/diseases (Falco columbarius)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Falco columbarius","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"336",336,"8.2","Problematic native species/diseases (Ocypode quadrata)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Ocypode quadrata","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"337",337,"8.2.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"338",338,"8.2.2","Named species (Falco columbarius)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Falco columbarius","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"339",339,"8.2.2","Named species (Ocypode quadrata)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Ocypode quadrata","Charadrius melodus","Piping Plover","Charadrius_melodus",2480283,"Invertebrate",40,60,0,0,"Water_Ground.Understory",0,"NT",-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,"Flocks","Duck-like","short","Obligate","Charadrius melodus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"340",340,"1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Charadrius montanus","Mountain Plover","Charadrius_montanus",2480292,"Invertebrate",0,100,0,0,"Ground.Understory",0,"NT",-1.911424,145.53964,147.5,147.2,81.513605,83.79787,81.92153,21.82117,21.1,21.4,49.05351,23,36.196475,33.99359,98.225,114,102,3,2,10,3.91,0,20000,16898173.56,"Solitary","Duck-like","short","Obligate","Charadrius montanus",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
