Common_Name,Scientific.name,Scientific_name,GBIF_ID,Dietary_Guild,Water_Forager,Ground.Understory_Forager,Midhigh.Canopy_Forager,Aerial_Forager,Foraging.Strata,Activity_Time,Global.IUCN.Red.List.Category,Annual_Trend,Mean_Wing_Length_.mm.,Mean_M_Wing_Length_.mm.,Mean_F_Wing_Length_.mm.,Mean_Tail_Length_.mm.,Mean_M_Tail_Length_.mm.,Mean_F_Tail_Length_.mm.,Mean_Bill_Length_.mm.,Mean_M_Bill_Length_.mm.,Mean_F_Bill_Length_.mm.,Wingspan_cm,Mean_Body_Length_.cm.,Mean_M_Body_Length_.cm.,Mean_F_Body_Length_.cm.,Mean_Body_Mass_.g.,Mean_F_Body_Mass_.g.,Mean_M_Body_Mass_.g.,Mean_Clutch_Size_.n.,Clutches_per_year,Life_Span_.years.,Generation_length,Number_of_Subspecies,Population_size_MIN,Population_size_MAX,Social,Flight_pattern,Migration.Distance,Migration.Status,Scienttific_name,Waterfowl,Birds.of.Prey,Wetland.Birds,Seabirds,Forest.Birds,All.Other.Birds.,Shorebirds,Grassland.Birds,Aerial.Insectivores,Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies,Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards,Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes,Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles,Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances,Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances,Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud,Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada,Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres
Chukar,Alectoris chukar,Alectoris_chukar,2474029,PlantSeed,0,100,0,0,Ground.Understory,0,LC,-1.24,163.5,170,157,80.6,82.3,78.9,15.4,16,14.8,52,33,32.824985,29.539,491.3,446,515,11.5,1,6,3.9,14,5.00E+06,34999999,Family Groups,Grouse-like,short,Facultative,Alectoris chukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Partridge,Perdix perdix,Perdix_perdix,2473958,FruiNect,17.64,51.13533333,19.665,10.989,Midhigh.Canopy_Aerial,0,VU,-0.205,199.71724,191.13055,184.67757,106.62338,115.52057,108.21426,29.7246,30.251705,29.81711,53,32,57.425965,49.71932,376.8544839,359.55767,396.2374233,16,1,12.4704135,3.9,0,3900000,7600000,Family Groups,Grouse-like,non-migratory,Non-migratory,Perdix perdix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring-necked Pheasant,Phasianus colchicus,Phasianus_colchicus,9752149,PlantSeed,22.07,59.18,14.189,4.729,Ground.Understory ,0,LC,-0.606,265.38797,246.5,215,153.304525,480.5,150,31.55767,32.540695,32.364955,81,27,84,53,1064.993018,917,1263,11,1,3,5,34,1.60E+08,219999999,Solitary/Flocks,Grouse-like,non-migratory,Non-migratory,Phasianus colchicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruffed Grouse,Bonasa umbellus,Bonasa_umbellus,2473702,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.262,200.79692,182.4,176,128.41182,169.05,139.85,21.96015,26.9,26.2,54.5,45.5,49.011345,43.74174,531.455,498,585,11,1,8.5,4.5,14,26083996.4,28100787.19,Solitary/Flocks,Grouse-like,non-migratory,Non-migratory,Bonasa umbellus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Greater Sage-Grouse,Centrocercus urophasianus,Centrocercus_urophasianus,5959240,PlantSeed,22.48,76.226,1.31,0.09,Ground.Understory,0,NT,-1.324235,345.79887,325.9294,324.81739,148.967915,178.850569,155.15647,44.50268,46.30355,44.59078,90,63.5,70,55,1662.980149,1460,2683.33,7.85,1,18.36321642,5.2,0,150000,11499335.1,Flocks,Grouse-like,short,Facultative,Centrocercus urophasianus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Spruce Grouse,Falcipennis canadensis,Falcipennis_canadensis,2473492,PlantSeed,0,100,0,0,Ground.Understory,0,LC,5.08,191.37149,183,180,105.03293,112,97.5,14.866265,10.6,10.4,55.5,40.5,39.135635,37.06456,464.825,448.75,492,6,1,13,5,6,10376449.3,28367409.36,Solitary ,Grouse-like,short,Facultative,Falcipennis canadensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Willow Ptarmigan,Lagopus lagopus,Lagopus_lagopus,2473421,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.185,201.5,207,196,108.5,112,105,10.8,11.2,10.4,58.5,39.5,43.1136,40.44479,598.12,581,638,8.225,1,8.291583334,4.2,19,1.00E+07,29999999,Winter Flocks,Grouse-like,short,Facultative,Lagopus lagopus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rock Ptarmigan,Lagopus muta,Lagopus_muta,5227679,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.274046,197.5,206,189,107,113,101,9.7,9.8,9.6,55,35.25,40.30353,37.78707,501.7666667,479.75,484.5,6.75,1,6.041666667,4.2,30,5.00E+06,24999999,Winter Flocks,Grouse-like,short,Facultative,Lagopus muta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White-tailed Ptarmigan,Lagopus leucura,Lagopus_leucura,5227717,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.728507,184.2402,186.84,182.65,101.355555,104.9,97.35,14.8937,14.5574,14.11124,53.5,32.5,37.366445,34.29597,352.985,340.5,358,6,1,15,4.4,5,9881449.9,29350677.12,Flocks,Grouse-like,short,Obligate,Lagopus leucura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dusky Grouse,Dendragapus obscurus,Dendragapus_obscurus,9428437,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.341173,231.39971,229,208,134.76787,169,138,24.22722,20,18,67.5,46,50.1,44.8,1053.155,898,1203,7.1,1,12.5,5,4,3.00E+06,15188811.24,Solitary/Winter Flocks,Grouse-like,short,Obligate,Dendragapus obscurus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sooty Grouse,Dendragapus fuliginosus,Dendragapus_fuliginosus,7340146,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.460905,231.30778,229,208,134.690345,169,138,22.97512,20,18,67.5,46,50.1,44.8,1053.155,891,1212,7.1,1,12.5,5,4,10202727.6,22365299.86,Solitary/Winter Flocks,Grouse-like,short,Obligate,Dendragapus fuliginosus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sharp-tailed Grouse,Tympanuchus phasianellus,Tympanuchus_phasianellus,2473514,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.776,204.5,207.56601,199.56378,113.5,133.25703,123.46741,11.5,21.045835,20.59134,62,43,49.666615,45.19692,866.69,817,953,12,1,6.316666667,5.5,6,16522294.6,34605571.84,Flocks,Grouse-like,short,Facultative,Tympanuchus phasianellus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Greater Prairie-Chicken,Tympanuchus cupido,Tympanuchus_cupido,2473510,PlantSeed,7.95,84.84,7.048,2.874,Ground.Understory,0,NT,-1.374782,311.48117,277.10264,279.79085,158.78167,226.51999,163.49004,31.79929,29.817435,30.39298,90.002,43,69.659475,56.74003,859.48476,805.875,964,12.1,1,1.6,3.3,3,360000,45473780.17,Solitary/Flocks,Grouse-like,non-migratory,Non-migratory,Tympanuchus cupido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Turkey,Meleagris gallopavo,Meleagris_gallopavo,9606290,PlantSeed,0,100,0,0,Ground.Understory,0,LC,13.9,464,511,417,344.5,372.5,316.4,33.1,34.8,31.3,135,92.375,75.29854,67.45781,5909.123333,4275,7700,11.5,1,7.875,7,6,12333073.49,28235182.68,Flocks,Grouse-like,non-migratory,Non-migratory,Meleagris gallopavo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pied-billed Grebe,Podilymbus podiceps,Podilymbus_podiceps,2482077,Invertebrate,100,0,0,0,Water,0,LC,1.06,152.77841,135,122,59.22388,62.18766,61.93474,20.73246,15.1,13,54,43,29.98779,27.37516,425.965,358,498,5.945,2,12.29085175,5.4,3,10829025.73,32102401.19,Family Groups,Duck-like,long,Facultative,Podilymbus podiceps,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horned Grebe,Podiceps auritus,Podiceps_auritus,2482059,VertFishScav,100,0,0,0,Water,0,VU,-1.8,142.5,144,141,1,1,1,22.9,23.3,22.5,54,34.5,36.52345,32.10427,428.5277778,395,426.5,4.3125,1.25,6.729166667,7.1,2,239000,583000,Pairs/Flocks/Colonies,Grouse-like,short,Obligate,Podiceps auritus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-necked Grebe,Podiceps grisegena,Podiceps_grisegena,2482051,Omnivore,100,0,0,0,Water,0,LC,0.95,172,175,169,1,1,1,38.55,40,37.1,74.5,45,54.69989,50.08747,931.3333333,803,869.75,4.25,1.25,7.9,7.1,2,190000,290000,Pairs/Flocks,Duck-like,short,Obligate,Podiceps grisegena,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eared Grebe,Podiceps nigricollis,Podiceps_nigricollis,2482065,Invertebrate,86.16,9.763,0.16,0.03,Water,0,LC,1.19,157.17635,134.56,129.98,56.361235,58.39513,57.74786,35.1323,34.85108,34.648445,60,32,48.01484,43.56023,404,346.3,391.35,2.95,1,12,7.1,3,1379083.434,1827765.857,Flocks,Duck-like,long,Facultative,Podiceps nigricollis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Grebe,Aechmophorus occidentalis,Aechmophorus_occidentalis,2482033,VertFishScav,100,0,0,0,Water,0,LC,-0.001792,230.31211,194.5,181.45,66.55127833,70.46444,65.11456,52.45269,59.25,50.05,88,64,64.96426833,59.61014,1225.475,1074,1283.5,3,1.25,14,8,2,80000,90000,Flocks,Duck-like,short,Obligate,Aechmophorus occidentalis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark's Grebe,Aechmophorus clarkii,Aechmophorus_clarkii,2482032,VertFishScav,100,0,0,0,Water,0,LC,0.094405,228.0325,192.85,180.2,81.60541833,81.33769667,76.278585,53.38064,57.3,48.8,82,64,73.62650333,68.80925,1175.2775,1066.125,1282.875,3,1.25,14,8,2,7300,14000,Flocks,Duck-like,short,Facultative,Aechmophorus clarkii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pigeon,Columba livia,Columba_livia,2495414,PlantSeed,0,100,0,0,Ground.Understory,0,LC,-0.002,222,226,218,112.5,114,111,18.8,19,18.6,59,32.5,43.97590833,40.665,344.1,305,363,2,5,8,5.8,13,2.60E+08,190123647.9,Solitary/Flocks,Duck-like,non-migratory,Non-migratory,Columba livia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Band-tailed Pigeon,Patagioenas fasciata,Patagioenas_fasciata,2495266,PlantSeed,0,50,50,0,Ground.Understory_Midhigh.Canopy,0,LC,-3.43,216.52921,208.06,202.42,125.571345,138.78,133.41,24.22225,18.43,18.23,66,37,52.95554333,49.74215,359.4,357,375.75,1.075,2,18.5,6.9,7,28659728.2,47150259.02,Flocks,Duck-like,short,Facultative,Patagioenas fasciata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia_decaocto,2495696,PlantSeed,2.27,87.518,6.888,2.045,Ground.Understory,0,LC,43.7,175.72415,180,175.5,119.016105,141.5,136,18.39773,16.9,16.6,35,32,33.360655,34.23472,232.3066406,171,177,2,2,13,5.3,2,4.00E+07,7.50E+07,Flocks,Duck-like,short,Facultative,Streptopelia decaocto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mourning Dove,Zenaida macroura,Zenaida_macroura,2495347,PlantSeed,0,100,0,0,Ground.Understory,0,LC,0.779,145.56125,139.91432,138.25824,97.27079,101.34335,96.57915,22.2467,21.440345,20.87981,41,30,28.5,32.59355,118.965,115.5,123,2,4,19.33333333,6.7,5,72500207.3,148050701.7,Pairs/Winter Flocks,Duck-like,short,Obligate,Zenaida macroura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus_americanus,2496287,Invertebrate,0,0,100,0,Midhigh.Canopy,0,LC,-0.915,140.45,144.8,148.1,136.93,141.9,146.1,27.32,18.97,19.41,47,28,28.24,28.83,63.46666667,62.6,59.65,3.25,1.5,5,3.8,0,13544523.6,29477867.24,Winter Flocks,Gull-like,long,Obligate,Coccyzus americanus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Black-billed Cuckoo,Coccyzus erythropthalmus,Coccyzus_erythropthalmus,2496286,Invertebrate,0,60,40,0,Ground.Understory_Midhigh.Canopy,0,LC,-1.39,152.00519,140.8,141.6,123.0818,150.6,153.85,20.01759,16.84,17,44.5,30,37.458955,35.70788,50.23666667,55.75,44.05,2.605,1,5,3.8,0,14318284.2,42199566.53,Solitary,Gull-like,long,Obligate,Coccyzus erythropthalmus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Common Nighthawk,Chordeiles minor,Chordeiles_minor,2497035,Invertebrate,0,10,0,90,Aerial,1,LC,-2.26,173,194.4,188.4,112.45,107.25,108.7,6.57,6.5,6.6,58.5,22.4,37.31757,33.63037,71.86666667,64,60,2,1,9,5,9,20007133.1,62756336.34,Solitary/Flocks,Swallow-like,long,Obligate,Chordeiles minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Common Poorwill,Phalaenoptilus nuttallii,Phalaenoptilus_nuttallii,2497062,Invertebrate,0,30,50,20,Generalist,1,LC,-0.515566,135.34168,137,138,83.5,82.1,85,14.207185,11.7966,11.78611,44,20,26.61857,23.87772,48.6275,49.5,47.2,2,1,3,5.4,5,11257303.1,49698890.46,Solitary,Swallow-like,short,Obligate,Phalaenoptilus nuttallii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chuck-will's-widow,Antrostomus carolinensis,Antrostomus_carolinensis,6101173,Invertebrate,10,40,10,40,Generalist,1,NT,2.950073,196.99645,214,209,130.48294,144,136,15.811665,12.4,11.7,57.4375,30,39.913305,35.87664,112,107.95,109.95,2,1,14.83,4.01,0,5700000,23473662.98,Family Groups,Kite-like,short,Obligate,Antrostomus carolinensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eastern Whip-poor-will,Antrostomus vociferus,Antrostomus_vociferus,6101178,Invertebrate,3.27,31.34833333,17.001,42.933,Aerial,1,NT,-2.28,154.46241,156.7,159,102.650615,120,120.5,12.329065,6.5,7.1,47,25,32.951775,31.36478,53.7,53.55,52.8,2,2,4,5.6,0,1800000,60508372.8,Solitary,Swallow-like,short,Obligate,Antrostomus vociferus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Black Swift,Cypseloides niger,Cypseloides_niger,2477282,Invertebrate,18.04,31.492,10.566,38.163,Aerial,0,VU,-5.39,163.5,156,153.25,52.8,59.2,57.5,6.45,14.12952,13.85601,46,18,25.77556,22.76219,42.4,84.17826,80.0998475,1,1,16,8,3,210000,55620568.9,Flocks,Swallow-like,long,Obligate,Cypseloides niger,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chimney Swift,Chaetura pelagica,Chaetura_pelagica,4409023,Invertebrate,0,0,40,60,Midhigh.Canopy_Aerial,0,VU,-4.38,117.576115,129.2,129.7,50.50078,42.3,42,10.713795,5.6,5.6,36,13,12.4,11.7,23.55,36.72463883,23,4.5,1,14,5.35,0,7700000,272027465.8,Flocks,Swallow-like,long,Obligate,Chaetura pelagica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vaux's Swift,Chaetura vauxi,Chaetura_vauxi,5228612,Invertebrate,0,0,0,100,Aerial,0,LC,-0.99,113,112,111,38.2,34,35.6,5.2,6.22,5.92,30,12.75,15.30324,14.31561,17.6625,21.7,24.7122,4,1,5.091666667,2.4,7,860000,267068757.6,Migrant Flocks,Swallow-like,long,Facultative,Chaetura vauxi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
White-throated Swift,Aeronautes saxatalis,Aeronautes_saxatalis,2477108,Invertebrate,0,10,0,90,Aerial,0,LC,-0.628,147.6,142.26,141.1,57.06654,57.31,56.67,9.84931,5.86,6.02,38,16.5,14.7,14.5,32.025,31.2,31.2,4.35,1,7.85,5.5,2,25610420.65,206183311.5,Flocks,Swallow-like,long,Facultative,Aeronautes saxatalis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ruby-throated Hummingbird,Archilochus colubris,Archilochus_colubris,5228514,FruiNect,0,40,40,20,Generalist,0,LC,1.33,62.39184,38.585,44.0575,43.837345,27.903,26.603,13.290925,16.06,18.07,11,9,13.72809,13.3095,3.11625,3.345,3.05,2,2.25,9,5.3,0,120974492.8,290002687.5,Solitary,Duck-like,long,Obligate,Archilochus colubris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black-chinned Hummingbird,Archilochus alexandri,Archilochus_alexandri,5228513,FruiNect,0,50,40,10,Generalist,0,LC,1.89,67.171305,43.6,46.1,44.62931,26.2,26.4,15.141405,18.6,19.9,12,9,15.10409,14.7022,3.42,3.6,3.25,2,2.5,10.54166667,5.3,0,144858043.3,307554835.5,Solitary,Duck-like,short,Facultative,Archilochus alexandri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anna's Hummingbird,Calypte anna,Calypte_anna,2476674,FruiNect,0,20,80,0,Midhigh.Canopy,0,LC,10.5,62.52449,48.1,49.25,44.052355,31.6,26.9,14.08381,16.7,17.25,13,10,13.60848,13.81144,4.32,4.035,4.5,2,2,6.3,4.8,0,63649715.7,228401305.4,Solitary,Duck-like,short,Facultative,Calypte anna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rufous Hummingbird,Selasphorus rufus,Selasphorus_rufus,2476855,FruiNect,0,60,40,0,Ground.Understory_Midhigh.Canopy,0,NT,-1.64,62.02801,48.115905,48.5201,43.47035,31.296856,30.00173,11.241135,13.574955,13.677785,13,9,15.75253,14.62948,3.5,3.505,3.26,2,1,8.9,2.44,0,2.20E+07,178057339.4,Solitary,Duck-like,long,Obligate,Selasphorus rufus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calliope Hummingbird,Selasphorus calliope,Selasphorus_calliope,7597244,FruiNect,0,80,20,0,Ground.Understory,0,LC,0.614,54.739315,39.55,42,40.824085,20.2,21.8,12.03577,14.2,15.4,10.5,8,12.33357,12.08114,2.63625,2.815,2.525,2,1,6.1,3.5,0,43637099,197636151.4,Solitary,Duck-like,long,Obligate,Selasphorus calliope,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Rail,Coturnicops noveboracensis,Coturnicops_noveboracensis,5228183,Invertebrate,30,70,0,0,Ground.Understory,0,LC,3.86,110.3694,90.55,87,58.1380525,57.59306,56.34617833,23.953735,22.98118,22.87299,28,18,39.57191,34.54481,60.9,49.15,57.75,8.03,1,10.94938008,3.7,2,6700,17000,Pairs,Duck-like,short,Obligate,Coturnicops noveboracensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Rail,Rallus elegans,Rallus_elegans,9480015,Omnivore,50,50,0,0,Water_Ground.Understory,0,NT,-0.130434,176.17452,163.4,154.3,61.64609,65.9,64.4,50.616135,62.5,61.9,51,38,51.427385,44.24877,336.905,277,360.5,10.4,1,13.00720808,4.6,2,104000,105000,Pairs,Duck-like,short,Obligate,Rallus elegans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Rail,Rallus limicola,Rallus_limicola,2474825,Omnivore,50,50,0,0,Water_Ground.Understory,0,LC,1.4,107.1,105.86,99.8,45.6,44.2,42.8,38.8,40.6,37.95,33,24,43.95149,39.77697,84.1,72.1,89.2,8.5,1.5,12.69083325,4.6,3,23274025,50676935.03,Pairs,Duck-like,short,Obligate,Rallus limicola,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sora,Porzana carolina,Porzana_carolina,2474639,PlantSeed,40,60,0,0,Water_Ground.Understory,0,LC,0.672,109,108,105,51.4,48.6,46.2,20.8,21,20,36,22,22.92575,22.42029,77.225,71.3,88,11,1,9.619469584,2.7,0,19684342.4,48708967.04,Solitary,Duck-like,long,Obligate,Porzana carolina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Gallinule,Gallinula galeata,Gallinula_galeata,7340222,PlantSeed,66.68,22.564,5.821,0.946,Water,0,LC,-5.09,185.96346,174.55,164.2,69.32889,72.2,66,39.806255,43.2,39.9,53,36,57.63721,49.57532,377,324.375,368,7,2,12.83333333,5.9,7,9317397.092,29961975.36,Pairs,Duck-like,long,Facultative,Gallinula galeata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Coot,Fulica americana,Fulica_americana,2474393,PlantSeed,100,0,0,0,Water,0,LC,-0.322,204.05527,203,187.9,77.21364833,75.72008333,72.86215,43.0028575,46.1,42.8,61,39,56.556915,53.0199,628.62,538,688,9.5,2,22.3,7,2,6.00E+06,17438231.79,Flocks,Duck-like,long,Obligate,Fulica americana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandhill Crane,Antigone canadensis,Antigone_canadensis,9036008,Omnivore,50,50,0,0,Water_Ground.Understory,0,LC,6.06,481.42031,523.19705,507.9992,192.79373,184.933,174.3,82.89171,113.17,106.3,205,113,81.915525,85.85145,4233.11,4118.375,4535,2,1,21.5,13.9,6,1265326.471,2071855.675,Flocks,Gull-like,long,Facultative,Antigone canadensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping Crane,Grus americana,Grus_americana,2474941,VertFishScav,50,50,0,0,Water_Ground.Understory,0,EN,6.819099,622.51766,601.7,597.9,234.831,217.099342,216.2848,75.06968,138.5,136.7,221,132,120.48001,116.20674,6337.995,6948.5,7300,2,1,30,15.66,0,50,249,Solitary/Pairs,Gull-like,short,Facultative,Grus americana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black-necked Stilt,Himantopus mexicanus,Himantopus_mexicanus,5229128,Invertebrate,100,0,0,0,Water,0,LC,11.7,233.42336,232.8,224.55,86.02553,87.47449,83.27877,61.22615,68.95,69,77,36,56.66946833,53.0572,172.91,168.7,170.4,4,1,10.225,7.3,3,450000,780000,Flocks,Duck-like,long,Obligate,Himantopus mexicanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Avocet,Recurvirostra americana,Recurvirostra_americana,2480258,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,0.912,236.38815,228.16,229.46,90.24083,89.197983,85.61921,76.85657,94.6,86.05,77.5,46,59.51726833,58.64989,306.865,305.9,317.25,4,1,9.583333333,8.7,0,1040007.246,1834818.852,Flocks,Duck-like,long,Obligate,Recurvirostra americana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
American Oystercatcher,Haematopus palliatus,Haematopus_palliatus,2480273,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-0.432565,268.06902,248.3,252.3,116.7109,118.59693,115.06182,70.77239,80.4,93.4,94.8175,47,65.666635,65.57573,399.9833333,616,554.5,2.785,1,26.5,13.7,2,1036548.422,1592298.207,Colonies,Gull-like,short,Facultative,Haematopus palliatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Black Oystercatcher,Haematopus bachmani,Haematopus_bachmani,2480272,Invertebrate,0,100,0,0,Ground.Understory,0,LC,0.654707,247.9,245,247.5,104.39686,103.63091,98.67323,73.5,68.3,73.6,81.5,44,62.17723833,59.93067,555,548.5,542,2.77,1,16,13.7,0,20900,87300,Pairs/Flocks,Duck-like,short,Facultative,Haematopus bachmani,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Black-bellied Plover,Pluvialis squatarola,Pluvialis_squatarola,2480327,Invertebrate,70.36,20.665,0.19,-1.55E-15,Water,0,LC,-0.185871,190.33,190.83,191.16,73.45434,73.2,72.7,30.2,30.5,29.7,77,29,57.97077,51.45504,219.05,220.15,207.9,3.97,1,12.7,6,0,490000,630000,Flocks,Duck-like,long,Obligate,Pluvialis squatarola,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
American Golden-Plover,Pluvialis dominica,Pluvialis_dominica,2480328,Invertebrate,40.57,51.159,1.209,0.103,Water_Ground.Understory,0,LC,-0.757619,187,182,182.5,70.59378,66.7,64.4,22.73,22.45,23.3,65.5,26,37.8391,32.37803,159.2389233,157.5,152,3.75,1,9.523383083,5.6,0,5086378.3,6890574.988,Solitary/Flocks,Duck-like,long,Obligate,Pluvialis dominica,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Pacific Golden-Plover,Pluvialis fulva,Pluvialis_fulva,2480331,Invertebrate,41.01,52.054,1.776,0.06,Water_Ground.Understory,0,LC,-1.385199,169.18,162.33,162.16,63.796055,61.4,60.8,23.21,23.4,23.4,57,25,29.62285,25.92372,143.94,136.33,129.33,4,1,5,5.6,0,4723917.8,9224044.962,Solitary/Flocks,Duck-like,short,Obligate,Pluvialis fulva,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Snowy Plover,Charadrius nivosus,Charadrius_nivosus,6065879,Invertebrate,33.38,55.341,5.986,1.045,Water_Ground.Understory,0,NT,-2.838852,117.21025,104.51,103.72,51.83518,45.76,44.1,16.791335,9.6,9.5,43.5,16,27.15355,22.78014,42.3,46.1,44,3,1.5,15.08333333,3.51,2,24000,31000,Flocks,Duck-like,long,Facultative,Charadrius nivosus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Common Ringed Plover,Charadrius hiaticula,Charadrius_hiaticula,9566659,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-2.107104,133.5,132,135,58.75,58.1,59.4,14.3,14.1,14.5,52.5,19,26.140125,22.10067,63.96333333,64.625,63.25,3.5,2,20.67925,5.1,2,415000,1400000,Flocks,Duck-like,long,Obligate,Charadrius hiaticula,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Semipalmated Plover,Charadrius semipalmatus,Charadrius_semipalmatus,2480295,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-3.88,123,123.7,125.57,67.007335,66.75203,65.127275,15.084385,12.06,11.85,47.5,18,24.49737,20.62609,49.37,48,47.5,3.79,1.5,9.2,5.2,0,150000,33310424.44,Solitary/Flocks,Duck-like,long,Obligate,Charadrius semipalmatus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
