"","keyword","count"
"1","Paraguero Corbatudo",582
"2","Paraguero Ornado",285
"3","Pinguino Barbijo",1412
"4","Pinguino de Adelia",1694
"5","Pinguino de Galapagos",3825
"6","Pinguino de Humboldt",4860
"7","Pinguino Emperador",3108
"8","Pinguino Enano",948
"9","Pinguino Juanito",1816
"10","Pinguino Macaroni",1910
"11","Pinguino Magallanico",3029
"12","Pinguino Rey",5345
