,keyword,fr_count,fr_mean
182,Conure jandaya,3535,15.92
183,Conure nanday,4314,19.43
184,Conure soleil,7016,31.60
185,Conure verte,5656,25.48
186,Coq bankiva,1224,5.51
187,Coracine chauve,592,2.67
188,Corbeau corbivau,809,3.63
189,Corbeau familier,1296,5.81
190,Corbeau freux,4931,22.11
191,Corbeau pie,1974,8.85
192,Cormoran de Temminck,691,3.11
193,Cormoran imperial,1794,8.08
194,Cormoran noir,3141,14.15
195,Corneille de rivage,809,3.63
196,Corneille grise,815,3.65
197,Corneille noire,4689,21.03
198,Cotinga de Cayenne,454,2.05
199,Coucou geai,2078,9.36
200,Coucou gris,1363,6.14
201,Courlis cendre,682,3.07
202,Courlis corlieu,1647,7.42
203,Courlis esquimau,400,1.80
204,Courlis nain,163,0.73
205,Courvite isabelle,1171,5.27
206,Crabier chevelu,2854,12.86
207,Cygne chanteur,1240,5.59
208,Cygne noir,3337,15.03
209,Cygne siffleur,744,3.35
210,Cygne trompette,1360,6.13
211,Cygne tubercule,785,3.54
212,Dendrocygne fauve,1648,7.42
213,Dendrocygne veuf,892,4.02
214,Diamant a bavette,997,4.47
215,Diamant de Gould,6624,29.70
216,Diamant mandarin,6876,30.83
217,Diamant masque,1972,8.84
218,Diduncule strigirostre,393,1.77
219,Dindon sauvage,3951,17.80
220,Drongo brillant,855,3.85
221,Durbec des sapins,1466,6.57
222,echasse blanche,3617,16.29
223,Effraie des clochers,2981,13.43
224,Eider a duvet,983,4.43
225,Eider de Steller,1197,5.39
226,elanion blanc,4456,20.07
227,Engoulevent bois-pourri,897,4.04
228,Engoulevent oreillard,235,1.06
229,epervier brun,1957,8.82
230,erismature a tete blanche,875,3.94
231,erismature rousse,1127,5.08
232,Esclave palmiste,824,3.70
233,etourneau roselin,267,1.20
234,etourneau sansonnet,3615,16.21
235,Faisan de Colchide,4589,20.67
236,Faisan de Lady Amherst,841,3.79
237,Faisan dore,5301,23.88
238,Faisan venere,4202,18.93
239,Faucon concolore,328,1.48
240,Faucon crecerelle,5609,25.27
241,Faucon crecerellette,844,3.80
242,Faucon emerillon,2596,11.69
243,Faucon gerfaut,1918,8.64
244,Faucon gris,1078,4.86
245,Faucon hobereau,3671,16.54
246,Faucon kobez,1430,6.44
247,Faucon lanier,1838,8.28
248,Faucon noir,5268,23.73
249,Faucon orange,5367,24.18
250,Faucon pelerin,5401,24.33
251,Faucon sacre,1625,7.32
252,Fauvette a tete noire,2756,12.36
253,Fauvette des jardins,3568,16.00
254,Flamant de James,396,1.78
255,Flamant nain,1548,6.97
256,Flamant rose,5701,25.68
257,Fou austral,907,4.09
258,Fou brun,2379,10.72
259,Fou de Bassan,2406,10.84
260,Fou de Grant,662,2.98
261,Fou du Cap,3934,17.72
262,Fou masque,3799,17.11
263,Foulque macroule,4048,18.23
264,Fuligule milouin,4420,19.91
265,Fuligule milouinan,2883,12.99
266,Fuligule morillon,2914,13.13
267,Fuligule nyroca,1651,7.44
268,Gallinule de Tasmanie,464,2.09
269,Ganga cata,2460,11.08
270,Garrulaxe hoamy,646,2.90
271,Geai bleu,5017,22.50
272,Geai buissonnier,509,2.28
273,Geai de Steller,528,2.37
274,Geai des chenes,4218,18.91
275,Geai vert,5516,24.74
276,Gobemouche gris,2142,9.61
277,Gobemouche noir,2027,9.09
278,Goeland brun,1366,6.15
279,Goeland marin,2780,12.52
280,Gorfou de Schlegel,649,2.92
281,Gorfou sauteur,1880,8.47
282,Goura de Victoria,974,4.39
283,Grand Capucin,5283,23.69
284,Grand Chevalier,7725,34.80
285,Grand Corbeau,6383,28.62
286,Grand Cormoran,1076,4.85
287,Grand eclectus,2069,9.32
288,Grand Gaucho,3399,15.31
289,Grand Geocoucou,197,0.89
290,Grand Harle,2158,9.72
291,Grand Heron,7418,33.41
292,Grand Hocco,493,2.22
293,Grand Ibijau,401,1.81
294,Grand Indicateur,1470,6.62
295,Grand Martin,12311,55.21
296,Grand Moineau,969,4.35
297,Grand Tetras,1803,8.12
298,Grandala bleu,202,0.91
299,Grande Aigrette,2951,13.29
300,Grande Outarde,1701,7.66
301,Grebe huppe,1341,6.04
302,Grimpereau brun,841,3.77
303,Grimpereau des bois,3174,14.23
304,Grimpereau des jardins,2323,10.42
305,Grive a tete noire,788,3.53
306,Grive cendree,1071,4.80
307,Grive de Bicknell,650,2.91
308,Grive des bois,1690,7.58
309,Grive doree,363,1.63
310,Grive draine,3530,15.83
311,Grive fauve,880,3.95
312,Grive litorne,4455,19.98
313,Grive mauvis,4278,19.18
314,Grive musicienne,4983,22.35
315,Grive solitaire,1733,7.77
316,Grue blanche,3173,14.29
317,Grue cendree,2278,10.26
318,Grue couronnee,2121,9.55
319,Grue de paradis,870,3.92
320,Grue demoiselle,1451,6.54
321,Grue du Japon,2814,12.68
322,Grue royale,1938,8.73
323,Guacharo des cavernes,193,0.87
324,Guepier carmin,469,2.11
325,Guifette moustac,974,4.39
326,Guifette noire,1182,5.32
327,Guillemot marmette,571,2.57
328,Guiraca bleu,394,1.77
329,Gygis blanche,530,2.39
330,Gypaete barbu,2945,13.27
331,Harelde kakawi,1621,7.30
332,Harfang des neiges,3598,16.21
333,Harle de Chine,651,2.93
334,Harle piette,871,3.92
335,Harpie feroce,779,3.51
336,Heron cendre,3120,14.05
337,Heron goliath,2397,10.80
338,Heron imperial,2269,10.22
339,Hibou des marais,1949,8.78
340,Hibou moyen-duc,1330,5.99
341,Hirondelle bicolore,1946,8.73
342,Hirondelle bleue,1325,5.94
343,Hirondelle de fenetre,2494,11.18
344,Hirondelle de rivage,1628,7.30
345,Hirondelle noire,1083,4.86
346,Hirondelle rousseline,453,2.03
347,Hirondelle rustique,3426,15.36
348,Hocco mitou,551,2.48
349,Huitrier pie,5995,27.00
350,Huppe de Madagascar,189,0.85
351,Huppe fasciee,2590,11.67
352,Hypolais polyglotte,600,2.69
353,Ibijau gris,698,3.14
354,Ibis blanc,10068,45.35
355,Ibis chauve,2267,10.21
356,Ibis du Cap,1770,7.97
357,Ibis falcinelle,1955,8.81
358,Ibis hagedash,938,4.23
359,Ibis nippon,1888,8.50
360,Ibis noir,6128,27.60
361,Ibis olive,2753,12.40
362,Ibis rouge,6163,27.76
363,Ibis sacre,4918,22.15
364,Ibis vert,6735,30.34
365,Inca iris,2097,9.45
366,Inseparable de Fischer,1068,4.81
367,Jacana bronze,2729,12.29
368,Jacana noir,441,1.99
369,Jardinier a nuque rose,626,2.82
370,Jardinier brun,1943,8.75
371,Jardinier de MacGregor,204,0.92
372,Jardinier vert,4033,18.17
373,Jaseur boreal,484.5,2.17
374,Junco ardoise,600,2.69
375,Junco de Guadalupe,933,4.18
376,Kamichi cornu,825,3.72
377,Kiwi austral,1267,5.71
378,Kiwi roa,1884,8.49
379,Labbe parasite,672,3.03
380,Labbe pomarin,432,1.95
381,Lagopede alpin,1165,5.25
382,Leipoa ocelle,150,0.68
383,Linotte melodieuse,2016,9.04
384,Lophophore resplendissant,977,4.40
385,Lori bride,4601,20.73
386,Lori noira,389,1.75
387,Loriot noir,1947,8.77
388,Loriquet arc-en-ciel,700,3.15
389,Macareux moine,2493,11.23
390,Macreuse brune,1336,6.02
391,Macreuse noire,2273,10.24
392,Mainate religieux,1240,5.56
393,Manakin a cuisses jaunes,745,3.36
394,Manakin fastueux,293,1.32
395,Manchot antipode,1228,5.53
396,Manchot de Humboldt,697,3.14
397,Manchot de Magellan,1906,8.59
398,Manchot du Cap,2456,11.06
399,Manchot empereur,1369,6.17
400,Manchot papou,1829,8.24
401,Manchot royal,3303,14.88
402,Mango dore,5638,25.40
403,Mango vert,5632,25.37
404,Marabout argala,378,1.70
405,Marabout chevelu,312,1.41
