,keyword,mean
191,Corbeau pie,8.852017937
192,Cormoran de Temminck,3.112612613
193,Cormoran imperial,8.081081081
194,Cormoran noir,14.14864865
195,Corneille de rivage,3.627802691
196,Corneille grise,3.65470852
197,Corneille noire,21.02690583
198,Cotinga de Cayenne,2.045045045
199,Coucou geai,9.36036036
200,Coucou gris,6.13963964
201,Courlis cendre,3.072072072
202,Courlis corlieu,7.418918919
203,Courlis esquimau,1.801801802
204,Courlis nain,0.734234234
205,Courvite isabelle,5.274774775
206,Crabier chevelu,12.85585586
207,Cygne chanteur,5.585585586
208,Cygne noir,15.03153153
209,Cygne siffleur,3.351351351
210,Cygne trompette,6.126126126
211,Cygne tubercule,3.536036036
212,Dendrocygne fauve,7.423423423
213,Dendrocygne veuf,4.018018018
214,Diamant a bavette,4.470852018
215,Diamant de Gould,29.70403587
216,Diamant mandarin,30.83408072
217,Diamant masque,8.843049327
218,Diduncule strigirostre,1.77027027
219,Dindon sauvage,17.7972973
220,Drongo brillant,3.851351351
221,Durbec des sapins,6.573991031
222,echasse blanche,16.29279279
223,Effraie des clochers,13.42792793
224,Eider a duvet,4.427927928
225,Eider de Steller,5.391891892
226,elanion blanc,20.07207207
227,Engoulevent bois-pourri,4.040540541
228,Engoulevent oreillard,1.058558559
229,epervier brun,8.815315315
230,erismature a tete blanche,3.941441441
231,erismature rousse,5.076576577
232,Esclave palmiste,3.695067265
233,etourneau roselin,1.197309417
234,etourneau sansonnet,16.21076233
235,Faisan de Colchide,20.67117117
236,Faisan de Lady Amherst,3.788288288
237,Faisan dore,23.87837838
238,Faisan venere,18.92792793
239,Faucon concolore,1.477477477
240,Faucon crecerelle,25.26576577
241,Faucon crecerellette,3.801801802
242,Faucon emerillon,11.69369369
243,Faucon gerfaut,8.63963964
244,Faucon gris,4.855855856
245,Faucon hobereau,16.53603604
246,Faucon kobez,6.441441441
247,Faucon lanier,8.279279279
248,Faucon noir,23.72972973
249,Faucon orange,24.17567568
250,Faucon pelerin,24.32882883
251,Faucon sacre,7.31981982
252,Fauvette a tete noire,12.35874439
253,Fauvette des jardins,16
254,Flamant de James,1.783783784
255,Flamant nain,6.972972973
256,Flamant rose,25.68018018
257,Fou austral,4.085585586
258,Fou brun,10.71621622
259,Fou de Bassan,10.83783784
260,Fou de Grant,2.981981982
261,Fou du Cap,17.72072072
262,Fou masque,17.11261261
263,Foulque macroule,18.23423423
264,Fuligule milouin,19.90990991
265,Fuligule milouinan,12.98648649
266,Fuligule morillon,13.12612613
267,Fuligule nyroca,7.436936937
268,Gallinule de Tasmanie,2.09009009
269,Ganga cata,11.08108108
270,Garrulaxe hoamy,2.896860987
271,Geai bleu,22.49775785
272,Geai buissonnier,2.282511211
273,Geai de Steller,2.367713004
274,Geai des chenes,18.91479821
275,Geai vert,24.73542601
276,Gobemouche gris,9.605381166
277,Gobemouche noir,9.089686099
278,Goeland brun,6.153153153
279,Goeland marin,12.52252252
280,Gorfou de Schlegel,2.923423423
281,Gorfou sauteur,8.468468468
282,Goura de Victoria,4.387387387
283,Grand Capucin,23.69058296
284,Grand Chevalier,34.7972973
285,Grand Corbeau,28.62331839
286,Grand Cormoran,4.846846847
287,Grand eclectus,9.31981982
288,Grand Gaucho,15.31081081
289,Grand Geocoucou,0.887387387
290,Grand Harle,9.720720721
291,Grand Heron,33.41441441
292,Grand Hocco,2.220720721
293,Grand Ibijau,1.806306306
294,Grand Indicateur,6.621621622
295,Grand Martin,55.20627803
296,Grand Moineau,4.34529148
297,Grand Tetras,8.121621622
298,Grandala bleu,0.905829596
299,Grande Aigrette,13.29279279
300,Grande Outarde,7.662162162
301,Grebe huppe,6.040540541
302,Grimpereau brun,3.771300448
303,Grimpereau des bois,14.23318386
304,Grimpereau des jardins,10.41704036
305,Grive a tete noire,3.533632287
306,Grive cendree,4.802690583
307,Grive de Bicknell,2.914798206
308,Grive des bois,7.578475336
309,Grive doree,1.627802691
310,Grive draine,15.82959641
311,Grive fauve,3.946188341
312,Grive litorne,19.97757848
313,Grive mauvis,19.1838565
314,Grive musicienne,22.34529148
315,Grive solitaire,7.771300448
316,Grue blanche,14.29279279
317,Grue cendree,10.26126126
318,Grue couronnee,9.554054054
319,Grue de paradis,3.918918919
320,Grue demoiselle,6.536036036
321,Grue du Japon,12.67567568
322,Grue royale,8.72972973
323,Guacharo des cavernes,0.869369369
324,Guepier carmin,2.112612613
325,Guifette moustac,4.387387387
326,Guifette noire,5.324324324
327,Guillemot marmette,2.572072072
328,Guiraca bleu,1.766816143
329,Gygis blanche,2.387387387
330,Gypaete barbu,13.26576577
331,Harelde kakawi,7.301801802
332,Harfang des neiges,16.20720721
333,Harle de Chine,2.932432432
334,Harle piette,3.923423423
335,Harpie feroce,3.509009009
336,Heron cendre,14.05405405
337,Heron goliath,10.7972973
338,Heron imperial,10.22072072
339,Hibou des marais,8.779279279
340,Hibou moyen-duc,5.990990991
341,Hirondelle bicolore,8.726457399
342,Hirondelle bleue,5.941704036
343,Hirondelle de fenetre,11.1838565
344,Hirondelle de rivage,7.30044843
345,Hirondelle noire,4.856502242
346,Hirondelle rousseline,2.031390135
347,Hirondelle rustique,15.3632287
348,Hocco mitou,2.481981982
349,Huitrier pie,27.0045045
350,Huppe de Madagascar,0.851351351
351,Huppe fasciee,11.66666667
352,Hypolais polyglotte,2.69058296
353,Ibijau gris,3.144144144
354,Ibis blanc,45.35135135
355,Ibis chauve,10.21171171
356,Ibis du Cap,7.972972973
357,Ibis falcinelle,8.806306306
358,Ibis hagedash,4.225225225
359,Ibis nippon,8.504504505
360,Ibis noir,27.6036036
361,Ibis olive,12.4009009
362,Ibis rouge,27.76126126
363,Ibis sacre,22.15315315
364,Ibis vert,30.33783784
365,Inca iris,9.445945946
366,Inseparable de Fischer,4.810810811
367,Jacana bronze,12.29279279
368,Jacana noir,1.986486486
369,Jardinier a nuque rose,2.81981982
370,Jardinier brun,8.752252252
371,Jardinier de MacGregor,0.918918919
372,Jardinier vert,18.16666667
373,Jaseur boreal,2.17264574
374,Junco ardoise,2.69058296
375,Junco de Guadalupe,4.183856502
376,Kamichi cornu,3.716216216
377,Kiwi austral,5.707207207
378,Kiwi roa,8.486486486
379,Labbe parasite,3.027027027
380,Labbe pomarin,1.945945946
381,Lagopede alpin,5.247747748
382,Leipoa ocelle,0.675675676
383,Linotte melodieuse,9.040358744
384,Lophophore resplendissant,4.400900901
385,Lori bride,20.72522523
386,Lori noira,1.752252252
387,Loriot noir,8.77027027
388,Loriquet arc-en-ciel,3.153153153
389,Macareux moine,11.22972973
390,Macreuse brune,6.018018018
391,Macreuse noire,10.23873874
392,Mainate religieux,5.560538117
393,Manakin a cuisses jaunes,3.355855856
394,Manakin fastueux,1.31981982
395,Manchot antipode,5.531531532
396,Manchot de Humboldt,3.13963964
397,Manchot de Magellan,8.585585586
398,Manchot du Cap,11.06306306
399,Manchot empereur,6.166666667
400,Manchot papou,8.238738739
