"","keyword","count"
"1","Abbott's Booby",3.45495495495495
"2","Abyssinian Roller",6.62162162162162
"3","Acadian Flycatcher",7.43243243243243
"4","Acorn Woodpecker",22.9324324324324
"5","Adelie Penguin",29.2387387387387
"6","African Blue Tit",4.07657657657658
"7","African Crake",5.57207207207207
"8","African Cuckoo",3.05429864253394
"9","African Darter",6.13963963963964
"10","African Emerald Cuckoo",11.0810810810811
"11","African Finfoot",4.09009009009009
"12","African Goshawk",3.17567567567568
"13","African Grey Hornbill",11.1531531531532
"14","African Hobby",21.3468468468468
"15","African Jacana",13.5630630630631
"16","African Openbill",4.94594594594595
"17","African Penguin",33.5225225225225
"18","African Pied Wagtail",7.25675675675676
"19","African Pipit",7.67117117117117
"20","African Pitta",5.43693693693694
"21","African Rail",26.5225225225225
"22","African River Martin",4.18018018018018
"23","African Sacred Ibis",14.9324324324324
"24","African Silverbill",9.07657657657658
"25","African Skimmer",4.08558558558559
"26","African Spoonbill",6.67117117117117
"27","Agami Heron",7.7027027027027
"28","Akekee",7.63063063063063
"29","Akiapolaau",3.8018018018018
"30","Akikiki",10.8378378378378
"31","Akohekohe",3.17117117117117
"32","Alder Flycatcher",8.55405405405405
"33","Aleutian Tern",2.55405405405405
"34","Alexandrine Parakeet",22.4684684684685
"35","Allen's Hummingbird",5.09009009009009
"36","Alpine Accentor",9.9954954954955
"37","Altamira Oriole",7.59459459459459
"38","Amazon Kingfisher",21.9684684684685
"39","American Avocet",14.2927927927928
"40","American Bittern",28.4234234234234
"41","American Black Vulture",10.0495495495495
"42","American Bushtit",4.73423423423423
"43","American Coot",25.2792792792793
"44","American Crow",27.963963963964
"45","American Golden Plover",12.0810810810811
"46","American Goldfinch",24.2612612612613
"47","American Kestrel",29.6081081081081
"48","American Oystercatcher",17.4054054054054
"49","American Redstart",10.6216216216216
"50","American Tree Sparrow",17.6486486486486
"51","American White Pelican",9.82432432432432
"52","American Woodcock",34.8828828828829
"53","American Yellow Warbler",12.1171171171171
"54","Amethyst Sunbird",5.77477477477477
"55","Amethyst Woodstar",4.64864864864865
"56","Amsterdam Albatross",8.98198198198198
"57","Amur Falcon",4.8963963963964
"58","Anambra Waxbill",2.62612612612613
"59","Ancient Murrelet",6.13963963963964
"60","Andean Avocet",3.38288288288288
"61","Andean Condor",31.027027027027
"62","Anhinga",30.8423423423423
"63","Anianiau",5.37837837837838
"64","Anna's Hummingbird",12.7072072072072
"65","Antarctic Petrel",9.27027027027027
"66","Antarctic Prion",3.05405405405405
"67","Antarctic Tern",7.34234234234234
"68","Antipodean Albatross",4.9009009009009
"69","Apapane",10.8423423423423
"70","Aplomado Falcon",10.8333333333333
"71","Apostlebird",9.92342342342342
"72","Aquatic Warbler",7.06756756756757
"73","Arabian Bustard",3.13063063063063
"74","Arabian Golden Sparrow",2.45945945945946
"75","Arctic Jaeger",6.08558558558559
"76","Arctic Loon",9.11261261261261
"77","Arctic Tern",44.1441441441441
"78","Arctic Warbler",5.94144144144144
"79","Arizona Woodpecker",13.5405405405405
"80","Ascension Frigatebird",1.82882882882883
"81","Ash-throated Flycatcher",7.36936936936937
"82","Ashy Drongo",17.5630630630631
"83","Ashy Minivet",3.03153153153153
"84","Ashy Prinia",19.9414414414414
"85","Ashy Robin",8.52702702702703
"86","Ashy Storm-petrel",1.52702702702703
"87","Ashy Tailorbird",8.83783783783784
"88","Asian Barred Owlet",13.1846846846847
"89","Asian Crested Ibis",4.08558558558559
"90","Asian Dowitcher",2.14864864864865
"91","Asian Emerald Cuckoo",10.4234234234234
"92","Asian Green Bee-eater",3.4954954954955
"93","Asian Houbara",2.11711711711712
"94","Asian House Martin",9.75675675675676
"95","Asian Openbill",9.43693693693694
"96","Asian Stubtail",0.923423423423423
"97","Asir Magpie",3.37387387387387
"98","Atlantic Petrel",5.46846846846847
"99","Atlantic Puffin",27.7117117117117
"100","Atlantic Yellow-nosed Albatross",4.29279279279279
"101","Auckland Rail",28.6351351351351
"102","Audouin's Gull",4.3018018018018
"103","Austral Parakeet",2.12612612612613
"104","Australasian Bittern",1.47142857142857
"105","Australasian Darter",6.86936936936937
"106","Australasian Figbird",11.6576576576577
"107","Australasian Gannet",5.30630630630631
"108","Australasian Pipit",5.76576576576577
"109","Australian Bustard",11.6261261261261
"110","Australian Hobby",15.4369369369369
"111","Australian Ibis",13.8963963963964
"112","Australian Magpie",35.9954954954955
"113","Australian Pelican",22.0135135135135
"114","Australian Raven",16.3153153153153
"115","Australian Ringneck",9.63963963963964
"116","Australian Zebra Finch",7.17117117117117
"117","Azores Bullfinch",3.18918918918919
"118","Azure Jay",15.1711711711712
"119","Azure Kingfisher",11.5945945945946
"120","Azure Tit",7.58558558558559
"121","Bachman's Warbler",3.20720720720721
"122","Baglafecht Weaver",3.18918918918919
"123","Bahama Oriole",8.11261261261261
"124","Bahama Swallow",9.02702702702703
"125","Bahama Warbler",3.23423423423423
"126","Baillon's Crake",1.36936936936937
"127","Baird's Sandpiper",4.40990990990991
"128","Bald Eagle",37.8918918918919
"129","Bald Parrot",14.2792792792793
"130","Balearic Shearwater",9.15315315315315
"131","Baltimore Oriole",11.9954954954955
"132","Bananaquit",14.3243243243243
"133","Band-bellied Crake",1.61261261261261
"134","Band-rumped Storm-petrel",2.1981981981982
"135","Banded Bay Cuckoo",9.47747747747748
"136","Banded Broadbill",7.38738738738739
"137","Banded Kingfisher",10.1756756756757
"138","Banded Lapwing",3.26126126126126
"139","Banded Stilt",5.32882882882883
"140","Banded Woodpecker",7.57657657657658
"141","Banggai Crow",1.62612612612613
"142","Bank Cormorant",8.84234234234234
"143","Bar-tailed Godwit",12.0495495495495
"144","Bar-tailed Trogon",1.78828828828829
"145","Bar-winged Prinia",1.77477477477477
"146","Barau's Petrel",1.13513513513514
"147","Barbados Bullfinch",5.81531531531532
"148","Barbuda Warbler",2.18918918918919
"149","Bare-faced Bulbul",0.869369369369369
"150","Bare-throated Tiger-heron",1.77477477477477
"151","Barking Owl",24.2522522522523
"152","Barn Swallow",29.6171171171171
"153","Barred Antshrike",11.2747747747748
"154","Barred Buttonquail",5.11711711711712
"155","Barred Eagle-owl",3.17567567567568
"156","Barred Owl",41.0225225225225
"157","Barred Parakeet",11.0495495495495
"158","Basra Reed-warbler",1.26126126126126
"159","Bat Falcon",4.77477477477477
"160","Bat Hawk",26.2477477477477
"161","Bateleur",43.0315315315315
"162","Bay-backed Shrike",3.45495495495495
"163","Bay-breasted Warbler",6.07207207207207
"164","Bay-headed Tanager",2.74324324324324
"165","Bay Woodpecker",15.7117117117117
"166","Baya Weaver",3.49773755656109
"167","Beach Kingfisher",32.3243243243243
"168","Bearded Barbet",7.52252252252252
"169","Bearded Reedling",4.51351351351351
"170","Bearded Vulture",12.6621621621622
"171","Beautiful Firetail",2.27927927927928
"172","Beautiful Hummingbird",35.6441441441441
"173","Beautiful Jay",32.0225225225225
"174","Beautiful Woodpecker",5.0990990990991
"175","Beck's Petrel",0.900900900900901
