"","Var1","Freq"
"879","Columba thomensis",11
"880","Columba torringtoniae",12
"881","Columba trocaz",13
"882","Columba versicolor",6
"883","Columbina cyanopis",13
"884","Conirostrum bicolor",4
"885","Conirostrum binghami",10
"886","Conirostrum margaritae",4
"887","Conirostrum tamarugense",8
"888","Conopias cinchoneti",4
"889","Conopophaga cearae",5
"890","Conothraupis mesoleuca",4
"891","Conothraupis speculigera",6
"892","Contopus cooperi",6
"893","Conuropsis carolinensis",9
"894","Copsychus saularis",5
"895","Copsychus sechellarum",26
"896","Coracias garrulus",8
"897","Coracina bicolor",9
"898","Coracina dobsoni",9
"899","Coracina fortis",2
"900","Coracina parvula",1
"901","Coracopsis barklyi",20
"902","Coracopsis sibilans",5
"903","Coracornis raveni",1
"904","Coracornis sanghirensis",7
"905","Cormobates leucophaea",1
"906","Corvus florensis",9
"907","Corvus fuscicapillus",6
"908","Corvus hawaiiensis",31
"909","Corvus jamaicensis",7
"910","Corvus kubaryi",19
"911","Corvus leucognaphalus",7
"912","Corvus palmarum",11
"913","Corvus pectoralis",8
"914","Corvus unicolor",12
"915","Corvus validus",10
"916","Coryphaspiza melanotis",14
"917","Cossypha dichroa",1
"918","Cossypha heinrichi",9
"919","Cotinga maculata",10
"920","Cotinga ridgwayi",2
"921","Coturnicops exquisitus",11
"922","Coturnix japonica",4
"923","Coturnix novaezelandiae",12
"924","Coua delalandei",6
"925","Coua verreauxi",5
"926","Cracticus louisiadensis",8
"927","Cranioleuca berlepschi",8
"928","Cranioleuca curtata",4
"929","Cranioleuca dissita",2
"930","Cranioleuca henricae",11
"931","Cranioleuca marcapatae",2
"932","Cranioleuca muelleri",4
"933","Cranioleuca weskei",2
"934","Crax alberti",16
"935","Crax alector",7
"936","Crax blumenbachii",7
"937","Crax daubentoni",4
"938","Crax fasciolata",9
"939","Crax globulosa",10
"940","Crax pinima",8
"941","Crax rubra",12
"942","Creagrus furcatus",1
"943","Crex crex",14
"944","Crex egregia",5
"945","Criniger olivaceus",8
"946","Crithagra ankoberensis",7
"947","Crithagra citrinipectus",1
"948","Crithagra concolor",17
"949","Crithagra flavigula",7
"950","Crithagra leucoptera",5
"951","Crithagra melanochroa",7
"952","Crithagra rothschildi",1
"953","Crithagra scotops",1
"954","Crithagra symonsi",1
"955","Crithagra totta",1
"956","Crithagra xantholaema",8
"957","Crossleyia tenebrosa",4
"958","Crossleyia xanthophrys",7
"959","Crossoptilon crossoptilon",6
"960","Crossoptilon harmani",4
"961","Crossoptilon mantchuricum",8
"962","Crypsirina cucullata",9
"963","Cryptillas victorini",1
"964","Cryptoleucopteryx plumbea",8
"965","Cryptospiza shelleyi",7
"966","Crypturellus atrocapillus",6
"967","Crypturellus duidae",6
"968","Crypturellus erythropus",4
"969","Crypturellus kerriae",10
"970","Crypturellus noctivagus",6
"971","Crypturellus ptaritepui",5
"972","Crypturellus transfasciatus",8
"973","Cuculus optatus",4
"974","Cuculus saturatus",4
"975","Culicivora caudacuta",8
"976","Curruca buryi",7
"977","Curruca layardi",1
"978","Curruca undata",8
"979","Cutia legalleni",6
"980","Cyanecula svecica",9
"981","Cyanochen cyanoptera",9
"982","Cyanocorax coeruleus",9
"983","Cyanocorax dickeyi",9
"984","Cyanocorax hafferi",9
"985","Cyanolanius comorensis",4
"986","Cyanolimnas cerverai",12
"987","Cyanolyca mirabilis",7
"988","Cyanolyca nanus",12
"989","Cyanolyca pulchra",9
"990","Cyanolyca viridicyanus",4
"991","Cyanopsitta spixii",9
"992","Cyanoptila cumatilis",4
"993","Cyanoramphus auriceps",15
"994","Cyanoramphus forbesi",6
"995","Cyanoramphus malherbi",20
"996","Cyanoramphus novaezelandiae",27
"997","Cyanoramphus ulietanus",6
"998","Cyanoramphus unicolor",11
"999","Cyanoramphus zealandicus",6
"1000","Cyclopsitta coxeni",8
"1001","Cygnus buccinator",1
"1002","Cygnus columbianus",1
"1003","Cygnus cygnus",1
"1004","Cynanthus lawrencei",8
"1005","Cyornis banyumas",4
"1006","Cyornis brunneatus",11
"1007","Cyornis caerulatus",8
"1008","Cyornis camarinensis",8
"1009","Cyornis colonus",7
"1010","Cyornis djampeanus",2
"1011","Cyornis herioti",8
"1012","Cyornis hoevelli",1
"1013","Cyornis lemprieri",7
"1014","Cyornis nicobaricus",4
"1015","Cyornis ruckii",7
"1016","Cyornis sanfordi",7
"1017","Cyornis turcosus",6
"1018","Cyornis umbratilis",10
"1019","Cypseloides niger",3
"1020","Cypseloides rothschildi",8
"1021","Cyrtonyx ocellatus",10
"1022","Cyrtonyx sallei",6
"1023","Dacnis berlepschi",10
"1024","Dacnis hartlaubi",8
"1025","Dacnis nigripes",7
"1026","Dacnis viguieri",5
"1027","Dasycrotapha plateni",4
"1028","Dasycrotapha pygmaea",4
"1029","Dasycrotapha speciosa",6
"1030","Dasyornis brachypterus",13
"1031","Dasyornis broadbenti",14
"1032","Dasyornis longirostris",15
"1033","Deconychura longicauda",4
"1034","Deconychura pallida",4
"1035","Delichon urbicum",3
"1036","Dendrocincla fuliginosa",2
"1037","Dendrocitta bayleii",7
"1038","Dendrocolaptes hoffmannsi",4
"1039","Dendrocolaptes punctipectus",6
"1040","Dendrocopos leucotos",2
"1041","Dendrocopos noguchii",16
"1042","Dendrocopos owstoni",3
"1043","Dendrocygna arborea",13
"1044","Dendrocygna arcuata",1
"1045","Dendrocygna bicolor",16
"1046","Dendrocygna eytoni",1
"1047","Dendropicos dorae",12
"1048","Dendropicos stierlingi",4
"1049","Dendroplex kienerii",4
"1050","Dendrortyx barbatus",11
"1051","Dessonornis anomalus",4
"1052","Diaphorapteryx hawkinsi",2
"1053","Dicaeum anthonyi",4
"1054","Dicaeum dayakorum",7
"1055","Dicaeum everetti",6
"1056","Dicaeum haematostictum",8
"1057","Dicaeum kampalili",4
"1058","Dicaeum nigrilore",1
"1059","Dicaeum proprium",4
"1060","Dicaeum quadricolor",12
"1061","Dicaeum retrocinctum",6
"1062","Dicaeum vincens",11
"1063","Dicrurus aldabranus",10
"1064","Dicrurus andamanensis",9
"1065","Dicrurus fuscipennis",14
"1066","Dicrurus megarhynchus",4
"1067","Dicrurus menagei",6
"1068","Dicrurus modestus",4
"1069","Dicrurus sumatranus",8
"1070","Dicrurus waldenii",9
"1071","Didunculus strigirostris",12
"1072","Diglossa gloriosissima",10
"1073","Diglossa venezuelensis",8
"1074","Dinopium everetti",8
"1075","Diomedea amsterdamensis",8
"1076","Diomedea antipodensis",7
"1077","Diomedea dabbenena",10
"1078","Diomedea epomophora",16
"1079","Diomedea exulans",10
"1080","Diomedea sanfordi",11
"1081","Discosura letitiae",2
"1082","Discosura popelairii",4
"1083","Doliornis remseni",9
"1084","Doliornis sclateri",5
"1085","Doricha eliza",5
"1086","Drepanis coccinea",34
"1087","Drepanis funerea",10
"1088","Drepanis pacifica",6
"1089","Drepanoptila holosericea",7
"1090","Drepanornis bruijnii",3
"1091","Dreptes thomensis",6
"1092","Dromaius baudinianus",4
"1093","Dromaius minor",2
"1094","Drymodes brunneopygia",1
"1095","Drymophila caudata",2
"1096","Drymophila genei",6
"1097","Drymophila hellmayri",7
"1098","Drymophila ochropyga",6
"1099","Drymotoxeres pucheranii",14
"1100","Dryocopus hodgei",11
"1101","Dryolimnas augusti",6
"1102","Dubusia carrikeri",10
"1103","Ducula aenea",6
"1104","Ducula aurorae",14
"1105","Ducula bakeri",8
"1106","Ducula bicolor",2
"1107","Ducula brenchleyi",4
"1108","Ducula carola",11
"1109","Ducula cineracea",13
"1110","Ducula finschii",6
"1111","Ducula galeata",15
"1112","Ducula goliath",4
"1113","Ducula melanochroa",1
"1114","Ducula mindorensis",9
"1115","Ducula nicobarica",2
"1116","Ducula oceanica",12
"1117","Ducula oenothorax",6
"1118","Ducula pickeringii",10
"1119","Ducula poliocephala",6
"1120","Ducula rosacea",9
"1121","Ducula rubricera",7
"1122","Ducula subflavescens",4
"1123","Ducula whartoni",10
"1124","Dysithamnus leucostictus",4
"1125","Dysithamnus occidentalis",11
"1126","Dysithamnus plumbeus",8
"1127","Dysithamnus stictothorax",7
"1128","Dysmorodrepanis munroi",6
"1129","Eclectus cornelia",6
"1130","Eclectus infectus",4
"1131","Eclectus polychloros",4
"1132","Eclectus riedeli",4
"1133","Eclectus roratus",2
"1134","Ectopistes migratorius",6
"1135","Edolisoma anale",4
"1136","Edolisoma dispar",4
"1137","Edolisoma holopolium",2
"1138","Edolisoma insperatum",7
"1139","Edolisoma mindanense",10
"1140","Edolisoma nesiotis",5
"1141","Edolisoma ostentum",10
"1142","Edolisoma pygmaeum",2
"1143","Edolisoma rostratum",2
"1144","Egretta ardesiaca",1
"1145","Egretta eulophotes",13
"1146","Egretta gularis",2
"1147","Egretta picata",1
"1148","Egretta rufescens",10
"1149","Egretta vinaceigula",16
"1150","Elaenia cherriei",1
"1151","Elaenia fallax",1
"1152","Elaenia ridleyana",12
"1153","Elanus axillaris",1
"1154","Elanus caeruleus",4
"1155","Elanus scriptus",4
"1156","Elaphrornis palliseri",10
"1157","Electron carinatum",15
"1158","Eleoscytalopus indigoticus",8
"1159","Eleoscytalopus psychopompus",4
"1160","Eleothreptus anomalus",11
"1161","Eleothreptus candicans",12
"1162","Emarginata schlegelii",1
"1163","Emarginata sinuata",1
"1164","Emarginata tractrac",1
"1165","Emberiza aureola",6
"1166","Emberiza cineracea",9
"1167","Emberiza jankowskii",13
"1168","Emberiza pusilla",1
"1169","Emberiza rustica",8
"1170","Emberiza socotrana",12
"1171","Emberiza sulphurata",10
"1172","Emberiza yessoensis",10
"1173","Emberizoides duidae",3
"1174","Embernagra longicauda",8
"1175","Enicurus ruficapillus",10
"1176","Eopsaltria australis",1
"1177","Eopsaltria griseogularis",1
"1178","Eos cyanogenia",6
"1179","Eos histrio",12
"1180","Eos reticulata",4
"1181","Eos semilarvata",2
"1182","Ephippiorhynchus asiaticus",22
"1183","Epimachus fastosus",6
"1184","Epinecrophylla gutturalis",9
"1185","Epthianura crocea",1
"1186","Eremomela gregalis",1
"1187","Eremomela turneri",7
"1188","Eremophila alpestris",8
"1189","Eremopterix australis",1
"1190","Eriocnemis cupreoventris",6
"1191","Eriocnemis derbyi",4
"1192","Eriocnemis godini",2
"1193","Eriocnemis isabellae",3
"1194","Eriocnemis mirabilis",6
"1195","Eriocnemis nigrivestis",10
"1196","Erythromachus leguati",2
"1197","Erythropitta dohertyi",6
"1198","Erythropitta granatina",10
"1199","Erythropitta inspeculata",4
"1200","Erythropitta kochi",13
"1201","Erythropitta meeki",2
"1202","Erythropitta palliceps",2
"1203","Erythropitta splendida",3
"1204","Erythropitta ussheri",10
"1205","Erythropitta venusta",7
"1206","Erythrotriorchis buergersi",2
"1207","Erythrotriorchis radiatus",12
"1208","Erythrura coloria",7
"1209","Erythrura cyaneovirens",4
"1210","Erythrura kleinschmidti",4
"1211","Erythrura trichroa",1
"1212","Erythrura viridifacies",11
"1213","Esacus magnirostris",4
"1214","Esacus recurvirostris",6
"1215","Estrilda poliopareia",2
"1216","Estrilda rufibarba",4
"1217","Estrilda thomensis",11
"1218","Eubucco glaucogularis",4
"1219","Eubucco steerii",4
"1220","Eubucco versicolor",4
"1221","Euchrepomis sharpei",5
"1222","Eudromias morinellus",1
"1223","Eudyptes chrysocome",26
"1224","Eudyptes chrysolophus",11
"1225","Eudyptes moseleyi",17
"1226","Eudyptes pachyrhynchus",22
"1227","Eudyptes robustus",7
"1228","Eudyptes schlegeli",8
"1229","Eudyptes sclateri",3
"1230","Eudyptula minor",31
"1231","Eulabeornis castaneoventris",1
"1232","Eulidia yarrellii",6
"1233","Eulipoa wallacei",10
"1234","Eumyias additus",4
"1235","Eumyias albicaudatus",8
"1236","Eumyias sordidus",10
"1237","Eunymphicus cornutus",11
"1238","Eunymphicus uvaeensis",17
"1239","Eupetes macrocerus",8
"1240","Euphagus carolinus",13
"1241","Eupherusa cyanophrys",3
"1242","Eupherusa poliocerca",6
"1243","Euphonia chalybea",8
"1244","Euplectes jacksoni",6
"1245","Eupodotis caerulescens",5
"1246","Eupsittula canicularis",8
"1247","Eupsittula nana",12
"1248","Euptilotis neoxenus",4
"1249","Euptilotus eutilotus",9
"1250","Eurochelidon sirintarae",10
"1251","Eurostopodus diabolicus",11
"1252","Eurostopodus exul",7
"1253","Eurostopodus nigripennis",5
"1254","Euryceros prevostii",5
"1255","Eurylaimus javanicus",4
"1256","Eurylaimus ochromalus",11
"1257","Euryptila subcinnamomea",1
"1258","Eurystomus azureus",12
"1259","Euscarthmus rufomarginatus",6
"1260","Eutrichomyias rowleyi",9
"1261","Eutriorchis astur",13
"1262","Falcipennis falcipennis",6
"1263","Falco alopex",4
"1264","Falco amurensis",10
"1265","Falco araeus",19
"1266","Falco biarmicus",22
"1267","Falco cherrug",19
"1268","Falco chicquera",5
"1269","Falco columbarius",17
"1270","Falco concolor",8
"1271","Falco cuvierii",8
"1272","Falco deiroleucus",17
"1273","Falco duboisi",4
"1274","Falco eleonorae",21
"1275","Falco fasciinucha",13
"1276","Falco hypoleucos",10
"1277","Falco jugger",7
"1278","Falco naumanni",18
"1279","Falco novaeseelandiae",8
"1280","Falco peregrinus",20
"1281","Falco punctatus",14
"1282","Falco rusticolus",11
"1283","Falco severus",8
"1284","Falco subbuteo",15
"1285","Falco tinnunculus",18
"1286","Falco vespertinus",14
"1287","Falcunculus frontatus",1
"1288","Falcunculus leucogaster",1
"1289","Falcunculus whitei",1
"1290","Ferminia cerverai",14
"1291","Ficedula basilanica",8
"1292","Ficedula bonthaina",9
"1293","Ficedula disposita",7
"1294","Ficedula dumetoria",8
"1295","Ficedula henrici",8
"1296","Ficedula hypoleuca",1
"1297","Ficedula nigrorufa",10
"1298","Ficedula platenae",4
"1299","Ficedula riedeli",8
"1300","Ficedula rufigula",8
"1301","Ficedula semitorquata",5
"1302","Ficedula subrubra",9
"1303","Ficedula timorensis",9
"1304","Formicarius rufifrons",10
"1305","Formicivora acutirostris",19
"1306","Formicivora erythronotos",6
"1307","Formicivora grantsaui",5
"1308","Formicivora iheringi",8
"1309","Formicivora paludicola",7
"1310","Forpus cyanopygius",2
"1311","Forpus xanthops",2
"1312","Foudia aldabrana",7
"1313","Foudia consobrina",2
"1314","Foudia delloni",2
"1315","Foudia eminentissima",13
"1316","Foudia flavicans",12
"1317","Foudia rubra",11
"1318","Foudia sechellarum",13
"1319","Francolinus gularis",12
"1320","Fraseria lendu",9
"1321","Fraseria tessmanni",4
"1322","Fratercula arctica",15
"1323","Fratercula cirrhata",10
"1324","Fratercula corniculata",8
"1325","Fregata andrewsi",13
"1326","Fregata aquila",8
"1327","Fregata ariel",4
"1328","Fregata magnificens",4
"1329","Fregata minor",2
"1330","Fregetta grallaria",1
"1331","Fregetta maoriana",4
"1332","Fregetta tropica",2
"1333","Fregilupus varius",8
"1334","Fringilla polatzeki",11
"1335","Fringilla teydea",9
"1336","Fulica alai",28
"1337","Fulica atra",17
"1338","Fulica cornuta",8
"1339","Fulica cristata",22
"1340","Fulica newtonii",2
"1341","Fulmarus glacialis",11
"1342","Fulmarus glacialoides",1
"1343","Galbula pastazae",6
"1344","Galerida magnirostris",1
"1345","Gallicolumba crinigera",10
"1346","Gallicolumba keayi",9
"1347","Gallicolumba luzonica",7
"1348","Gallicolumba menagei",8
"1349","Gallicolumba platenae",7
"1350","Gallinago delicata",5
"1351","Gallinago imperialis",6
"1352","Gallinago macrodactyla",4
"1353","Gallinago media",11
"1354","Gallinago nemoricola",11
"1355","Gallinago nigripennis",9
"1356","Gallinago nobilis",6
"1357","Gallinago stenura",1
"1358","Gallinago stricklandii",4
"1359","Gallinula comeri",8
"1360","Gallinula nesiotis",10
"1361","Gallirallus australis",23
"1362","Gallirallus calayanensis",12
"1363","Gallirallus lafresnayanus",8
"1364","Gallus gallus",1
"1365","Garrodia nereis",4
"1366","Garrulax bicolor",4
"1367","Garrulax ferrarius",4
"1368","Garrulax milleti",8
"1369","Garrulax palliatus",4
"1370","Garrulax rufifrons",6
"1371","Garrulax taewanus",4
"1372","Garrulus lidthi",8
"1373","Gavia adamsii",9
"1374","Gavia arctica",6
"1375","Gavia immer",2
"1376","Gavia pacifica",2
"1377","Gavia stellata",7
"1378","Gelochelidon nilotica",2
"1379","Gennaeodryas placens",2
"1380","Geobiastes squamiger",9
"1381","Geocolaptes olivaceus",3
"1382","Geokichla cinerea",7
"1383","Geokichla crossleyi",6
"1384","Geokichla dohertyi",4
"1385","Geokichla dumasi",2
"1386","Geokichla erythronota",10
"1387","Geokichla guttata",17
"1388","Geokichla interpres",10
"1389","Geokichla joiceyi",4
"1390","Geokichla leucolaema",6
"1391","Geokichla mendeni",4
"1392","Geokichla oberlaenderi",7
"1393","Geokichla peronii",6
"1394","Geokichla schistacea",2
"1395","Geokichla spiloptera",8
"1396","Geophaps plumifera",4
"1397","Geophaps smithii",11
"1398","Geositta antarctica",1
"1399","Geositta poeciloptera",8
"1400","Geospiza acutirostris",5
"1401","Geospiza conirostris",2
"1402","Geospiza heliobates",18
"1403","Geospiza pallida",8
"1404","Geospiza pauper",23
"1405","Geospiza propinqua",5
"1406","Geospiza psittacula",18
"1407","Geospiza septentrionalis",2
"1408","Geothlypis beldingi",11
"1409","Geothlypis flavovelata",8
"1410","Geothlypis rostrata",1
"1411","Geothlypis speciosa",5
"1412","Geothlypis tolmiei",1
"1413","Geotrygon caniceps",12
"1414","Geotrygon leucometopia",10
"1415","Geotrygon purpurata",9
"1416","Geotrygon versicolor",7
"1417","Geronticus calvus",16
"1418","Geronticus eremita",23
"1419","Gerygone albofrontata",1
"1420","Gerygone hypoxantha",4
"1421","Gerygone insularis",2
"1422","Gerygone modesta",15
"1423","Gerygone mouki",1
"1424","Glareola cinerea",3
"1425","Glareola nordmanni",12
"1426","Glareola nuchalis",2
"1427","Glareola ocularis",8
"1428","Glaucidium albertinum",10
"1429","Glaucidium brodiei",6
"1430","Glaucidium castanotum",13
"1431","Glaucidium mooreorum",8
"1432","Glaucidium nubicola",8
"1433","Glaucidium sanchezi",2
"1434","Glaucidium sylvaticum",7
"1435","Glaucis dohrnii",15
"1436","Gliciphila melanops",1
"1437","Glossopsitta concinna",1
"1438","Glossopsitta porphyrocephala",1
"1439","Glossopsitta pusilla",1
"1440","Goethalsia bella",2
"1441","Goldmania violiceps",2
"1442","Goodfellowia miranda",5
"1443","Gorsachius goisagi",17
"1444","Goura cristata",7
"1445","Goura scheepmakeri",6
"1446","Goura sclaterii",7
"1447","Goura victoria",6
"1448","Gracula ptilogenys",10
"1449","Gracula robusta",4
"1450","Gracula venerata",4
"1451","Gracupica jalla",4
"1452","Grallaria alleni",8
"1453","Grallaria bangsi",6
"1454","Grallaria blakei",7
"1455","Grallaria carrikeri",9
"1456","Grallaria chthonia",2
"1457","Grallaria eludens",5
"1458","Grallaria excelsa",7
"1459","Grallaria fenwickorum",12
"1460","Grallaria gigantea",8
"1461","Grallaria kaestneri",6
"1462","Grallaria milleri",9
"1463","Grallaria przewalskii",8
"1464","Grallaria ridgelyi",6
"1465","Grallaria rufocinerea",10
"1466","Grallaria saltuensis",7
"1467","Grallaria watkinsi",4
"1468","Grallaricula cucullata",9
"1469","Grallaricula cumanensis",3
"1470","Grallaricula flavirostris",6
"1471","Grallaricula lineifrons",8
"1472","Grallaricula loricata",7
"1473","Grallaricula ochraceifrons",8
"1474","Grallaricula peruviana",11
"1475","Graminicola bengalensis",10
"1476","Graminicola striatus",8
"1477","Granatellus francescae",8
"1478","Grantiella picta",6
"1479","Grus americana",14
"1480","Grus antigone",17
"1481","Grus grus",16
"1482","Grus japonensis",11
"1483","Grus monacha",15
"1484","Grus nigricollis",27
"1485","Grus rubicunda",1
"1486","Grus vipio",15
"1487","Guadalcanaria inexpectata",1
"1488","Guaruba guarouba",6
"1489","Gubernatrix cristata",10
"1490","Gulosus aristotelis",9
"1491","Guyramemua affinis",9
"1492","Gygis alba",6
"1493","Gygis microrhyncha",4
"1494","Gymnobucco vernayi",6
"1495","Gymnocrex rosenbergii",9
"1496","Gymnocrex talaudensis",8
"1497","Gymnogyps californianus",10
"1498","Gymnomyza aubryana",31
"1499","Gymnomyza brunneirostris",5
"1500","Gymnomyza samoensis",11
"1501","Gymnomyza viridis",5
"1502","Gymnorhinus cyanocephalus",6
"1503","Gypaetus barbatus",18
"1504","Gyps africanus",18
"1505","Gyps bengalensis",18
"1506","Gyps coprotheres",11
"1507","Gyps fulvus",9
"1508","Gyps himalayensis",9
"1509","Gyps indicus",9
"1510","Gyps rueppelli",12
"1511","Gyps tenuirostris",12
"1512","Gypsophila calcicola",4
"1513","Habia atrimaxillaris",4
"1514","Habia gutturalis",6
"1515","Habroptila wallacii",10
"1516","Haematopus chathamensis",19
"1517","Haematopus finschi",11
"1518","Haematopus meadewaldoi",7
"1519","Haematopus moquini",6
"1520","Haematopus ostralegus",40
"1521","Haemorhous cassinii",7
"1522","Haliaeetus albicilla",16
"1523","Haliaeetus leucogaster",10
"1524","Haliaeetus leucoryphus",23
"1525","Haliaeetus pelagicus",21
"1526","Haliaeetus sanfordi",12
"1527","Haliaeetus vocifer",5
"1528","Haliaeetus vociferoides",13
"1529","Halobaena caerulea",10
"1530","Hapalopsittaca amazonina",11
"1531","Hapalopsittaca fuertesi",9
"1532","Hapalopsittaca pyrrhops",8
"1533","Haplophaedia lugens",11
"1534","Harpactes diardii",10
"1535","Harpactes duvaucelii",8
"1536","Harpactes kasumba",11
"1537","Harpactes orrhophaeus",10
"1538","Harpactes wardi",6
"1539","Harpactes whiteheadi",8
"1540","Harpia harpyja",21
"1541","Harpyopsis novaeguineae",8
"1542","Hartertula flavoviridis",4
"1543","Hedydipna pallidigaster",4
"1544","Heinrichia calligyna",1
"1545","Heinrichia simplex",1
"1546","Heleia goodfellowi",1
"1547","Heleia muelleri",11
"1548","Heleia pinaiae",1
"1549","Heliangelus regalis",8
"1550","Heliodoxa gularis",8
"1551","Heliopais personatus",17
"1552","Helopsaltes pleskei",8
"1553","Helopsaltes pryeri",11
"1554","Hemignathus affinis",27
"1555","Hemignathus hanapepe",27
"1556","Hemignathus lucidus",14
"1557","Hemignathus wilsoni",14
"1558","Hemimacronyx chloris",12
"1559","Hemiphaga chathamensis",14
"1560","Hemiphaga novaeseelandiae",16
"1561","Hemitesia neumanni",1
"1562","Hemitriccus cinnamomeipectus",3
"1563","Hemitriccus cohnhafti",3
"1564","Hemitriccus furcatus",5
"1565","Hemitriccus kaempferi",10
"1566","Hemitriccus mirandae",6
"1567","Hemitriccus orbitatus",7
"1568","Hemitriccus rufigularis",6
"1569","Henicopernis infuscatus",9
"1570","Henicophaps foersteri",10
"1571","Henicorhina anachoreta",10
"1572","Henicorhina leucoptera",6
"1573","Henicorhina negreti",9
"1574","Herpsilochmus axillaris",4
"1575","Herpsilochmus gentryi",6
"1576","Herpsilochmus motacilloides",4
"1577","Herpsilochmus parkeri",6
"1578","Herpsilochmus pectoralis",10
"1579","Herpsilochmus pileatus",5
"1580","Herpsilochmus sellowi",10
"1581","Herpsilochmus stotzi",4
"1582","Hesperiphona vespertina",8
"1583","Heteralocha acutirostris",6
"1584","Heteromirafra archeri",11
"1585","Heteromirafra ruddi",13
"1586","Heteromunia pectoralis",4
"1587","Heteromyias albispecularis",1
"1588","Heteromyias armiti",1
"1589","Heteromyias cinereifrons",1
"1590","Heterotetrax humilis",10
"1591","Heterotetrax vigorsii",1
"1592","Hieraaetus ayresii",6
"1593","Hieraaetus pennatus",23
"1594","Hieraaetus wahlbergi",5
"1595","Hierococcyx vagans",9
"1596","Himalayapsitta finschii",11
"1597","Himalayapsitta roseata",12
"1598","Himantopus novaezelandiae",21
"1599","Himantornis haematopus",2
"1600","Himatione fraithii",2
"1601","Hirundo atrocaerulea",24
"1602","Hirundo megaensis",7
"1603","Hirundo rustica",12
"1604","Histrionicus histrionicus",6
"1605","Horornis carolinae",4
"1606","Horornis haddeni",6
"1607","Horornis parens",1
"1608","Houbaropsis bengalensis",10
"1609","Humblotia flavirostris",18
"1610","Hydrobates castro",16
"1611","Hydrobates cheimomnestes",5
"1612","Hydrobates furcatus",2
"1613","Hydrobates homochroa",18
"1614","Hydrobates hornbyi",6
"1615","Hydrobates jabejabe",10
"1616","Hydrobates leucorhous",13
"1617","Hydrobates macrodactylus",6
"1618","Hydrobates markhami",7
"1619","Hydrobates matsudairae",2
"1620","Hydrobates melania",5
"1621","Hydrobates microsoma",4
"1622","Hydrobates monorhis",12
"1623","Hydrobates monteiroi",14
"1624","Hydrobates pelagicus",4
"1625","Hydrobates socorroensis",7
"1626","Hydrobates tethys",2
"1627","Hydrobates tristrami",19
"1628","Hydrochous gigas",9
"1629","Hydroprogne caspia",3
"1630","Hydrornis baudii",12
"1631","Hydrornis caeruleus",10
"1632","Hydrornis gurneyi",14
"1633","Hydrornis irena",8
"1634","Hydrornis schneideri",11
"1635","Hylatomus schulzii",8
"1636","Hyliota usambara",4
"1637","Hylocichla mustelina",13
"1638","Hylocitrea bonensis",1
"1639","Hylocitrea bonthaina",9
"1640","Hylonympha macrocerca",4
"1641","Hylopezus auricularis",1
"1642","Hylopezus ochroleucus",10
"1643","Hylophilus olivaceus",4
"1644","Hylopsar cupreocauda",4
"1645","Hylorchilus navai",5
"1646","Hylorchilus sumichrasti",7
"1647","Hymenolaimus malacorhynchos",18
"1648","Hypargos margaritatus",1
"1649","Hypocnemis cantator",4
"1650","Hypocnemis ochrogyna",7
"1651","Hypocnemis rondoni",6
"1652","Hypocnemis striata",6
"1653","Hypopyrrhus pyrohypogaster",12
"1654","Hypotaenidia dieffenbachii",8
"1655","Hypotaenidia immaculata",9
"1656","Hypotaenidia insignis",6
"1657","Hypotaenidia okinawae",21
"1658","Hypotaenidia owstoni",10
"1659","Hypotaenidia pacifica",4
"1660","Hypotaenidia poeciloptera",4
"1661","Hypotaenidia rovianae",2
"1662","Hypotaenidia sylvestris",15
"1663","Hypotaenidia tertia",9
"1664","Hypotaenidia wakensis",3
"1665","Hypotaenidia woodfordi",9
"1666","Hypothymis coelestis",11
"1667","Hypothymis helenae",11
"1668","Hypsipetes borbonicus",10
"1669","Hypsipetes moheliensis",5
"1670","Hypsipetes olivaceus",14
"1671","Hypsipetes parvirostris",3
"1672","Hypsipetes platenae",4
"1673","Hypsipetes rufigularis",8
"1674","Hypsipetes siquijorensis",10
"1675","Ianthocincla bieti",11
"1676","Ianthocincla konkakinhensis",5
"1677","Ianthocincla sukatschewi",8
"1678","Icterus bonana",3
"1679","Icterus laudabilis",9
"1680","Icterus northropi",24
"1681","Icterus oberi",15
"1682","Icthyophaga humilis",2
"1683","Icthyophaga ichthyaetus",10
"1684","Illadopsis rufescens",4
"1685","Incana incana",6
"1686","Incaspiza ortizi",6
"1687","Incaspiza watkinsi",9
"1688","Indicator archipelagicus",10
"1689","Indicator pumilio",5
"1690","Indicator xanthonotus",9
"1691","Iodopleura pipra",7
"1692","Iole charlottae",9
"1693","Iole finschii",8
"1694","Irena cyanogastra",11
"1695","Irena tweeddalii",9
"1696","Iridosornis porphyrocephalus",6
"1697","Ixidia cyaniventris",9
"1698","Ixidia squamata",8
"1699","Ixos malaccensis",8
"1700","Ixos nicobariensis",7
"1701","Jacamaralcyon tridactyla",7
"1702","Jubula lettii",2
"1703","Junco bairdi",3
"1704","Junco insularis",4
"1705","Junco vulcani",1
"1706","Kenopia striata",9
"1707","Kittacincla albiventris",7
"1708","Kittacincla cebuensis",9
"1709","Kittacincla malabarica",4
"1710","Kleinothraupis parodii",4
"1711","Kleinothraupis reyi",10
"1712","Knipolegus franciscanus",8
"1713","Kupeornis chapini",2
"1714","Kupeornis gilberti",12
"1715","Kupeornis rufocinctus",3
"1716","Lagonosticta sanguinodorsalis",4
"1717","Lagopus lagopus",1
