"","Var1","Freq"
"204","Anas capensis",6
"205","Anas chlorotis",19
"206","Anas eatoni",6
"207","Anas erythrorhyncha",2
"208","Anas gibberifrons",5
"209","Anas laysanensis",21
"210","Anas luzonica",8
"211","Anas marecula",2
"212","Anas melleri",19
"213","Anas nesiotis",11
"214","Anas sparsa",7
"215","Anas theodori",2
"216","Anas undulata",6
"217","Anas wyvilliana",26
"218","Andigena hypoglauca",7
"219","Andigena laminirostris",9
"220","Androphobus viridis",2
"221","Anhinga melanogaster",7
"222","Anhinga rufa",6
"223","Anodorhynchus glaucus",7
"224","Anodorhynchus hyacinthinus",10
"225","Anodorhynchus leari",10
"226","Anorrhinus austeni",9
"227","Anorrhinus galeritus",6
"228","Anorrhinus tickelli",13
"229","Anous albivittus",2
"230","Anous minutus",9
"231","Anous stolidus",4
"232","Anser albifrons",1
"233","Anser brachyrhynchus",1
"234","Anser caerulescens",1
"235","Anser canagicus",5
"236","Anser cygnoid",13
"237","Anser erythropus",27
"238","Anser fabalis",3
"239","Anser rossii",1
"240","Anseranas semipalmata",1
"241","Anthobaphes violacea",1
"242","Anthocephala berlepschi",8
"243","Anthocephala floriceps",2
"244","Anthochaera phrygia",22
"245","Anthornis melanocephala",8
"246","Anthracoceros albirostris",6
"247","Anthracoceros coronatus",15
"248","Anthracoceros malayanus",12
"249","Anthracoceros marchei",5
"250","Anthracoceros montani",13
"251","Anthreptes reichenowi",4
"252","Anthreptes rhodolaemus",8
"253","Anthreptes rubritorques",6
"254","Anthropoides paradiseus",22
"255","Anthropoides virgo",14
"256","Anthus antarcticus",2
"257","Anthus cervinus",1
"258","Anthus crenatus",3
"259","Anthus gustavi",1
"260","Anthus hoeschi",1
"261","Anthus melindae",6
"262","Anthus nattereri",12
"263","Anthus nilghiriensis",10
"264","Anthus pratensis",7
"265","Anthus rubescens",1
"266","Anthus sokokensis",8
"267","Anthus spragueii",15
"268","Antilophia bokermanni",8
"269","Antrostomus carolinensis",5
"270","Antrostomus noctitherus",10
"271","Antrostomus vociferus",9
"272","Anumara forbesi",12
"273","Anurophasis monorthonyx",5
"274","Apalharpactes reinwardtii",7
"275","Apalis bamendae",6
"276","Apalis chariessa",6
"277","Apalis chirindensis",1
"278","Apalis flavigularis",7
"279","Apalis fuscigularis",7
"280","Apalis kaboboensis",2
"281","Apalis karamojae",16
"282","Apalis lynesi",6
"283","Apalis ruddi",1
"284","Apalopteron familiare",8
"285","Aphanapteryx bonasia",2
"286","Aphanotriccus audax",5
"287","Aphanotriccus capitalis",6
"288","Aphelocephala pectoralis",5
"289","Aphelocoma coerulescens",22
"290","Aphrastura masafuerae",13
