"","x"
"1","Accipiter badius"
"2","Accipiter brachyurus"
"3","Accipiter brevipes"
"4","Accipiter butleri"
"5","Accipiter collaris"
"6","Accipiter erythrauchen"
"7","Accipiter gentilis"
"8","Accipiter gularis"
"9","Accipiter gundlachi"
"10","Accipiter haplochrous"
