threatened,masscentr,rangecentr,Migration,agriculture,climate_change,invasive,resource_use
0,-2.797050979,-0.63832612,1,1,0,0,1
1,-2.710039602,-3.814676922,1,1,0,0,1
0,-0.935087251,5.97177988,3,1,0,0,1
1,-1.628234431,-2.925831087,1,1,0,1,1
1,-2.113036282,0.04156915,1,1,0,0,0
0,-1.862741741,-4.77430611,1,1,0,0,1
1,-2.150423814,-7.18936466,1,0,1,1,0
0,-2.059452036,0.3527247,1,0,1,0,1
1,-2.219416685,-2.72965079,1,1,0,0,1
1,-2.975742768,-0.36264955,1,1,0,0,1
0,-1.526269505,2.72713717,2,0,0,0,1
1,-2.629996894,-1.61988794,1,1,0,0,1
0,-2.169655176,4.2213529,3,0,1,0,0
1,-2.103903798,-1.218305701,1,1,0,0,0
0,-1.800437858,-5.509289838,1,0,0,1,0
0,-2.361732908,1.11812596,1,1,0,0,1
0,-2.000363119,-3.008822068,1,1,0,0,1
1,-2.122252937,-4.609309029,1,1,0,0,0
0,-1.906544364,0.54021167,1,0,1,0,0
0,-2.361732908,0.54708168,1,1,0,0,0
1,-1.773946243,1.52560382,3,1,1,0,1
1,-1.290955418,0.69296642,1,0,0,1,1
1,-2.797050979,-0.910357345,1,1,1,0,0
0,-2.584876459,-5.700833006,1,0,0,1,0
0,-2.570277659,-6.280977419,1,0,0,1,0
1,-2.872558531,-7.291479856,1,1,0,0,1
0,-1.827650422,3.56968974,1,0,0,0,1
1,-2.997721674,-3.644896236,1,1,1,0,1
0,-2.209264314,1.41319661,1,0,0,0,1
0,-1.848557106,1.30993292,1,0,1,0,0
0,0.69115778,2.60719999,1,1,0,0,1
0,-1.410756618,0.16182583,1,1,0,0,0
0,-2.122252937,1.17659926,1,1,0,0,0
0,-0.828033255,-2.981778485,1,1,0,0,1
0,-2.541704287,-2.314790805,1,1,0,0,0
1,-1.124211555,-4.985278335,1,0,0,1,1
1,-1.506066797,-4.751328475,1,1,0,0,0
1,-2.409935009,-6.6929509,1,1,1,1,1
0,0.540980676,5.52615197,3,1,1,1,1
1,-1.220887855,-1.166258426,3,0,1,0,0
1,-3.37039696,-3.509528634,1,1,1,0,0
0,-1.800437858,2.2977806,2,1,0,1,1
1,-0.583793994,-4.363074474,1,1,1,0,1
0,-1.9523539,3.26648427,2,1,0,0,0
0,-2.350036868,3.21575903,2,1,0,0,1
0,-2.199213978,-4.949504131,1,1,0,0,1
0,-2.892361159,0.81476175,1,1,0,0,1
1,-2.645501081,-5.930541066,1,1,0,0,1
0,-2.189263647,3.24110768,1,0,1,0,0
1,-1.722979799,-6.669748003,1,1,1,0,1
0,-1.862741741,0.95553514,1,0,1,0,0
0,-2.872558531,-1.778198396,1,1,0,0,0
1,-1.633900169,-0.07905897,1,1,0,0,1
1,-1.481374185,5.40518656,3,1,0,0,1
0,0.396786719,5.01411848,3,0,0,0,1
0,0.396786719,3.71519553,3,0,0,0,1
0,0.645695406,-4.232945657,3,0,0,0,1
0,-0.322807035,-2.9349372,2,0,1,1,1
1,-2.03369954,0.08126077,1,1,0,0,1
0,-1.729210349,-4.494611696,1,1,0,0,1
0,-2.72684672,1.69626295,1,0,1,0,0
0,-1.471665371,5.51795442,3,0,1,0,0
0,-0.034742187,5.36862485,3,0,1,0,0
0,-2.209264314,0.90697715,1,1,0,0,1
1,-2.933183153,-2.50648017,1,1,1,0,0
0,-2.113036282,5.58805713,3,0,1,0,0
0,-3.713341711,0.78159481,1,1,0,0,1
0,-2.48689605,1.29034129,2,1,0,0,0
0,-2.068185716,-4.82755768,1,1,0,0,1
0,-2.103903798,-3.894227408,1,1,0,0,0
1,-2.103903798,-2.157997188,1,1,0,0,0
1,-2.103903798,-3.48201325,1,1,0,0,1
1,-2.434936312,-5.331364329,1,0,0,1,0
1,-2.397664917,0.55251304,3,1,0,1,1
0,-2.83409225,-0.0021585,1,1,0,0,0
1,-2.315747794,1.88424123,3,1,0,1,1
0,-1.741789131,-0.29808397,1,0,1,0,0
1,-2.13155533,-4.65524578,1,1,1,1,1
0,-2.199213978,0.90015175,1,0,0,0,1
0,2.158007538,5.36120804,2,1,0,1,1
0,-2.570277659,1.12748173,1,1,0,0,0
0,-2.271784671,-1.031080967,3,1,0,1,1
1,-2.460578742,-3.469726442,1,1,0,0,1
0,-2.150423814,4.05326717,2,1,0,0,1
1,-0.400809966,0.8492169,2,1,0,1,1
1,-1.392738112,-5.800613213,1,1,0,1,1
1,-1.834570864,-1.887701832,3,1,0,1,0
0,-2.338476045,2.94384339,3,1,0,1,0
0,-2.282595587,5.01176162,3,0,1,0,0
0,-2.03369954,4.84810156,3,0,1,0,0
1,-2.209264314,-6.543877962,1,1,1,1,0
1,-2.997721674,-4.82673083,1,1,0,0,0
0,-1.48626417,-2.340241293,2,1,0,0,0
1,-1.410756618,-7.068748761,1,0,0,1,0
0,-2.447675337,0.56475621,1,1,0,0,0
1,-1.526269505,5.69715976,3,1,0,0,1
1,-2.422357529,2.28032765,1,1,0,0,1
0,-2.6935103,-2.354812972,1,1,1,0,1
0,-1.862741741,1.71446956,1,0,1,0,0
0,-0.880128367,-0.16207634,1,0,0,0,1
0,1.333011666,0.14043752,2,1,1,1,1
0,0.430514256,5.79400736,3,1,0,0,0
0,-2.159993265,-2.623798239,1,1,0,0,1
1,-1.668585727,-1.176384571,1,1,1,0,1
0,-1.855624274,6.48516985,2,1,1,0,0
0,-2.48689605,2.25115963,1,1,0,0,1
0,-1.311322721,0.74952238,3,1,0,0,1
1,-1.388283762,-1.340861083,2,1,0,1,0
0,-1.9523539,1.13958287,1,0,1,0,0
0,-2.113036282,4.17419391,3,0,0,1,0
0,0.019989506,5.17144336,3,1,0,1,1
0,-1.760959047,-1.907229381,1,1,1,0,1
0,-2.48689605,3.00756375,1,1,0,0,0
1,-2.555888922,-4.984808865,1,1,0,1,1
0,-2.409935009,4.29701013,3,0,1,0,0
0,-2.229673185,1.3921047,2,1,0,0,1
1,-2.122252937,0.85171658,2,1,0,0,1
1,-1.984102598,-2.685285158,1,1,0,1,0
0,-3.249036103,3.42229572,1,0,1,0,1
0,-2.629996894,1.2512207,1,1,0,0,1
1,-2.361732908,-6.051889742,1,1,1,1,1
0,-2.199213978,-5.895074778,1,0,1,1,0
1,-2.661249438,-0.78951153,1,1,0,0,1
0,-2.271784671,3.77832221,1,0,1,0,0
0,-2.599691545,-0.76037726,1,1,0,0,1
0,-0.386019228,-3.402929001,1,1,0,0,1
0,-2.513924723,-3.928010341,1,1,0,0,1
0,-2.103903798,3.23623557,1,1,0,0,0
1,-1.800437858,-1.11397522,1,1,1,0,0
0,-2.473650824,0.56422065,1,1,1,0,1
0,-2.076996345,2.496749,1,0,0,0,1
0,-2.434936312,1.48643016,1,1,0,0,0
0,-2.422357529,2.16647707,1,1,0,0,0
0,-1.680420185,2.61738659,3,1,0,0,1
0,-2.513924723,2.62373715,1,0,1,0,0
1,-1.899109386,1.2412222,2,1,0,0,1
0,-2.000363119,-3.677255709,1,1,0,1,0
1,-1.541693975,1.31814746,2,1,0,0,1
1,-1.891729278,1.21060508,1,1,0,0,1
0,-1.506066797,-8.779052095,3,0,0,1,0
1,-2.361732908,-1.104182714,1,1,1,1,1
1,-2.338476045,-8.725739979,1,1,1,1,1
0,1.885248584,2.38017028,1,1,1,1,1
0,-1.471665371,-0.70571009,1,1,0,0,1
1,-2.743941153,-3.930695454,1,1,0,0,1
0,-1.94457176,0.50197661,1,0,1,0,0
0,-1.834570864,-4.369332297,1,1,1,1,1
0,-2.422357529,1.33890105,1,1,0,0,0
0,-2.645501081,-0.19808379,1,0,1,0,0
1,-2.03369954,-2.380522243,1,1,0,0,0
0,-1.584028339,-1.387015707,1,1,0,0,1
0,-2.629996894,-0.72993146,1,1,0,0,1
1,-2.629996894,-3.323808986,1,1,1,0,1
1,-2.6935103,-1.765774644,1,0,0,0,1
0,-2.150423814,-1.100904338,2,0,0,0,1
0,-1.084072387,-0.18641139,1,1,1,0,1
0,-2.584876459,5.93984579,3,0,1,0,0
0,-2.434936312,0.01627466,2,1,0,0,1
1,-1.921582241,-1.169550469,1,1,0,0,1
0,-2.085885293,1.3050698,1,1,0,0,1
0,-2.710039602,-2.596592825,1,0,1,0,0
1,-2.48689605,-0.71891187,1,1,0,0,0
0,0.049970338,4.17770995,3,1,0,0,1
1,-0.260472318,-5.655361294,1,1,1,1,1
0,-1.633900169,3.37565774,1,1,0,1,1
1,-2.103903798,-8.128521216,1,1,1,0,0
0,-1.968102257,-1.827973857,1,0,1,0,0
0,-1.827650422,2.79449302,3,1,0,0,1
0,-1.589448406,4.90625169,2,1,1,0,1
1,-2.03369954,-1.827921421,1,1,0,0,1
0,-1.80717189,-4.061147086,1,0,1,0,0
0,-1.869910231,-0.27877988,3,0,1,1,1
0,-2.361732908,3.96861936,3,1,0,1,1
1,-2.261089382,-1.886170904,1,1,0,0,1
1,-2.892361159,-6.422907698,1,1,0,0,0
1,-2.555888922,-2.054997158,1,1,0,0,1
0,-2.350036868,0.21578091,1,0,1,0,0
0,-1.914035036,0.38158666,2,1,0,0,1
0,-2.48689605,2.99492081,1,1,0,0,0
1,-1.067811867,2.54577383,1,0,0,0,1
1,-1.862741741,-3.037575328,1,1,0,1,0
0,-1.205962205,-0.46485221,3,0,1,0,0
0,-1.594898011,-5.210971137,1,0,0,0,1
0,-1.605887133,-3.818626485,3,1,0,0,0
1,-1.605887133,2.48049945,3,1,0,0,1
1,-0.937916107,2.86464362,1,1,0,0,1
1,-1.526269505,-1.684169355,1,1,1,0,1
1,-0.937916107,0.55900495,1,0,0,0,1
1,-0.926648382,-2.855905475,1,1,0,0,0
1,-0.480025202,-4.182971332,1,1,0,0,1
0,-1.891729278,-1.00218024,1,1,0,0,1
1,-2.042210229,-1.906749721,2,1,1,0,1
0,-2.361732908,-1.409921404,1,1,0,0,1
0,-2.103903798,0.13181809,1,1,0,0,1
1,-2.513924723,-4.925166585,1,1,0,0,1
1,-2.473650824,-0.967116143,1,1,0,0,1
0,-1.462049912,4.33095073,3,0,1,0,0
0,-1.960197078,-1.247483643,1,1,0,0,1
1,-1.984102598,-1.053555716,1,1,1,0,1
0,-2.32704735,0.3988929,1,1,0,0,1
1,-2.03369954,-3.067520496,1,0,1,0,1
0,-1.134503241,-0.828480268,1,1,0,0,1
0,-2.179411351,-1.300939889,1,1,0,0,1
0,-3.37039696,-4.787271248,1,1,1,1,1
1,-2.645501081,-2.303036964,1,1,0,0,1
0,-2.315747794,-0.909294597,1,1,0,0,0
1,-1.773946243,0.59225446,2,1,0,0,0
0,-2.48689605,-2.100114846,1,1,0,0,0
0,-1.406221462,0.53203134,1,1,1,1,0
1,-2.361732908,-1.267127624,1,1,0,0,0
0,-2.050793973,-0.43743891,1,1,0,0,1
1,-2.500319071,-4.276464886,1,0,0,1,0
0,-1.899109386,0.04917975,3,1,1,0,0
