"","species_names","iucn_pull"
"147","Chiroxiphia linearis","Low Impact: 5"
"148","Lemur catta","Past Impact"
"149","Pan paniscus","Low Impact: 5"
"150","Gorilla gorilla","Medium Impact: 7"
"151","Chiroxiphia linearis","Medium Impact: 7"
"152","Lemur catta",NA
"153","Pan paniscus",NA
"154","Gorilla gorilla",NA
"155","Chiroxiphia linearis",NA
"156","Lemur catta",NA
"157","Pan paniscus",NA
"158","Gorilla gorilla",NA
"159","Chiroxiphia linearis",NA
"160","Lemur catta",NA
"161","Pan paniscus",NA
"162","Gorilla gorilla",NA
"163","Chiroxiphia linearis",NA
"164","Lemur catta",NA
"165","Pan paniscus",NA
"166","Gorilla gorilla",NA
"167","Chiroxiphia linearis",NA
"168","Lemur catta",NA
"169","Pan paniscus",NA
"170","Gorilla gorilla",NA
"171","Chiroxiphia linearis",NA
"172","Lemur catta",NA
"173","Pan paniscus",NA
"174","Gorilla gorilla",NA
"175","Chiroxiphia linearis",NA
"176","Lemur catta",NA
"177","Pan paniscus","Gorilla gorilla"
"178","Gorilla gorilla","11.1"
"179","Chiroxiphia linearis","2.1"
"180","Lemur catta","2.1"
"181","Pan paniscus","2.1.1"
"182","Gorilla gorilla","2.1.2"
"183","Chiroxiphia linearis","2.1.3"
"184","Lemur catta","3.2"
"185","Pan paniscus","4.1"
"186","Gorilla gorilla","5.1"
"187","Chiroxiphia linearis","5.1"
"188","Lemur catta","5.1.1"
"189","Pan paniscus","5.1.2"
"190","Gorilla gorilla","5.1.3"
"191","Chiroxiphia linearis","5.3"
"192","Lemur catta","5.3.4"
"193","Pan paniscus","8.2"
"194","Gorilla gorilla","8.5"
"195","Chiroxiphia linearis","8.5.1"
"196","Lemur catta","8.5.2"
"197","Pan paniscus","Habitat shifting & alteration"
"198","Gorilla gorilla","Annual & perennial non-timber crops"
"199","Chiroxiphia linearis","Annual & perennial non-timber crops"
"200","Lemur catta","Shifting agriculture"
"201","Pan paniscus","Small-holder farming"
"202","Gorilla gorilla","Agro-industry farming"
"203","Chiroxiphia linearis","Mining & quarrying"
"204","Lemur catta","Roads & railroads"
"205","Pan paniscus","Hunting & trapping terrestrial animals"
"206","Gorilla gorilla","Hunting & trapping terrestrial animals"
"207","Chiroxiphia linearis","Intentional use (species is the target)"
"208","Lemur catta","Unintentional effects (species is not the target)"
"209","Pan paniscus","Persecution/control"
"210","Gorilla gorilla","Logging & wood harvesting"
"211","Chiroxiphia linearis","Unintentional effects: (large scale) [harvest]"
"212","Lemur catta","Problematic native species/diseases"
"213","Pan paniscus","Viral/prion-induced diseases"
"214","Gorilla gorilla","Unspecified species"
"215","Chiroxiphia linearis","Named species"
"216","Lemur catta","Ongoing"
"217","Pan paniscus","Ongoing"
"218","Gorilla gorilla","Ongoing"
"219","Chiroxiphia linearis","Ongoing"
"220","Lemur catta","Ongoing"
"221","Pan paniscus","Ongoing"
"222","Gorilla gorilla","Ongoing"
"223","Chiroxiphia linearis","Ongoing"
"224","Lemur catta","Ongoing"
"225","Pan paniscus","Ongoing"
"226","Gorilla gorilla","Ongoing"
"227","Chiroxiphia linearis","Ongoing"
"228","Lemur catta","Ongoing"
"229","Pan paniscus","Ongoing"
"230","Gorilla gorilla","Ongoing"
