"","x"
"218","Hooded Visorbearer"
"219","Brown Violet-ear"
"220","Green Violet-ear"
"221","Sparkling Violet-ear"
"222","White-vented Violet-ear"
"223","Tooth-billed Hummingbird"
"224","Horned Sungem"
"225","Purple-crowned Fairy"
"226","Black-eared Fairy"
"227","White-tailed Goldenthroat"
"228","Tepui Goldenthroat"
"229","Green-tailed Goldenthroat"
"230","Ruby-topaz Hummingbird"
"231","Fiery-tailed Awlbill"
"232","Green-throated Mango"
"233","Green-breasted Mango"
"234","Black-throated Mango"
"235","Veraguas Mango"
"236","Hispaniolan Mango"
"237","Puerto Rican Mango"
"238","Green Mango"
"239","Jamaican Mango"
"240","Green-throated Carib"
"241","Purple-throated Carib"
"242","Orange-throated Sunangel"
"243","Merida Sunangel"
"244","Longuemare's Sunangel"
"245","Amethyst-throated Sunangel"
"246","Gorgeted Sunangel"
"247","Tourmaline Sunangel"
"248","Little Sunangel"
"249","Purple-throated Sunangel"
"250","Royal Sunangel"
"251","Green-backed Firecrown"
"252","Juan Fernandez Firecrown"
"253","Green Thorntail"
"254","Wire-crested Thorntail"
"255","Black-bellied Thorntail"
"256","Coppery Thorntail"
"257","Racket-tailed Coquette"
"258","Tufted Coquette"
"259","Dot-eared Coquette"
"260","Frilled Coquette"
"261","Short-crested Coquette"
"262","Rufous-crested Coquette"
"263","Spangled Coquette"
"264","Festive Coquette"
"265","Butterfly Coquette"
"266","Peacock Coquette"
"267","Black-crested Coquette"
"268","White-crested Coquette"
"269","Ecuadorian Piedtail"
"270","Peruvian Piedtail"
"271","Speckled Hummingbird"
"272","Long-tailed Sylph"
"273","Violet-tailed Sylph"
"274","Venezuelan Sylph"
"275","Red-tailed Comet"
"276","Grey-bellied Comet"
"277","Bronze-tailed Comet"
"278","Ecuadorian Hillstar"
"279","Andean Hillstar"
"280","Green-headed Hillstar"
"281","White-sided Hillstar"
"282","Black-breasted Hillstar"
"283","Wedge-tailed Hillstar"
"284","Mountain Avocetbill"
"285","Black-tailed Trainbearer"
"286","Green-tailed Trainbearer"
"287","Black-backed Thornbill"
"288","Purple-backed Thornbill"
"289","Rufous-capped Thornbill"
"290","Olivaceous Thornbill"
"291","Blue-mantled Thornbill"
"292","Bronze-tailed Thornbill"
"293","Rainbow-bearded Thornbill"
"294","Blue-bearded Helmetcrest"
"295","White-bearded Helmetcrest"
"296","Green-bearded Helmetcrest"
"297","Buffy Helmetcrest"
"298","Western Mountaineer"
"299","Eastern Mountaineer"
"300","Perija Metaltail"
"301","Tyrian Metaltail"
"302","Viridian Metaltail"
"303","Violet-throated Metaltail"
"304","Neblina Metaltail"
"305","Coppery Metaltail"
"306","Fire-throated Metaltail"
"307","Scaled Metaltail"
"308","Black Metaltail"
"309","Greenish Puffleg"
"310","Buff-thighed Puffleg"
"311","Hoary Puffleg"
"312","Black-breasted Puffleg"
"313","Gorgeted Puffleg"
"314","Glowing Puffleg"
"315","Black-thighed Puffleg"
"316","Turquoise-throated Puffleg"
"317","Coppery-bellied Puffleg"
"318","Sapphire-vented Puffleg"
"319","Coppery-naped Puffleg"
"320","Golden-breasted Puffleg"
"321","Blue-capped Puffleg"
"322","Colorful Puffleg"
"323","Emerald-bellied Puffleg"
"324","Marvelous Spatuletail"
"325","Shining Sunbeam"
"326","White-tufted Sunbeam"
"327","Purple-backed Sunbeam"
"328","Black-hooded Sunbeam"
"329","Bronzy Inca"
"330","Black Inca"
"331","Brown Inca"
"332","Green Inca"
"333","Collared Inca"
"334","Vilcabamba Inca"
"335","Gould's Inca"
"336","Huanuco Starfrontlet"
"337","Apurimac Starfrontlet"
"338","Cuzco Starfrontlet"
"339","Bolivian Starfrontlet"
"340","Rainbow Starfrontlet"
"341","White-tailed Starfrontlet"
"342","Glittering Starfrontlet"
"343","Buff-winged Starfrontlet"
"344","Perija Starfrontlet"
"345","Golden-bellied Starfrontlet"
"346","Golden Starfrontlet"
"347","Blue-throated Starfrontlet"
"348","Mountain Velvetbreast"
"349","Sword-billed Hummingbird"
"350","Great Sapphirewing"
"351","Buff-tailed Coronet"
"352","Chestnut-breasted Coronet"
"353","Velvet-purple Coronet"
"354","Booted Racket-tail"
"355","Rufous-gaped Hillstar"
"356","White-tailed Hillstar"
"357","Purple-bibbed Whitetip"
"358","Rufous-vented Whitetip"
"359","Velvet-browed Brilliant"
"360","Pink-throated Brilliant"
"361","Rufous-webbed Brilliant"
"362","Black-throated Brilliant"
"363","Black-breasted Brilliant"
"364","Gould's Brilliant"
"365","Fawn-breasted Brilliant"
"366","Green-crowned Brilliant"
"367","Empress Brilliant"
"368","Violet-fronted Brilliant"
"369","Brazilian Ruby"
"370","Giant Hummingbird"
"371","Golden-crowned Emerald"
"372","Cozumel Emerald"
"373","Canivet's Emerald"
"374","Garden Emerald"
"375","Red-billed Emerald"
"376","Blue-tailed Emerald"
"377","Chiribiquete Emerald"
"378","Cuban Emerald"
"379","Hispaniolan Emerald"
"380","Puerto Rican Emerald"
"381","Glittering-bellied Emerald"
"382","Coppery Emerald"
"383","Narrow-tailed Emerald"
"384","Short-tailed Emerald"
"385","Blue-chinned Emerald"
"386","Dusky Hummingbird"
"387","Broad-billed Hummingbird"
"388","Turquoise-crowned Hummingbird"
"389","Tres Marias Hummingbird"
"390","Blue-headed Hummingbird"
"391","Violet-headed Hummingbird"
"392","Emerald-chinned Hummingbird"
"393","Antillean Crested Hummingbird"
"394","Green-crowned Plovercrest"
"395","Violet-crowned Plovercrest"
"396","Sombre Hummingbird"
"397","Santa Marta Blossomcrown"
"398","Tolima Blossomcrown"
