cur_alternate_com_name,sci_name
Marabout chevelu,Leptoptilos javanicus
Marabout d'Afrique,Leptoptilos crumenifer
Marabout argala,Leptoptilos dubius
Marabout chevelu ou M. argala,Leptoptilos javanicus/dubius
Tantale d'Amerique,Mycteria americana
Tantale blanc,Mycteria cinerea
Tantale ibis,Mycteria ibis
Tantale indien,Mycteria leucocephala
Hybride Tantale blanc x T. indien,Mycteria cinerea x leucocephala
Tantale blanc ou T. indien,Mycteria cinerea/leucocephala
Cigogne sp.,Ciconiidae sp.
Fregate ariel,Fregata ariel
Fregate ariel (ariel/iredalei),Fregata ariel ariel/iredalei
Fregate ariel (trinitatis),Fregata ariel trinitatis
Fregate aigle-de-mer,Fregata aquila
Fregate superbe,Fregata magnificens
Fregate d'Andrews,Fregata andrewsi
Fregate du Pacifique,Fregata minor
Fregata sp.,Fregata sp.
Fou masque,Sula dactylatra
Fou de Grant,Sula granti
Fou masque ou F. de Grant,Sula dactylatra/granti
Fou a pieds bleus,Sula nebouxii
Fou varie,Sula variegata
Fou brun,Sula leucogaster
Fou brun (brewsteri),Sula leucogaster brewsteri
Fou brun (leucogaster),Sula leucogaster leucogaster
Fou brun (plotus),Sula leucogaster plotus
Fou brun (etesiaca),Sula leucogaster etesiaca
Hybride Fou masque x F. brun,Sula dactylatra x leucogaster
Hybride Fou a pieds bleus x F. brun,Sula nebouxii x leucogaster
Fou a pieds rouges,Sula sula
Fou a pieds rouges (sula),Sula sula sula
Fou a pieds rouges (rubripes),Sula sula rubripes
Fou a pieds rouges (websteri),Sula sula websteri
Sula sp.,Sula sp.
Fou d'Abbott,Papasula abbotti
Fou de Bassan,Morus bassanus
Fou du Cap,Morus capensis
Fou austral,Morus serrator
Fou sp.,Sulidae sp.
Anhinga d'Amerique,Anhinga anhinga
Anhinga d'Afrique,Anhinga rufa
Anhinga roux,Anhinga melanogaster
Anhinga d'Australie,Anhinga novaehollandiae
Cormoran pie,Microcarbo melanoleucos
Cormoran africain,Microcarbo africanus
Cormoran couronne,Microcarbo coronatus
Cormoran de Vieillot,Microcarbo niger
Cormoran pygmee,Microcarbo pygmaeus
Cormoran de Gaimard,Poikilocarbo gaimardi
Cormoran de Brandt,Urile penicillatus
Cormoran a face rouge,Urile urile
Cormoran pelagique,Urile pelagicus
Cormoran de Pallas,Urile perspicillatus
Cormoran des bancs,Phalacrocorax neglectus
Cormoran du Cap,Phalacrocorax capensis
Grand Cormoran,Phalacrocorax carbo
Grand Cormoran (forme a poitrine sombre),Phalacrocorax carbo carbo/sinensis
Grand Cormoran (carbo),Phalacrocorax carbo carbo
Grand Cormoran (novaehollandiae),Phalacrocorax carbo novaehollandiae
Grand Cormoran (sinensis/hanedae),Phalacrocorax carbo sinensis/hanedae
Grand Cormoran (maroccanus),Phalacrocorax carbo maroccanus
Grand Cormoran (lucidus),Phalacrocorax carbo lucidus
Cormoran de Temminck,Phalacrocorax capillatus
Grand Cormoran ou C. de Temminck,Phalacrocorax carbo/capillatus
Cormoran de Socotra,Phalacrocorax nigrogularis
Cormoran mouchete,Phalacrocorax punctatus
Cormoran de Featherston,Phalacrocorax featherstoni
Cormoran a cou brun,Phalacrocorax fuscicollis
Cormoran de Vieillot ou C. a cou brun,Microcarbo niger/Phalacrocorax fuscicollis
Cormoran noir,Phalacrocorax sulcirostris
Cormoran varie,Phalacrocorax varius
Cormoran de Tasmanie,Phalacrocorax fuscescens
Cormoran huppe,Gulosus aristotelis
Cormoran huppe (aristotelis),Gulosus aristotelis aristotelis
Cormoran huppe (desmarestii),Gulosus aristotelis desmarestii
Cormoran huppe (riggenbachi),Gulosus aristotelis riggenbachi
Grand Cormoran ou C. huppe,Phalacrocorax carbo/Gulosus aristotelis
Cormoran aptere,Nannopterum harrisi
Cormoran a aigrettes,Nannopterum auritum
Grand Cormoran ou C. a aigrettes,Phalacrocorax carbo/Nannopterum auritum
Cormoran vigua,Nannopterum brasilianum
Hybride Cormoran vigua x C. a aigrettes,Nannopterum auritum x brasilianum
Cormoran vigua ou C. a aigrettes,Nannopterum auritum/brasilianum
Cormoran de Magellan,Leucocarbo magellanicus
Cormoran de Bougainville,Leucocarbo bougainvillii
Cormoran de Bounty,Leucocarbo ranfurlyi
Cormoran caroncule,Leucocarbo carunculatus
Cormoran bronze,Leucocarbo chalconotus
Cormoran bronze (chalconotus),Leucocarbo chalconotus chalconotus
Cormoran bronze (stewarti),Leucocarbo chalconotus stewarti
Cormoran des Chatham,Leucocarbo onslowi
Cormoran des Auckland,Leucocarbo colensoi
Cormoran de Campbell,Leucocarbo campbelli
Cormoran georgien,Leucocarbo georgianus
Cormoran imperial,Leucocarbo atriceps
Cormoran imperial (forme aux yeux bleus),Leucocarbo atriceps (Blue-eyed)
Cormoran imperial (forme imperiale),Leucocarbo atriceps (King)
Cormoran antarctique,Leucocarbo bransfieldensis
Cormoran de Crozet,Leucocarbo melanogenis
Cormoran des Kerguelen,Leucocarbo verrucosus
Cormoran de Heard,Leucocarbo nivalis
Cormoran de Macquarie,Leucocarbo purpurascens
Phalacrocorax sp.,Phalacrocoracidae sp.
Pelican d'Amerique,Pelecanus erythrorhynchos
Pelican brun,Pelecanus occidentalis
Pelican brun (carolinensis),Pelecanus occidentalis carolinensis
Pelican brun (californicus),Pelecanus occidentalis californicus
Pelican brun (occidentalis/murphyi),Pelecanus occidentalis occidentalis/murphyi
Pelican brun (urinator),Pelecanus occidentalis urinator
Pelican thage,Pelecanus thagus
Pelican blanc,Pelecanus onocrotalus
Pelican a lunettes,Pelecanus conspicillatus
Pelican gris,Pelecanus rufescens
Pelican a bec tachete,Pelecanus philippensis
Pelican frise,Pelecanus crispus
Hybride Pelican blanc x P. frise,Pelecanus onocrotalus x crispus
Pelican sp.,Pelecanus sp.
Bec-en-sabot du Nil,Balaeniceps rex
Ombrette africaine,Scopus umbretta
Butor mirasol,Botaurus pinnatus
Butor d'Amerique,Botaurus lentiginosus
Butor etoile,Botaurus stellaris
Butor d'Australie,Botaurus poiciloptilus
Butor zigzag,Zebrilus undulatus
Blongios de Chine,Ixobrychus sinensis
Blongios nain,Ixobrychus minutus
Blongios nain (minutus),Ixobrychus minutus minutus
Blongios nain (payesii),Ixobrychus minutus payesii
Blongios nain (podiceps),Ixobrychus minutus podiceps
Blongios d'Australie,Ixobrychus dubius
Blongios a dos noir,Ixobrychus novaezelandiae
Blongios de Schrenck,Ixobrychus eurhythmus
Blongios cannelle,Ixobrychus cinnamomeus
Blongios de Chine ou B. cannelle,Ixobrychus sinensis/cinnamomeus
Blongios de Schrenck ou B. cannelle,Ixobrychus eurhythmus/cinnamomeus
Blongios de Sturm,Ixobrychus sturmii
Blongios a cou jaune,Ixobrychus flavicollis
Petit Blongios,Ixobrychus exilis
Blongios varie,Ixobrychus involucris
Ixobrychus sp.,Ixobrychus sp.
Onore raye,Tigrisoma lineatum
Onore fascie,Tigrisoma fasciatum
Onore du Mexique,Tigrisoma mexicanum
Tigrisoma sp.,Tigrisoma sp.
Onore phaeton,Zonerodius heliosylus
Onore a huppe blanche,Tigriornis leucolopha
Grand Heron,Ardea herodias
Grand Heron (groupe herodias),Ardea herodias [herodias Group]
Grand Heron (occidentalis),Ardea herodias occidentalis
Grand Heron (forme de Wurdemann),Ardea herodias wardi x occidentalis
Heron cendre,Ardea cinerea
Heron cendre (cinerea/jouyi),Ardea cinerea cinerea/jouyi
Heron cendre (firasa),Ardea cinerea firasa
Heron cendre (monicae),Ardea cinerea monicae
Heron cocoi,Ardea cocoi
Hybride Grand Heron x H. cocoi,Ardea herodias x cocoi
Grand Heron ou H. cocoi,Ardea herodias/cocoi
Heron a tete blanche,Ardea pacifica
Heron melanocephale,Ardea melanocephala
Heron de Humblot,Ardea humbloti
Heron imperial,Ardea insignis
Heron typhon,Ardea sumatrana
Heron goliath,Ardea goliath
Heron pourpre,Ardea purpurea
Heron pourpre (bournei),Ardea purpurea bournei
Heron pourpre (groupe purpurea),Ardea purpurea [purpurea Group]
Heron cendre ou H. pourpre,Ardea cinerea/purpurea
Grande Aigrette,Ardea alba
Grande Aigrette (alba),Ardea alba alba
Grande Aigrette (melanorhynchos),Ardea alba melanorhynchos
Grande Aigrette (egretta),Ardea alba egretta
Grande Aigrette (modesta),Ardea alba modesta
Hybride Grand Heron x Grande Aigrette,Ardea herodias x alba
Hybride Heron cendre x Grande Aigrette,Ardea cinerea x alba
Heron intermediaire,Ardea intermedia
Heron intermediaire (intermedia),Ardea intermedia intermedia
Heron intermediaire (plumifera),Ardea intermedia plumifera
Heron intermediaire (brachyrhyncha),Ardea intermedia brachyrhyncha
Grande Aigrette ou Heron intermediaire,Ardea alba/intermedia
Ardea sp.,Ardea sp.
Aigrette a face blanche,Egretta novaehollandiae
Aigrette de Chine,Egretta eulophotes
Aigrette garzette,Egretta garzetta
Aigrette garzette (garzetta),Egretta garzetta garzetta
Aigrette garzette (nigripes),Egretta garzetta nigripes
Aigrette garzette (dimorpha),Egretta garzetta dimorpha
Aigrette a gorge blanche,Egretta gularis
Aigrette a gorge blanche (gularis),Egretta gularis gularis
Aigrette a gorge blanche (schistacea),Egretta gularis schistacea
Hybride Aigrette garzette x A. a gorge blanche,Egretta garzetta x gularis
Aigrette garzette ou A. a gorge blanche,Egretta garzetta/gularis
Aigrette sacree,Egretta sacra
Aigrette neigeuse,Egretta thula
Hybride Aigrette garzette x A. neigeuse,Egretta garzetta x thula
Aigrette bleue,Egretta caerulea
Hybride Aigrette neigeuse x A. bleue,Egretta thula x caerulea
Aigrette tricolore,Egretta tricolor
Hybride Aigrette neigeuse x A. tricolore,Egretta thula x tricolor
Hybride Aigrette bleue x A. tricolore,Egretta caerulea x tricolor
Aigrette roussatre,Egretta rufescens
Hybride Aigrette tricolore x A. roussatre,Egretta tricolor x rufescens
Aigrette pie,Egretta picata
Aigrette vineuse,Egretta vinaceigula
Aigrette ardoisee,Egretta ardesiaca
Heron garde-boeufs,Bubulcus ibis
Heron garde-boeufs (ibis),Bubulcus ibis ibis
Heron garde-boeufs (coromandus),Bubulcus ibis coromandus
Heron intermediaire ou H. garde-boeufs,Ardea intermedia/Bubulcus ibis
Aigrette sp.,Ardea/Egretta/Bubulcus sp.
Crabier chevelu,Ardeola ralloides
Crabier de Gray,Ardeola grayii
Crabier chinois,Ardeola bacchus
Crabier malais,Ardeola speciosa
Crabier blanc,Ardeola idae
Crabier a ventre roux,Ardeola rufiventris
Ardeola sp.,Ardeola sp.
Heron vert,Butorides virescens
Heron vert (virescens/bahamensis),Butorides virescens virescens/bahamensis
Heron vert (anthonyi),Butorides virescens anthonyi
Heron vert (frazari),Butorides virescens frazari
Heron strie,Butorides striata
Heron strie (striata),Butorides striata striata
Heron strie (sundevalli),Butorides striata sundevalli
Heron strie (groupe atricapilla),Butorides striata [atricapilla Group]
Hybride Heron vert x H. strie,Butorides virescens x striata
Heron vert ou H. strie,Butorides virescens/striata
Heron agami,Agamia agami
Heron flûte-du-soleil,Syrigma sibilatrix
Heron coiffe,Pilherodius pileatus
Bihoreau de La Reunion,Nycticorax duboisi
Bihoreau de Maurice,Nycticorax mauritianus
Bihoreau de Rodrigues,Nycticorax megacephalus
Bihoreau gris,Nycticorax nycticorax
Bihoreau gris (nycticorax),Nycticorax nycticorax nycticorax
Bihoreau gris (hoactli),Nycticorax nycticorax hoactli
Bihoreau gris (obscurus),Nycticorax nycticorax obscurus
Bihoreau gris (falklandicus),Nycticorax nycticorax falklandicus
Bihoreau cannelle,Nycticorax caledonicus
Bihoreau gris ou B. cannelle,Nycticorax nycticorax/caledonicus
Bihoreau violace,Nyctanassa violacea
Bihoreau violace (groupe violacea),Nyctanassa violacea [violacea Group]
Bihoreau violace (pauper),Nyctanassa violacea pauper
Hybride Bihoreau gris x B. violace,Nycticorax nycticorax x Nyctanassa violacea
Bihoreau gris ou B. violace,Nycticorax nycticorax/Nyctanassa violacea
Bihoreau des Bermudes,Nyctanassa carcinocatactes
Bihoreau a dos blanc,Gorsachius leuconotus
Bihoreau superbe,Gorsachius magnificus
Bihoreau goisagi,Gorsachius goisagi
Bihoreau malais,Gorsachius melanolophus
Bihoreau goisagi ou B. malais,Gorsachius goisagi/melanolophus
Savacou huppe,Cochlearius cochlearius
Savacou huppe (groupe zeledoni),Cochlearius cochlearius [zeledoni Group]
Savacou huppe (cochlearius/panamensis),Cochlearius cochlearius cochlearius/panamensis
Heron ou Aigrette sp.,Ardeidae sp.
Ibis blanc,Eudocimus albus
Ibis rouge,Eudocimus ruber
Hybride Ibis blanc x I. rouge,Eudocimus albus x ruber
Ibis falcinelle,Plegadis falcinellus
Ibis a face blanche,Plegadis chihi
Hybride Ibis falcinelle x I. a face blanche,Plegadis falcinellus x chihi
Ibis falcinelle ou I. a face blanche,Plegadis falcinellus/chihi
Ibis de Ridgway,Plegadis ridgwayi
Ibis a face blanche ou I. de Ridgway,Plegadis chihi/ridgwayi
Ibis huppe,Lophotibis cristata
Ibis a queue pointue,Cercibis oxycerca
Ibis vert,Mesembrinibis cayennensis
Ibis a face nue,Phimosus infuscatus
Ibis plombe,Theristicus caerulescens
Ibis mandore,Theristicus caudatus
Ibis a face noire,Theristicus melanopis
Ibis des Andes,Theristicus branickii
Ibis a face noire ou I. des Andes,Theristicus melanopis/branickii
Ibis sacre,Threskiornis aethiopicus
Ibis malgache,Threskiornis bernieri
Ibis sacre ou I. malgache,Threskiornis aethiopicus/bernieri
Ibis de La Reunion,Threskiornis solitarius
Ibis a tete noire,Threskiornis melanocephalus
Ibis a cou noir,Threskiornis molucca
Ibis d'Australie,Threskiornis spinicollis
Ibis noir,Pseudibis papillosa
Ibis de Davison,Pseudibis davisoni
Ibis geant,Pseudibis gigantea
Ibis chauve,Geronticus eremita
Ibis du Cap,Geronticus calvus
Ibis nippon,Nipponia nippon
Ibis olive,Bostrychia olivacea
Ibis de Sao Tome,Bostrychia bocagei
Ibis vermicule,Bostrychia rara
Ibis hagedash,Bostrychia hagedash
Ibis caroncule,Bostrychia carunculata
Ibis sp.,Threskiornithidae sp. (ibis sp.)
Spatule blanche,Platalea leucorodia
Spatule royale,Platalea regia
Spatule d'Afrique,Platalea alba
Petite Spatule,Platalea minor
Hybride Spatule blanche x Petite Spatule,Platalea leucorodia x minor
Spatule a bec jaune,Platalea flavipes
Spatule rosee,Platalea ajaja
Spatule sp.,Platalea sp.
Condor de Californie,Gymnogyps californianus
Condor des Andes,Vultur gryphus
Sarcoramphe roi,Sarcoramphus papa
Urubu noir,Coragyps atratus
Urubu a tete rouge,Cathartes aura
Urubu a tete rouge (aura/septentrionalis),Cathartes aura aura/septentrionalis
Urubu a tete rouge (ruficollis),Cathartes aura ruficollis
Urubu a tete rouge (jota),Cathartes aura jota
Urubu a tete jaune,Cathartes burrovianus
Grand Urubu,Cathartes melambrotus
Cathartes sp.,Cathartes sp.
Urubu sp.,Cathartidae sp.
Messager sagittaire,Sagittarius serpentarius
Balbuzard pecheur,Pandion haliaetus
Balbuzard pecheur (haliaetus),Pandion haliaetus haliaetus
Balbuzard pecheur (carolinensis),Pandion haliaetus carolinensis
Balbuzard pecheur (ridgwayi),Pandion haliaetus ridgwayi
Balbuzard pecheur (cristatus),Pandion haliaetus cristatus
elanion perle,Gampsonyx swainsonii
elanion blanc,Elanus caeruleus
elanion blanc (caeruleus),Elanus caeruleus caeruleus
elanion blanc (groupe vociferus),Elanus caeruleus [vociferus Group]
elanion d'Australie,Elanus axillaris
elanion a queue blanche,Elanus leucurus
elanion lettre,Elanus scriptus
elanion naucler,Chelictinia riocourii
Gymnogene d'Afrique,Polyboroides typus
Gymnogene de Madagascar,Polyboroides radiatus
Palmiste africain,Gypohierax angolensis
Firasabe de Madagascar,Eutriorchis astur
Gypaete barbu,Gypaetus barbatus
Gypaete barbu (barbatus),Gypaetus barbatus barbatus
Gypaete barbu (meridionalis),Gypaetus barbatus meridionalis
Percnoptere d'egypte,Neophron percnopterus
Bec-en-croc de Temminck,Chondrohierax uncinatus
Bec-en-croc de Temminck (uncinatus),Chondrohierax uncinatus uncinatus
Bec-en-croc de Temminck (wilsonii),Chondrohierax uncinatus wilsonii
Bec-en-croc de Temminck (mirus),Chondrohierax uncinatus mirus
Bec-en-croc de Cayenne,Leptodon cayanensis
Bec-en-croc de Forbes,Leptodon forbesi
Bondree apivore,Pernis apivorus
Bondree des Celebes,Pernis celebensis
Bondree de Steere,Pernis steerei
Bondree orientale,Pernis ptilorhynchus
Bondree orientale (orientalis),Pernis ptilorhynchus orientalis
Bondree orientale (groupe ptilorhynchus),Pernis ptilorhynchus [ptilorhynchus Group]
Hybride Bondree apivore x B. orientale,Pernis apivorus x ptilorhynchus
Bondree apivore ou B. orientale,Pernis apivorus/ptilorhynchus
Naucler a queue fourchue,Elanoides forficatus
Bondree a plastron,Hamirostra melanosternon
Bondree a longue queue,Henicopernis longicauda
Bondree noire,Henicopernis infuscatus
Bondree a queue carree,Lophoictinia isura
Baza coucou,Aviceda cuculoides
Baza malgache,Aviceda madagascariensis
Baza de Jerdon,Aviceda jerdoni
Baza huppe,Aviceda subcristata
Baza huppard,Aviceda leuphotes
Vautour royal,Sarcogyps calvus
Vautour a tete blanche,Trigonoceps occipitalis
Vautour moine,Aegypius monachus
Vautour oricou,Torgos tracheliotos
Vautour charognard,Necrosyrtes monachus
Vautour africain,Gyps africanus
Vautour chaugoun,Gyps bengalensis
Vautour indien,Gyps indicus
Vautour a long bec,Gyps tenuirostris
Vautour de Rüppell,Gyps rueppelli
Vautour africain ou V. de Rüppell,Gyps africanus/rueppelli
Vautour de l'Himalaya,Gyps himalayensis
Vautour fauve,Gyps fulvus
Vautour de Rüppell ou V. fauve,Gyps rueppelli/fulvus
Vautour de l'Himalaya ou V. fauve,Gyps himalayensis/fulvus
Vautour chassefiente,Gyps coprotheres
Vautour africain ou V. chassefiente,Gyps africanus/coprotheres
Gyps sp.,Gyps sp.
Vautour sp.,Accipitridae sp. (old world vulture sp.)
Serpentaire des Nicobar,Spilornis klossi
Serpentaire des Celebes,Spilornis rufipectus
Serpentaire du Kinabalu,Spilornis kinabaluensis
Serpentaire bacha,Spilornis cheela
Serpentaire bacha (groupe cheela),Spilornis cheela [cheela Group]
Serpentaire bacha (davisoni),Spilornis cheela davisoni
Serpentaire bacha (minimus),Spilornis cheela minimus
Serpentaire bacha (perplexus),Spilornis cheela perplexus
Serpentaire bacha (natunensis),Spilornis cheela natunensis
Serpentaire bacha (abbotti),Spilornis cheela abbotti
Serpentaire bacha (asturinus),Spilornis cheela asturinus
Serpentaire bacha (sipora),Spilornis cheela sipora
Serpentaire bacha (baweanus),Spilornis cheela baweanus
Serpentaire des Philippines,Spilornis holospilus
Serpentaire des Andaman,Spilornis elgini
Pithecophage des Philippines,Pithecophaga jefferyi
Bateleur des savanes,Terathopius ecaudatus
Serpentaire du Congo,Dryotriorchis spectabilis
Circaete Jean-le-Blanc,Circaetus gallicus
Circaete de Beaudouin,Circaetus beaudouini
Circaete a poitrine noire,Circaetus pectoralis
Circaete brun,Circaetus cinereus
Circaete barre,Circaetus fasciolatus
Circaete cendre,Circaetus cinerascens
Circaetus sp.,Circaetus sp.
Alcin des chauves-souris,Macheiramphus alcinus
Harpie de Nouvelle-Guinee,Harpyopsis novaeguineae
Harpie huppee,Morphnus guianensis
Harpie feroce,Harpia harpyja
Aigle couronne,Stephanoaetus coronatus
Aigle huppe,Nisaetus cirrhatus
Aigle huppe (cirrhatus/ceylanensis),Nisaetus cirrhatus cirrhatus/ceylanensis
Aigle huppe (groupe limnaeetus),Nisaetus cirrhatus [limnaeetus Group]
Aigle de Flores,Nisaetus floris
Aigle montagnard,Nisaetus nipalensis
Aigle de Legge,Nisaetus kelaarti
Aigle de Blyth,Nisaetus alboniger
Aigle de Java,Nisaetus bartelsi
Aigle des Celebes,Nisaetus lanceolatus
Aigle des Philippines,Nisaetus philippensis
Aigle de Pinsker,Nisaetus pinskeri
Aigle de Wallace,Nisaetus nanus
Nisaetus sp.,Nisaetus sp.
Aigle martial,Polemaetus bellicosus
Aigle a ventre roux,Lophotriorchis kienerii
Aigle tyran,Spizaetus tyrannus
Aigle orne,Spizaetus ornatus
Aigle noir et blanc,Spizaetus melanoleucus
Aigle d'Isidore,Spizaetus isidori
Spizaetus sp.,Spizaetus sp.
Aigle huppard,Lophaetus occipitalis
Aigle noir,Ictinaetus malaiensis
Aigle pomarin,Clanga pomarina
Aigle lanceole,Clanga hastata
Aigle criard,Clanga clanga
Hybride Aigle pomarin x A. criard,Clanga pomarina x clanga
Aigle pomarin ou A. criard,Clanga pomarina/clanga
Aigle lanceole ou A. criard,Clanga hastata/clanga
Aigle de Wahlberg,Hieraaetus wahlbergi
Aigle botte,Hieraaetus pennatus
Aigle de Weiske,Hieraaetus weiskei
Aigle nain,Hieraaetus morphnoides
Aigle d'Ayres,Hieraaetus ayresii
Aigle ravisseur,Aquila rapax
Aigle des steppes,Aquila nipalensis
Aigle ravisseur ou A. des steppes,Aquila rapax/nipalensis
Aigle iberique,Aquila adalberti
Aigle imperial,Aquila heliaca
Aigle de Gurney,Aquila gurneyi
Aigle royal,Aquila chrysaetos
Aigle d'Australie,Aquila audax
Aigle de Cassin,Aquila africana
Aigle de Verreaux,Aquila verreauxii
Aigle de Bonelli,Aquila fasciata
Aigle fascie,Aquila spilogaster
Aquila sp.,Aquila sp.
Clanga ou Aquila sp.,Clanga/Aquila sp.
Autour unibande,Kaupifalco monogrammicus
Autour sombre,Melierax metabates
Autour a ailes grises,Melierax poliopterus
Autour chanteur,Melierax canorus
Autour gabar,Micronisus gabar
Buse a tete blanche,Busarellus nigricollis
Milan des marais,Rostrhamus sociabilis
Milan a long bec,Helicolestes hamatus
Harpage bidente,Harpagus bidentatus
Harpage diodon,Harpagus diodon
Milan du Mississippi,Ictinia mississippiensis
Milan bleuatre,Ictinia plumbea
Milan du Mississippi ou M. bleuatre,Ictinia mississippiensis/plumbea
Busautour des sauterelles,Butastur rufipennis
Busautour aux yeux blancs,Butastur teesa
Busautour pale,Butastur liventer
Busautour a joues grises,Butastur indicus
Busard des roseaux,Circus aeruginosus
Busard grenouillard,Circus ranivorus
Busard d'Orient,Circus spilonotus
Busard des roseaux ou B. d'Orient,Circus aeruginosus/spilonotus
Busard de Nouvelle-Guinee,Circus spilothorax
Busard d'Orient ou B. de Nouvelle-Guinee,Circus spilonotus/spilothorax
Busard de Gould,Circus approximans
Busard de Maillard,Circus maillardi
Busard de Madagascar,Circus macrosceles
Busard de Buffon,Circus buffoni
Busard tachete,Circus assimilis
Busard maure,Circus maurus
Busard bariole,Circus cinereus
Busard Saint-Martin,Circus cyaneus
Busard des marais,Circus hudsonius
Busard Saint-Martin ou B. des marais,Circus cyaneus/hudsonius
Busard pale,Circus macrourus
Hybride Busard Saint-Martin x B. pale,Circus cyaneus x macrourus
Busard tchoug,Circus melanoleucos
Busard cendre,Circus pygargus
Busard Saint-Martin ou B. cendre,Circus cyaneus/pygargus
Busard pale ou B. cendre,Circus macrourus/pygargus
Circus sp.,Circus sp.
Autour a ventre gris,Accipiter poliogaster
Autour huppe,Accipiter trivirgatus
Autour des Celebes,Accipiter griseiceps
Autour de Toussenel,Accipiter toussenelii
Autour de Toussenel (macroscelides),Accipiter toussenelii macroscelides
Autour de Toussenel (toussenelii/canescens),Accipiter toussenelii toussenelii/canescens
Autour de Toussenel (lopezi),Accipiter toussenelii lopezi
Autour tachiro,Accipiter tachiro
Autour tachiro (unduliventer/croizati),Accipiter tachiro unduliventer/croizati
Autour tachiro (sparsimfasciatus),Accipiter tachiro sparsimfasciatus
Autour tachiro (pembaensis),Accipiter tachiro pembaensis
Autour tachiro (tachiro),Accipiter tachiro tachiro
Autour a flancs roux,Accipiter castanilius
epervier shikra,Accipiter badius
epervier shikra (sphenurus/polyzonoides),Accipiter badius sphenurus/polyzonoides
epervier shikra (groupe badius),Accipiter badius [badius Group]
epervier des Nicobar,Accipiter butleri
epervier a pieds courts,Accipiter brevipes
epervier de Horsfield,Accipiter soloensis
epervier de Frances,Accipiter francesiae
epervier a queue tachetee,Accipiter trinotatus
Autour variable,Accipiter hiogaster
Autour variable (sylvestris),Accipiter hiogaster sylvestris
Autour variable (groupe hiogaster),Accipiter hiogaster [hiogaster Group]
Autour blanc,Accipiter novaehollandiae
Autour australien,Accipiter fasciatus
Autour variable ou A. australien,Accipiter hiogaster/fasciatus
Autour a manteau noir,Accipiter melanochlamys
Autour pie,Accipiter albogularis
Autour a ventre blanc,Accipiter haplochrous
Autour des Fidji,Accipiter rufitorques
Autour des Moluques,Accipiter henicogrammus
Autour bleu et gris,Accipiter luteoschistaceus
Autour imitateur,Accipiter imitator
Autour a tete grise,Accipiter poliocephalus
Autour de Mayr,Accipiter princeps
epervier nain,Accipiter superciliosus
epervier a collier interrompu,Accipiter collaris
epervier de Hartlaub,Accipiter erythropus
epervier minule,Accipiter minullus
epervier du Japon,Accipiter gularis
epervier des Celebes,Accipiter nanus
epervier besra,Accipiter virgatus
epervier du Japon ou e. besra,Accipiter gularis/virgatus
Autour huppe ou epervier besra,Accipiter trivirgatus/virgatus
epervier a gorge grise,Accipiter erythrauchen
epervier a collier roux,Accipiter cirrocephalus
Autour australien ou epervier a collier roux,Accipiter fasciatus/cirrocephalus
epervier de Nouvelle-Bretagne,Accipiter brachyurus
epervier a poitrine rousse,Accipiter rhodogaster
epervier de Madagascar,Accipiter madagascariensis
epervier des Ovampos,Accipiter ovampensis
epervier d'Europe,Accipiter nisus
epervier a pieds courts ou e. d'Europe,Accipiter brevipes/nisus
epervier menu,Accipiter rufiventris
epervier menu (perspicillaris),Accipiter rufiventris perspicillaris
epervier menu (rufiventris),Accipiter rufiventris rufiventris
epervier brun,Accipiter striatus
epervier brun (groupe striatus),Accipiter striatus [striatus Group]
epervier brun (groupe velox),Accipiter striatus [velox Group]
epervier brun (madrensis),Accipiter striatus madrensis
epervier brun (chionogaster),Accipiter striatus chionogaster
epervier brun (ventralis),Accipiter striatus ventralis
epervier brun (erythronemius),Accipiter striatus erythronemius
epervier de Cooper,Accipiter cooperii
epervier brun ou e. de Cooper,Accipiter striatus/cooperii
epervier de Cuba,Accipiter gundlachi
epervier bicolore,Accipiter bicolor
epervier bicolore (bicolor/fidens),Accipiter bicolor bicolor/fidens
epervier bicolore (pileatus/guttifer),Accipiter bicolor pileatus/guttifer
epervier bicolore (chilensis),Accipiter bicolor chilensis
Autour noir,Accipiter melanoleucus
Autour de Henst,Accipiter henstii
Autour des palombes,Accipiter gentilis
Autour des palombes (groupe gentilis),Accipiter gentilis [gentilis Group]
Autour des palombes (atricapillus/laingi),Accipiter gentilis atricapillus/laingi
epervier d'Europe ou Autour des palombes,Accipiter nisus/gentilis
epervier de Cooper ou Autour des palombes,Accipiter cooperii/gentilis
Autour de Meyer,Accipiter meyerianus
Accipiter sp.,Accipiter sp.
Autour de Bürgers,Erythrotriorchis buergersi
Autour rouge,Erythrotriorchis radiatus
Autour de Doria,Megatriorchis doriae
Autour a longue queue,Urotriorchis macrourus
Milan royal,Milvus milvus
Milan royal (milvus),Milvus milvus milvus
Milan royal (fasciicauda),Milvus milvus fasciicauda
Milan noir,Milvus migrans
Milan noir (groupe migrans),Milvus migrans [migrans Group]
Milan noir (lineatus/formosanus),Milvus migrans lineatus/formosanus
Milan noir (aegyptius/parasitus),Milvus migrans aegyptius/parasitus
Milan royal ou M. noir,Milvus milvus/migrans
Milan siffleur,Haliastur sphenurus
Milan sacre,Haliastur indus
Milan noir ou M. sacre,Milvus migrans/Haliastur indus
Pygargue a tete blanche,Haliaeetus leucocephalus
Aigle royal ou Pygargue a tete blanche,Aquila chrysaetos/Haliaeetus leucocephalus
Pygargue a queue blanche,Haliaeetus albicilla
Pygargue de Pallas,Haliaeetus leucoryphus
