,species,English.name,French.name,Spanish.name
2697,Glaucidium cobanense,Guatemalan Pygmy-owl,NA,NA
2698,Glaucidium hoskinsii,Baja Pygmy-owl,NA,NA
2699,Glaucidium costaricanum,Costa Rican Pygmy-owl,Chevechette du Costa Rica,Mochuelo Costarricense
2700,Glaucidium nubicola,Cloudforest Pygmy-owl,Chevechette des nuages,Mochuelo Ecuatoriano
2701,Glaucidium jardinii,Andean Pygmy-owl,Chevechette des Andes,Mochuelo Andino
2702,Glaucidium bolivianum,Yungas Pygmy-owl,Chevechette des yungas,Mochuelo Boliviano
2703,Glaucidium palmarum,Colima Pygmy-owl,Chevechette du Colima,Mochuelo de Colima
2704,Glaucidium sanchezi,Tamaulipas Pygmy-owl,Chevechette du Tamaulipas,Mochuelo Tamaulipeco
2705,Glaucidium griseiceps,Central American Pygmy-owl,Chevechette a tete grise,Mochuelo Centroamericano
2706,Glaucidium parkeri,Subtropical Pygmy-owl,Chevechette de Parker,Mochuelo de Parker
2707,Glaucidium hardyi,Amazonian Pygmy-owl,Chevechette d'Amazonie,Mochuelo Amazonico
2708,Glaucidium minutissimum,Least Pygmy-owl,Chevechette caboure,Mochuelo Minimo
2709,Glaucidium mooreorum,Pernambuco Pygmy-owl,Chevechette des Moore,Mochuelo de Pernambuco
2710,Glaucidium brasilianum,Ferruginous Pygmy-owl,Chevechette brune,Mochuelo Cabure
2711,Glaucidium tucumanum,Tucuman Pygmy-owl,NA,NA
2712,Glaucidium peruanum,Peruvian Pygmy-owl,Chevechette du Perou,Mochuelo Peruano
2713,Glaucidium nana,Austral Pygmy-owl,Chevechette australe,Mochuelo Patagon
2714,Glaucidium siju,Cuban Pygmy-owl,Chevechette de Cuba,Mochuelo Siju
2715,Xenoglaux loweryi,Long-whiskered Owlet,Chevechette nimbee,Mochuelo Peludo
2716,Micrathene whitneyi,Elf Owl,Chevechette des saguaros,Mochuelo de Los Saguaros
2717,Athene cunicularia,Burrowing Owl,Cheveche des terriers,Mochuelo de Madriguera
2718,Athene brama,Spotted Owlet,Cheveche brame,Mochuelo Brahman
2719,Athene noctua,Little Owl,Cheveche d'Athena,Mochuelo Europeo
2720,Athene superciliaris,White-browed Owl,Cheveche a sourcils blancs,Mochuelo Malgache
2721,Athene blewitti,Forest Owlet,Cheveche forestiere,Mochuelo de Blewitt
2722,Aegolius funereus,Boreal Owl,Nyctale de Tengmalm,Mochuelo Boreal
2723,Aegolius acadicus,Northern Saw-whet Owl,Petite Nyctale,Mochuelo Cabezon
2724,Aegolius ridgwayi,Unspotted Saw-whet Owl,Nyctale immaculee,Mochuelo Moreno
2725,Aegolius harrisii,Buff-fronted Owl,Nyctale de Harris,Mochuelo Canela
2726,Otus sagittatus,White-fronted Scops-owl,Petit-duc a front blanc,Autillo Frentiblanco
2727,Otus rufescens,Reddish Scops-owl,Petit-duc roussatre,Autillo Rojizo
2728,Otus thilohoffmanni,Serendib Scops-owl,Petit-duc de Serendip,Autillo de Thilo Hoffmann
2729,Otus icterorhynchus,Sandy Scops-owl,Petit-duc a bec jaune,Autillo Piquigualdo
2730,Otus ireneae,Sokoke Scops-owl,Petit-duc d'Irene,Autillo de Sokoke
2731,Otus gurneyi,Giant Scops-owl,Petit-duc de Gurney,Buho de Mindanao
2732,Otus semitorques,Japanese Scops-owl,Petit-duc du Japon,Autillo Japones
2733,Otus lettia,Collared Scops-owl,Petit-duc a collier,Autillo Chino
2734,Otus lempiji,Sunda Scops-owl,Petit-duc de Horsfield,Autillo de La Sonda
2735,Otus bakkamoena,Indian Scops-owl,Petit-duc indien,Autillo Indio
2736,Otus megalotis,Luzon Lowland Scops-owl,Petit-duc de Luçon,Autillo Orejudo de Luzon
2737,Otus nigrorum,Visayan Scops-owl,Petit-duc de Negros,Autillo Orejudo de Negros
2738,Otus everetti,Mindanao Lowland Scops-owl,Petit-duc d'Everett,Autillo Orejudo de Mindanao
2739,Otus fuliginosus,Palawan Scops-owl,Petit-duc de Palawan,Autillo de Palawan
2740,Otus mentawi,Mentawai Scops-owl,Petit-duc des Mentawai,Autillo de Las Mentawai
2741,Otus silvicola,Wallace's Scops-owl,Petit-duc de Wallace,Autillo de Wallace
2742,Otus enganensis,Enggano Scops-owl,Petit-duc d'Enggano,Autillo de La Enggano
2743,Otus umbra,Simeulue Scops-owl,Petit-duc de Simalur,Autillo de La Simeulue
2744,Otus alius,Nicobar Scops-owl,Petit-duc des Nicobar,Autillo de Nicobar
2745,Otus balli,Andaman Scops-owl,Petit-duc des Andaman,Autillo de Andaman
2746,Otus alfredi,Flores Scops-owl,Petit-duc de Flores,Autillo de Flores
2747,Otus spilocephalus,Mountain Scops-owl,Petit-duc tachete,Autillo Montano
2748,Otus angelinae,Javan Scops-owl,Petit-duc de Java,Autillo de Java
2749,Otus brookii,Rajah Scops-owl,Petit-duc radjah,Autillo Raja
2750,Otus pamelae,Arabian Scops-owl,Petit-duc d'Arabie,Autillo arabe
2751,Otus pembaensis,Pemba Scops-owl,Petit-duc de Pemba,Autillo de Pemba
2752,Otus senegalensis,African Scops-owl,Petit-duc africain,Autillo Africano
2753,Otus feae,Annobon Scops-owl,NA,NA
2754,Otus hartlaubi,Sao Tome Scops-owl,Petit-duc de Sao Tome,Autillo de Santo Tome
2755,Otus scops,Eurasian Scops-owl,Petit-duc scops,Autillo Europeo
2756,Otus cyprius,Cyprus Scops-owl,Petit-duc de Chypre,Autillo Chipriota
2757,Otus brucei,Pallid Scops-owl,Petit-duc de Bruce,Autillo Persa
2758,Otus longicornis,Luzon Highland Scops-owl,Petit-duc longicorne,Autillo de Luzon
2759,Otus mirus,Mindanao Highland Scops-owl,Petit-duc de Mindanao,Autillo de Mindanao
2760,Otus mindorensis,Mindoro Scops-owl,Petit-duc de Mindoro,Autillo de Mindoro
2761,Otus rutilus,Madagascar Scops-owl,Petit-duc malgache,Autillo Malgache de Pluvisilva
2762,Otus mayottensis,Mayotte Scops-owl,Petit-duc de Mayotte,Autillo de Mayotte
2763,Otus capnodes,Anjouan Scops-owl,Petit-duc d'Anjouan,Autillo de Anjouan
2764,Otus pauliani,Grand Comoro Scops-owl,Petit-duc du Karthala,Autillo de Las Comoras
2765,Otus moheliensis,Moheli Scops-owl,Petit-duc de Moheli,Autillo de Moheli
2766,Otus socotranus,Socotra Scops-owl,Petit-duc de Socotra,Autillo de Socotra
2767,Otus insularis,Seychelles Scops-owl,Petit-duc scieur,Autillo de Seychelles
2768,Otus sunia,Oriental Scops-owl,Petit-duc d'Orient,Autillo Oriental
2769,Otus elegans,Ryukyu Scops-owl,Petit-duc elegant,Autillo Elegante
2770,Otus siaoensis,Siau Scops-owl,Petit-duc de Siau,Autillo de Siau
2771,Otus manadensis,Sulawesi Scops-owl,Petit-duc de Manado,Autillo de Celebes
2772,Otus mendeni,Banggai Scops-owl,NA,NA
2773,Otus sulaensis,Sula Scops-owl,Petit-duc des Sula,Autillo de Sula
2774,Otus collari,Sangihe Scops-owl,Petit-duc des Sangihe,Autillo de La Sangihe
2775,Otus mantananensis,Mantanani Scops-owl,Petit-duc de Mantanani,Autillo de La Mantanani
2776,Otus magicus,Moluccan Scops-owl,Petit-duc mysterieux,Autillo Moluqueno
2777,Otus jolandae,Rinjani Scops-owl,Petit-duc de Lombok,Autillo de Rinjani
2778,Otus tempestatis,Wetar Scops-owl,NA,NA
2779,Otus beccarii,Biak Scops-owl,Petit-duc de Beccari,Autillo de Biak
2780,Pyrroglaux podargina,Palau Owl,Petit-duc des Palau,Autillo de Las Palau
2781,Ptilopsis leucotis,Northern White-faced Owl,Petit-duc a face blanche,Autillo Cariblanco Norteno
2782,Ptilopsis granti,Southern White-faced Owl,Petit-duc de Grant,Autillo Cariblanco Sureno
2783,Asio stygius,Stygian Owl,Hibou maitre-bois,Buho Negruzco
2784,Asio otus,Northern Long-eared Owl,Hibou moyen-duc,Buho Chico
2785,Asio abyssinicus,African Long-eared Owl,Hibou d'Abyssinie,Buho Abisinio
2786,Asio madagascariensis,Madagascar Long-eared Owl,Hibou malgache,Buho Malgache
2787,Asio clamator,Striped Owl,Hibou strie,Buho Griton
2788,Asio flammeus,Short-eared Owl,Hibou des marais,Buho Campestre
2789,Asio capensis,Marsh Owl,Hibou du Cap,Buho Moro
2790,Pseudoscops grammicus,Jamaican Owl,NA,NA
2791,Nesasio solomonensis,Fearful Owl,NA,NA
2792,Psiloscops flammeolus,Flammulated Owl,Petit-duc nain,Autillo Flamulado
2793,Megascops kennicottii,Western Screech-owl,Petit-duc des montagnes,Autillo Californiano
2794,Megascops seductus,Balsas Screech-owl,Petit-duc du Balsas,Autillo del Balsas
2795,Megascops cooperi,Pacific Screech-owl,Petit-duc de Cooper,Autillo de Manglar
2796,Megascops asio,Eastern Screech-owl,Petit-duc macule,Autillo Yanqui
2797,Megascops trichopsis,Whiskered Screech-owl,Petit-duc a moustaches,Autillo Bigotudo
2798,Megascops choliba,Tropical Screech-owl,Petit-duc choliba,Autillo Choliba
2799,Megascops roboratus,Peruvian Screech-owl,Petit-duc du Perou,Autillo Peruano
2800,Megascops koepckeae,Koepcke's Screech-owl,Petit-duc de Koepcke,Autillo de Koepcke
2801,Megascops clarkii,Bare-shanked Screech-owl,Petit-duc de Clark,Autillo Serrano
2802,Megascops barbarus,Bearded Screech-owl,Petit-duc bride,Autillo Barbudo
2803,Megascops colombianus,Colombian Screech-owl,NA,NA
2804,Megascops ingens,Rufescent Screech-owl,Petit-duc de Salvin,Autillo Palido
2805,Megascops petersoni,Cinnamon Screech-owl,Petit-duc de Peterson,Autillo de Peterson
2806,Megascops marshalli,Cloudforest Screech-owl,Petit-duc de Marshall,Autillo de Marshall
2807,Megascops watsonii,Tawny-bellied Screech-owl,Petit-duc de Watson,Autillo del Amazonas
2808,Megascops guatemalae,Guatemalan Screech-owl,Petit-duc guatemalteque,Autillo Guatemalteco
2809,Megascops vermiculatus,Vermiculated Screech-owl,NA,NA
2810,Megascops hoyi,Yungas Screech-owl,Petit-duc de Hoy,Autillo Fresco
2811,Megascops atricapilla,Black-capped Screech-owl,Petit-duc a meches noires,Autillo Capirotado
2812,Megascops sanctaecatarinae,Long-tufted Screech-owl,Petit-duc a aigrettes longues,Autillo de Santa Catarina
2813,Megascops nudipes,Puerto Rican Screech-owl,NA,NA
2814,Megascops albogularis,White-throated Screech-owl,Petit-duc a gorge blanche,Autillo Gorjiblanco
2815,Megascops gilesi,Santa Marta Screech-owl,Petit-duc de Santa Marta,Autillo de Santa Marta
2816,Margarobyas lawrencii,Bare-legged Screech-owl,Petit-duc de Cuba,Autillo Cubano
2817,Pulsatrix perspicillata,Spectacled Owl,Chouette a lunettes,Lechuzon de Anteojos
2818,Pulsatrix koeniswaldiana,Tawny-browed Owl,Chouette a sourcils jaunes,Lechuzon Acollarado Chico
2819,Pulsatrix melanota,Band-bellied Owl,Chouette a collier,Lechuzon Acollarado Grande
2820,Strix seloputo,Spotted Wood-owl,Chouette des pagodes,Carabo de Las Pagodas
2821,Strix ocellata,Mottled Wood-owl,Chouette ocellee,Carabo Ocelado
2822,Strix leptogrammica,Brown Wood-owl,Chouette leptogramme,Carabo Oriental
2823,Strix aluco,Tawny Owl,Chouette hulotte,Carabo Comun
2824,Strix nivicolum,Himalayan Owl,Chouette de l'Himalaya,Carabo del Himalaya
2825,Strix hadorami,Desert Tawny Owl,Chouette de Hadoram,Carabo arabe
2826,Strix butleri,Omani Owl,Chouette de Butler,Carabo de Oman
2827,Strix occidentalis,Spotted Owl,Chouette tachetee,Carabo Californiano
2828,Strix varia,Barred Owl,Chouette rayee,Carabo Norteamericano
2829,Strix fulvescens,Fulvous Owl,Chouette fauve,Carabo Guatemalteco
2830,Strix hylophila,Rusty-barred Owl,Chouette dryade,Carabo Brasileno
2831,Strix chacoensis,Chaco Owl,Chouette du Chaco,Carabo Chaqueno
2832,Strix rufipes,Rufous-legged Owl,Chouette masquee,Carabo Bataraz
2833,Strix uralensis,Ural Owl,Chouette de l'Oural,Carabo Uralense
2834,Strix nebulosa,Great Grey Owl,Chouette lapone,Carabo Lapon
2835,Strix woodfordii,African Wood-owl,Chouette africaine,Carabo Africano
2836,Jubula lettii,Maned Owl,Duc a criniere,Buho de Crin
2837,Lophostrix cristata,Crested Owl,Duc a aigrettes,Buho Corniblanco
2838,Bubo scandiacus,Snowy Owl,Harfang des neiges,Buho Nival
2839,Bubo virginianus,Great Horned Owl,Grand-duc d'Amerique,Buho Americano
2840,Bubo magellanicus,Magellanic Horned Owl,NA,NA
2841,Bubo bubo,Eurasian Eagle-owl,Grand-duc d'Europe,Buho Real
2842,Bubo ascalaphus,Pharaoh Eagle-owl,Grand-duc ascalaphe,Buho Desertico
2843,Bubo bengalensis,Rock Eagle-owl,Grand-duc indien,Buho Bengali
2844,Bubo capensis,Cape Eagle-owl,Grand-duc du Cap,Buho de El Cabo
2845,Bubo africanus,Spotted Eagle-owl,Grand-duc africain,Buho Africano
2846,Bubo cinerascens,Greyish Eagle-owl,Grand-duc du Sahel,Buho Ceniciento
2847,Bubo poensis,Fraser's Eagle-owl,Grand-duc a aigrettes,Buho de Guinea
2848,Bubo lacteus,Verreaux's Eagle-owl,Grand-duc de Verreaux,Buho Lechoso
2849,Bubo shelleyi,Shelley's Eagle-owl,Grand-duc de Shelley,Buho Barrado
2850,Bubo sumatranus,Barred Eagle-owl,Grand-duc bruyant,Buho Malayo
2851,Bubo nipalensis,Spot-bellied Eagle-owl,Grand-duc du Nepal,Buho Nepali
2852,Bubo coromandus,Dusky Eagle-owl,Grand-duc de Coromandel,Buho de Coromandel
2853,Bubo leucostictus,Akun Eagle-owl,Grand-duc tachete,Buho de Akun
2854,Bubo philippensis,Philippine Eagle-owl,Grand-duc des Philippines,Buho Filipino
2855,Bubo blakistoni,Blakiston's Eagle-owl,NA,NA
2856,Ketupa zeylonensis,Brown Fish-owl,Ketoupa brun,Buho Pescador de Ceilan
2857,Ketupa flavipes,Tawny Fish-owl,Ketoupa roux,Buho Pescador Leonado
2858,Ketupa ketupu,Buffy Fish-owl,Ketoupa malais,Buho Pescador Malayo
2859,Scotopelia peli,Pel's Fishing-owl,Chouette-pecheuse de Pel,Carabo Pescador Comun
2860,Scotopelia ussheri,Rufous Fishing-owl,Chouette-pecheuse rousse,Carabo Pescador Rojizo
2861,Scotopelia bouvieri,Vermiculated Fishing-owl,Chouette-pecheuse de Bouvier,Carabo Pescador Vermiculado
2862,Ciccaba virgata,Mottled Owl,Chouette mouchetee,Carabo Cafe
2863,Ciccaba nigrolineata,Black-and-white Owl,Chouette a lignes noires,Carabo Blanquinegro
2864,Ciccaba huhula,Black-banded Owl,Chouette huhul,Carabo Negro
2865,Ciccaba albitarsis,Rufous-banded Owl,Chouette fasciee,Carabo Patiblanco
2866,Cathartes aura,Turkey Vulture,Urubu a tete rouge,Aura Gallipavo
2867,Cathartes burrovianus,Lesser Yellow-headed Vulture,Urubu a tete jaune,Aura Sabanera
2868,Cathartes melambrotus,Greater Yellow-headed Vulture,Grand Urubu,Aura Selvatica
2869,Coragyps atratus,American Black Vulture,Urubu noir,Zopilote Negro
2870,Sarcoramphus papa,King Vulture,Sarcoramphe roi,Zopilote Rey
2871,Gymnogyps californianus,California Condor,Condor de Californie,Condor Californiano
2872,Vultur gryphus,Andean Condor,Condor des Andes,Condor Andino
2873,Sagittarius serpentarius,Secretarybird,Messager sagittaire,Secretario
2874,Pandion haliaetus,Osprey,Balbuzard pecheur,aguila Pescadora
2875,Elanus caeruleus,Black-winged Kite,elanion blanc,Elanio Comun
2876,Elanus axillaris,Black-shouldered Kite,elanion d'Australie,Elanio Australiano
2877,Elanus leucurus,White-tailed Kite,elanion a queue blanche,Elanio Maromero
2878,Elanus scriptus,Letter-winged Kite,elanion lettre,Elanio Escrito
2879,Gampsonyx swainsonii,Pearl Kite,elanion perle,Elanio Enano
2880,Chelictinia riocourii,Scissor-tailed Kite,elanion naucler,Elanio Golondrina
2881,Leptodon cayanensis,Grey-headed Kite,Bec-en-croc de Cayenne,Milano Cabecigris
2882,Leptodon forbesi,White-collared Kite,Bec-en-croc de Forbes,Milano Acollarado
2883,Chondrohierax uncinatus,Hook-billed Kite,Bec-en-croc de Temminck,Milano Picogarfio
2884,Chondrohierax wilsonii,Cuban Kite,NA,NA
2885,Elanoides forficatus,Swallow-tailed Kite,Naucler a queue fourchue,Elanio Tijereta
2886,Pernis apivorus,European Honey-buzzard,Bondree apivore,Abejero Europeo
2887,Pernis ptilorhynchus,Oriental Honey-buzzard,Bondree orientale,Abejero Oriental
2888,Pernis celebensis,Sulawesi Honey-buzzard,Bondree des Celebes,Abejero de Celebes
2889,Pernis steerei,Philippine Honey-buzzard,Bondree de Steere,Abejero de Filipinas
2890,Hamirostra melanosternon,Black-breasted Buzzard,Bondree a plastron,Milano Pechinegro
2891,Lophoictinia isura,Square-tailed Kite,Bondree a queue carree,Milano Colicuadrado
2892,Henicopernis longicauda,Long-tailed Honey-buzzard,Bondree a longue queue,Milano Colilargo
2893,Henicopernis infuscatus,Black Honey-buzzard,Bondree noire,Milano de Nueva Bretana
2894,Aviceda cuculoides,African Cuckoo-hawk,Baza coucou,Baza Africano
2895,Aviceda madagascariensis,Madagascar Cuckoo-hawk,Baza malgache,Baza Malgache
2896,Aviceda jerdoni,Jerdon's Baza,Baza de Jerdon,Baza Oriental
2897,Aviceda subcristata,Pacific Baza,Baza huppe,Baza Australiano
2898,Aviceda leuphotes,Black Baza,Baza huppard,Baza Negro
2899,Eutriorchis astur,Madagascar Serpent-eagle,Firasabe de Madagascar,Culebrera Azor
2900,Polyboroides typus,African Harrier-hawk,Gymnogene d'Afrique,Aguilucho Caricalvo Comun
2901,Polyboroides radiatus,Madagascar Harrier-hawk,Gymnogene de Madagascar,Aguilucho Caricalvo Malgache
2902,Gypohierax angolensis,Palm-nut Vulture,Palmiste africain,Buitre Palmero
2903,Gypaetus barbatus,Bearded Vulture,Gypaete barbu,Quebrantahuesos
2904,Neophron percnopterus,Egyptian Vulture,Percnoptere d'egypte,Alimoche Comun
2905,Spilornis cheela,Crested Serpent-eagle,Serpentaire bacha,Culebrera Chiila
2906,Spilornis holospilus,Philippine Serpent-eagle,Serpentaire des Philippines,Culebrera Filipina
2907,Spilornis klossi,Great Nicobar Serpent-eagle,Serpentaire des Nicobar,Culebrera de Nicobar
2908,Spilornis kinabaluensis,Kinabalu Serpent-eagle,Serpentaire du Kinabalu,Culebrera de Kinabalu
2909,Spilornis rufipectus,Sulawesi Serpent-eagle,Serpentaire des Celebes,Culebrera de Celebes
2910,Spilornis elgini,Andaman Serpent-eagle,Serpentaire des Andaman,Culebrera de Andaman
2911,Dryotriorchis spectabilis,Congo Serpent-eagle,Serpentaire du Congo,Culebrera Congolena
2912,Terathopius ecaudatus,Bateleur,Bateleur des savanes,aguila Volatinera
2913,Pithecophaga jefferyi,Philippine Eagle,Pithecophage des Philippines,aguila Monera
2914,Circaetus gallicus,Short-toed Snake-eagle,Circaete Jean-le-Blanc,Culebrera Europea
2915,Circaetus beaudouini,Beaudouin's Snake-eagle,Circaete de Beaudouin,Culebrera Sudanesa
2916,Circaetus pectoralis,Black-chested Snake-eagle,Circaete a poitrine noire,Culebrera Pechinegra
2917,Circaetus cinereus,Brown Snake-eagle,Circaete brun,Culebrera Sombria
2918,Circaetus fasciolatus,Southern Banded Snake-eagle,Circaete barre,Culebrera Barrada
2919,Circaetus cinerascens,Western Banded Snake-eagle,Circaete cendre,Culebrera Coliblanca
2920,Sarcogyps calvus,Red-headed Vulture,Vautour royal,Buitre Cabecirrojo
2921,Trigonoceps occipitalis,White-headed Vulture,Vautour a tete blanche,Buitre Cabeciblanco
2922,Necrosyrtes monachus,Hooded Vulture,Vautour charognard,Alimoche Sombrio
2923,Gyps himalayensis,Himalayan Griffon,Vautour de l'Himalaya,Buitre del Himalaya
2924,Gyps bengalensis,White-rumped Vulture,Vautour chaugoun,Buitre Dorsiblanco Asiatico
2925,Gyps africanus,White-backed Vulture,Vautour africain,Buitre Dorsiblanco Africano
2926,Gyps indicus,Indian Vulture,Vautour indien,Buitre Indio
2927,Gyps tenuirostris,Slender-billed Vulture,Vautour a long bec,Buitre Picofino
2928,Gyps coprotheres,Cape Vulture,Vautour chassefiente,Buitre de El Cabo
2929,Gyps rueppelli,Rüppell's Vulture,Vautour de Rüppell,Buitre Moteado
2930,Gyps fulvus,Griffon Vulture,Vautour fauve,Buitre Leonado
2931,Aegypius monachus,Cinereous Vulture,Vautour moine,Buitre Negro
2932,Torgos tracheliotos,Lappet-faced Vulture,Vautour oricou,Buitre Torgo
2933,Macheiramphus alcinus,Bat Hawk,Alcin des chauves-souris,Milano Murcielaguero
2934,Harpyopsis novaeguineae,Papuan Eagle,Harpie de Nouvelle-Guinee,Arpia Papu
2935,Morphnus guianensis,Crested Eagle,Harpie huppee,Arpia Menor
2936,Harpia harpyja,Harpy Eagle,Harpie feroce,Arpia Mayor
2937,Stephanoaetus coronatus,Crowned Eagle,Aigle couronne,aguila Coronada
2938,Nisaetus nipalensis,Mountain Hawk-eagle,Aigle montagnard,aguila Montanesa
2939,Nisaetus bartelsi,Javan Hawk-eagle,Aigle de Java,aguila de Java
2940,Nisaetus nanus,Wallace's Hawk-eagle,Aigle de Wallace,aguila de Wallace
2941,Nisaetus alboniger,Blyth's Hawk-eagle,Aigle de Blyth,aguila de Indonesia
2942,Nisaetus lanceolatus,Sulawesi Hawk-eagle,Aigle des Celebes,aguila de Celebes
2943,Nisaetus philippensis,North Philippine Hawk-eagle,Aigle des Philippines,aguila de Filipinas
2944,Nisaetus pinskeri,South Philippine Hawk-eagle,Aigle de Pinsker,aguila de Pinsker
2945,Nisaetus cirrhatus,Changeable Hawk-eagle,Aigle huppe,aguila Variable
2946,Nisaetus floris,Flores Hawk-eagle,Aigle de Flores,aguila de Flores
2947,Lophotriorchis kienerii,Rufous-bellied Eagle,Aigle a ventre roux,aguila Ventrirroja
2948,Polemaetus bellicosus,Martial Eagle,Aigle martial,aguila Marcial
2949,Spizaetus tyrannus,Black Hawk-eagle,Aigle tyran,aguila Negra
2950,Spizaetus melanoleucus,Black-and-white Hawk-eagle,Aigle noir et blanc,aguila Blanquinegra
2951,Spizaetus ornatus,Ornate Hawk-eagle,Aigle orne,aguila Galana
2952,Spizaetus isidori,Black-and-chestnut Eagle,Aigle d'Isidore,aguila Poma
2953,Ictinaetus malaiensis,Black Eagle,Aigle noir,aguila Milana
2954,Lophaetus occipitalis,Long-crested Eagle,Aigle huppard,aguila Crestilarga
2955,Clanga pomarina,Lesser Spotted Eagle,Aigle pomarin,aguila Pomerana
2956,Clanga hastata,Indian Spotted Eagle,Aigle lanceole,aguila India
2957,Clanga clanga,Greater Spotted Eagle,Aigle criard,aguila Moteada
2958,Aquila rapax,Tawny Eagle,Aigle ravisseur,aguila Rapaz
2959,Aquila nipalensis,Steppe Eagle,Aigle des steppes,aguila Esteparia
2960,Aquila adalberti,Spanish Imperial Eagle,Aigle iberique,aguila Imperial Iberica
2961,Aquila heliaca,Eastern Imperial Eagle,Aigle imperial,aguila Imperial Oriental
2962,Aquila gurneyi,Gurney's Eagle,Aigle de Gurney,aguila Moluquena
2963,Aquila chrysaetos,Golden Eagle,Aigle royal,aguila Real
2964,Aquila audax,Wedge-tailed Eagle,Aigle d'Australie,aguila Audaz
2965,Aquila verreauxii,Verreaux's Eagle,Aigle de Verreaux,aguila Cafre
2966,Aquila fasciata,Bonelli's Eagle,Aigle de Bonelli,aguila Perdicera
2967,Aquila spilogaster,African Hawk-eagle,Aigle fascie,aguila Estriada
2968,Aquila africana,Cassin's Hawk-eagle,Aigle de Cassin,aguila Congolena
2969,Hieraaetus wahlbergi,Wahlberg's Eagle,Aigle de Wahlberg,aguila de Wahlberg
2970,Hieraaetus pennatus,Booted Eagle,Aigle botte,aguila Calzada
2971,Hieraaetus weiskei,Pygmy Eagle,Aigle de Weiske,aguila Papu
2972,Hieraaetus morphnoides,Little Eagle,Aigle nain,aguila Chica
2973,Hieraaetus ayresii,Ayres's Hawk-eagle,Aigle d'Ayres,aguila de Ayres
2974,Kaupifalco monogrammicus,Lizard Buzzard,Autour unibande,Busardo Gavilan
2975,Melierax metabates,Dark Chanting-goshawk,Autour sombre,Azor Lagartijero Oscuro
2976,Melierax canorus,Pale Chanting-goshawk,Autour chanteur,Azor Lagartijero Claro
2977,Melierax poliopterus,Eastern Chanting-goshawk,Autour a ailes grises,Azor Lagartijero Somali
2978,Micronisus gabar,Gabar Goshawk,Autour gabar,Gavilan Gabar
2979,Harpagus bidentatus,Double-toothed Kite,Harpage bidente,Milano Bidentado
2980,Harpagus diodon,Rufous-thighed Kite,Harpage diodon,Milano Muslirrufo
2981,Circus aeruginosus,Western Marsh-harrier,Busard des roseaux,Aguilucho Lagunero Occidental
2982,Circus spilonotus,Eastern Marsh-harrier,Busard d'Orient,Aguilucho Lagunero Oriental
2983,Circus spilothorax,Papuan Harrier,Busard de Nouvelle-Guinee,Aguilucho Lagunero de Papua
2984,Circus approximans,Swamp Harrier,Busard de Gould,Aguilucho Lagunero del Pacifico
2985,Circus ranivorus,African Marsh-harrier,Busard grenouillard,Aguilucho Lagunero Etiopico
2986,Circus maillardi,Reunion Marsh-harrier,Busard de Maillard,Aguilucho Lagunero de Reunion
2987,Circus macrosceles,Madagascar Marsh-harrier,Busard de Madagascar,Aguilucho Lagunero de Madagascar
2988,Circus buffoni,Long-winged Harrier,Busard de Buffon,Aguilucho de Azara
2989,Circus assimilis,Spotted Harrier,Busard tachete,Aguilucho Moteado
2990,Circus maurus,Black Harrier,Busard maure,Aguilucho Negro
2991,Circus cyaneus,Hen Harrier,Busard Saint-Martin,Aguilucho Palido
2992,Circus hudsonius,Northern Harrier,Busard des marais,Aguilucho de Hudson
2993,Circus cinereus,Cinereous Harrier,Busard bariole,Aguilucho Vari
2994,Circus macrourus,Pallid Harrier,Busard pale,Aguilucho Papialbo
2995,Circus melanoleucos,Pied Harrier,Busard tchoug,Aguilucho Pio
2996,Circus pygargus,Montagu's Harrier,Busard cendre,Aguilucho Cenizo
2997,Accipiter poliogaster,Grey-bellied Goshawk,Autour a ventre gris,Azor Ventrigris
2998,Accipiter trivirgatus,Crested Goshawk,Autour huppe,Azor Monudo
2999,Accipiter griseiceps,Sulawesi Goshawk,Autour des Celebes,Gavilan de Celebes
3000,Accipiter toussenelii,Red-chested Goshawk,Autour de Toussenel,Azor de Toussenel
3001,Accipiter tachiro,African Goshawk,Autour tachiro,Azor Tachiro
3002,Accipiter castanilius,Chestnut-flanked Sparrowhawk,Autour a flancs roux,Gavilan Flanquirrojo
3003,Accipiter badius,Shikra,epervier shikra,Gavilan Chikra
3004,Accipiter butleri,Nicobar Sparrowhawk,epervier des Nicobar,Gavilan de Nicobar
3005,Accipiter brevipes,Levant Sparrowhawk,epervier a pieds courts,Gavilan Griego
3006,Accipiter soloensis,Chinese Sparrowhawk,epervier de Horsfield,Gavilan Ranero
3007,Accipiter francesiae,Frances's Sparrowhawk,epervier de Frances,Gavilan de Frances
3008,Accipiter trinotatus,Spot-tailed Goshawk,epervier a queue tachetee,Gavilan Colipinto
3009,Accipiter sylvestris,Lesser Sundas Goshawk,NA,NA
3010,Accipiter hiogaster,Variable Goshawk,Autour variable,Azor Variable
3011,Accipiter novaehollandiae,Grey Goshawk,Autour blanc,Azor Gris
3012,Accipiter poliocephalus,Grey-headed Goshawk,Autour a tete grise,Gavilan Cabecigris
3013,Accipiter princeps,New Britain Goshawk,Autour de Mayr,Azor de Nueva Bretana
3014,Accipiter fasciatus,Brown Goshawk,Autour australien,Azor Australiano
3015,Accipiter melanochlamys,Black-mantled Goshawk,Autour a manteau noir,Gavilan Rufinegro
3016,Accipiter albogularis,Pied Goshawk,Autour pie,Gavilan Pio
