,species,English.name,French.name,Spanish.name
64,Aepypodius bruijnii,Waigeo Brush-turkey,Talegalle de Bruijn,Talegalo de Waigeo
65,Talegalla cuvieri,Red-billed Brush-turkey,Talegalle de Cuvier,Talegalo de Cuvier
66,Talegalla fuscirostris,Black-billed Brush-turkey,Talegalle a bec fonce,Talegalo Piquinegro
67,Talegalla jobiensis,Collared Brush-turkey,Talegalle de Jobi,Talegalo Patirrojo
68,Leipoa ocellata,Malleefowl,Leipoa ocelle,Talegalo Leipoa
69,Macrocephalon maleo,Maleo,Megapode maleo,Talegalo Maleo
70,Eulipoa wallacei,Moluccan Scrubfowl,Megapode de Wallace,Talegalo de Wallace
71,Megapodius nicobariensis,Nicobar Scrubfowl,Megapode des Nicobar,Talegalo de Nicobar
72,Megapodius cumingii,Philippine Scrubfowl,Megapode des Philippines,Talegalo Filipino
73,Megapodius bernsteinii,Sula Scrubfowl,Megapode de Bernstein,Talegalo de Sula
74,Megapodius tenimberensis,Tanimbar Scrubfowl,Megapode des Tanimbar,Talegalo de Tanimbar
75,Megapodius layardi,Vanuatu Scrubfowl,Megapode de Layard,Talegalo de Nuevas Hebridas
76,Megapodius laperouse,Micronesian Scrubfowl,Megapode de La Perouse,Talegalo de Las Marianas
77,Megapodius pritchardii,Tongan Scrubfowl,Megapode de Pritchard,Talegalo de Tonga
78,Megapodius freycinet,Dusky Scrubfowl,Megapode de Freycinet,Talegalo de Freycinet
79,Megapodius geelvinkianus,Biak Scrubfowl,Megapode de Geelvink,Talegalo de Biak
80,Megapodius decollatus,New Guinea Scrubfowl,Megapode de Nouvelle-Guinee,Talegalo Papu
81,Megapodius eremita,Melanesian Scrubfowl,Megapode melanesien,Talegalo Eremita
82,Megapodius reinwardt,Orange-footed Scrubfowl,Megapode de Reinwardt,Talegalo de Reinwardt
83,Chamaepetes unicolor,Black Guan,Penelope unicolore,Pava Negra
84,Chamaepetes goudotii,Sickle-winged Guan,Penelope de Goudot,Pava Falcialar
85,Penelopina nigra,Highland Guan,Penelope pajuil,Pava Pajuil
86,Penelope argyrotis,Band-tailed Guan,Penelope a queue barree,Pava Camata
87,Penelope barbata,Bearded Guan,Penelope barbue,Pava Barbuda
88,Penelope ortoni,Baudo Guan,Penelope d'Orton,Pava de Orton
89,Penelope montagnii,Andean Guan,Penelope des Andes,Pava Andina
90,Penelope marail,Marail Guan,Penelope marail,Pava Marail
91,Penelope superciliaris,Rusty-margined Guan,Penelope peoa,Pava Yacupemba
92,Penelope dabbenei,Red-faced Guan,Penelope de Dabbene,Pava Carirroja
93,Penelope jacquacu,Spix's Guan,Penelope de Spix,Pava Amazonica
94,Penelope purpurascens,Crested Guan,Penelope panachee,Pava Cojolita
95,Penelope perspicax,Cauca Guan,Penelope de Cauca,Pava del Cauca
96,Penelope albipennis,White-winged Guan,Penelope a ailes blanches,Pava Aliblanca
97,Penelope obscura,Dusky-legged Guan,Penelope yacouhou,Pava Oscura
98,Penelope pileata,White-crested Guan,Penelope a poitrine rousse,Pava Crestiblanca
99,Penelope ochrogaster,Chestnut-bellied Guan,Penelope a ventre roux,Pava Ventrirrufa
100,Penelope jacucaca,White-browed Guan,Penelope a front blanc,Pava Yacucaca
101,Pipile pipile,Trinidad Piping-guan,Penelope siffleuse,Pava de Trinidad
