cur_alternate_com_name,sci_name
Cuclillo Esmeralda Africano (insularum),Chrysococcyx cupreus insularum
Cuclillo Piquilargo,Chrysococcyx megarhynchus
Cuclillo de Horsfield,Chrysococcyx basalis
Cuclillo Orejinegro,Chrysococcyx osculans
Cuclillo Gorjirrojo,Chrysococcyx ruficollis
Cuclillo Broncineo,Chrysococcyx lucidus
Cuclillo Broncineo (harterti),Chrysococcyx lucidus harterti
Cuclillo Broncineo (layardi),Chrysococcyx lucidus layardi
Cuclillo Broncineo (lucidus),Chrysococcyx lucidus lucidus
Cuclillo Broncineo (plagosus),Chrysococcyx lucidus plagosus
Cuclillo Orejiblanco,Chrysococcyx meyerii
Cuclillo Menudo,Chrysococcyx minutillus
Cuclillo Menudo (grupo minutillus),Chrysococcyx minutillus [minutillus Group]
Cuclillo Menudo (grupo poecilurus),Chrysococcyx minutillus [poecilurus Group]
Cuclillo Menudo (rufomerus/salvadorii),Chrysococcyx minutillus rufomerus/salvadorii
Cuclillo Menudo (crassirostris),Chrysococcyx minutillus crassirostris
Cuclillo Broncineo/Menudo,Chrysococcyx lucidus/minutillus
Cuclillo (Grupo Broncineo/Menudo/Orejiblanco/Gorjirrojo/Horsfield) sp.,Chrysococcyx sp. (bronze-cuckoo sp.)
Cuclillo (Chrysococcyx) sp.,Chrysococcyx sp.
Cuco Palido,Cacomantis pallidus
Koel Coroniblanco,Cacomantis leucolophus
Cuco Ventricastano,Cacomantis castaneiventris
Cuco Flabeliforme,Cacomantis flabelliformis
Cuco Bayo,Cacomantis sonneratii
Cuco Planidero,Cacomantis merulinus
Cuco Pechigris,Cacomantis passerinus
Cuco Planidero/Pechigris,Cacomantis merulinus/passerinus
Cuco Moluqueno,Cacomantis aeruginosus
Cuco Varioloso,Cacomantis variolosus
Cuco Varioloso (grupo sepulcralis),Cacomantis variolosus [sepulcralis Group]
Cuco Varioloso (grupo variolosus),Cacomantis variolosus [variolosus Group]
Cacomantis sp.,Cacomantis sp.
Cuco Colilargo Oscuro,Cercococcyx mechowi
Cuco Colilargo Olivaceo,Cercococcyx olivinus
Cuco Colilargo Montano,Cercococcyx montanus
Cuco Colilargo Montano (montanus),Cercococcyx montanus montanus
Cuco Colilargo Montano (patulus),Cercococcyx montanus patulus
Cuco colilargo sp.,Cercococcyx sp.
Cuclillo Drongo Coliahorquillado,Surniculus dicruroides
Cuclillo Drongo Filipino,Surniculus velutinus
Cuclillo Drongo Colitruncado,Surniculus lugubris
Cuclillo Drongo Colitruncado/Coliahorquillado,Surniculus dicruroides/lugubris
Cuclillo Drongo Moluqueno,Surniculus musschenbroeki
Cuco Bigotudo,Hierococcyx vagans
Cuco Grande,Hierococcyx sparverioides
Cuco Oscuro,Hierococcyx bocki
Cuco Grande/Oscuro,Hierococcyx sparverioides/bocki
Cuco Chikra,Hierococcyx varius
Cuco Grande/Chikra,Hierococcyx sparverioides/varius
Cuco Ventrirrojo,Hierococcyx hyperythrus
Cuco Filipino,Hierococcyx pectoralis
Cuco Silbador,Hierococcyx nisicolor
Cuco Huidizo,Hierococcyx fugax
Hierococcyx sp.,Hierococcyx sp.
Cuco Negro,Cuculus clamosus
Cuco Negro (gabonensis),Cuculus clamosus gabonensis
Cuco Negro (clamosus),Cuculus clamosus clamosus
Cuco Solitario,Cuculus solitarius
Cuco Chico,Cuculus poliocephalus
Cuco de Celebes,Cuculus crassirostris
Cuco Alicorto,Cuculus micropterus
Cuco Chico/Alicorto,Cuculus poliocephalus/micropterus
Cuco Barbiblanco,Cuculus gularis
Cuco Malgache,Cuculus rochii
Cuco del Himalaya,Cuculus saturatus
Cuco de La Sonda,Cuculus lepidus
Cuco Comun,Cuculus canorus
Cuco Barbiblanco/Comun,Cuculus gularis/canorus
Cuco Oriental,Cuculus optatus
Cuco Chico/Oriental,Cuculus poliocephalus/optatus
Cuco del Himalaya/Oriental,Cuculus saturatus/optatus
Cuco Comun/Oriental,Cuculus canorus/optatus
Cuco (Cuculus) sp.,Cuculus sp.
Cuculidae sp.,Cuculidae sp.
Podargo Australiano,Podargus strigoides
Podargo Ocelado,Podargus ocellatus
Podargo Ocelado (grupo ocellatus),Podargus ocellatus [ocellatus Group]
Podargo Ocelado (plumiferus),Podargus ocellatus plumiferus
Podargo Papu,Podargus papuensis
Podargo de Las Salomon,Rigidipenna inexpectata
Podargo Orejudo,Batrachostomus auritus
Podargo del Dulit,Batrachostomus harterti
Podargo Filipino,Batrachostomus septimus
Podargo Estrellado,Batrachostomus stellatus
Podargo de Ceilan,Batrachostomus moniliger
Podargo Colilargo,Batrachostomus hodgsoni
Podargo Colicorto,Batrachostomus poliolophus
Podargo de Borneo,Batrachostomus mixtus
Podargo de Java,Batrachostomus javensis
Podargo de Blyth,Batrachostomus affinis
Podargo de Blyth (continentalis),Batrachostomus affinis continentalis
Podargo de Blyth (affinis),Batrachostomus affinis affinis
Podargo de Palawan,Batrachostomus chaseni
Podargo Cornudo,Batrachostomus cornutus
Podargo (Batrachostomus) sp.,Batrachostomus sp.
Podargo sp.,Podargidae sp.
Chotacabras Argos,Eurostopodus argus
Chotacabras de Las Salomon,Eurostopodus nigripennis
Chotacabras de Nueva Caledonia,Eurostopodus exul
Chotacabras Bigotudo,Eurostopodus mystacalis
Chotacabras Diabolico,Eurostopodus diabolicus
Chotacabras Papu,Eurostopodus papuensis
Chotacabras de Archbold,Eurostopodus archboldi
Chotacabras de Temminck,Lyncornis temminckii
Chotacabras Orejudo,Lyncornis macrotis
Chotacabras Acollarado,Gactornis enarratus
Anapero nacunda,Chordeiles nacunda
Anapero Menudo,Chordeiles pusillus
Anapero Blanco,Chordeiles rupestris
Anapero Garrapena,Chordeiles acutipennis
Anapero Yanqui,Chordeiles minor
Anapero Querequete,Chordeiles gundlachii
Anapero (Chordeiles) sp.,Chordeiles sp.
Anapero Colicorto,Lurocalis semitorquatus
Anapero Colicorto (grupo semitorquatus),Lurocalis semitorquatus [semitorquatus Group]
Anapero Colicorto (nattereri),Lurocalis semitorquatus nattereri
Anapero Ventrirrufo,Lurocalis rufiventris
Anapero Colibandeado,Nyctiprogne leucopyga
Anapero Colibandeado (grupo leucopyga),Nyctiprogne leucopyga [leucopyga Group]
Anapero Colibandeado (latifascia),Nyctiprogne leucopyga latifascia
Anapero de Bahia,Nyctiprogne vielliardi
Chotacabras Negruzco,Nyctipolus nigrescens
Chotacabras Pigmeo,Nyctipolus hirundinaceus
Chotacabras Serrano,Systellura longirostris
Chotacabras Serrano (roraimae),Systellura longirostris roraimae
Chotacabras Serrano (ruficervix),Systellura longirostris ruficervix
Chotacabras Serrano (atripunctata),Systellura longirostris atripunctata
Chotacabras Serrano (bifasciata/patagonica),Systellura longirostris bifasciata/patagonica
Chotacabras Serrano (longirostris),Systellura longirostris longirostris
Chotacabras Serrano (mochaensis),Systellura longirostris mochaensis
Chotacabras nanarca,Systellura decussata
Chotacabras Pauraque,Nyctidromus albicollis
Chotacabras de Anthony,Nyctidromus anthonyi
Chotacabras Aliblanco,Eleothreptus candicans
Chotacabras Pantanero,Eleothreptus anomalus
Chotacabras Golondrina,Uropsalis segmentata
Chotacabras Lira,Uropsalis lyra
Chotacabras de Todd,Setopagis heterura
Chotacabras Chico,Setopagis parvula
Chotacabras del Roraima,Setopagis whitelyi
Chotacabras Guayanes,Setopagis maculosa
Chotacabras Coliblanco,Hydropsalis cayennensis
Chotacabras Colipinto,Hydropsalis maculicaudus
Chotacabras de Escalera,Hydropsalis climacocerca
Chotacabras Tijereta,Hydropsalis torquata
Hydropsalis sp.,Hydropsalis sp.
Chotacabras Coludo,Macropsalis forcipata
Chotacabras Jamaicano,Siphonorhis americana
Chotacabras Torico,Siphonorhis brewsteri
Chotacabras Prio,Nyctiphrynus mcleodii
Chotacabras Yucateco,Nyctiphrynus yucatanicus
Chotacabras Ocelado,Nyctiphrynus ocellatus
Chotacabras del Choco,Nyctiphrynus rosenbergi
Chotacabras Pachacua,Phalaenoptilus nuttallii
Chotacabras de La Carolina,Antrostomus carolinensis
Chotacabras Colorado,Antrostomus rufus
Chotacabras Colorado (grupo rufus),Antrostomus rufus [rufus Group]
Chotacabras Colorado (otiosus),Antrostomus rufus otiosus
Chotacabras Colorado (minimus),Antrostomus rufus minimus
Chotacabras Cubano,Antrostomus cubanensis
Chotacabras Cubano (insulaepinorum),Antrostomus cubanensis cubanensis/insulaepinorum
Chotacabras Cubano (de La Espanola),Antrostomus cubanensis ekmani
Chotacabras Ticuer,Antrostomus salvini
Chotacabras Guatemalteco,Antrostomus badius
Chotacabras Coladeseda,Antrostomus sericocaudatus
Chotacabras Tucuchillo,Antrostomus ridgwayi
Chotacabras Cuerporruin Norteno,Antrostomus vociferus
Chotacabras Fuliginoso,Antrostomus saturatus
Chotacabras Cuerporruin Mexicano,Antrostomus arizonae
Chotacabras Cuerporruin Norteno/Cuerporruin Mexicano,Antrostomus vociferus/arizonae
Chotacabras Puertorriqueno,Antrostomus noctitherus
Antrostomus sp.,Antrostomus sp.
Chotacabras Cuelgacintas,Caprimulgus vexillarius
Chotacabras Portaestandarte,Caprimulgus longipennis
Chotacabras Bimaculado,Caprimulgus binotatus
Chotacabras Cuellirrojo,Caprimulgus ruficollis
Chotacabras de Jungla,Caprimulgus indicus
Chotacabras Jotaka,Caprimulgus jotaka
Chotacabras de Jungla/Jotaka,Caprimulgus indicus/jotaka
Chotacabras de Palaos,Caprimulgus phalaena
Chotacabras Europeo,Caprimulgus europaeus
Chotacabras Cuellirrojo/Europeo,Caprimulgus ruficollis/europaeus
Chotacabras Oscuro,Caprimulgus fraenatus
Chotacabras Carirrojo,Caprimulgus rufigena
Chotacabras Egipcio,Caprimulgus aegyptius
Chotacabras Nubio,Caprimulgus nubicus
Chotacabras Nubio (nubicus/tamaricis),Caprimulgus nubicus nubicus/tamaricis
Chotacabras Nubio (torridus),Caprimulgus nubicus torridus
Chotacabras Nubio (jonesi),Caprimulgus nubicus jonesi
Chotacabras de Mahratta,Caprimulgus mahrattensis
Chotacabras Dorado,Caprimulgus eximius
Chotacabras Macruro,Caprimulgus macrurus
Chotacabras de Timor (forma no descrita),Caprimulgus [undescribed Timor form]
Chotacabras de Andaman,Caprimulgus andamanicus
Chotacabras de Mees,Caprimulgus meesi
Chotacabras Maraja,Caprimulgus atripennis
Chotacabras Filipino,Caprimulgus manillensis
Chotacabras de Celebes,Caprimulgus celebensis
Chotacabras Espinero,Caprimulgus donaldsoni
Chotacabras Hombronegro,Caprimulgus nigriscapularis
Chotacabras Musico,Caprimulgus pectoralis
Chotacabras Montano,Caprimulgus poliocephalus
Chotacabras del Rwenzori,Caprimulgus ruwenzorii
Chotacabras Hindu,Caprimulgus asiaticus
Chotacabras Malgache,Caprimulgus madagascariensis
Chotacabras del Natal,Caprimulgus natalensis
Chotacabras Sencillo,Caprimulgus inornatus
Chotacabras Estrellado,Caprimulgus stellatus
Chotacabras de Nechisar,Caprimulgus solala
Chotacabras de Sabana,Caprimulgus affinis
Chotacabras Pecoso,Caprimulgus tristigma
Chotacabras de Bonaparte,Caprimulgus concretus
Chotacabras de Salvadori,Caprimulgus pulchellus
Chotacabras de Prigogine,Caprimulgus prigoginei
Chotacabras de Bates,Caprimulgus batesi
Chotacabras Rabudo,Caprimulgus climacurus
Chotacabras Colifino,Caprimulgus clarus
Chotacabras de Fosse,Caprimulgus fossii
Chotacabras (Caprimulgus) sp.,Caprimulgus sp.
Caprimulgidae sp.,Caprimulgidae sp.
Nictibio Grande,Nyctibius grandis
Nictibio Colilargo,Nyctibius aethereus
Nictibio Urutau,Nyctibius griseus
Nictibio Jamaicano,Nyctibius jamaicensis
Nictibio Jamaicano (grupo mexicanus),Nyctibius jamaicensis [mexicanus Group]
Nictibio Jamaicano (jamaicensis/abbotti),Nyctibius jamaicensis jamaicensis/abbotti
Nictibio Andino,Nyctibius maculosus
Nictibio Aliblanco,Nyctibius leucopterus
Nictibio Rufo,Nyctibius bracteatus
Nictibio sp.,Nyctibius sp.
Guacharo,Steatornis caripensis
Egotelo de Nueva Caledonia,Aegotheles savesi
Egotelo Grande,Aegotheles insignis
Egotelo de Rand,Aegotheles tatei
Egotelo de Wallace,Aegotheles wallacii
Egotelo de Archbold,Aegotheles archboldi
Egotelo Montano,Aegotheles albertisi
Egotelo Moluqueno,Aegotheles crinifrons
Egotelo Australiano,Aegotheles cristatus
Egotelo Afin,Aegotheles affinis
Egotelo Barrado,Aegotheles bennettii
Egotelo Barrado (bennettii/wiedenfeldi),Aegotheles bennettii bennettii/wiedenfeldi
Egotelo Barrado (terborghi),Aegotheles bennettii terborghi
Egotelo Barrado (plumifer),Aegotheles bennettii plumifer
Egotelo sp.,Aegotheles sp.
Vencejo Negro,Cypseloides niger
Vencejo Negro (borealis),Cypseloides niger borealis
Vencejo Negro (costaricensis),Cypseloides niger costaricensis
Vencejo Negro (niger),Cypseloides niger niger
Vencejo Pechiblanco,Cypseloides lemosi
Vencejo Parduzco,Cypseloides rothschildi
Vencejo Negruzco,Cypseloides fumigatus
Vencejo Frentiblanco,Cypseloides storeri
Vencejo Barbiblanco,Cypseloides cryptus
Vencejo Cuatroojos,Cypseloides cherriei
Vencejo Canoso,Cypseloides senex
Cypseloides sp.,Cypseloides sp.
Vencejo Cuellirrojo,Streptoprocne rutila
Vencejo de Tepuy,Streptoprocne phelpsi
Vencejo Acollarado,Streptoprocne zonaris
Vencejo Nuquiblanco Mexicano,Streptoprocne semicollaris
Vencejo Nuquiblanco Brasileno,Streptoprocne biscutata
Streptoprocne sp.,Streptoprocne sp.
Vencejo Filipino,Mearnsia picina
Vencejo Papu,Mearnsia novaeguineae
Vencejo Malgache,Zoonavena grandidieri
Vencejo de Santo Tome,Zoonavena thomensis
Vencejo Indio,Zoonavena sylvatica
Vencejo de Baobab,Telacanthura ussheri
Vencejo del Ituri,Telacanthura melanopygia
Vencejo Culiplata,Rhaphidura leucopygialis
Vencejo de Sabine,Rhaphidura sabini
Vencejo de Cassin,Neafrapus cassini
Vencejo de Böhm,Neafrapus boehmi
Vencejo de Chimenea,Chaetura pelagica
Vencejo de Vaux,Chaetura vauxi
Vencejo de Vaux (vauxi),Chaetura vauxi vauxi
Vencejo de Vaux (gaumeri),Chaetura vauxi gaumeri
Vencejo de Vaux (grupo richmondi),Chaetura vauxi [richmondi Group]
Vencejo de Vaux (aphanes),Chaetura vauxi aphanes
Vencejo de Chimenea/de Vaux,Chaetura pelagica/vauxi
Vencejo de Chapman,Chaetura chapmani
Vencejo Colicenizo,Chaetura andrei
Vencejo de Tormenta,Chaetura meridionalis
Vencejo Rabon,Chaetura brachyura
Vencejo Rabon (grupo brachyura),Chaetura brachyura [brachyura Group]
Vencejo Rabon (ocypetes),Chaetura brachyura ocypetes
Vencejo Ceniciento,Chaetura cinereiventris
Vencejo Ceniciento (phaeopygos),Chaetura cinereiventris phaeopygos
Vencejo Ceniciento (occidentalis),Chaetura cinereiventris occidentalis
Vencejo Ceniciento (grupo sclateri),Chaetura cinereiventris [sclateri Group]
Vencejo Ceniciento (cinereiventris),Chaetura cinereiventris cinereiventris
Vencejo Lomiblanco,Chaetura spinicaudus
Vencejo Lomiblanco (aetherodroma),Chaetura spinicaudus aetherodroma
Vencejo Lomiblanco (spinicaudus/latirostris),Chaetura spinicaudus spinicaudus/latirostris
Vencejo Lomiblanco (aethalea),Chaetura spinicaudus aethalea
Vencejo Costarricense,Chaetura fumosa
Vencejo de Martinica,Chaetura martinica
Vencejo Egregio,Chaetura egregia
Chaetura sp.,Chaetura sp.
Vencejo Mongol,Hirundapus caudacutus
Vencejo de La Cochinchina,Hirundapus cochinchinensis
Vencejo Gigante,Hirundapus giganteus
Vencejo de Celebes,Hirundapus celebensis
Hirundapus sp.,Hirundapus sp.
Salangana Gigante,Hydrochous gigas
Salangana Chica,Collocalia troglodytes
Salangana de Borneo,Collocalia dodgei
Salangana de Isla Navidad,Collocalia natalis
Salangana Linchi,Collocalia linchi
Salangana Calzada,Collocalia affinis
Salangana de Obispillo Gris,Collocalia marginata
Salangana Crestada,Collocalia isonota
Salangana de Obispillo Gris/Crestada,Collocalia marginata/isonota
Salangana de Tenggara,Collocalia sumbawae
Salangana Pardusca,Collocalia neglecta
Salangana Lustrosa,Collocalia esculenta
Salangana Pardusca/Lustrosa,Collocalia neglecta/esculenta
Salangana Satinada,Collocalia uropygialis
Collocalia sp.,Collocalia sp.
Salangana de Las Seychelles,Aerodramus elaphrus
Salangana de Las Mascarenas,Aerodramus francicus
Salangana de Malabar,Aerodramus unicolor
Salangana de Celebes,Aerodramus sororum
Salangana de Halmahera,Aerodramus infuscatus
Salangana de Seram,Aerodramus ceramensis
Salangana Filipina,Aerodramus mearnsi
Salangana Montana,Aerodramus hirundinaceus
Salangana Culiblanca,Aerodramus spodiopygius
Salangana Australiana,Aerodramus terraereginae
Salangana del Himalaya,Aerodramus brevirostris
Salangana del Himalaya (Himalaya),Aerodramus brevirostris brevirostris/innominatus
Salangana del Himalaya (Indochina),Aerodramus brevirostris rogersi
Salangana de Los Volcanes,Aerodramus vulcanorum
Salangana de Whitehead,Aerodramus whiteheadi
Salangana Tarsidesnuda,Aerodramus nuditarsus
Salangana de Guadalcanal,Aerodramus orientalis
Salangana Gris,Aerodramus amelis
Salangana de Vanikoro,Aerodramus vanikorensis
Salangana de La Sonda,Aerodramus salangana
Salangana de Las Palau,Aerodramus pelewensis
Salangana de Guam,Aerodramus bartschi
Salangana de Las Carolinas,Aerodramus inquietus
Salangana de Las Cook,Aerodramus sawtelli
Salangana Polinesia,Aerodramus leucophaeus
Salangana de Las Marquesas,Aerodramus ocistus
Salangana Nidonegro,Aerodramus maximus
Salangana Nidoblanco,Aerodramus fuciphagus
Salangana de Oustalet,Aerodramus germani
Salangana Nidoblanco/Nidoblanco (Germani),Aerodramus fuciphagus/germani
Salangana Papu,Aerodramus papuensis
Aerodramus sp.,Aerodramus sp.
Collocalia/Aerodramus sp.,Collocalia/Aerodramus sp.
Vencejo de Shoa,Schoutedenapus myoptilus
Vencejo Real,Apus melba
Vencejo Ecuatorial,Apus aequatorialis
Vencejo de Cabo Verde,Apus alexandri
Vencejo Comun,Apus apus
Vencejo Unicolor,Apus unicolor
Vencejo de Nyanza,Apus niansae
Vencejo Palido,Apus pallidus
Vencejo Comun/Palido,Apus apus/pallidus
Vencejo Unicolor/Palido,Apus unicolor/pallidus
Vencejo de El Cabo,Apus barbatus
Vencejo de El Cabo (sladeniae),Apus barbatus sladeniae
Vencejo de El Cabo (grupo barbatus),Apus barbatus [barbatus Group]
Vencejo Comun/de El Cabo,Apus apus/barbatus
Vencejo de Socotra,Apus berliozi
Vencejo de Namibia,Apus bradfieldi
Vencejo de Balston,Apus balstoni
Vencejo del Pacifico,Apus pacificus
Vencejo del Tibet,Apus salimalii
Vencejo del Himalaya,Apus leuconyx
Vencejo de Tailandia,Apus cooki
Vencejo del Pacifico/de Tailandia,Apus pacificus/cooki
Vencejo del Pacifico/Del Tibet/Del Himalaya/de Tailandia,Apus pacificus/salimalii/leuconyx/cooki
Vencejo de Los Khasi,Apus acuticauda
Vencejo Moro,Apus affinis
Vencejo Moro (grupo affinis),Apus affinis [affinis Group]
Vencejo Moro (bannermani),Apus affinis bannermani
Vencejo Moro (singalensis),Apus affinis singalensis
Vencejo Oriental,Apus nipalensis
Vencejo Moro/Oriental,Apus affinis/nipalensis
Vencejo Horus,Apus horus
Vencejo Horus (horus),Apus horus horus
Vencejo Horus (fuscobrunneus),Apus horus fuscobrunneus
Vencejo Cafre,Apus caffer
Vencejo del Camerun,Apus batesi
Vencejo (Apus) sp.,Apus sp.
Vencejo Gorjiblanco,Aeronautes saxatalis
Vencejo Montanes,Aeronautes montivagus
Vencejo Andino,Aeronautes andecolus
Vencejo Montanes/Andino,Aeronautes montivagus/andecolus
Vencejo Tijereta Chico,Panyptila cayennensis
Vencejo Tijereta Grande,Panyptila sanctihieronymi
Vencejo Palmero Asiatico,Cypsiurus balasiensis
Vencejo Palmero Africano,Cypsiurus parvus
Vencejo Palmero Malgache,Cypsiurus gracilis
Vencejo Palmero Malgache (Comoros),Cypsiurus gracilis griveaudi
Vencejo Palmero Malgache (Madagascar),Cypsiurus gracilis gracilis
Vencejillo Antillano,Tachornis phoenicobia
Vencejillo Venezolano,Tachornis furcata
Vencejillo Tijereta,Tachornis squamata
Vencejo grande sp.,Apodidae sp. (large swift sp.)
Vencejo pequeno sp.,Apodidae sp. (small swift sp.)
Vencejo sp.,Apodidae sp.
Vencejo Arboricola Coronado,Hemiprocne coronata
Vencejo Arboricola Culigris,Hemiprocne longipennis
Vencejo Arboricola Chico,Hemiprocne comata
Vencejo Arboricola Bigotudo,Hemiprocne mystacea
Vencejo Arboricola sp.,Hemiprocne sp.
Colibri Topacio,Topaza pella
Colibri igneo,Topaza pyra
Colibri Topacio/igneo,Topaza pella/pyra
Colibri Nuquiblanco,Florisuga mellivora
Colibri Negro,Florisuga fusca
Picohoz Coliverde,Eutoxeres aquila
Picohoz Colicanela,Eutoxeres condamini
Ermitano Picosierra,Ramphodon naevius
Ermitano de Espirito Santo,Glaucis dohrnii
Ermitano Bronceado,Glaucis aeneus
Ermitano Hirsuto,Glaucis hirsutus
Ermitano Barbudo Colibandeado,Threnetes ruckeri
Ermitano Barbudo Coliblanco,Threnetes leucurus
Ermitano Barbudo Guayanes,Threnetes niger
Ermitano Coliancho,Anopetia gounellei
Ermitano Barbiblanco,Phaethornis hispidus
Ermitano de Yaruqui,Phaethornis yaruqui
Ermitano Verde,Phaethornis guy
Ermitano Ventrihabano,Phaethornis syrmatophorus
Ermitano de Koepcke,Phaethornis koepckeae
Ermitano Picoaguja,Phaethornis philippii
Ermitano Piquirrecto,Phaethornis bourcieri
Ermitano Piquirrecto (bourcieri),Phaethornis bourcieri bourcieri
Ermitano Piquirrecto (major),Phaethornis bourcieri major
Ermitano Piquilargo,Phaethornis longirostris
Ermitano Piquilargo (grupo longirostris),Phaethornis longirostris [longirostris Group]
Ermitano Piquilargo (baroni),Phaethornis longirostris baroni
Ermitano Mexicano,Phaethornis mexicanus
Ermitano Mexicano (griseoventer),Phaethornis mexicanus griseoventer
Ermitano Mexicano (mexicanus),Phaethornis mexicanus mexicanus
Ermitano Colilargo,Phaethornis superciliosus
Ermitano Piquilargo/Colilargo,Phaethornis longirostris/superciliosus
Ermitano Picogrande,Phaethornis malaris
Ermitano Picogrande (malaris/insolitus),Phaethornis malaris malaris/insolitus
Ermitano Picogrande (grupo moorei),Phaethornis malaris [moorei Group]
Ermitano Picogrande (margarettae),Phaethornis malaris margarettae
Ermitano Ventripalido,Phaethornis anthophilus
Ermitano Escualido,Phaethornis squalidus
Ermitano de Maranon (especie no reconocida),Phaethornis maranhaoensis [unrecognized species]
Ermitano del Rupununi,Phaethornis rupurumii
Ermitano Chico,Phaethornis longuemareus
Ermitano de Tapajoz,Phaethornis aethopygus
Ermitano Pigmeo,Phaethornis idaliae
Ermitano de Natterer,Phaethornis nattereri
Ermitano Barbinegro,Phaethornis atrimentalis
Ermitano Gorjiestriado,Phaethornis striigularis
Ermitano Barbigris,Phaethornis griseogularis
Ermitano Barbigris (griseogularis/zonura),Phaethornis griseogularis griseogularis/zonura
Ermitano Barbigris (porcullae),Phaethornis griseogularis porcullae
Ermitano Rojizo,Phaethornis ruber
Ermitano Boliviano,Phaethornis stuarti
Ermitano Rojizo/Boliviano,Phaethornis ruber/stuarti
Ermitano Ocraceo,Phaethornis subochraceus
Ermitano Limpiacasa,Phaethornis augusti
Ermitano del Planalto,Phaethornis pretrei
Ermitano Escamoso,Phaethornis eurynome
Ermitano (Phaethornis) sp.,Phaethornis sp.
Colibri Picolanza Mayor,Doryfera ludovicae
Colibri Picolanza Menor,Doryfera johannae
Colibri Picocuna Occidental,Schistes albogularis
Colibri Picocuna Oriental,Schistes geoffroyi
Colibri Picocuna Occidental/Oriental,Schistes albogularis/geoffroyi
Colibri Colaceleste,Augastes scutatus
Colibri Lumaquela,Augastes lumachella
Colibri Orejimorado,Colibri serrirostris
Colibri Rutilante,Colibri coruscans
Colibri Pardo,Colibri delphinae
Colibri Oreja Violeta Mexicano,Colibri thalassinus
Colibri Oreja Violeta Menor,Colibri cyanotus
Colibri Oreja Violeta Menor (de Costa Rica),Colibri cyanotus cabanidis
Colibri Oreja Violeta Menor (andino),Colibri cyanotus cyanotus/crissalis
Colibri Rutilante/Verdemar,Colibri coruscans/cyanotus
Colibri (Colibri) sp.,Colibri sp.
Colibri Cornudito,Heliactin bilophus
Colibri Piquidentado,Androdon aequatorialis
Colibri Hada Occidental,Heliothryx barroti
Colibri Hada Oriental,Heliothryx auritus
Colibri Guainumbi,Polytmus guainumbi
Colibri de Tepuy,Polytmus milleri
Colibri de Teresa,Polytmus theresiae
Mango Picolezna,Avocettula recurvirostris
Colibri Rubi,Chrysolampis mosquitus
Mango Jamaicano,Anthracothorax mango
Mango Gorjinegro,Anthracothorax nigricollis
Mango Gorjiverde,Anthracothorax viridigula
Mango Pechiverde,Anthracothorax prevostii
Mango Pechiverde (grupo prevostii),Anthracothorax prevostii [prevostii Group]
Mango Pechiverde (iridescens),Anthracothorax prevostii iridescens
Mango de Veragua,Anthracothorax veraguensis
Mango Dominicano,Anthracothorax dominicus
Mango Dominicano (dominicus),Anthracothorax dominicus dominicus
Mango Dominicano (aurulentus),Anthracothorax dominicus aurulentus
Mango Puertorriqueno Verde,Anthracothorax viridis
Mango sp.,Anthracothorax sp.
Colibri Caribeno Gorjimorado,Eulampis jugularis
Colibri Caribeno Gorjiverde,Eulampis holosericeus
Colibri de Marte,Heliangelus mavors
Colibri Gorjiamatista,Heliangelus amethysticollis
Colibri Gorjiamatista (grupo clarisse),Heliangelus amethysticollis clarisse/violiceps
Colibri Gorjiamatista (de Merida),Heliangelus amethysticollis spencei
Colibri Gorjiamatista (grupo amethysticollis),Heliangelus amethysticollis [amethysticollis Group]
Colibri Pectoral,Heliangelus strophianus
Colibri Turmalina,Heliangelus exortis
Colibri Lucero,Heliangelus micraster
Colibri Violeta,Heliangelus viola
Colibri Violeta (viola),Heliangelus viola viola
Colibri Violeta (splendidus/pyropus),Heliangelus viola splendidus/pyropus
Colibri Real,Heliangelus regalis
Colibri Austral,Sephanoides sephaniodes
Colibri de Juan Fernandez,Sephanoides fernandensis
Colibri Austral/de Juan Fernandez,Sephanoides sephaniodes/fernandensis
Rabudito Crestado,Discosura popelairii
Rabudito Ventrinegro,Discosura langsdorffi
Rabudito Cobrizo,Discosura letitiae
Rabudito Verde,Discosura conversii
Rabudito de Raquetas,Discosura longicaudus
Coqueta Adornada,Lophornis ornatus
Coqueta Moteada,Lophornis gouldii
Coqueta Magnifica,Lophornis magnificus
Coqueta de Guerrero,Lophornis brachylophus
Coqueta Crestirrufa,Lophornis delattrei
Coqueta Coronada,Lophornis stictolophus
Coqueta Verde Nortena,Lophornis verreauxii
Coqueta Verde Surena,Lophornis chalybeus
Coqueta Pavonina,Lophornis pavoninus
Coqueta Crestinegra,Lophornis helenae
Coqueta Adorable,Lophornis adorabilis
Rabudito/Coqueta sp.,Discosura/Lophornis sp.
Colibri Colipinto Ecuatoriano,Phlogophilus hemileucurus
Colibri Colipinto Peruano,Phlogophilus harterti
Colibri Jaspeado,Adelomyia melanogenys
Colibri Jaspeado (grupo melanogenys),Adelomyia melanogenys [melanogenys Group]
Colibri Jaspeado (maculata),Adelomyia melanogenys maculata
Colibri Jaspeado (inornata),Adelomyia melanogenys inornata
Silfo de King,Aglaiocercus kingii
Silfo Celeste,Aglaiocercus coelestis
Silfo de Berlepsch,Aglaiocercus berlepschi
Colibri Cometa,Sappho sparganurus
Colibri Colibronce,Polyonymus caroli
Colibri Ventrigris,Taphrolesbia griseiventris
