"","French.name"
"237","Tetraogalle de l'Altai"
"238","Perdrix bartavelle"
"239","Perdrix choukar"
"240","Perdrix de Przewalski"
"241","Perdrix de Philby"
"242","Perdrix gambra"
"243","Perdrix rouge"
"244","Perdrix a tete noire"
"245","Lerva des neiges"
"246","Perdrix si-si"
"247","Perdrix de Hey"
"248","Perdicule rousse-gorge"
"249","Perdicule argoondah"
"250","Perdicule a bec rouge"
"251","Perdicule du Manipur"
"252","Ophrysie de l'Himalaya"
"253","Francolin de Hartlaub"
"254","Francolin a double eperon"
"255","Francolin a bec jaune"
"256","Francolin de Clapperton"
"257","Francolin de Harwood"
"258","Francolin a bec rouge"
"259","Francolin criard"
"260","Francolin du Natal"
"261","Francolin de Hildebrandt"
"262","Francolin d'Ahanta"
"263","Francolin ecaille"
"264","Francolin a bandes grises"
"265","Francolin a cou jaune"
"266","Francolin a poitrine grise"
"267","Francolin a gorge rouge"
"268","Francolin de Swainson"
"269","Francolin de Jackson"
"270","Francolin noble"
"271","Francolin du Cameroun"
"272","Francolin de Swierstra"
"273","Francolin a cou roux"
"274","Francolin a front noir"
"275","Francolin d'Erckel"
"276","Francolin somali"
"277","Francolin noir"
"278","Francolin peint"
"279","Francolin perle"
"286","Francolin de Latham"
"287","Francolin a collier"
"288","Francolin de Levaillant"
"289","Francolin a ailes grises"
"290","Francolin de Finsch"
"291","Francolin montagnard"
"293","Francolin de Shelley"
"295","Francolin d'Archer"
"296","Bambusicole de Fytch"
"297","Bambusicole de Chine"
"298","Bambusicole de Taiwan"
"299","Coq bankiva"
"300","Coq de Sonnerat"
"301","Coq de Lafayette"
"302","Coq de Java"
"303","Tetraophase de Verreaux"
"304","Tetraophase de Szechenyi"
"305","Lophophore resplendissant"
"306","Lophophore de Sclater"
"307","Lophophore de Lhuys"
"308","Tragopan de Hastings"
"309","Tragopan satyre"
"310","Tragopan de Blyth"
"311","Tragopan de Temminck"
"312","Tragopan de Cabot"
"313","Ithagine ensanglantee"
"314","Eulophe koklass"
"315","Faisan d'Elliot"
"316","Faisan de Hume"
"317","Faisan mikado"
"318","Faisan scintillant"
"319","Faisan venere"
"320","Faisan dore"
"321","Faisan de Lady Amherst"
"322","Faisan de Colchide"
"324","Hokki blanc"
"325","Hokki du Tibet"
"326","Hokki brun"
"327","Hokki bleu"
"328","Faisan de Wallich"
"329","Faisan leucomele"
"330","Faisan argente"
"331","Faisan d'Edwards"
"332","Faisan de Swinhoe"
"333","Faisan de Salvadori"
"334","Faisan a queue rousse"
"336","Faisan noble"
"338","Faisan prelat"
"339","Faisan de Bulwer"
"340","Perdrix grise"
"341","Perdrix de Daourie"
"342","Perdrix de Hodgson"
"343","Dindon sauvage"
"344","Dindon ocelle"
"345","Gelinotte huppee"
"348","Lagopede des saules"
"349","Lagopede alpin"
"350","Lagopede a queue blanche"
"351","Tetras sombre"
"352","Tetras fuligineux"
"353","Tetras de Siberie"
"356","Grand Tetras"
"357","Tetras a bec noir"
"358","Tetras lyre"
"359","Tetras du Caucase"
"360","Tetras des armoises"
"361","Tetras du Gunnison"
"362","Tetras a queue fine"
"363","Tetras des prairies"
"364","Tetras pale"
"365","Kamichi cornu"
"366","Kamichi chavaria"
"367","Kamichi a collier"
"368","Canaroie semipalmee"
