,keyword,en_count,en_mean
125,Asian House Martin,2209,9.91
126,Asian Openbill,2111,9.47
127,Asian Pied Starling,1591,7.13
128,Asian Stubtail,239,1.07
129,Asir Magpie,1093,4.90
130,Atlantic Petrel,1351,6.06
131,Atlantic Puffin,6239,27.98
132,Atlantic Royal Flycatcher,770,3.45
133,Atlantic Yellow-nosed Albatross,889,3.99
134,Auckland Rail,6713,30.10
135,Auckland Teal,2024,9.08
136,Audouin's Gull,969,4.35
137,Augur Buzzard,1558,6.99
138,Austral Parakeet,477,2.14
139,Australasian Bittern,334,1.50
140,Australasian Darter,2654,11.90
141,Australasian Figbird,2795,12.53
142,Australasian Gannet,1261,5.65
143,Australasian Grebe,1041,4.67
144,Australasian Pipit,2063,9.25
145,Australian Bustard,3173,14.23
146,Australian Hobby,3379,15.15
147,Australian Ibis,3080,13.81
148,Australian Magpie,8159,36.59
149,Australian Pelican,5145,23.07
150,Australian Raven,3644,16.34
151,Australian Ringneck,2206,9.89
152,Australian Shelduck,1058,4.74
153,Australian Swiftlet,777,3.48
154,Australian Zebra Finch,2034,9.12
155,Azores Bullfinch,740,3.32
156,Aztec Thrush,1154,5.17
157,Azure Jay,3583,16.07
158,Azure Kingfisher,3794,17.01
159,Azure Tit,1713,7.68
160,Bachman's Warbler,865,3.88
161,Baer's Pochard,998,4.48
162,Baglafecht Weaver,743,3.33
163,Bahama Mockingbird,1047,4.70
164,Bahama Nuthatch,593,2.66
165,Bahama Oriole,1880,8.43
166,Bahama Swallow,2039,9.14
167,Bahama Warbler,703,3.15
168,Baikal Teal,2604,11.68
169,Baillon's Crake,316,1.42
170,Baird's Sandpiper,1110,4.98
171,Bald Eagle,8638,38.74
172,Bald Parrot,3908,17.52
173,Balearic Shearwater,1879,8.43
174,Bali Myna,2165,9.71
175,Baltimore Oriole,2671,11.98
176,Bananaquit,3128,14.03
177,Band-bellied Crake,479,2.15
178,Band-rumped Storm-petrel,477,2.14
179,Band-tailed Manakin,232,1.04
180,Banded Bay Cuckoo,2137,9.58
181,Banded Broadbill,1802,8.08
182,Banded Cotinga,714,3.20
183,Banded Kingfisher,2644,11.86
184,Banded Lapwing,729,3.27
185,Banded Stilt,1255,5.63
186,Banded Woodpecker,1305,5.85
187,Banggai Crow,321,1.44
188,Bank Cormorant,1989,8.92
189,Bank Myna,1807,8.10
190,Bar-headed Goose,2675,12.00
191,Bar-tailed Godwit,2690,12.06
192,Bar-tailed Trogon,426,1.91
193,Bar-winged Prinia,490,2.20
194,Barau's Petrel,196,0.88
195,Barbados Bullfinch,1324,5.94
196,Barbary Partridge,1750,7.85
197,Barbuda Warbler,508,2.28
198,Bare-faced Bulbul,210,0.94
199,Bare-faced Curassow,323,1.45
200,Bare-throated Bellbird,504,2.26
201,Bare-throated Tiger-heron,392,1.76
202,Barking Owl,5405,24.24
203,Barn Swallow,6360,28.52
204,Barnacle Goose,9810,43.99
205,Barred Antshrike,1496,6.71
206,Barred Buttonquail,1136,5.09
207,Barred Dove,1721,7.72
208,Barred Eagle-owl,739,3.31
209,Barred Hawk,3641,16.33
210,Barred Owl,9354,41.95
211,Barred Parakeet,2557,11.47
212,Barrow's Goldeneye,2120,9.51
213,Basra Reed-warbler,276,1.24
214,Bassian Thrush,1779,7.98
215,Bat Falcon,1081,4.85
216,Bat Hawk,6426,28.82
217,Bateleur,9504,42.62
218,Bay-backed Shrike,652,2.92
219,Bay-breasted Warbler,1350,6.05
220,Bay-headed Tanager,677,3.04
221,Bay Woodpecker,3360,15.07
222,Bay Wren,4307,19.31
223,Baya Weaver,784.5,3.52
224,Beach Kingfisher,7100,31.84
225,Bean Goose,6676,29.94
226,Bearded Barbet,1765,7.91
227,Bearded Bellbird,1454,6.52
228,Bearded Reedling,1028,4.61
229,Bearded Vulture,2824,12.66
230,Beautiful Firetail,482,2.16
231,Beautiful Hummingbird,8669,38.87
232,Beautiful Jay,7211,32.34
233,Beautiful Woodpecker,1098,4.92
234,Beck's Petrel,201,0.90
235,Bee Hummingbird,2587,11.60
236,Bell's Vireo,1843,8.26
237,Bell Miner,1046,4.69
238,Belted Kingfisher,4380,19.64
239,Bengal Florican,2674,11.99
240,Bermuda Petrel,1429,6.41
241,Berylline Hummingbird,1183,5.30
242,Besra,4407,19.76
243,Bewick's Wren,1290,5.78
244,Bicknell's Thrush,1151,5.16
245,Bicolored Wren,1233,5.53
246,Bimaculated Lark,1998,8.96
247,Black-and-white Hawk-eagle,1005,4.51
248,Black-and-white Owl,1133,5.08
249,Black-and-white Warbler,1108,4.97
250,Black-backed Oriole,519,2.33
251,Black-backed Woodpecker,1334,5.98
252,Black-bellied Bustard,637,2.86
