,keyword,mean
188,Bank Cormorant,8.919282511
189,Bank Myna,8.103139013
190,Bar-headed Goose,11.9955157
191,Bar-tailed Godwit,12.06278027
192,Bar-tailed Trogon,1.910313901
193,Bar-winged Prinia,2.197309417
194,Barau's Petrel,0.878923767
195,Barbados Bullfinch,5.937219731
196,Barbary Partridge,7.847533632
197,Barbuda Warbler,2.278026906
198,Bare-faced Bulbul,0.941704036
199,Bare-faced Curassow,1.448430493
200,Bare-throated Bellbird,2.260089686
201,Bare-throated Tiger-heron,1.757847534
202,Barking Owl,24.23766816
203,Barn Swallow,28.52017937
204,Barnacle Goose,43.99103139
205,Barred Antshrike,6.708520179
206,Barred Buttonquail,5.094170404
207,Barred Dove,7.717488789
208,Barred Eagle-owl,3.313901345
209,Barred Hawk,16.32735426
210,Barred Owl,41.94618834
211,Barred Parakeet,11.46636771
212,Barrow's Goldeneye,9.506726457
213,Basra Reed-warbler,1.237668161
214,Bassian Thrush,7.977578475
215,Bat Falcon,4.847533632
216,Bat Hawk,28.8161435
217,Bateleur,42.61883408
218,Bay-backed Shrike,2.923766816
219,Bay-breasted Warbler,6.053811659
220,Bay-headed Tanager,3.035874439
221,Bay Woodpecker,15.06726457
222,Bay Wren,19.31390135
223,Baya Weaver,3.51793722
224,Beach Kingfisher,31.83856502
225,Bean Goose,29.93721973
226,Bearded Barbet,7.914798206
227,Bearded Bellbird,6.520179372
228,Bearded Reedling,4.609865471
229,Bearded Vulture,12.66367713
230,Beautiful Firetail,2.161434978
231,Beautiful Hummingbird,38.87443946
232,Beautiful Jay,32.33632287
233,Beautiful Woodpecker,4.923766816
234,Beck's Petrel,0.901345291
235,Bee Hummingbird,11.60089686
236,Bell's Vireo,8.264573991
237,Bell Miner,4.69058296
238,Belted Kingfisher,19.64125561
239,Bengal Florican,11.99103139
240,Bermuda Petrel,6.408071749
241,Berylline Hummingbird,5.304932735
242,Besra,19.76233184
243,Bewick's Wren,5.784753363
244,Bicknell's Thrush,5.161434978
245,Bicolored Wren,5.529147982
246,Bimaculated Lark,8.959641256
247,Black-and-white Hawk-eagle,4.506726457
248,Black-and-white Owl,5.080717489
249,Black-and-white Warbler,4.968609865
250,Black-backed Oriole,2.32735426
251,Black-backed Woodpecker,5.98206278
252,Black-bellied Bustard,2.856502242
253,Black-bellied Storm-petrel,1.291479821
254,Black-bellied Whistling-duck,6.466367713
255,Black-billed Cuckoo,4.291479821
256,Black-billed Magpie,7.134529148
257,Black-billed Thrush,6.170403587
258,Black-breasted Buzzard,2.730941704
259,Black-browed Albatross,5.457399103
260,Black-browed Babbler,1.421524664
261,Black-capped Chickadee,13.40358744
262,Black-capped Lory,2.340807175
263,Black-capped Petrel,2.66367713
264,Black-capped Vireo,7.224215247
265,Black-casqued Hornbill,1.869955157
266,Black-cheeked Lovebird,3.65470852
267,Black-chinned Hummingbird,10.67264574
268,Black-collared Barbet,1.668161435
269,Black-collared Starling,2.322869955
270,Black-crested Finch,1.058295964
271,Black-crested Titmouse,6.923766816
272,Black-crowned Night-heron,6.3632287
273,Black-faced Bunting,2.847533632
274,Black-faced Dacnis,2.686098655
275,Black-faced Grassquit,1.609865471
276,Black-faced Spoonbill,5.950672646
277,Black-footed Albatross,3.757847534
278,Black-fronted Bulbul,2.641255605
279,Black-fronted Tern,6.107623318
280,Black-headed Grosbeak,10.50224215
281,Black-headed Gull,12.32735426
282,Black-headed Ibis,2.031390135
283,Black-headed Parrot,3.103139013
284,Black-headed Siskin,3.766816143
285,Black-hooded Oriole,7.533632287
286,Black-legged Kittiwake,7.878923767
287,Black-legged Seriema,1.914798206
288,Black-naped Monarch,3.659192825
289,Black-naped Oriole,6.582959641
290,Black-necked Crane,4.30941704
291,Black-necked Grebe,8.282511211
292,Black-necked Stork,5.556053812
293,Black-necked Wattle-eye,0.955156951
294,Black-rumped Flameback,2.659192825
295,Black-shouldered Kite,6.68161435
296,Black-tailed Godwit,9.529147982
297,Black-tailed Gull,4.565022422
298,Black-thighed Falconet,3.717488789
299,Black-throated Accentor,3.080717489
300,Black-throated Blue Warbler,8.820627803
301,Black-throated Finch,4.529147982
302,Black-throated Green Warbler,5.704035874
303,Black-throated Grosbeak,1.264573991
304,Black-throated Magpie-jay,4.910313901
