,species,gbif_mean,gbif_sum
3090,Dacnis venusta,1639.2,31144
3091,Dacnis viguieri,10.3,154
3092,Dactylortyx thoracicus,359.7,6835
3093,Daphoenositta chrysoptera,2350.1,44652
3094,Daphoenositta miranda,11.7,176
3095,Daphoenositta papuensis,7.7,116
3096,Daption capense,1128.6,21444
3097,Daptrius ater,1219.5,23170
3098,Dasycrotapha plateni,23.7,426
3099,Dasycrotapha pygmaea,5.1,41
3100,Dasycrotapha speciosa,9.6,163
3101,Dasylophus superciliosus,93.3,1773
3102,Dasyornis brachypterus,226.4,4301
3103,Dasyornis broadbenti,286.6,5445
3104,Dasyornis longirostris,41.9,796
3105,Deconychura longicauda,246.5,4684
3106,Deconychura pallida,1.5,3
3107,Deconychura stictolaema,47.7,859
3108,Deleornis axillaris,43.3,779
3109,Deleornis fraseri,55.3,1051
3110,Delichon dasypus,1235.6,23476
3111,Delichon nipalense,185.2,3519
3112,Delichon urbicum,63595.7,1208319
3113,Delichon urbicum x Hirundo rustica,7.4,134
3114,Delichon urbicum x Riparia riparia,1.5,3
3115,Delothraupis castaneoventris,92.7,1762
3116,Deltarhynchus flammulatus,83.8,1593
3117,Dendragapus fuliginosus,1886.4,35841
3118,Dendragapus obscurus,1181.4,22446
3119,Dendrexetastes rufigula,422.5,8028
3120,Dendrocincla anabatina,991.1,18831
3121,Dendrocincla fuliginosa,2773.6,52698
3122,Dendrocincla homochroa,723.6,13749
3123,Dendrocincla merula,140.2,2524
3124,Dendrocincla tyrannina,316.6,5698
3125,Dendrocitta bayleii,72.6,1306
3126,Dendrocitta cinerascens,198.8,3778
3127,Dendrocitta formosae,9528.9,181050
3128,Dendrocitta frontalis,54.3,977
3129,Dendrocitta leucogastra,709.9,13488
3130,Dendrocitta occipitalis,4.8,43
3131,Dendrocitta vagabunda,16391.9,311447
3132,Dendrocolaptes certhia,328.3,6237
3133,Dendrocolaptes hoffmannsi,13.9,208
3134,Dendrocolaptes picumnus,417.5,7515
3135,Dendrocolaptes platyrostris,542.6,10310
3136,Dendrocolaptes retentus,2.1,17
3137,Dendrocolaptes sanctithomae,1671.1,31751
3138,Dendrocopos analis,405.0,7695
3139,Dendrocopos assimilis,10.7,139
3140,Dendrocopos atratus,138.5,2631
3141,Dendrocopos darjellensis,126.1,2269
3142,Dendrocopos himalayensis,344.7,6549
3143,Dendrocopos hyperythrus,301.8,5735
3144,Dendrocopos leucopterus,32.1,610
3145,Dendrocopos leucotos,1957.3,37188
3146,Dendrocopos leucotos x major,4.8,43
3147,Dendrocopos macei,788.9,14990
3148,Dendrocopos major,139223.9,2645254
3149,Dendrocopos noguchii,27.4,493
3150,Dendrocopos syriacus,2887.2,54856
3151,Dendrocoptes auriceps,481.9,9156
3152,Dendrocoptes dorae,9.4,103
3153,Dendrocoptes medius,6154.9,116943
3154,Dendrocopus major,419.6,6714
3155,Dendrocygna arborea,440.6,8372
3156,Dendrocygna arcuata,1473.7,28000
3157,Dendrocygna autumnalis,33331.0,633289
3158,Dendrocygna bicolor,4834.7,91860
3159,Dendrocygna eytoni,1903.3,36162
3160,Dendrocygna guttata,79.6,1513
3161,Dendrocygna javanica,7023.2,133441
3162,Dendrocygna viduata,7240.8,137575
3163,Dendronanthus indicus,858.4,16309
3164,Dendropicos abyssinicus,5.0,55
3165,Dendropicos elachus,2.6,26
3166,Dendropicos elliotii,4.1,41
3167,Dendropicos fuscescens,2794.4,53093
3168,Dendropicos gabonensis,4.2,42
3169,Dendropicos goertae,156.8,2979
3170,Dendropicos griseocephalus,700.6,13312
3171,Dendropicos lugubris,6.8,81
3172,Dendropicos obsoletus,7.6,122
3173,Dendropicos poecilolaemus,1.8,11
3174,Dendropicos spodocephalus,20.8,374
3175,Dendropicos stierlingi,1.6,13
3176,Dendroplex kienerii,55.2,1049
3177,Dendrortyx barbatus,40.1,722
3178,Dendrortyx leucophrys,397.5,7553
3179,Dendrortyx macroura,126.8,2409
3180,Deroptyus accipitrinus,271.2,5152
3181,Dessonornis caffer,9.3,140
3182,Diatryma gigantea,1.5,6
3183,Dicaeum aeneum,19.5,312
3184,Dicaeum aeruginosum,1.0,5
3185,Dicaeum agile,1219.9,23178
3186,Dicaeum annae,27.0,486
3187,Dicaeum anthonyi,14.9,269
3188,Dicaeum aureolimbatum,57.3,1089
3189,Dicaeum australe,345.7,6569
3190,Dicaeum bicolor,61.4,1106
3191,Dicaeum celebicum,85.2,1533
3192,Dicaeum chrysorrheum,278.4,5289
3193,Dicaeum concolor,2181.4,41446
3194,Dicaeum cruentatum,2744.0,52136
3195,Dicaeum dayakorum,1.8,11
3196,Dicaeum erythrorhynchos,9713.5,184557
3197,Dicaeum erythrothorax,14.5,160
3198,Dicaeum everetti,6.6,86
3199,Dicaeum eximium,15.9,238
3200,Dicaeum geelvinkianum,175.4,3332
3201,Dicaeum haematostictum,24.2,412
3202,Dicaeum hirundinaceum,9030.0,171570
3203,Dicaeum hypoleucum,102.0,1938
3204,Dicaeum igniferum,37.1,668
3205,Dicaeum ignipectus,1432.8,27224
3206,Dicaeum maugei,85.5,1624
3207,Dicaeum melanozanthum,51.2,973
3208,Dicaeum minullum,680.2,12924
3209,Dicaeum monticolum,122.1,2197
3210,Dicaeum nehrkorni,19.2,345
3211,Dicaeum nigrilore,43.0,774
3212,Dicaeum nitidum,1.0,2
3213,Dicaeum pectorale,34.5,587
3214,Dicaeum proprium,21.2,297
3215,Dicaeum pygmaeum,151.2,2721
3216,Dicaeum quadricolor,2.0,2
3217,Dicaeum retrocinctum,7.3,117
3218,Dicaeum sanguinolentum,81.4,1466
3219,Dicaeum schistaceiceps,24.0,384
3220,Dicaeum trigonostigma,1018.8,19357
3221,Dicaeum tristrami,12.5,163
3222,Dicaeum trochileum,135.1,2567
3223,Dicaeum vincens,81.1,1540
3224,Dicaeum virescens,126.7,2154
3225,Dicaeum vulneratum,21.8,327
3226,Dichrozona cincta,67.1,1207
3227,Dicrurus adsimilis,12178.9,231399
3228,Dicrurus aeneus,5519.8,104877
3229,Dicrurus aldabranus,8.2,41
3230,Dicrurus andamanensis,169.6,3052
3231,Dicrurus annectans,1.5,6
3232,Dicrurus annectens,184.1,3498
3233,Dicrurus atactus,110.0,2090
3234,Dicrurus atripennis,55.6,1057
3235,Dicrurus balicassius,165.6,3146
3236,Dicrurus bracteatus,6278.1,119283
3237,Dicrurus caerulescens,2738.6,52034
3238,Dicrurus densus,27.7,499
3239,Dicrurus forficatus,376.2,6771
3240,Dicrurus fuscipennis,2.2,11
3241,Dicrurus hottentottus,2835.5,53875
3242,Dicrurus leucophaeus,8422.2,160022
3243,Dicrurus lophorinus,106.2,2018
3244,Dicrurus ludwigii,769.7,14625
3245,Dicrurus macrocercus,38113.5,724156
3246,Dicrurus megarhynchus,3.9,31
3247,Dicrurus menagei,2.7,27
3248,Dicrurus modestus,57.7,1096
3249,Dicrurus montanus,35.5,639
3250,Dicrurus occidentalis,23.7,450
3251,Dicrurus palawanensis,2.5,5
3252,Dicrurus paradiseus,9244.3,175641
3253,Dicrurus remifer,699.9,13299
3254,Dicrurus sharpei,30.2,544
3255,Dicrurus sumatranus,7.5,75
3256,Dicrurus waldenii,3.7,44
3257,Didunculus strigirostris,1.1,8
3258,Diglossa albilatera,2020.2,38383
3259,Diglossa baritula,1003.4,19064
3260,Diglossa brunneiventris,612.6,11640
3261,Diglossa caerulescens,765.3,14540
3262,Diglossa carbonaria,58.9,1119
3263,Diglossa cyanea,2884.9,54813
3264,Diglossa duidae,6.0,6
3265,Diglossa glauca,244.4,4643
3266,Diglossa gloriosa,23.2,418
3267,Diglossa gloriosissima,91.1,1731
3268,Diglossa humeralis,1812.6,34439
3269,Diglossa indigotica,212.6,4040
3270,Diglossa lafresnayii,718.4,13650
3271,Diglossa major,7.9,134
3272,Diglossa mystacalis,156.6,2975
3273,Diglossa plumbea,1169.5,22221
3274,Diglossa sittoides,1016.1,19306
3275,Diglossa venezuelensis,3.4,31
3276,Dinemellia dinemelli,654.1,12428
3277,Dinopium benghalense,9702.2,184342
3278,Dinopium everetti,43.5,783
3279,Dinopium javanense,1026.5,19503
3280,Dinopium psarodes,412.6,7839
3281,Dinopium shorii,150.0,2700
3282,Dinornis novaezealandiae,3.0,3
3283,Diomedea amsterdamensis,1.3,4
3284,Diomedea antipodensis,7.5,127
3285,Diomedea dabbenena,12.4,149
3286,Diomedea epomophora,926.9,17612
3287,Diomedea exulans,7615.3,144691
3288,Diomedea gibsoni,2.0,10
3289,Diomedea sanfordi,17.1,325
3290,Diopsittaca nobilis,1002.6,19050
3291,Dioptrornis brunneus,2.7,38
3292,Dioptrornis chocolatinus,83.8,1593
3293,Dioptrornis fischeri,781.1,14840
3294,Diphyllodes magnificus,60.8,1033
3295,Diphyllodes respublica,40.8,612
3296,Discosura conversii,1242.6,23610
3297,Discosura langsdorffi,51.6,929
3298,Discosura longicaudus,26.9,485
3299,Discosura popelairii,308.9,5870
3300,Diuca diuca,2674.6,50818
3301,Diuca speculifera,3.3,36
3302,Dives atroviolaceus,1121.9,21316
3303,Dives dives,18155.6,344956
3304,Dives warczewiczi,1843.8,35033
3305,Dives warszewiczi,3.0,12
3306,Dolichonyx oryzivorus,28897.2,549046
3307,Doliornis remseni,17.2,224
3308,Doliornis sclateri,15.0,270
3309,Dolospingus fringilloides,16.4,295
3310,Donacobius atricapilla,1809.9,34388
3311,Donacospiza albifrons,386.8,7349
3312,Doricha eliza,268.0,5092
3313,Doricha enicura,95.4,1718
3314,Doryfera johannae,155.4,2953
3315,Doryfera ludovicae,657.4,12490
3316,Drepanoptila holosericea,25.9,467
3317,Drepanorhynchus reichenowi,149.8,2846
3318,Drepanornis albertisi,13.3,186
3319,Drepanornis bruijnii,16.7,250
3320,Dreptes thomensis,10.0,140
3321,Dromaius novaehollandiae,2864.2,54419
3322,Dromas ardeola,396.8,7540
3323,Dromococcyx pavoninus,210.4,3787
3324,Dromococcyx phasianellus,480.4,9128
3325,Drymocichla incana,15.5,279
3326,Drymodes brunneopygia,436.7,8297
3327,Drymodes superciliaris,41.3,744
3328,Drymophila caudata,30.6,520
3329,Drymophila devillei,111.2,2001
3330,Drymophila ferruginea,480.1,9121
3331,Drymophila genei,92.4,1756
3332,Drymophila hellmayri,95.7,1723
3333,Drymophila klagesi,53.6,965
3334,Drymophila malura,265.7,5049
3335,Drymophila ochropyga,183.3,3483
3336,Drymophila rubricollis,188.2,3575
3337,Drymophila squamata,328.6,6243
3338,Drymophila striaticeps,510.0,9690
3339,Drymornis bridgesii,875.4,16633
3340,Drymotoxeres pucheranii,21.0,378
3341,Dryobates cathpharius,115.6,2197
3342,Dryobates minor,19063.5,362206
3343,Dryobates nuttallii,38226.8,726310
3344,Dryobates pubescens,605921.6,11512511
3345,Dryobates sanguineus,39.4,710
3346,Dryobates scalaris,36420.1,691981
3347,Dryocopus hodgei,87.8,1581
3348,Dryocopus javensis,527.0,10013
3349,Dryocopus lineatus,9993.3,189873
3350,Dryocopus martius,33068.6,628304
3351,Dryocopus pileatus,170418.1,3237944
3352,Dryocopus schulzii,94.9,1803
3353,Dryolimnas cuvieri,75.1,1427
3354,Dryoscopus angolensis,80.2,1524
3355,Dryoscopus cubla,6798.8,129178
3356,Dryoscopus gambensis,430.0,8170
3357,Dryoscopus pringlii,33.7,641
3358,Dryoscopus sabini,49.2,935
3359,Dryoscopus senegalensis,15.4,293
3360,Dryotriorchis spectabilis,22.0,418
3361,Dubusia taeniata,505.3,9601
3362,Ducula aenea,2061.5,39169
3363,Ducula aurorae,3.9,39
3364,Ducula badia,1207.2,22936
3365,Ducula bakeri,20.1,161
3366,Ducula basilica,40.4,606
3367,Ducula bicolor,499.9,9498
3368,Ducula brenchleyi,4.5,54
3369,Ducula carola,8.8,159
3370,Ducula chalconota,15.3,199
3371,Ducula cineracea,9.8,166
3372,Ducula concinna,28.5,456
3373,Ducula finschii,9.9,139
3374,Ducula forsteni,42.9,772
3375,Ducula galeata,3.9,47
3376,Ducula goliath,39.6,753
3377,Ducula lacernulata,31.9,575
3378,Ducula latrans,93.0,1674
3379,Ducula luctuosa,39.3,707
3380,Ducula melanochroa,3.9,51
3381,Ducula mindorensis,3.3,10
3382,Ducula mullerii,24.4,439
3383,Ducula myristicivora,23.2,371
3384,Ducula neglecta,13.9,181
3385,Ducula nicobarica,22.1,265
3386,Ducula oceanica,109.9,1979
3387,Ducula pacifica,91.8,1744
3388,Ducula perspicillata,42.6,725
3389,Ducula pickeringii,18.7,336
3390,Ducula pinon,111.7,2010
3391,Ducula pistrinaria,41.8,752
3392,Ducula poliocephala,23.9,431
3393,Ducula radiata,13.9,250
3394,Ducula rosacea,28.8,518
3395,Ducula rubricera,54.4,980
3396,Ducula rufigaster,32.7,556
3397,Ducula spilorrhoa,1792.9,34065
3398,Ducula subflavescens,16.3,245
3399,Ducula whartoni,41.6,665
3400,Ducula zoeae,110.1,1981
3401,Dulus dominicus,768.9,14610
3402,Dumetella carolinensis,296100.3,5625906
3403,Dumetia hyperythra,1220.6,23191
3404,Dupetor flavicollis,1088.0,20672
3405,Dyaphorophyia castanea,3.5,45
3406,Dyaphorophyia concreta,4.6,23
3407,Dysithamnus leucostictus,24.6,443
3408,Dysithamnus mentalis,2880.4,54728
3409,Dysithamnus occidentalis,55.9,1007
3410,Dysithamnus plumbeus,18.0,324
3411,Dysithamnus puncticeps,281.1,5341
3412,Dysithamnus stictothorax,380.3,7226
3413,Dysithamnus striaticeps,237.4,4510
3414,Dysithamnus xanthopterus,73.7,1401
3415,Eclectus roratus,414.7,7879
3416,Edolisoma anale,4.3,30
3417,Edolisoma ceramense,16.0,192
3418,Edolisoma mindanense,17.2,309
3419,Edolisoma schisticeps,33.8,609
3420,Edolisoma tenuirostre,1563.1,29699
3421,Egretta ardesiaca,990.7,18823
3422,Egretta caerulea,72813.8,1383463
3423,Egretta dimorpha,60.4,1148
3424,Egretta eulophotes,487.9,9271
3425,Egretta garzetta,86848.5,1650122
3426,Egretta gularis,2636.5,50093
3427,Egretta intermedia,20265.9,385053
3428,Egretta novaehollandiae,22578.3,428987
3429,Egretta picata,491.7,9342
3430,Egretta rufescens,12480.8,237136
3431,Egretta sacra,3002.8,57053
3432,Egretta thula,150426.3,2858100
3433,Egretta tricolor,52523.4,997944
3434,Egretta vinaceigula,99.9,1898
3435,Elachura formosa,78.2,1485
3436,Elaenia albiceps,3522.3,66923
3437,Elaenia brachyptera,26.2,498
3438,Elaenia chilensis,11.8,212
3439,Elaenia chiriquensis,897.7,17057
3440,Elaenia cristata,405.4,7703
3441,Elaenia dayi,6.0,78
3442,Elaenia fallax,84.5,1605
3443,Elaenia flavogaster,13708.6,260463
3444,Elaenia frantzii,3030.8,57585
3445,Elaenia gigas,155.8,2805
3446,Elaenia martinica,1691.8,32144
3447,Elaenia mesoleuca,214.5,4076
3448,Elaenia obscura,137.2,2606
3449,Elaenia olivina,7.5,112
3450,Elaenia pallatangae,524.6,9443
3451,Elaenia parvirostris,1564.3,29721
3452,Elaenia pelzelni,15.2,259
3453,Elaenia ridleyana,15.1,242
3454,Elaenia ruficeps,51.1,971
3455,Elaenia sordida,264.7,4765
3456,Elaenia spectabilis,773.5,14697
3457,Elaenia strepera,53.3,959
3458,Elanoides forficatus,12487.1,237254
3459,Elanus axillaris,4850.8,92165
3460,Elanus caeruleus,18270.4,347138
3461,Elanus leucurus,19976.3,379550
3462,Elanus scriptus,20.1,362
3463,Elaphrornis palliseri,37.1,668
3464,Electron carinatum,289.1,5492
3465,Electron platyrhynchum,2372.3,45073
3466,Eleoscytalopus indigoticus,254.7,4839
3467,Eleoscytalopus psychopompus,6.9,110
3468,Eleothreptus anomalus,16.0,288
3469,Eleothreptus candicans,10.5,179
3470,Elliotomyia chionogaster,670.1,12731
3471,Elliotomyia viridicauda,179.9,3418
3472,Elminia albicauda,137.0,2603
3473,Elminia albiventris,27.8,500
3474,Elminia albonotata,99.3,1886
3475,Elminia longicauda,333.8,6342
3476,Elminia nigromitrata,27.1,487
3477,Elseyornis melanops,6568.8,124808
3478,Emarginata schlegelii,694.0,13186
3479,Emarginata sinuata,403.6,7669
3480,Emarginata tractrac,288.1,5473
3481,Emarginata trilucida,1.3,4
3482,Emberiza affinis,33.1,628
3483,Emberiza aureola,255.4,4853
3484,Emberiza bruniceps,338.4,6430
3485,Emberiza buchanani,314.7,5980
3486,Emberiza cabanisi,86.1,1636
3487,Emberiza caesia,462.2,8782
3488,Emberiza calandra,25030.1,475571
3489,Emberiza capensis,2345.5,44564
3490,Emberiza chrysophrys,251.5,4779
3491,Emberiza cia,5607.6,106544
3492,Emberiza cineracea,111.4,2117
3493,Emberiza cioides,1104.8,20992
3494,Emberiza cirlus,10744.3,204142
3495,Emberiza citrinella,95376.1,1812146
3496,Emberiza elegans,903.7,17171
3497,Emberiza flaviventris,3173.3,60292
3498,Emberiza fucata,350.7,6664
3499,Emberiza godlewskii,207.7,3947
3500,Emberiza goslingi,61.2,1163
3501,Emberiza hortulana,3258.6,61914
3502,Emberiza impetuani,1550.9,29467
3503,Emberiza jankowskii,9.7,146
3504,Emberiza koslowi,7.5,127
3505,Emberiza lathami,390.7,7424
3506,Emberiza leucocephalos,412.6,7840
3507,Emberiza leucocephalos x citrinella,9.4,85
3508,Emberiza melanocephala,1342.4,25505
3509,Emberiza pallasi,316.9,6021
3510,Emberiza personata,2.6,23
3511,Emberiza poliopleura,88.8,1687
3512,Emberiza pusilla,1810.8,34405
3513,Emberiza rustica,2087.9,39671
3514,Emberiza rutila,211.9,4027
3515,Emberiza sahari,482.3,9163
3516,Emberiza schoeniclus,95538.3,1815228
3517,Emberiza schoeniclus x citrinella,1.0,1
3518,Emberiza schoeniclus x rustica,1.0,1
3519,Emberiza siemsseni,27.4,494
3520,Emberiza socotrana,4.2,25
3521,Emberiza spodocephala,3261.3,61965
3522,Emberiza stewarti,180.3,3426
3523,Emberiza striolata,383.9,7295
3524,Emberiza sulphurata,221.0,4199
3525,Emberiza tahapisi,2467.4,46880
3526,Emberiza tristrami,345.3,6560
3527,Emberiza variabilis,76.5,1454
3528,Emberiza vincenti,2.6,18
3529,Emberiza yessoensis,66.6,1265
3530,Emberizoides herbicola,819.1,15562
3531,Emberizoides ypiranganus,159.4,3028
3532,Embernagra longicauda,74.3,1412
3533,Embernagra platensis,2583.3,49082
3534,Emblema pictum,200.1,3802
3535,Eminia lepida,462.2,8781
3536,Empidonax affinis,198.4,3769
3537,Empidonax albigularis,354.2,6729
3538,Empidonax alnorum,18501.6,351531
3539,Empidonax atriceps,484.7,9210
3540,Empidonax difficilis,25443.7,483430
3541,Empidonax flavescens,1730.4,32877
3542,Empidonax flaviventris,9842.0,186998
3543,Empidonax fulvifrons,1129.5,21460
3544,Empidonax hammondii,8959.3,170226
3545,Empidonax minimus,42316.8,804020
3546,Empidonax oberholseri,8715.4,165592
3547,Empidonax occidentalis,6045.8,114871
3548,Empidonax traillii,32538.1,618224
3549,Empidonax virescens,24590.3,467215
3550,Empidonax wrightii,5264.9,100033
3551,Empidonomus aurantioatrocristatus,955.6,18156
3552,Empidonomus varius,1834.7,34859
3553,Empidornis semipartitus,246.7,4687
3554,Enicognathus ferrugineus,768.4,14599
3555,Enicognathus leptorhynchus,400.9,7618
3556,Enicurus borneensis,9.5,105
3557,Enicurus immaculatus,163.6,3109
3558,Enicurus leschenaulti,387.9,7371
3559,Enicurus maculatus,504.9,9594
3560,Enicurus ruficapillus,110.7,2103
3561,Enicurus schistaceus,399.5,7591
3562,Enicurus scouleri,374.1,7108
3563,Enicurus velatus,3.2,35
3564,Enodes erythrophris,38.6,695
3565,Ensifera ensifera,844.0,16036
3566,Entomodestes coracinus,224.4,4039
3567,Entomodestes leucotis,137.7,2617
3568,Entomyzon cyanotis,8050.1,152952
3569,Eolophus roseicapilla,35300.9,670718
3570,Eophona migratoria,829.8,15767
3571,Eophona personata,279.7,5315
3572,Eopsaltria australis,13301.8,252735
3573,Eopsaltria georgiana,311.5,5918
3574,Eopsaltria griseogularis,271.0,5149
3575,Eos bornea,2.5,20
3576,Eos cyanogenia,10.5,136
3577,Eos histrio,1.5,3
3578,Eos reticulata,1.0,2
3579,Eos semilarvata,1.0,2
3580,Eos squamata,3.5,28
3581,Ephippiorhynchus asiaticus,1846.8,35090
3582,Ephippiorhynchus senegalensis,1192.8,22664
3583,Ephippiospingus dorsalis,2.0,2
3584,Epimachus fastosus,28.8,460
3585,Epimachus meyeri,63.8,1149
3586,Epinecrophylla erythrura,54.8,986
3587,Epinecrophylla fjeldsaai,1.0,2
3588,Epinecrophylla fulviventris,869.8,16526
3589,Epinecrophylla gutturalis,87.8,1580
3590,Epinecrophylla haematonota,101.2,1923
3591,Epinecrophylla hoffmannsi,1.0,1
3592,Epinecrophylla leucophthalma,126.4,2276
3593,Epinecrophylla ornata,165.6,2981
3594,Epinecrophylla pyrrhonota,6.0,24
3595,Epinecrophylla spodionota,78.3,1410
3596,Epthianura albifrons,2712.6,51539
3597,Epthianura aurifrons,343.7,6531
3598,Epthianura crocea,102.6,1846
3599,Epthianura tricolor,823.1,15639
3600,Eremalauda dunni,28.8,548
3601,Eremobius phoenicurus,170.9,3247
3602,Eremomela atricollis,14.5,232
3603,Eremomela badiceps,64.5,1225
3604,Eremomela canescens,18.6,353
3605,Eremomela flavicrissalis,18.7,356
3606,Eremomela gregalis,108.4,2059
3607,Eremomela icteropygialis,1035.9,19683
3608,Eremomela pusilla,272.7,5181
3609,Eremomela salvadorii,3.2,38
3610,Eremomela scotops,265.1,5037
3611,Eremomela turneri,26.0,494
3612,Eremomela usticollis,778.8,14798
3613,Eremophila alpestris,65263.6,1240009
3614,Eremophila bilopha,173.8,3302
3615,Eremopterix australis,83.5,1503
3616,Eremopterix griseus,2848.3,54118
3617,Eremopterix leucopareia,392.6,7459
3618,Eremopterix leucotis,597.1,11345
3619,Eremopterix nigriceps,383.1,7278
3620,Eremopterix signatus,38.2,726
3621,Eremopterix verticalis,742.1,14099
3622,Eriocnemis aline,90.7,1723
3623,Eriocnemis cupreoventris,122.5,2327
3624,Eriocnemis derbyi,151.3,2874
3625,Eriocnemis glaucopoides,31.6,568
3626,Eriocnemis isabellae,1.0,1
3627,Eriocnemis luciani,267.5,5082
3628,Eriocnemis mirabilis,3.3,30
3629,Eriocnemis mosquera,297.4,5651
3630,Eriocnemis nigrivestis,5.9,107
3631,Eriocnemis vestita,513.3,9752
3632,Erithacus akahige,75.8,1440
3633,Erithacus komadori,58.7,1057
3634,Erithacus rubecula,259214.6,4925077
3635,Erpornis zantholeuca,2212.6,42039
3636,Erythrocercus holochlorus,40.2,763
3637,Erythrocercus livingstonei,43.5,826
3638,Erythrocercus mccallii,70.8,1345
3639,Erythrogenys erythrocnemis,1572.2,29872
3640,Erythrogonys cinctus,2623.1,49838
3641,Erythropitta dohertyi,7.1,64
3642,Erythropitta ussheri,119.7,2274
3643,Erythropygia barbata,40.7,774
3644,Erythropygia coryphoeus,2526.3,47999
3645,Erythropygia galactotes,1288.1,24473
3646,Erythropygia hartlaubi,84.8,1611
3647,Erythropygia leucophrys,4800.0,91200
3648,Erythropygia leucosticta,10.3,175
3649,Erythropygia paena,1852.3,35194
3650,Erythropygia quadrivirgata,606.7,11527
3651,Erythropygia signata,289.0,5491
3652,Erythrotriorchis buergersi,1.5,3
3653,Erythrotriorchis radiatus,29.8,536
3654,Erythrura coloria,17.3,276
3655,Erythrura cyaneovirens,5.8,87
3656,Erythrura cyanovirens,1.0,1
3657,Erythrura gouldiae,178.5,3391
3658,Erythrura hyperythra,11.3,204
3659,Erythrura kleinschmidti,3.2,29
3660,Erythrura papuana,3.6,54
3661,Erythrura pealii,84.3,1518
3662,Erythrura prasina,31.2,592
3663,Erythrura psittacea,25.6,487
3664,Erythrura regia,7.8,31
3665,Erythrura trichroa,96.2,1828
3666,Erythrura tricolor,1.3,10
3667,Erythrura viridifacies,5.3,53
3668,Esacus magnirostris,564.3,10721
3669,Esacus recurvirostris,460.0,8740
3670,Estrilda astrild,15362.8,291893
3671,Estrilda atricapilla,15.6,281
3672,Estrilda caerulescens,234.8,4461
3673,Estrilda charmosyna,38.3,727
3674,Estrilda coerulescens,1.7,12
3675,Estrilda erythronotos,1042.3,19803
3676,Estrilda kandti,41.3,785
3677,Estrilda melpoda,896.1,17025
3678,Estrilda nigriloris,1.3,8
3679,Estrilda nonnula,218.0,4142
3680,Estrilda ochrogaster,6.3,44
3681,Estrilda paludicola,104.6,1988
3682,Estrilda perreini,138.8,2638
3683,Estrilda poliopareia,47.9,431
3684,Estrilda rhodopyga,243.5,4627
3685,Estrilda rufibarba,9.5,105
3686,Estrilda thomensis,11.3,203
3687,Estrilda troglodytes,242.2,4601
3688,Eubucco bourcierii,2739.8,52056
3689,Eubucco richardsoni,261.2,4962
3690,Eubucco tucinkae,34.7,625
3691,Eubucco versicolor,183.6,3488
3692,Eucometis penicillata,2402.7,45652
3693,Eudocimus albus,72523.2,1377941
3694,Eudocimus ruber,863.8,16413
3695,Eudromia elegans,343.6,6529
3696,Eudromia formosa,19.3,348
3697,Eudynamys orientalis,4028.7,76545
3698,Eudynamys scolopaceus,30766.4,584561
3699,Eudyptes chrysocome,139.8,2656
3700,Eudyptes chrysolophus,2495.0,47405
3701,Eudyptes filholi,2.3,21
3702,Eudyptes moseleyi,8.4,135
3703,Eudyptes pachyrhynchus,108.8,2068
3704,Eudyptes robustus,11.3,214
3705,Eudyptes schlegeli,17.2,292
3706,Eudyptes sclateri,16.1,274
3707,Eudyptula minor,1898.5,36071
3708,Eugenes fulgens,4318.6,82054
3709,Eugenes spectabilis,1039.3,19747
3710,Eugerygone rubra,31.2,499
3711,Eugralla paradoxa,215.3,4091
3712,Eulabeornis castaneoventris,7.3,117
3713,Eulacestoma nigropectus,23.4,351
3714,Eulampis holosericeus,715.2,13588
3715,Eulampis jugularis,280.1,5321
3716,Eulidia yarrellii,2.8,33
3717,Eulipoa wallacei,7.1,113
3718,Eumomota superciliosa,4456.8,84679
3719,Eumyias albicaudatus,357.5,6792
3720,Eumyias indigo,191.5,3638
3721,Eumyias panayensis,127.1,2287
3722,Eumyias sordidus,69.4,1318
3723,Eumyias thalassinus,2855.2,54249
3724,Euneornis campestris,219.5,4170
3725,Eunymphicus cornutus,23.9,455
3726,Euodice cantans,883.1,16779
3727,Euodice malabarica,6876.5,130653
3728,Eupetes macrocerus,64.5,1225
3729,Eupetomena cirrochloris,559.2,10624
3730,Eupetomena macroura,3309.7,62884
3731,Euphagus carolinus,20618.9,391759
3732,Euphagus cyanocephalus,70253.5,1334817
3733,Eupherusa cyanophrys,47.5,903
3734,Eupherusa eximia,1271.6,24161
3735,Eupherusa nigriventris,278.9,5300
3736,Eupherusa poliocerca,21.8,349
3737,Eupherusa ridgwayi,77.6,1397
3738,Euphonia affinis,3625.4,68882
3739,Euphonia anneae,1067.8,20289
3740,Euphonia cayennensis,104.6,1882
3741,Euphonia chalybea,108.0,2052
3742,Euphonia chlorotica,4055.7,77058
3743,Euphonia chrysopasta,743.1,14118
3744,Euphonia concinna,240.7,4332
3745,Euphonia cyanocephala,908.6,17264
3746,Euphonia elegantissima,1509.0,28671
3747,Euphonia finschi,49.9,949
3748,Euphonia fulvicrissa,515.4,9793
3749,Euphonia godmani,383.6,7288
3750,Euphonia gouldi,3118.8,59257
3751,Euphonia hirundinacea,6546.4,124381
3752,Euphonia imitans,741.2,14083
3753,Euphonia jamaica,270.7,5143
3754,Euphonia laniirostris,7179.8,136416
3755,Euphonia luteicapilla,3211.0,61009
3756,Euphonia mesochrysa,275.0,5225
3757,Euphonia minuta,749.0,14231
3758,Euphonia musica,270.8,5145
3759,Euphonia pectoralis,1113.1,21149
3760,Euphonia plumbea,73.4,1322
