"","family","year","n"
"822","Alcedinidae",2007,113582
"823","Phylloscopidae",2014,407206
"824","Procellariidae",2018,149645
"825","Apodidae",2005,54743
"826","Cardinalidae",2008,355625
"827","Falconidae",2004,135270
"828","Zosteropidae",2008,33901
"829","Phaethontidae",2012,2221
"830","Pteroclididae",2010,2585
"831","Psittacidae",2015,481659
"832","Numididae",2017,25904
"833","Chloropseidae",2017,14394
"834","Cracticidae",2008,65515
"835","Monarchidae",2017,138252
"836","Acanthizidae",2009,64232
"837","Sulidae",2007,273443
"838","Passerellidae",2015,6175
"839","Sturnidae",2014,1015585
"840","Spheniscidae",2005,14086
"841","Panuridae",2007,6741
"842","Thraupidae",2010,107394
"843","Indicatoridae",2006,675
"844","Strigidae",2004,60892
"845","Diomedeidae",2016,20214
"846","Acanthisittidae",2007,149
"847","Procellariidae",2011,64591
"848","Acanthizidae",2005,53117
"849","Zosteropidae",2014,61739
"850","Ciconiidae",2008,33691
"851","Picidae",2004,349136
