"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"2218","Speckled Hummingbird (inornata)","Colibri mouchete (inornata)","Adelomyia melanogenys inornata","Colibri Jaspeado (inornata)",NA,NA,NA,NA,NA,NA
"2219","Long-tailed Sylph","Sylphe a queue d'azur","Aglaiocercus kingii","Silfo de King",NA,NA,NA,NA,NA,NA
"2220","Violet-tailed Sylph","Sylphe a queue violette","Aglaiocercus coelestis","Silfo Celeste",NA,NA,NA,NA,NA,NA
"2221","Venezuelan Sylph","Sylphe du Venezuela","Aglaiocercus berlepschi","Silfo de Berlepsch",NA,NA,NA,NA,NA,NA
"2222","Red-tailed Comet","Colibri sapho","Sappho sparganurus","Colibri Cometa",NA,NA,NA,NA,1532,6.9
"2223","Bronze-tailed Comet","Colibri de Bourcier","Polyonymus caroli","Colibri Colibronce",NA,NA,NA,NA,NA,NA
"2224","Gray-bellied Comet","Colibri comete","Taphrolesbia griseiventris","Colibri Ventrigris",NA,NA,NA,NA,NA,NA
"2225","Ecuadorian Hillstar","Colibri du Chimborazo","Oreotrochilus chimborazo","Colibri del Chimborazo",NA,NA,NA,NA,NA,NA
"2226","Blue-throated Hillstar","Colibri d'El Oro","Oreotrochilus cyanolaemus","Colibri Chivito de Arcos",NA,NA,NA,NA,NA,NA
"2227","Green-headed Hillstar","Colibri de Stolzmann","Oreotrochilus stolzmanni","Colibri de Cabeza Verde",NA,NA,NA,NA,NA,NA
"2228","Black-breasted Hillstar","Colibri a plastron noir","Oreotrochilus melanogaster","Colibri Pechinegro",NA,NA,NA,NA,NA,NA
"2229","Green-headed/Black-breasted Hillstar","Colibri de Stolzmann ou C. a plastron noir","Oreotrochilus stolzmanni/melanogaster","Colibri de Cabeza Verde/Pechinegro",NA,NA,NA,NA,NA,NA
"2230","Andean Hillstar","Colibri d'Estelle","Oreotrochilus estella","Colibri Puneno",NA,NA,NA,NA,NA,NA
"2231","White-sided Hillstar","Colibri a flancs blancs","Oreotrochilus leucopleurus","Colibri Cordillerano",NA,NA,NA,NA,NA,NA
"2232","Wedge-tailed Hillstar","Colibri adele","Oreotrochilus adela","Colibri de Cochabamba",NA,NA,NA,NA,NA,NA
"2233","Oreotrochilus sp.","Oreotrochilus sp.","Oreotrochilus sp.","Colibri (Oreotrochilus) sp.",NA,NA,NA,NA,NA,NA
"2234","Mountain Avocetbill","Colibri avocettin","Opisthoprora euryptera","Colibri Picolezna",NA,NA,NA,NA,NA,NA
"2235","Black-tailed Trainbearer","Porte-traine lesbie","Lesbia victoriae","Colibri Colilargo Mayor",NA,NA,NA,NA,NA,NA
"2236","Green-tailed Trainbearer","Porte-traine nouna","Lesbia nuna","Colibri Colilargo Menor",NA,NA,NA,NA,NA,NA
"2237","Black-tailed/Green-tailed Trainbearer","Porte-traine lesbie ou P.-t. nouna","Lesbia victoriae/nuna","Colibri Colilargo Mayor/Menor",NA,NA,NA,NA,NA,NA
"2238","Black-backed Thornbill","Colibri a dos noir","Ramphomicron dorsale","Colibri Piquicorto Dorsinegro",NA,NA,NA,NA,NA,NA
"2239","Purple-backed Thornbill","Colibri a petit bec","Ramphomicron microrhynchum","Colibri Piquicorto Comun",NA,NA,NA,NA,NA,NA
"2240","Rufous-capped Thornbill","Metallure a tete rousse","Chalcostigma ruficeps","Colibri Capirrufo",NA,NA,NA,NA,NA,NA
"2241","Olivaceous Thornbill","Metallure olivatre","Chalcostigma olivaceum","Colibri Olivaceo",NA,NA,NA,NA,NA,NA
"2242","Blue-mantled Thornbill","Metallure de Stanley","Chalcostigma stanleyi","Colibri de Stanley",NA,NA,NA,NA,NA,NA
"2243","Bronze-tailed Thornbill","Metallure a queue bronzee","Chalcostigma heteropogon","Colibri Picoespina",NA,NA,NA,NA,NA,NA
"2244","Rainbow-bearded Thornbill","Metallure arc-en-ciel","Chalcostigma herrani","Colibri de Herran",NA,NA,NA,NA,NA,NA
"2245","Buffy Helmetcrest","Colibri de Stubel","Oxypogon stuebelii","Colibri Chivito del Nevado del Ruiz",NA,NA,NA,NA,NA,NA
"2246","Blue-bearded Helmetcrest","Colibri a barbe bleue","Oxypogon cyanolaemus","Colibri Chivito de Santa Marta",473,2.12,NA,NA,NA,NA
"2247","White-bearded Helmetcrest","Colibri de Linden","Oxypogon lindenii","Colibri Chivito de Merida",NA,NA,NA,NA,NA,NA
"2248","Green-bearded Helmetcrest","Colibri casque","Oxypogon guerinii","Colibri Chivito de Bogota",NA,NA,NA,NA,NA,NA
"2249","helmetcrest sp.","Oxypogon sp.","Oxypogon sp.","Colibri chivito sp.",NA,NA,NA,NA,NA,NA
"2250","Bearded Mountaineer","Colibri noble","Oreonympha nobilis","Colibri Noble Oriental",NA,NA,NA,NA,NA,NA
"2251","Bearded Mountaineer (Western)","Colibri noble (albolimbata)","Oreonympha nobilis albolimbata","Colibri Noble Oriental (albolimbata)",NA,NA,NA,NA,NA,NA
"2252","Bearded Mountaineer (Eastern)","Colibri noble (nobilis)","Oreonympha nobilis nobilis","Colibri Noble Oriental (nobilis)",NA,NA,NA,NA,NA,NA
"2253","Perija Metaltail","Metallure doree","Metallura iracunda","Metalura Iracunda",NA,NA,NA,NA,NA,NA
"2254","Tyrian Metaltail","Metallure emeraude","Metallura tyrianthina","Metalura Tiria",NA,NA,NA,NA,NA,NA
"2255","Tyrian Metaltail (Santa Marta)","Metallure emeraude (districta)","Metallura tyrianthina districta","Metalura Tiria (districta)",NA,NA,NA,NA,NA,NA
"2256","Tyrian Metaltail (Costa)","Metallure emeraude (chloropogon)","Metallura tyrianthina chloropogon","Metalura Tiria (chloropogon)",NA,NA,NA,NA,NA,NA
"2257","Tyrian Metaltail (Merida)","Metallure emeraude (oreopola)","Metallura tyrianthina oreopola","Metalura Tiria (oreopola)",NA,NA,NA,NA,NA,NA
"2258","Tyrian Metaltail (Tyrian)","Metallure emeraude (tyrianthina/quitensis)","Metallura tyrianthina tyrianthina/quitensis","Metalura Tiria (tyrianthina/quitensis)",NA,NA,NA,NA,NA,NA
"2259","Tyrian Metaltail (septentrionalis)","Metallure emeraude (septentrionalis)","Metallura tyrianthina septentrionalis","Metalura Tiria (septentrionalis)",NA,NA,NA,NA,NA,NA
"2260","Tyrian Metaltail (smaragdinicollis)","Metallure emeraude (smaragdinicollis)","Metallura tyrianthina smaragdinicollis","Metalura Tiria (smaragdinicollis)",NA,NA,NA,NA,NA,NA
"2261","Long-tailed Sylph x Tyrian Metaltail (hybrid)","Hybride Sylphe a queue d'azur x Metallure emeraude","Aglaiocercus kingii x Metallura tyrianthina","Silfo de King x Metalura Tiria (hibrido)",NA,NA,NA,NA,NA,NA
"2262","Viridian Metaltail","Metallure verte","Metallura williami","Metalura Verde",NA,NA,NA,NA,NA,NA
"2263","Viridian Metaltail (recisa)","Metallure verte (recisa)","Metallura williami recisa","Metalura Verde (recisa)",NA,NA,NA,NA,NA,NA
"2264","Viridian Metaltail (Viridian)","Metallure verte (williami)","Metallura williami williami","Metalura Verde (williami)",NA,NA,NA,NA,NA,NA
"2265","Viridian Metaltail (Ecuadorian)","Metallure verte (primolina)","Metallura williami primolina","Metalura Verde (primolina)",NA,NA,NA,NA,NA,NA
"2266","Viridian Metaltail (Black-throated)","Metallure verte (atrigularis)","Metallura williami atrigularis","Metalura Verde (atrigularis)",NA,NA,NA,NA,NA,NA
"2267","Violet-throated Metaltail","Metallure de Baron","Metallura baroni","Metalura de Azuay",NA,NA,NA,NA,NA,NA
"2268","Neblina Metaltail","Metallure du Chinguela","Metallura odomae","Metalura del Chinguela",NA,NA,NA,NA,NA,NA
"2269","Coppery Metaltail","Metallure de Therese","Metallura theresiae","Metalura de Teresa",NA,NA,NA,NA,NA,NA
"2270","Fire-throated Metaltail","Metallure a gorge feu","Metallura eupogon","Metalura Barbafuego",NA,NA,NA,NA,NA,NA
"2271","Scaled Metaltail","Metallure a queue d'airain","Metallura aeneocauda","Metalura Escamosa",NA,NA,NA,NA,NA,NA
"2272","Black Metaltail","Metallure phebe","Metallura phoebe","Metalura Negra",723,3.24,NA,NA,NA,NA
"2273","metaltail sp.","Metallure sp.","Metallura sp.","Metalura sp.",NA,NA,NA,NA,NA,NA
"2274","Greenish Puffleg","erione d'Aurelie","Haplophaedia aureliae","Calzadito Verdoso Norteno",NA,NA,NA,NA,NA,NA
"2275","Buff-thighed Puffleg","erione a pattes rousses","Haplophaedia assimilis","Calzadito Verdoso Sureno",NA,NA,NA,NA,NA,NA
"2276","Hoary Puffleg","erione givree","Haplophaedia lugens","Calzadito Canoso",721,3.23,NA,NA,NA,NA
"2277","Black-breasted Puffleg","erione a robe noire","Eriocnemis nigrivestis","Calzadito Pechinegro",NA,NA,NA,NA,NA,NA
"2278","Gorgeted Puffleg","erione d'Isabella","Eriocnemis isabellae","Calzadito del Pinche",270,1.21,NA,NA,NA,NA
"2279","Glowing Puffleg","erione pattue","Eriocnemis vestita","Calzadito Reluciente",NA,NA,NA,NA,NA,NA
"2280","Black-thighed Puffleg","erione de Derby","Eriocnemis derbyi","Calzadito Patinegro",NA,NA,NA,NA,NA,NA
"2281","Turquoise-throated Puffleg","erione turquoise","Eriocnemis godini","Calzadito Turquesa",NA,NA,NA,NA,NA,NA
"2282","Coppery-bellied Puffleg","erione a ventre cuivre","Eriocnemis cupreoventris","Calzadito Cobrizo",NA,NA,NA,NA,NA,NA
"2283","Sapphire-vented Puffleg","erione catherine","Eriocnemis luciani","Calzadito Colilargo Norteno",NA,NA,NA,NA,NA,NA
"2284","Sapphire-vented Puffleg (Sapphire-vented)","erione catherine (groupe luciani)","Eriocnemis luciani [luciani Group]","Calzadito Colilargo Norteno (grupo luciani)",NA,NA,NA,NA,NA,NA
"2285","Sapphire-vented Puffleg (Coppery-naped)","erione catherine (sapphiropygia/catharina)","Eriocnemis luciani sapphiropygia/catharina","Calzadito Colilargo Norteno (sapphiropygia/catharina)",NA,NA,NA,NA,NA,NA
"2286","Golden-breasted Puffleg","erione a poitrine d'or","Eriocnemis mosquera","Calzadito de Mosquera",NA,NA,NA,NA,NA,NA
"2287","Blue-capped Puffleg","erione a front bleu","Eriocnemis glaucopoides","Calzadito Frentiazul",NA,NA,NA,NA,NA,NA
"2288","Colorful Puffleg","erione multicolore","Eriocnemis mirabilis","Calzadito Admirable",NA,NA,NA,NA,NA,NA
"2289","Emerald-bellied Puffleg","erione d'Aline","Eriocnemis aline","Calzadito Pechiblanco",NA,NA,NA,NA,NA,NA
"2290","Marvelous Spatuletail","Loddigesie admirable","Loddigesia mirabilis","Colibri Admirable",1809,8.11,NA,NA,NA,NA
"2291","Shining Sunbeam","Colibri etincelant","Aglaeactis cupripennis","Colibri Cobrizo",NA,NA,NA,NA,NA,NA
"2292","White-tufted Sunbeam","Colibri de Castelnau","Aglaeactis castelnaudii","Colibri Condecorado",NA,NA,NA,NA,NA,NA
"2293","Shining x White-tufted Sunbeam (hybrid)","Hybride Colibri etincelant x C. de Castelnau","Aglaeactis cupripennis x castelnaudii","Colibri Cobrizo x Condecorado (hibrido)",NA,NA,NA,NA,NA,NA
"2294","Purple-backed Sunbeam","Colibri d'Alice","Aglaeactis aliciae","Colibri de Alicia",NA,NA,NA,NA,NA,NA
"2295","Black-hooded Sunbeam","Colibri pamela","Aglaeactis pamela","Colibri Negrito",NA,NA,NA,NA,NA,NA
"2296","Bronzy Inca","Inca celeste","Coeligena coeligena","Inca Bronceado",541,2.43,NA,NA,NA,NA
"2297","Brown Inca","Inca brun","Coeligena wilsoni","Inca Pardo",2850,12.78,NA,NA,NA,NA
"2298","Black Inca","Inca noir","Coeligena prunellei","Inca Negro",5861,26.28,NA,NA,7167,32.28
"2299","Collared Inca","Inca a collier","Coeligena torquata","Inca Acollarado",852,3.82,NA,NA,NA,NA
"2300","Collared Inca (Green)","Inca a collier (conradii)","Coeligena torquata conradii","Inca Acollarado (verde)",NA,NA,NA,NA,NA,NA
"2301","Collared Inca (Collared)","Inca a collier (groupe torquata)","Coeligena torquata [torquata Group]","Inca Acollarado (grupo torquata)",NA,NA,NA,NA,NA,NA
"2302","Collared Inca (Vilcabamba)","Inca a collier (eisenmanni)","Coeligena torquata eisenmanni","Inca Acollarado (de Vilcabamba)",NA,NA,NA,NA,NA,NA
"2303","Collared Inca (Gould's)","Inca a collier (inca/omissa)","Coeligena torquata inca/omissa","Inca Acollarado (inca/omissa)",NA,NA,NA,NA,NA,NA
"2304","Violet-throated Starfrontlet","Inca violifere","Coeligena violifer","Inca Boliviano",NA,NA,NA,NA,NA,NA
"2305","Violet-throated Starfrontlet (Huanuco)","Inca violifere (dichroura)","Coeligena violifer dichroura","Inca Boliviano (dichroura)",NA,NA,NA,NA,NA,NA
"2306","Violet-throated Starfrontlet (Apurimac)","Inca violifere (albicaudata)","Coeligena violifer albicaudata","Inca Boliviano (albicaudata)",NA,NA,NA,NA,NA,NA
"2307","Violet-throated Starfrontlet (Cuzco)","Inca violifere (osculans)","Coeligena violifer osculans","Inca Boliviano (osculans)",NA,NA,NA,NA,NA,NA
"2308","Violet-throated Starfrontlet (Bolivian)","Inca violifere (violifer)","Coeligena violifer violifer","Inca Boliviano (violifer)",NA,NA,NA,NA,NA,NA
"2309","Rainbow Starfrontlet","Inca iris","Coeligena iris","Inca Arcoiris",611,2.74,2097,9.45,1341,6.04
"2310","White-tailed Starfrontlet","Inca a queue blanche","Coeligena phalerata","Inca Coliblanco",NA,NA,NA,NA,NA,NA
"2311","Dusky Starfrontlet","Inca de Wetmore","Coeligena orina","Inca de Antioquia",NA,NA,NA,NA,NA,NA
"2312","Buff-winged Starfrontlet","Inca a gemme bleue","Coeligena lutetiae","Inca Alihabano",NA,NA,NA,NA,NA,NA
"2313","Golden-bellied Starfrontlet","Inca de Bonaparte","Coeligena bonapartei","Inca de Bogota",NA,NA,NA,NA,NA,NA
"2314","Golden-bellied Starfrontlet (Perija)","Inca de Bonaparte (consita)","Coeligena bonapartei consita","Inca de Bogota (consita)",NA,NA,NA,NA,NA,NA
"2315","Golden-bellied Starfrontlet (Golden-bellied)","Inca de Bonaparte (bonapartei)","Coeligena bonapartei bonapartei","Inca de Bogota (bonapartei)",NA,NA,NA,NA,NA,NA
"2316","Golden-bellied Starfrontlet (Golden-tailed)","Inca de Bonaparte (eos)","Coeligena bonapartei eos","Inca de Bogota (eos)",NA,NA,NA,NA,NA,NA
"2317","Blue-throated Starfrontlet","Inca porphyre","Coeligena helianthea","Inca Ventrivioleta",NA,NA,NA,NA,NA,NA
"2318","Mountain Velvetbreast","Colibri de Lafresnaye","Lafresnaya lafresnayi","Colibri Aterciopelado",NA,NA,NA,NA,NA,NA
"2319","Sword-billed Hummingbird","Colibri porte-epee","Ensifera ensifera","Colibri Picoespada",1192,5.35,NA,NA,NA,NA
"2320","Great Sapphirewing","Colibri a ailes saphir","Pterophanes cyanopterus","Colibri Aliazul",NA,NA,NA,NA,NA,NA
"2321","Buff-tailed Coronet","Colibri flavescent","Boissonneaua flavescens","Colibri Colihabano",NA,NA,NA,NA,NA,NA
"2322","Chestnut-breasted Coronet","Colibri de Matthews","Boissonneaua matthewsii","Colibri Pechirrojo",NA,NA,NA,NA,NA,NA
"2323","Velvet-purple Coronet","Colibri de Jardine","Boissonneaua jardini","Colibri Sietecolores",NA,NA,NA,NA,NA,NA
"2324","Buff-tailed x Velvet-purple Coronet (hybrid)","Hybride Colibri flavescent x C. de Jardine","Boissonneaua flavescens x jardini","Colibri Colihabano x Sietecolores (hibrido)",NA,NA,NA,NA,NA,NA
"2325","Booted Racket-tail","Haut-de-chausses a palettes","Ocreatus underwoodii","Colibri de Raquetas",NA,NA,NA,NA,NA,NA
"2326","Booted Racket-tail (White-booted)","Haut-de-chausses a palettes (groupe underwoodii)","Ocreatus underwoodii [underwoodii Group]","Colibri de Raquetas (grupo underwoodii)",NA,NA,NA,NA,NA,NA
"2327","Booted Racket-tail (Peruvian)","Haut-de-chausses a palettes (peruanus)","Ocreatus underwoodii peruanus","Colibri de Raquetas (peruanus)",NA,NA,NA,NA,NA,NA
"2328","Booted Racket-tail (Anna's)","Haut-de-chausses a palettes (annae)","Ocreatus underwoodii annae","Colibri de Raquetas (annae)",NA,NA,NA,NA,NA,NA
"2329","Booted Racket-tail (Adda's)","Haut-de-chausses a palettes (addae)","Ocreatus underwoodii addae","Colibri de Raquetas (addae)",NA,NA,NA,NA,NA,NA
"2330","Rufous-gaped Hillstar","Colibri de Bouguer","Urochroa bougueri","Colibri de Bouguer Occidental",NA,NA,NA,NA,NA,NA
"2331","Green-backed Hillstar","Colibri a queue blanche","Urochroa leucura","Colibri de Bouguer Oriental",NA,NA,NA,NA,NA,NA
"2332","Purple-bibbed Whitetip","Colibri de Benjamin","Urosticte benjamini","Colibri Puntiblanco Occidental",NA,NA,NA,NA,NA,NA
"2333","Rufous-vented Whitetip","Colibri a sous-caudales rousses","Urosticte ruficrissa","Colibri Puntiblanco Oriental",NA,NA,NA,NA,NA,NA
"2334","Velvet-browed Brilliant","Brillant a couronne verte","Heliodoxa xanthogonys","Brillante de Tepuy",NA,NA,NA,NA,NA,NA
"2335","Pink-throated Brilliant","Brillant a gorge rose","Heliodoxa gularis","Brillante Gorjirrosado",NA,NA,NA,NA,NA,NA
"2336","Rufous-webbed Brilliant","Brillant de Branicki","Heliodoxa branickii","Brillante Alicanela",NA,NA,NA,NA,NA,NA
"2337","Black-throated Brilliant","Brillant a gorge noire","Heliodoxa schreibersii","Brillante Ventrinegro",NA,NA,NA,NA,NA,NA
"2338","Black-throated Brilliant (Black-throated)","Brillant a gorge noire (schreibersii)","Heliodoxa schreibersii schreibersii","Brillante Ventrinegro (schreibersii)",NA,NA,NA,NA,NA,NA
"2339","Black-throated Brilliant (Black-breasted)","Brillant a gorge noire (whitelyana)","Heliodoxa schreibersii whitelyana","Brillante Ventrinegro (whitelyana)",NA,NA,NA,NA,NA,NA
"2340","Gould's Jewelfront","Brillant a bandeau bleu","Heliodoxa aurescens","Brillante Pechicastano",NA,NA,NA,NA,NA,NA
"2341","Fawn-breasted Brilliant","Brillant rubinoide","Heliodoxa rubinoides","Brillante Pechigamuza",NA,NA,NA,NA,NA,NA
"2342","Green-crowned Brilliant","Brillant fer-de-lance","Heliodoxa jacula","Brillante Coroniverde",NA,NA,NA,NA,NA,NA
"2343","Empress Brilliant","Brillant imperatrice","Heliodoxa imperatrix","Brillante Emperador",1984,8.9,NA,NA,NA,NA
"2344","Violet-fronted Brilliant","Brillant a front violet","Heliodoxa leadbeateri","Brillante Frentivioleta",NA,NA,NA,NA,NA,NA
"2345","Brazilian Ruby","Colibri rubis-emeraude","Clytolaema rubricauda","Colibri Colirrojo",6749,30.26,NA,NA,NA,NA
"2346","Giant Hummingbird","Colibri geant","Patagona gigas","Colibri Gigante",2975,13.34,NA,NA,2970,13.38
"2347","Violet-chested Hummingbird","Colibri a poitrine violette","Sternoclyta cyanopectus","Colibri Pechiazul",NA,NA,NA,NA,NA,NA
"2348","Scissor-tailed Hummingbird","Colibri a queue en ciseaux","Hylonympha macrocerca","Colibri Tijereta",NA,NA,NA,NA,1315,5.92
"2349","Rivoli's Hummingbird","Colibri de Rivoli","Eugenes fulgens","Colibri Magnifico",NA,NA,NA,NA,NA,NA
"2350","Talamanca Hummingbird","Colibri de la Talamanca","Eugenes spectabilis","Colibri de Talamanca",NA,NA,NA,NA,NA,NA
"2351","Long-billed Starthroat","Colibri corinne","Heliomaster longirostris","Colibri Piquilargo",NA,NA,NA,NA,NA,NA
"2352","Plain-capped Starthroat","Colibri de Constant","Heliomaster constantii","Colibri Pochotero",NA,NA,NA,NA,NA,NA
"2353","Long-billed/Plain-capped Starthroat","Colibri corinne ou C. de Constant","Heliomaster longirostris/constantii","Colibri Piquilargo/Pochotero",NA,NA,NA,NA,NA,NA
"2354","Stripe-breasted Starthroat","Colibri mediastin","Heliomaster squamosus","Colibri Escamoso",NA,NA,NA,NA,NA,NA
"2355","Blue-tufted Starthroat","Colibri d'Angele","Heliomaster furcifer","Colibri de Barbijo",NA,NA,NA,NA,NA,NA
"2356","Fiery-throated Hummingbird","Colibri insigne","Panterpe insignis","Colibri Insigne",1063,4.77,NA,NA,NA,NA
"2357","Green-throated Mountain-gem","Colibri vert-d'eau","Lampornis viridipallens","Colibri Gorjiescamoso",NA,NA,NA,NA,NA,NA
"2358","Green-breasted Mountain-gem","Colibri de Sybil","Lampornis sybillae","Colibri de Sibila",NA,NA,NA,NA,NA,NA
"2359","Amethyst-throated Mountain-gem","Colibri a gorge amethyste","Lampornis amethystinus","Colibri Amatistino",NA,NA,NA,NA,NA,NA
"2360","Amethyst-throated Mountain-gem (Amethyst-throated)","Colibri a gorge amethyste (groupe amethystinus)","Lampornis amethystinus [amethystinus Group]","Colibri Amatistino (grupo amethystinus)",NA,NA,NA,NA,NA,NA
"2361","Amethyst-throated Mountain-gem (Violet-throated)","Colibri a gorge amethyste (margaritae)","Lampornis amethystinus margaritae","Colibri Amatistino (margaritae)",NA,NA,NA,NA,NA,NA
"2362","Blue-throated Mountain-gem","Colibri a gorge bleue","Lampornis clemenciae","Colibri Gorjiazul",NA,NA,NA,NA,NA,NA
"2363","White-bellied Mountain-gem","Colibri a gorge lilas","Lampornis hemileucus","Colibri Gorjivioleta",NA,NA,NA,NA,NA,NA
"2364","Purple-throated Mountain-gem","Colibri a gorge pourpree","Lampornis calolaemus","Colibri Gorjipurpura",NA,NA,NA,NA,NA,NA
"2365","White-throated Mountain-gem","Colibri a ventre chatain","Lampornis castaneoventris","Colibri Ventricastano",NA,NA,NA,NA,NA,NA
"2366","White-throated Mountain-gem (Blue-tailed)","Colibri a ventre chatain (castaneoventris)","Lampornis castaneoventris castaneoventris","Colibri Ventricastano (castaneoventris)",NA,NA,NA,NA,NA,NA
"2367","White-throated Mountain-gem (Gray-tailed)","Colibri a ventre chatain (cinereicauda)","Lampornis castaneoventris cinereicauda","Colibri Ventricastano (cinereicauda)",NA,NA,NA,NA,NA,NA
"2368","Purple-throated x White-throated Mountain-gem (hybrid)","Hybride Colibri a gorge pourpree x C. a ventre chatain","Lampornis calolaemus x castaneoventris","Colibri Gorjipurpura x Ventricastano (hibrido)",NA,NA,NA,NA,NA,NA
"2369","Purple-throated/White-throated Mountain-gem","Colibri a gorge pourpree ou C. a ventre chatain","Lampornis calolaemus/castaneoventris","Colibri Gorjipururea/Ventricastano",NA,NA,NA,NA,NA,NA
"2370","Garnet-throated Hummingbird","Colibri a gorge grenat","Lamprolaima rhami","Colibri Alicastano",NA,NA,NA,NA,NA,NA
"2371","Sparkling-tailed Hummingbird","Colibri zemes","Tilmatura dupontii","Colibri de Dupont",NA,NA,NA,NA,NA,NA
"2372","Amethyst Woodstar","Colibri amethyste","Calliphlox amethystina","Colibri Amatista",1142,5.12,NA,NA,NA,NA
"2373","Peruvian Sheartail","Colibri cora","Thaumastura cora","Colibri Cora",NA,NA,NA,NA,NA,NA
"2374","Short-tailed Woodstar","Colibri a queue courte","Myrmia micrura","Colibri Colicorto",NA,NA,NA,NA,NA,NA
"2375","Purple-collared Woodstar","Colibri de Fanny","Myrtis fanny","Colibri de Myrtis",NA,NA,NA,NA,NA,NA
"2376","Oasis Hummingbird","Colibri vesper","Rhodopis vesper","Colibri del Atacama",2243,10.06,NA,NA,NA,NA
"2377","Chilean Woodstar","Colibri d'Arica","Eulidia yarrellii","Colibri de Arica",NA,NA,NA,NA,1981,8.92
"2378","Peruvian Sheartail x Chilean Woodstar (hybrid)","Hybride Colibri d'Arica x C. cora","Thaumastura cora x Eulidia yarrellii","Colibri de Arica x Cora (hibrido)",NA,NA,NA,NA,NA,NA
"2379","Slender-tailed Woodstar","Colibri de Burmeister","Microstilbon burmeisteri","Colibri de Burmeister",NA,NA,NA,NA,NA,NA
"2380","White-bellied Woodstar","Colibri de Mulsant","Chaetocercus mulsant","Colibri de Mulsant",NA,NA,NA,NA,NA,NA
"2381","Little Woodstar","Colibri bourdon","Chaetocercus bombus","Colibri Abejorro",643,2.88,1038,4.68,2709,12.2
"2382","Gorgeted Woodstar","Colibri d'Heliodore","Chaetocercus heliodor","Colibri de Heliodoro",847,3.8,NA,NA,NA,NA
"2383","Santa Marta Woodstar","Colibri de Santa Marta","Chaetocercus astreans","Colibri Astral",NA,NA,NA,NA,NA,NA
"2384","Esmeraldas Woodstar","Colibri de Berlepsch","Chaetocercus berlepschi","Colibri de Esmeraldas",403,1.81,NA,NA,NA,NA
"2385","Rufous-shafted Woodstar","Colibri de Jourdan","Chaetocercus jourdanii","Colibri de Jourdan",NA,NA,NA,NA,NA,NA
"2386","Chaetocercus sp.","Chaetocercus sp.","Chaetocercus sp.","Chaetocercus sp.",NA,NA,NA,NA,NA,NA
"2387","Magenta-throated Woodstar","Colibri magenta","Philodice bryantae","Colibri Magenta",NA,NA,NA,NA,NA,NA
"2388","Purple-throated Woodstar","Colibri de Mitchell","Philodice mitchellii","Colibri de Mitchell",NA,NA,NA,NA,NA,NA
"2389","woodstar sp.","Colibri sp. (woodstar sp.)","Trochilidae sp. (woodstar sp.)","Colibri/Diamante sp. (Trochilidae sp.)",NA,NA,NA,NA,NA,NA
"2390","Slender Sheartail","Colibri a queue singuliere","Doricha enicura","Colibri Colirraro",NA,NA,NA,NA,NA,NA
"2391","Mexican Sheartail","Colibri d'Eliza","Doricha eliza","Colibri de Elisa",NA,NA,NA,NA,NA,NA
"2392","Lucifer Hummingbird","Colibri lucifer","Calothorax lucifer","Colibri Luminoso",3757,16.85,1581,7.12,NA,NA
"2393","Beautiful Hummingbird","Colibri charmant","Calothorax pulcher","Colibri Bonito",8669,38.87,NA,NA,NA,NA
"2394","Lucifer/Beautiful Hummingbird","Colibri lucifer ou C. charmant","Calothorax lucifer/pulcher","Colibri Luminoso/Bonito",NA,NA,NA,NA,NA,NA
"2395","Ruby-throated Hummingbird","Colibri a gorge rubis","Archilochus colubris","Colibri Gorjirrubi",3957,17.74,1184,5.33,NA,NA
"2396","Black-chinned Hummingbird","Colibri a gorge noire","Archilochus alexandri","Colibri Gorjinegro",2380,10.67,NA,NA,NA,NA
"2397","Lucifer x Black-chinned Hummingbird (hybrid)","Hybride Colibri lucifer x C. a gorge noire","Calothorax lucifer x Archilochus alexandri","Colibri Luminoso x Gorjinegro (hibrido)",NA,NA,NA,NA,NA,NA
"2398","Ruby-throated x Black-chinned Hummingbird (hybrid)","Hybride Colibri a gorge rubis x C. a gorge noire","Archilochus colubris x alexandri","Colibri Gorjirrubi x Gorjinegro (hibrido)",NA,NA,NA,NA,NA,NA
"2399","Ruby-throated/Black-chinned Hummingbird","Colibri a gorge rubis ou C. a gorge noire","Archilochus colubris/alexandri","Colibri Gorjirrubi/Gorjinegro",NA,NA,NA,NA,NA,NA
"2400","Bahama Woodstar","Colibri des Bahamas","Nesophlox evelynae","Colibri de Las Bahamas",NA,NA,NA,NA,NA,NA
"2401","Inagua Woodstar","Colibri d'Inagua","Nesophlox lyrura","Colibri de Inagua",NA,NA,NA,NA,NA,NA
"2402","Vervain Hummingbird","Colibri nain","Mellisuga minima","Colibri Zumbadorcito",858,3.85,NA,NA,NA,NA
"2403","Bee Hummingbird","Colibri d'Elena","Mellisuga helenae","Colibri Zunzuncito",2587,11.6,NA,NA,1941,8.74
"2404","Anna's Hummingbird","Colibri d'Anna","Calypte anna","Colibri de Anna",2865,12.85,NA,NA,1389,6.26
"2405","Lucifer x Anna's Hummingbird (hybrid)","Hybride Colibri lucifer x C. d'Anna","Calothorax lucifer x Calypte anna","Colibri Luminoso x de Anna (hibrido)",NA,NA,NA,NA,NA,NA
