"","masscentr","rangecentr","Migration","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","gbif_mean_scaled","mean","CITES_species","threatened"
"47",1.986515691,-2.416807754,1,1,0,1,1,1,1,0,1,0,0,0,0,-0.149762687490938,0,1,0
"48",3.060574749,0.531745492,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149351159618156,0,1,1
"49",1.891233389,1.13496323,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147095472465469,0,0,0
"50",1.508956408,-3.235178391,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.149976167574944,0,1,1
"51",1.470005321,-2.181884859,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.149937586836871,0,1,1
"52",1.299205914,0.623732549,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.14913767953415,0,1,0
"53",1.683759132,-0.793934904,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149749827244914,0,1,0
"54",2.653680048,3.56963502,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.115405254212041,16.56333333,1,0
"55",2.741942431,0.052476155,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149919582492436,0,1,0
"56",0.574524589,3.281079391,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.12889050819327,0,1,0
"57",0.866203241,-0.837964566,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.149806412327421,0,1,0
"58",1.501286621,4.526298259,2,1,0,0,1,0,1,0,1,1,0,0,0,1.8864335021985,7.963333333,1,0
"59",1.891233389,1.956688614,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.120798841394692,15.7,1,0
"60",1.377028865,3.352279438,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.141043440686367,0,1,0
"61",1.473736669,0.966742855,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149392312405434,0,1,0
"62",1.856601945,3.339554628,2,1,0,0,0,0,0,0,0,0,0,0,0,-0.149304862732468,0,1,0
"63",1.473736669,-3.096119384,1,1,0,0,1,0,1,0,0,0,0,1,0,-0.149989027820968,0,1,1
"64",1.255585291,-0.558912933,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149814128475036,0,1,0
"65",1.446363558,-2.675946321,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148474090839289,0,1,0
"66",1.392296337,1.085345128,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145480225564799,0,1,0
"67",1.208761924,2.230354091,3,1,0,1,0,1,1,0,0,0,0,0,0,-0.128406962942751,5.08,1,0
"68",0.976168523,4.160757697,3,0,0,0,0,0,0,0,0,0,0,0,0,1.45417748487419,7.646666667,1,0
"69",0.672535508,3.512125085,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145135570971344,7.96,1,0
"70",1.774599647,3.008671036,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.116377488811489,1.09,1,0
"71",1.622686297,2.890633347,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148708147316934,0,1,0
"72",1.087635928,-0.753291656,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14949519437363,0,1,0
"73",1.683759132,2.578836399,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.068990054260628,4.776666667,1,0
"74",0.866203241,2.846230952,2,0,0,0,0,0,1,0,0,0,0,0,0,-0.126246441610645,6.586666667,1,0
"75",3.880983709,0.10743638,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.146305853359568,1.22,1,1
"76",-0.5531089,0.5061149,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147563585420759,7.006666667,0,0
"77",0.6981385,0.2508896,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14902193731993,0,0,0
"78",0.5926657,0.2486314,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.140150939612271,0,0,0
"79",0.6981385,-2.543751,2,0,0,0,0,0,1,0,0,0,0,0,0,-0.149955591181305,0,0,1
"80",0.8602024,2.487723,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220990252063106,5,0,0
"81",0.5204574,2.245078,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0753790676097487,7.133333333,0,0
"82",0.3806954,1.860499,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973314644492915,2.7,0,0
"83",0.6981385,1.899803,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0751089593190571,36.93333333,0,0
"84",0.6419907,-0.668902,1,0,0,0,0,0,1,0,0,1,0,0,0,0.141766229637119,6.506666667,0,1
"85",0.5926657,0.6212456,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.149886145852773,0,0,0
"86",0.5926657,-8.794688,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.149883573803568,0,0,1
"87",0.8610618,3.512269,2,0,0,0,0,0,0,0,0,0,0,0,0,2.19742768770915,19.51333333,0,0
"88",-0.4749707,-0.1535112,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775112532764227,0,0,0
"89",-1.278574861,-4.237270131,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149634085030694,1.796666667,0,1
"90",-0.6770949,-7.016325,1,1,1,1,0,0,1,0,1,0,0,1,0,-0.149940158886075,0,0,1
"91",-1.634208,3.245997,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.129420350329477,1.886666667,0,0
"92",-0.4947733,3.598963,3,0,0,0,0,0,0,0,0,0,0,0,0,0.103977682718901,2.656666667,0,0
"93",-0.4947733,-6.035168,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.149862997409929,0,0,0
"94",-1.022406,3.044642,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0269319487864739,0,0,0
"95",-1.732648,2.79298,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.130179104844919,0,0,0
"96",-1.123382,-5.261767,1,0,1,1,0,0,0,0,1,0,0,1,1,-0.149315150929288,0,0,1
"97",-0.1163369,-6.863353,1,0,1,0,0,1,1,1,0,0,0,0,0,-0.149906722246412,0,0,1
"98",-1.779715,2.128905,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.14949005027522,0,0,0
"99",-1.480057,3.113825,3,0,0,0,0,0,0,0,0,0,0,0,0,0.112879545017019,0,0,0
"100",-0.9890696,-12.01227,1,0,1,0,0,0,0,0,1,0,0,1,0,-0.149520914865679,1.236666667,0,1
"101",-1.228742,2.935676,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.043560203771898,0,0,0
"102",-1.080562,-0.8794987,3,0,0,1,1,0,1,1,1,0,0,1,0,-0.149230273305526,0,0,1
"103",-0.3236251,-7.545919,1,1,1,1,0,0,0,0,0,0,1,0,0,-0.149672665768767,0,0,1
"104",-0.7824554,-8.20992,1,1,1,0,0,0,0,0,0,0,0,1,0,-0.149878429705158,0,0,0
"105",-0.1163369,-7.549856,1,1,1,0,0,1,1,1,0,0,0,0,0,-0.149989027820968,0,0,1
"106",-1.507208,2.199725,3,0,0,0,0,0,0,0,1,0,0,0,0,-0.105245659852733,1.283333333,0,0
