"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean","count_mean","mean","category.n","prediction","threatened","prob.predictions"
"829",5179,"Asthenes luizae","Furnariidae","Passeriformes","AVIBASE-E554EF3F",-0.294814324,70,86.5,28,"Shrubland",3,1,"Carnivore","Invertivore","Terrestrial",-19.79,-14.93,-17.96,-43.55,14884.37,1,1,1,1,1,0,0,1,0,0,1,0,-0.563766184,-2.842460251,NA,NA,2.93830588,-0.166462556,14.3,272,0,"Cipo Canastero","Synallaxe du Cipo","Canastero de Cipo",0,0,0,0,0,0,0,0,2,1.2410523476511,0,0.775747137488823
"845",3383,"Atelornis crossleyi","Brachypteraciidae","Coraciiformes","AVIBASE-9D600C9B",-0.17510095,92.4,107,79,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-24.82,-13.62,-17.72,48.51,22418.55,1,1,0,0,0,1,0,0,0,0,0,0,0.473477159,-2.432883179,NA,NA,4.095635589,0.074031714,29.6,503,0,"Rufous-headed Ground-Roller","Brachypterolle de Crossley","Carraca Terrestre Cabecirrufa",0,0,0,0,0,0,0,0,2,1.00700447583383,0,0.732433511291718
"928",486,"Aythya nyroca","Anatidae","Anseriformes","AVIBASE-7CF91527",0.306424718,182.5,53,574,"Wetland",3,3,"Herbivore","Herbivore aquatic","Aquatic",23.54,57.76,46.16,49.61,6827514.86,1,1,0,0,0,1,1,1,1,0,1,0,2.456658702,3.285944109,1.576059295,9,3.514308407,-0.046768655,3901.1,74120,0,"Ferruginous Duck","Fuligule nyroca","Porron Pardo",2771,12.43,1651,7.44,1056,4.76,1826,8.21,2,1.38216382470132,0,0.799338295155038
"943",11074,"Bangsia arcaei","Thraupidae","Passeriformes","AVIBASE-B005C25F",-0.2050293,86.8,47.5,37.2,"Forest",1,1,"Omnivore","Invertivore","Insessorial",7.97,10.85,9.39,-82.46,9434.5,1,0,0,0,0,1,0,1,0,0,0,0,-0.2796619,-3.298399,NA,NA,3.216657,-0.1086209,133.9,2545,0,"Blue-and-gold Tanager","Tangara jaune et bleu","Tangara de Arce",0,0,0,0,0,0,0,0,2,0.128500735457893,0,0.532081051308376
"966",8769,"Basilornis galeatus","Sturnidae","Passeriformes","AVIBASE-6DE7C210",0.08677206,141.4,98.2,126,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-2.49,-1.16,-1.71,124.44,7248.97,1,0,0,0,0,1,0,0,0,0,0,0,0.9403112,-3.561913,NA,NA,3.695507,-0.009115427,4.9,59,0,"Helmeted Myna","Basilorne huppe","Mina de Yelmo",0,0,0,0,0,0,0,0,2,0.124490653227742,0,0.531082530783577
"990",977,"Batrachostomus harterti","Podargidae","Caprimulgiformes","AVIBASE-F595D563",0.624413368,242,158,206,"Forest",1,1,"Carnivore","Invertivore","Insessorial",0,3.79,1.74,113.94,27500.68,1,0,0,0,0,1,0,1,0,0,0,0,1.431905475,-2.228561189,NA,NA,3.862656015,0.025618326,3.8,15,0,"Dulit Frogmouth","Podarge de Hartert","Podargo del Dulit",692,3.1,0,0,0,0,230.6666667,1.033333333,2,0.204860456680038,0,0.55103674719867
"1024",2178,"Bostrychia carunculata","Threskiornithidae","Pelecaniformes","AVIBASE-AC5B7A01",1.275354837,363.8,157,1500,"Wetland",3,1,"Carnivore","Invertivore","Terrestrial",4.83,16.42,9.46,39.15,539792.68,1,0,0,0,0,1,1,1,1,0,1,0,3.417249693,0.74841322,-0.172762432,2.5,6.5718404,0.588589548,182.8,3473,0,"Wattled Ibis","Ibis caroncule","Ibis Carunculado",0,0,0,0,0,0,0,0,1,0.704129733456071,0,0.669102750421199
"1065",409,"Branta sandvicensis","Anatidae","Anseriformes","AVIBASE-EDB18078",1.276423707,364,141.6,2044.1,"Shrubland",3,1,"Herbivore","Herbivore terrestrial","Terrestrial",19.23,22.23,20.67,-157.05,1904.15,1,1,1,1,0,1,1,0,0,1,1,0,3.72674218,-4.898736206,0.230811813,4,12.0907316,1.735420654,1244.9,23654,1,"Hawaiian Goose","Bernache nene","Barnacla Nene",2637,11.83,0,0,0,0,879,3.943333333,2,3.66357929738944,0,0.97500043024585
"1101",432,"Bucephala clangula","Anatidae","Anseriformes","AVIBASE-68EA281A",0.446446611,208.7,82,918.6,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",41.89,70.72,58.51,35.56,22082935.41,1,1,0,0,0,1,0,0,1,0,0,0,2.926880078,4.459788515,1.710584043,9.5,7.109900304,0.700398934,190078.9,3611499,0,"Common Goldeneye","Garrot a oeil d'or","Porron Osculado",3664,16.43,0,0,347,1.56,1337,5.996666667,1,0.204771931906065,0,0.55101484649111
"1102",433,"Bucephala islandica","Anatidae","Anseriformes","AVIBASE-9456DEDF",0.515923123,221.7,86,921.2,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",42.13,68.47,56.43,-124.05,2257979.96,1,1,1,0,0,1,0,1,1,0,1,0,2.929706474,2.179453949,1.710584043,9.5,6.602453125,0.594950903,13664.5,259625,0,"Barrow's Goldeneye","Garrot d'Islande","Porron Islandico",2120,9.51,0,0,0,0,706.6666667,3.17,1,2.02870879652362,0,0.883778518900808
"1114",2333,"Burhinus grallarius","Burhinidae","Charadriiformes","AVIBASE-C61A821B",0.885217503,290.8,174.2,648.1,"Woodland",3,3,"Carnivore","Invertivore","Terrestrial",-37.89,-8.16,-23.22,136.33,2586160.81,1,1,1,0,1,1,0,0,1,0,0,0,2.578074312,2.315157822,-0.30728718,2,9.478341485,1.192563378,2138.6,40634,0,"Bush Thick-knee","Oedicneme bride","Alcaravan Colilargo",0,0,0,0,0,0,0,0,1,1.16647917528723,0,0.762508020599708
"1142",3199,"Buteo regalis","Accipitridae","Accipitriformes","AVIBASE-BA9191BC",1.634494959,431,240.6,1437.2,"Grassland",3,3,"Carnivore","Vertivore","Generalist",33.21,53.3,43.14,-108.76,2780053.23,1,1,0,1,0,0,0,1,0,0,0,0,3.374481361,2.387453434,0.163549439,3.75,6.860257537,0.648522918,7383.4,140284,1,"Ferruginous Hawk","Buse rouilleuse","Busardo Herrumbroso",4591,20.59,766,3.45,0,0,1785.666667,8.013333333,1,0.00816934211731196,0,0.502042324170929
"1144",3209,"Buteo rufinus","Accipitridae","Accipitriformes","AVIBASE-CC65921F",1.722676685,447.5,244.5,1166.2,"Grassland",3,3,"Carnivore","Vertivore","Generalist",13.22,53.66,40.86,49.85,8574436.83,1,0,0,1,1,1,1,1,1,0,1,0,3.165535185,3.513768674,0.029024691,3.25,6.807587029,0.637577933,3250.9,61767,1,"Long-legged Buzzard","Buse feroce","Busardo Moro",1068,4.79,0,0,460,2.07,509.3333333,2.286666667,1,0.304872271752113,0,0.575633149935306
"1147",3190,"Buteo solitarius","Accipitridae","Accipitriformes","AVIBASE-7B3AB998",0.775123954,270.2,160.5,500.9,"Forest",1,1,"Carnivore","Vertivore","Insessorial",18.99,20.27,19.6,-155.53,6957.48,1,1,1,0,1,1,1,0,0,0,0,0,2.320435786,-3.602954581,-0.576336676,1,8.426549118,0.973999873,344.7,6549,1,"Hawaiian Hawk","Buse d'Hawai","Busardo Hawaiano",2371,10.63,0,0,0,0,790.3333333,3.543333333,2,2.19415426966701,0,0.899723332745674
"1151",3168,"Buteogallus aequinoctialis","Accipitridae","Accipitriformes","AVIBASE-478C48D0",1.020963918,316.2,147.2,657.6,"Woodland",2,1,"Carnivore","Aquatic predator","Insessorial",-25.99,10.72,-3.65,-47.36,132570.12,1,0,1,0,0,1,0,0,0,0,0,0,2.59262615,-0.655660207,-0.576336676,1,6.377555846,0.548217024,111.2,2002,1,"Rufous Crab Hawk","Buse buson","Busardo Cangrejero",0,0,0,0,0,0,0,0,2,-0.0419039280895881,0,0.489525550640759
"1166",4093,"Cacatua goffiniana","Cacatuidae","Psittaciformes","AVIBASE-67EE6F84",0.458204175,210.9,112,275,"Forest",2,1,"Herbivore","Granivore","Insessorial",-8.35,-7.1,-7.61,131.37,4111.87,1,1,0,0,0,1,0,0,0,0,0,0,1.720800404,-4.128894008,-0.038237683,3,10.39943039,1.383966573,112.5,2137,1,"Tanimbar Corella","Cacatoes de Goffin","Cacatua de Las Tanimbar",1231,5.52,0,0,0,0,410.3333333,1.84,2,1.85575282992192,0,0.864801137310202
"1219",2474,"Calidris alpina","Scolopacidae","Charadriiformes","AVIBASE-15369E8E",-0.053784272,115.1,48.6,51.9,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",48.72,79.36,68.24,43.99,4754236.34,1,1,0,0,0,1,1,1,1,0,1,0,0.053348096,2.92401944,0.230811813,4,7.199400859,0.718997239,90581.2,1721042,0,"Dunlin","Becasseau variable","Correlimos Comun",13068,58.6,0,0,1748,7.87,4938.666667,22.15666667,1,0.90963931516076,0,0.712926349808003
"1221",2462,"Calidris canutus","Scolopacidae","Charadriiformes","AVIBASE-B5CE8FAD",0.209692037,164.4,60.4,141.9,"Coastal",3,3,"Carnivore","Aquatic predator","Terrestrial",55.99,83.63,75.23,-24.11,1604194.57,1,1,1,0,0,1,1,0,1,0,1,0,1.05915189,1.837605164,0.213323596,3.935,6.902901295,0.657384333,21774.5,413715,0,"Red Knot","Becasseau maubeche","Correlimos Gordo",9440,42.33,0,0,576,2.59,3338.666667,14.97333333,2,1.47687599413177,0,0.814100254295324
"1222",2468,"Calidris ferruginea","Scolopacidae","Charadriiformes","AVIBASE-143A681C",0.020502152,129,48.6,58.1,"Coastal",3,3,"Carnivore","Aquatic predator","Terrestrial",68.08,78.34,72.28,111.38,1198699.06,1,1,1,0,1,1,1,1,0,0,1,0,0.16619497,1.546220211,0.230811813,4,5.5274977,0.371574092,15677.5,297873,0,"Curlew Sandpiper","Becasseau cocorli","Correlimos Zarapitin",5972,26.78,0,0,0,0,1990.666667,8.926666667,2,1.30121433486956,0,0.786039282675211
"1251",784,"Caloenas nicobarica","Columbidae","Columbiformes","AVIBASE-0FFC77EF",0.715267267,259,98.8,537.9,"Forest",1,2,"Herbivore","Omnivore","Terrestrial",-11.85,19.58,-0.34,127.47,475640.94,1,1,0,0,0,1,0,0,0,0,0,0,2.391701975,0.621891321,-0.576336676,1,7.594316024,0.801061005,81.9,1556,1,"Nicobar Pigeon","Nicobar a camail","Paloma de Nicobar",4824,21.63,0,0,854,3.85,1892.666667,8.493333333,2,0.681897835828537,0,0.664162142985295
"1379",1055,"Caprimulgus phalaena","Caprimulgidae","Caprimulgiformes","AVIBASE-625076EF",0.193658996,161.4,122.1,91.6,"Forest",2,1,"Carnivore","Invertivore","Generalist",7.33,7.73,7.5,134.57,374.96,1,1,1,0,1,0,0,0,0,0,0,0,0.621460578,-6.523707846,-0.30728718,2,2.64495386,-0.227421399,13.2,145,0,"Palau Nightjar","Engoulevent des Palau","Chotacabras de Palaos",0,0,0,0,0,0,0,0,2,1.61346856171583,0,0.833892393851068
"1394",10670,"Cardellina versicolor","Parulidae","Passeriformes","AVIBASE-5AA39FDF",-0.3445168,60.7,55.7,10,"Forest",1,1,"Carnivore","Invertivore","Insessorial",14.42,16.95,15.42,-91.56,17025.11,1,1,0,1,1,1,1,0,0,1,0,0,-1.593386,-2.708083,-0.03823768,3,2.286505,-0.3019074,211.6,4021,0,"Pink-headed Warbler","Paruline a tete rose","Reinita Rosada",0,0,0,0,0,0,0,0,1,0.769714607374847,0,0.683459154347152
"1443",54,"Casuarius bennetti","Casuariidae","Struthioniformes","AVIBASE-7751E0D1",0.489735822,216.8,318.8,35000,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-10.66,-0.34,-5.06,142.1,396486.38,1,1,0,0,1,1,0,0,0,0,0,0,6.567132647,0.43986977,0.49986131,5,11.55406202,1.623900179,3.2,32,0,"Dwarf Cassowary","Casoar de Bennett","Casuario Menor",2113,9.48,0,0,0,0,704.3333333,3.16,1,1.57877515956699,0,0.829030980751651
"1444",53,"Casuarius casuarius","Casuariidae","Struthioniformes","AVIBASE-8B9D93D8",0.938660974,300.8,402.5,44000,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-18.93,-0.74,-6.85,140.42,379633.34,1,1,1,0,1,1,0,1,0,0,1,0,6.795974219,0.396433972,0.679300317,5.666936791,12.14449609,1.746592969,238.2,4525,0,"Southern Cassowary","Casoar a casque","Casuario Comun",3405,15.27,958,4.32,814,3.67,1725.666667,7.753333333,1,2.92526741774408,0,0.94908145448819
"1445",55,"Casuarius unappendiculatus","Casuariidae","Struthioniformes","AVIBASE-32E7303B",0.744661176,264.5,273.5,46073.9,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-5.64,-0.34,-3.26,138.98,185350.58,1,0,0,0,0,1,0,0,0,0,0,0,6.842031214,-0.320522862,0.768910806,6,12.72197507,1.866593678,11.5,149,0,"Northern Cassowary","Casoar unicaroncule","Casuario Unicarunculado",2237,10.03,0,0,0,0,745.6666667,3.343333333,1,0.531168396916111,0,0.629755580746112
"1488",367,"Centrocercus urophasianus","Phasianidae","Galliformes","AVIBASE-B7E467E2",0.966451578,306,242,1902.5,"Shrubland",3,1,"Herbivore","Herbivore terrestrial","Terrestrial",36.38,51.4,43.59,-110.93,1315889.14,1,1,0,1,0,1,0,1,1,0,0,0,3.654953396,1.639495948,1.132127626,7.35,3.822699139,0.017315247,747.2,14197,0,"Greater Sage-Grouse","Tetras des armoises","Gallo de Las Artemisas Grande",0,0,0,0,0,0,0,0,2,1.48669011409401,0,0.81558095699654
"1495",1603,"Centropus chalybeus","Cuculidae","Cuculiformes","AVIBASE-2FC6E4CC",0.376970099,195.7,268.7,244.4,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-1.22,-0.63,-0.94,135.89,2526.51,1,0,0,0,0,1,0,0,0,0,0,0,1.602835533,-4.615933017,NA,NA,4.174431063,0.090405493,6.9,97,0,"Biak Coucal","Coucal de Biak","Cucal de Biak",0,0,0,0,0,0,0,0,2,0.624379167959056,0,0.651213865614813
"1571",3421,"Ceyx dispar","Alcedinidae","Coraciiformes","AVIBASE-55DAB8DF",-0.333828057,62.7,26.4,21.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-2.25,-1.96,-2.09,146.93,1878.51,1,0,0,0,0,1,0,0,0,0,0,0,-0.837263621,-4.912293011,NA,NA,2.323005138,-0.294322665,1,2,0,"Manus Dwarf-Kingfisher","Martin-pecheur de Manus","Martin Pigmeo de Manus",0,0,0,0,0,0,0,0,2,0.121842496371872,0,0.530422996114958
"1627",85,"Chamaepetes unicolor","Cracidae","Galliformes","AVIBASE-8C688594",0.883079764,290.4,259.2,1135,"Forest",1,1,"Herbivore","Frugivore","Insessorial",8.37,10.99,9.43,-83.22,15572.6,1,0,0,0,0,1,0,1,0,0,0,0,3.138417236,-2.797258961,-0.172762432,2.5,7.000325117,0.677629101,959.2,18224,0,"Black Guan","Penelope unicolore","Pava Negra",5219,23.4,0,0,2921,13.16,2713.333333,12.18666667,1,0.80490074523225,0,0.691021820866166
"1640",2392,"Charadrius bicinctus","Charadriidae","Charadriiformes","AVIBASE-79420720",0.011951196,127.4,55.8,59.4,"Riverine",3,2,"Carnivore","Aquatic predator","Terrestrial",-52.61,-34.14,-41.81,171.52,270351.2,1,1,0,1,0,0,1,1,1,0,1,0,0.188323532,0.056949934,-0.038237683,3,4.480425683,0.15399148,1617,30723,0,"Double-banded Plover","Pluvier a double collier","Chorlitejo Bicinchado",0,0,0,0,0,0,0,0,2,0.757626196539315,0,0.680838133642685
"1647",2394,"Charadrius leschenaultii","Charadriidae","Charadriiformes","AVIBASE-98B9C10B",0.06005032,136.4,49.8,74.8,"Grassland",3,3,"Carnivore","Aquatic predator","Terrestrial",31.8,54.71,44.18,88.45,5473335.58,1,1,1,0,1,1,1,1,0,0,0,0,0.418847191,3.064871584,-0.038237683,3,5.798295074,0.427846057,3316.4,63011,0,"Greater Sand-Plover","Pluvier de Leschenault","Chorlitejo Mongol Grande",0,0,0,0,0,0,0,0,1,0.347236378292921,0,0.585947247816513
"1652",2397,"Charadrius montanus","Charadriidae","Charadriiformes","AVIBASE-1FFFEF4E",0.109218313,145.6,62.8,95.7,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",26.48,49.48,41.32,-106.8,759250.62,1,1,1,1,0,1,1,0,1,0,0,0,0.665247605,1.08956,-0.038237683,3,4.01403855,0.057075768,810.3,15396,0,"Mountain Plover","Pluvier montagnard","Chorlito Llanero",2936,13.17,0,0,0,0,978.6666667,4.39,2,1.27137426943559,0,0.780977909410983
"1682",373,"Chauna chavaria","Anhimidae","Anseriformes","AVIBASE-013B2B0B",1.964775606,492.8,195.5,2557.6,"Wetland",3,1,"Herbivore","Herbivore aquatic","Terrestrial",3.85,11.11,9.18,-74.71,91345.79,1,0,0,0,1,1,0,1,1,0,0,0,3.950853904,-1.028119725,0.217359338,3.95,6.7921004,0.634359796,211.4,4017,0,"Northern Screamer","Kamichi chavaria","Chaja Chicaguire",1721,7.72,0,0,0,0,573.6666667,2.573333333,2,0.874584798237408,0,0.705698802777709
"1716",10162,"Chloris monguilloti","Fringillidae","Passeriformes","AVIBASE-8875A644",-0.2643515,75.7,48.4,15.5,"Woodland",2,1,"Herbivore","Granivore","Insessorial",11.28,12.83,12.01,108.34,7399.29,1,0,0,0,0,1,0,0,0,0,1,0,-1.155131,-3.541388,0.2173593,3.95,2.119852,-0.3365381,44.2,795,0,"Vietnamese Greenfinch","Verdier du Vietnam","Verderon Vietnamita",0,0,0,0,0,0,0,0,1,0.134158619278736,0,0.533489439809459
"1892",9535,"Cinnyris neergaardi","Nectariniidae","Passeriformes","AVIBASE-942E8A93",-0.3974258,50.8,35.3,6.1,"Shrubland",2,1,"Omnivore","Omnivore","Insessorial",-28.46,-20.47,-23.73,33.83,138997,1,1,0,0,0,1,0,0,0,0,1,0,-2.087682,-0.6083199,-0.3072872,2,2.825078,-0.1899914,52.5,998,0,"Neergaard's Sunbird","Souimanga de Neergaard","Suimanga de Neergaard",0,0,0,0,0,0,0,0,2,0.324699231784953,0,0.580469062095496
"1918",3068,"Circus aeruginosus","Accipitridae","Accipitriformes","AVIBASE-E2A19474",1.499282979,405.7,233.9,704.1,"Wetland",3,2,"Carnivore","Vertivore","Aerial",29.17,66.56,50.03,51.14,13390803.81,1,0,1,1,1,1,0,1,1,0,1,0,2.660949698,3.959551547,0.432598935,4.75,6.714236628,0.618179627,98898.4,1879069,1,"Eurasian Marsh-Harrier","Busard des roseaux","Aguilucho Lagunero Occidental",0,0,2657,11.97,0,0,885.6666667,3.99,1,0.214752264599008,0,0.553482678733959
"1923",3078,"Circus cyaneus","Accipitridae","Accipitriformes","AVIBASE-F558C7F9",1.214429281,352.4,131.7,393,"Grassland",3,3,"Carnivore","Vertivore","Aerial",37.61,73.38,58.07,84.36,17331412.86,1,1,0,0,0,1,0,1,0,0,0,0,2.077838918,4.217503986,0.365336561,4.5,5.940517497,0.457400018,158976.6,3020555,1,"Hen Harrier","Busard Saint-Martin","Aguilucho Palido",4549,20.4,847,3.82,1525,6.87,2307,10.36333333,1,0.0241336740248037,0,0.506033125684138
"1925",3081,"Circus macrourus","Accipitridae","Accipitriformes","AVIBASE-22647E26",1.208016065,351.2,226.6,384.4,"Grassland",3,3,"Carnivore","Vertivore","Aerial",41.23,58.45,51.02,62.85,6168290.72,1,0,0,0,0,1,0,1,1,0,1,0,2.055712983,3.184405127,0.365336561,4.5,5.656714025,0.398425373,3539.9,67258,1,"Pallid Harrier","Busard pale","Aguilucho Papialbo",3710,16.64,1243,5.6,720,3.24,1891,8.493333333,2,-0.041998125216126,0,0.489502011717119
"1929",3083,"Circus pygargus","Accipitridae","Accipitriformes","AVIBASE-63B6412E",1.267338317,362.3,224.8,310.8,"Grassland",3,3,"Carnivore","Vertivore","Aerial",30.56,60.25,49.91,45.8,6837154.32,1,0,1,1,0,1,0,1,1,0,1,0,1.843178925,3.287354969,0.298074187,4.25,5.740725214,0.415882982,11437.4,217310,1,"Montagu's Harrier","Busard cendre","Aguilucho Cenizo",0,0,0,0,3712,16.72,1237.333333,5.573333333,1,0.413681050598243,0,0.601970196412953
"1931",3069,"Circus spilonotus","Accipitridae","Accipitriformes","AVIBASE-A2F048C0",1.507299499,407.2,241.2,558.8,"Wetland",3,3,"Carnivore","Vertivore","Aerial",39.66,64.43,52.88,121.45,5723030.46,1,0,1,1,0,1,0,1,1,0,0,0,2.429820933,3.109481824,0.392241511,4.6,6.346620955,0.541788723,985.2,18719,1,"Eastern Marsh-Harrier","Busard d'Orient","Aguilucho Lagunero Oriental",0,0,0,0,0,0,0,0,1,0.0849789125602044,0,0.521231952614811
"2014",6846,"Clytorhynchus nigrogularis","Monarchidae","Passeriformes","AVIBASE-19CB1D6A",-0.118985306,102.9,86.1,55.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-19.17,-16.15,-17.44,172.01,16947.76,1,1,0,0,0,1,0,0,0,0,0,0,0.124009453,-2.712636249,NA,NA,3.11913848,-0.128885361,7.8,141,0,"Black-throated Shrikebill","Monarque a gorge noire","Monarca Gorjinegro",0,0,0,0,0,0,0,0,2,1.01105569364657,0,0.733226699355134
"2050",1374,"Coeligena phalerata","Trochilidae","Caprimulgiformes","AVIBASE-2954B874",-0.291073281,70.7,44,6.1,"Forest",1,1,"Herbivore","Nectarivore","Aerial",10.38,11.09,10.77,-73.65,4729.41,1,0,0,0,0,1,0,1,0,0,1,0,-2.087681923,-3.988971461,NA,NA,2.098452713,-0.340984883,136.7,2598,1,"White-tailed Starfrontlet","Inca a queue blanche","Inca Coliblanco",0,0,0,0,0,0,0,0,2,0.436352325613532,0,0.607389520558428
"2056",2502,"Coenocorypha huegeli","Scolopacidae","Charadriiformes","AVIBASE-90E8B13B",-0.124864088,101.8,38.4,104,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-48.02,-48,-48.01,166.56,2.59,0,1,0,0,0,0,0,0,0,0,0,0,0.748420205,-11.49886932,-0.30728718,2,5.98162233,0.465941644,3.2,48,0,"Snares Island Snipe","Becassine des Snares","Chochita de Las Snares",0,0,0,0,0,0,0,0,2,0.885985822979756,0,0.708061093255532
"2098",596,"Columba bollii","Columbidae","Columbiformes","AVIBASE-1ED914E6",0.47477165,214,149,308.5,"Forest",2,1,"Herbivore","Frugivore","Insessorial",27.68,28.85,28.35,-17.07,2531.08,0,1,0,0,0,1,0,0,0,0,0,0,1.835751149,-4.614125831,-0.576336676,1,3.527993651,-0.043924848,86.5,1644,0,"Bolle's Pigeon","Pigeon de Bolle","Paloma Turque",0,0,0,0,0,0,0,0,1,0.0470083022021055,0,0.511749911903052
"2106",597,"Columba junoniae","Columbidae","Columbiformes","AVIBASE-396E6311",0.501493386,219,153.2,440,"Forest",2,1,"Herbivore","Frugivore","Insessorial",27.67,28.84,28.36,-17.57,1210.6,1,1,0,0,0,1,1,0,0,0,0,0,2.190804033,-5.351655816,-0.576336676,1,3.720475484,-0.00392693,94.7,1799,0,"Laurel Pigeon","Pigeon des lauriers","Paloma Rabiche",0,0,0,0,1827,8.23,609,2.743333333,2,2.36255892329177,0,0.913927314432294
"2114",610,"Columba palumboides","Columbidae","Columbiformes","AVIBASE-95059E5A",0.622275629,241.6,146,520,"Forest",2,1,"Herbivore","Frugivore","Insessorial",6.75,14.19,11.22,92.96,7618.24,1,0,1,0,0,1,0,0,0,0,0,0,2.357858118,-3.512226548,NA,NA,4.342818716,0.125396615,25.5,433,0,"Andaman Wood-Pigeon","Pigeon des Andaman","Paloma de Andaman",0,0,0,0,0,0,0,0,2,0.815735955914595,0,0.69333045298832
"2116",602,"Columba pollenii","Columbidae","Columbiformes","AVIBASE-05BBFC8E",0.531421729,224.6,156.3,308.5,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-13,-11.36,-12.06,43.95,2057.52,1,1,0,0,0,1,0,0,0,0,1,0,1.835751149,-4.821270546,NA,NA,3.514394624,-0.046750739,3.4,47,0,"Comoro Pigeon","Pigeon des Comores","Paloma de Las Comoras",0,0,0,0,0,0,0,0,2,2.63503735002879,0,0.933082765120001
"2123",595,"Columba trocaz","Columbidae","Columbiformes","AVIBASE-BAAC66AF",0.588071808,235.2,163.4,440,"Forest",2,1,"Herbivore","Frugivore","Generalist",32.63,32.87,32.76,-16.99,549.16,1,1,1,0,0,1,0,0,0,0,0,0,2.190804033,-6.142137361,-0.576336676,1,3.850087021,0.023006477,74,1406,0,"Trocaz Pigeon","Pigeon trocaz","Paloma de Madeira",0,0,0,0,0,0,0,0,1,2.97586116540393,0,0.951471624023942
"2198",6459,"Coracina dobsoni","Campephagidae","Passeriformes","AVIBASE-DF546828",0.180298128,158.9,129.7,111,"Forest",1,1,"Carnivore","Invertivore","Insessorial",10.51,13.57,12.3,92.77,5202.93,1,0,1,0,0,1,0,0,0,0,0,0,0.813559507,-3.893549992,NA,NA,2.50695168,-0.256098389,36.3,617,0,"Andaman Cuckooshrike","echenilleur des Andaman","Oruguero de Las Andaman",0,0,0,0,0,0,0,0,2,0.559762054547663,0,0.636397482507861
"2252",6974,"Corvus palmarum","Corvidae","Passeriformes","AVIBASE-FC9516DF",0.636170931,244.2,142.9,289,"Forest",2,1,"Omnivore","Omnivore","Insessorial",17.73,21.45,19.27,-72.55,32245.36,1,1,1,0,0,1,1,0,0,0,0,0,1.770455994,-2.069397763,0.230811813,4,5.10400899,0.283572715,136.9,2602,0,"Palm Crow","Corneille palmiste","Cuervo Palmero",3167,14.2,0,0,0,0,1055.666667,4.733333333,1,1.56819960320783,0,0.827526795983213
"2280",9167,"Cossypha heinrichi","Muscicapidae","Passeriformes","AVIBASE-B175F364",-0.05966305,114,141,60.3,"Forest",1,1,"Carnivore","Invertivore","Generalist",-8.95,-3.9,-4.39,15.99,6203.48,1,0,0,0,0,1,0,1,0,0,1,0,0.2033614,-3.717661,NA,NA,3.994651,0.053047,3.3,33,0,"White-headed Robin-Chat","Cossyphe a tete blanche","Cosifa Cabeciblanca",0,0,0,0,0,0,0,0,1,0.910416294660848,0,0.713085341962022
"2311",6536,"Cracticus louisiadensis","Artamidae","Passeriformes","AVIBASE-764DC1DA",0.217708558,165.9,125.6,142,NA,2,1,"Carnivore","Invertivore","Insessorial",-11.66,-11.32,-11.51,153.47,813.95,1,1,0,0,1,1,0,0,0,0,1,0,1.059856364,-5.74862826,NA,NA,4.539047565,0.166173166,1.5,3,0,"Tagula Butcherbird","Cassican de Tagula","Verdugo de Tagula",0,0,0,0,0,0,0,0,2,2.74213996463589,0,0.939467906614792
"2348",1811,"Crex crex","Rallidae","Gruiformes","AVIBASE-7E257242",0.063256928,137,51.2,154.9,"Grassland",2,3,"Carnivore","Omnivore","Terrestrial",38.84,66.5,53.88,60.58,12516028.75,1,1,0,0,1,1,1,1,0,0,1,0,1.146809054,3.891993481,1.845108792,10,2.035985627,-0.353965606,7518.4,142850,0,"Corn Crake","Rale des genets","Guion de Codornices",0,0,2672,12.04,714,3.22,1128.666667,5.086666667,1,0.429772784968552,0,0.605819410275273
