"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"30",3125,"Accipiter bicolor","Accipitridae","Accipitriformes","AVIBASE-ADBE44E1",0.558143464,229.6,186.3,287.5,"Woodland",2,2,"Carnivore","Vertivore","Generalist",-55.72,23.73,-10.1,-59.96,14309701.27,1,0,0,0,0,0,0,0,0,0,0,0,0,1.765252166,4.025921076,-0.118952532,2.7,4.850855163,0.230967096,0,633.5,12036,1,"Bicolored Hawk","epervier bicolore","Gavilan Bicolor",NA,NA,NA,NA,NA,NA
"31",3116,"Accipiter brachyurus","Accipitridae","Accipitriformes","AVIBASE-68BF920B",0.411708355,202.2,140.8,142,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-6.31,-4.08,-5.45,150.68,35580.71,3,1,0,0,0,0,1,0,0,0,0,0,0,1.059856364,-1.970968283,NA,NA,3.944909493,0.042710681,1,1,1,1,"New Britain Sparrowhawk","epervier de Nouvelle-Bretagne","Gavilancito de Nueva Bretana",NA,NA,NA,NA,NA,NA
"32",3092,"Accipiter brevipes","Accipitridae","Accipitriformes","AVIBASE-8492E4B7",0.4940113,217.6,153.5,186.5,"Forest",1,3,"Carnivore","Vertivore","Generalist",31.19,55.86,45.24,45.33,2936751.8,1,0,0,0,1,0,1,0,0,1,0,0,0,1.332460545,2.442287499,0.230811813,4,3.887831838,0.030849887,0,677.6,12874,1,"Levant Sparrowhawk","epervier a pieds courts","Gavilan Griego",1335,5.99,NA,NA,NA,NA
"33",3091,"Accipiter butleri","Accipitridae","Accipitriformes","AVIBASE-6B64C150",0.218242992,166,127,122,"Forest",1,1,"Carnivore","Vertivore","Insessorial",7.87,9.26,8.42,93.17,327.84,3,1,0,1,0,0,1,0,0,0,1,0,0,0.908050351,-6.658001515,NA,NA,4.902992063,0.241801196,1,2.3,9,1,"Nicobar Sparrowhawk","epervier des Nicobar","Gavilan de Nicobar",NA,NA,NA,NA,NA,NA
"34",3089,"Accipiter castanilius","Accipitridae","Accipitriformes","AVIBASE-9D80E72A",0.204882125,163.5,135.4,157.5,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-10.36,10.12,0.71,18.29,2096401.63,1,0,0,0,0,0,0,0,0,0,0,0,0,1.163454764,2.105205724,NA,NA,3.805240172,0.013687256,0,3.6,54,1,"Chestnut-flanked Sparrowhawk","Autour a flancs roux","Gavilan Flanquirrojo",NA,NA,NA,NA,NA,NA
"35",3115,"Accipiter cirrocephalus","Accipitridae","Accipitriformes","AVIBASE-21957C95",0.469427303,213,155.4,165.7,"Forest",1,2,"Carnivore","Vertivore","Generalist",-43.64,0.04,-23.36,137.81,5488639.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1.214208231,3.06766376,0.029024691,3.25,3.763725264,0.005060417,0,2087.5,39663,0,"Collared Sparrowhawk","epervier a collier roux","Gavilan Acollarado",2053,9.21,NA,NA,NA,NA
"36",3130,"Accipiter collaris","Accipitridae","Accipitriformes","AVIBASE-32760AD5",0.217708558,165.9,125,97.8,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-13.2,11.25,2.47,-75.57,253265.36,1,0,0,0,0,0,1,0,0,0,0,0,0,0.686953883,-0.008334128,NA,NA,4.861886944,0.233259512,0,31.8,572,1,"Semicollared Hawk","epervier a collier interrompu","Gavilancito Torcaz",NA,NA,NA,NA,NA,NA
"37",3123,"Accipiter cooperii","Accipitridae","Accipitriformes","AVIBASE-EB98812F",0.62013789,241.2,188.4,429.7,"Woodland",2,3,"Carnivore","Vertivore","Aerial",23.28,53.31,41.25,-100.49,8393137.06,1,0,0,0,0,0,0,0,0,0,0,0,0,2.167116597,3.492397714,0.324979137,4.35,5.552181056,0.376703318,0,141326.3,2685199,1,"Cooper's Hawk","epervier de Cooper","Gavilan de Cooper",8202,36.78,NA,NA,NA,NA
"38",3114,"Accipiter erythrauchen","Accipitridae","Accipitriformes","AVIBASE-950C5048",0.352920538,191.2,154.8,156,"Forest",1,1,"Carnivore","Vertivore","Generalist",-3.91,2.65,-1.32,128.19,48150.32,2,1,0,1,1,1,1,0,1,0,0,0,0,1.153885313,-1.668444136,NA,NA,4.159541235,0.087311371,0,7.2,86,1,"Rufous-necked Sparrowhawk","epervier a gorge grise","Gavilan Moluqueno",NA,NA,NA,NA,NA,NA
"39",3109,"Accipiter erythropus","Accipitridae","Accipitriformes","AVIBASE-AFD19C47",0.157317436,154.6,104.4,111.2,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-9.36,14.73,3.48,10.44,3904812.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0.815359688,2.72719302,-0.30728718,2,3.98989247,0.052058189,0,20.5,389,1,"Red-thighed Sparrowhawk","epervier de Hartlaub","Gavilan Patirrojo",NA,NA,NA,NA,NA,NA
"40",3101,"Accipiter fasciatus","Accipitridae","Accipitriformes","AVIBASE-8257AE54",0.77352065,269.9,206,358.7,"Forest",1,1,"Carnivore","Vertivore","Generalist",-43.64,-1.7,-24.45,134.95,8180196.71,1,0,0,0,0,0,0,0,0,0,0,0,0,1.986515691,3.466699557,-0.038237683,3,5.133306631,0.289660794,0,4433.9,84244,1,"Brown Goshawk","Autour australien","Azor Australiano",1941,8.7,NA,NA,NA,NA
"41",3094,"Accipiter francesiae","Accipitridae","Accipitriformes","AVIBASE-0307D245",0.163730652,155.8,127.5,136.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-25.61,-11.36,-19.49,46.67,519468.81,1,0,0,0,0,0,0,0,0,0,0,0,0,1.022549311,0.71003485,-0.038237683,3,3.942916818,0.042296601,0,61.6,1170,0,"Frances's Sparrowhawk","epervier de Frances","Gavilan de Frances",NA,NA,NA,NA,NA,NA
"42",3128,"Accipiter gentilis","Accipitridae","Accipitriformes","AVIBASE-420850D6",1.135332945,337.6,241.1,866,"Forest",1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,1,1,1,0,1,0,1,1,1,1,0,0,0,2.867914215,4.823671696,0.096287065,3.5,7.483527603,0.77803906,0,28905.2,549198,1,"Northern Goshawk","Autour des palombes","Azor Comun",4639,20.8,6500,29.28,1431,6.45
"43",3086,"Accipiter griseiceps","Accipitridae","Accipitriformes","AVIBASE-4C2DBB2A",0.33154315,187.2,141.2,251.8,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-5.66,1.88,-1.96,121.18,140604.94,1,0,0,0,0,0,0,0,0,0,0,0,0,1.632664428,-0.596817806,NA,NA,4.634749854,0.186060197,0,12.9,206,1,"Sulawesi Goshawk","Autour des Celebes","Gavilan de Celebes",NA,NA,NA,NA,NA,NA
"44",3111,"Accipiter gularis","Accipitridae","Accipitriformes","AVIBASE-1E49FE52",0.200072212,162.6,106.4,120.7,"Forest",1,3,"Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,1,1,1,0,0,0,1,0,0,1,0,0,0,0.897337434,2.930616691,0.015572216,3.2,3.718795422,-0.004276049,0,659.7,12534,1,"Japanese Sparrowhawk","epervier du Japon","Gavilan Japones",1475,6.61,NA,NA,747,3.36
"45",3124,"Accipiter gundlachi","Accipitridae","Accipitriformes","AVIBASE-0EDF5A1C",0.549592509,228,223,675,"Forest",1,1,"Carnivore","Vertivore","Aerial",19.82,23.16,21.62,-79.36,33511.43,4,1,0,0,0,0,1,0,0,0,0,0,0,2.618741997,-2.030885346,0.163549439,3.75,5.292285909,0.322696847,1,80.5,1530,1,"Gundlach's Hawk","epervier de Cuba","Gavilan Cubano",NA,NA,NA,NA,NA,NA
"46",3104,"Accipiter haplochrous","Accipitridae","Accipitriformes","AVIBASE-18B4CE02",0.54852364,227.8,155,198.4,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-22.4,-20.09,-21.33,165.48,16389.59,2,1,0,0,0,0,1,0,0,0,0,0,0,1.394314501,-2.746125543,-0.038237683,3,4.19131106,0.093913173,0,23.6,424,1,"New Caledonia Goshawk","Autour a ventre blanc","Gavilan de Nueva Caledonia",NA,NA,NA,NA,NA,NA
"47",3106,"Accipiter henicogrammus","Accipitridae","Accipitriformes","AVIBASE-9288286D",0.561350072,230.2,190,358.7,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-0.92,2.65,0.88,128.01,22781.85,2,1,0,1,1,1,1,0,1,0,0,0,0,1.986515691,-2.416807754,NA,NA,4.878903884,0.236795649,0,9.8,156,1,"Moluccan Goshawk","Autour des Moluques","Azor Moluqueno",NA,NA,NA,NA,NA,NA
"48",3126,"Accipiter henstii","Accipitridae","Accipitriformes","AVIBASE-05701150",0.883614199,290.5,245,1050,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.2,-11.95,-18.72,46.85,434639.7,3,1,0,0,0,0,1,0,0,0,0,0,0,3.060574749,0.531745492,-0.30728718,2,6.931780859,0.663385535,1,25.8,438,1,"Henst's Goshawk","Autour de Henst","Azor Malgache",NA,NA,NA,NA,NA,NA
"49",3097,"Accipiter hiogaster","Accipitridae","Accipitriformes","AVIBASE-3400ACD7",0.38498662,197.2,136.5,326.1,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-11.66,2.65,-5.26,141.22,794517.61,1,0,0,0,0,0,0,0,0,0,0,0,0,1.891233389,1.13496323,-0.112226295,2.725,3.666210065,-0.015203339,0,113.5,2043,0,"Variable Goshawk","Autour variable","Azor Variable",NA,NA,NA,NA,NA,NA
"50",3108,"Accipiter imitator","Accipitridae","Accipitriformes","AVIBASE-466CC533",0.399950792,200,161,222.5,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-8.58,-5.41,-6.76,156.47,10050.21,3,1,1,0,0,0,1,0,0,0,0,0,0,1.508956408,-3.235178391,NA,NA,4.477850349,0.153456323,1,1.5,6,1,"Imitator Sparrowhawk","Autour imitateur","Gavilan Imitador",NA,NA,NA,NA,NA,NA
"51",3107,"Accipiter luteoschistaceus","Accipitridae","Accipitriformes","AVIBASE-EA787A01",0.335818627,188,146,214,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-6.31,-4.19,-5.5,150.45,28814.74,3,1,1,0,1,0,1,0,0,0,0,0,0,1.470005321,-2.181884859,NA,NA,4.357830525,0.128516084,1,3,3,1,"Slaty-mantled Goshawk","Autour bleu et gris","Gavilan de Nueva Bretana",NA,NA,NA,NA,NA,NA
"52",3118,"Accipiter madagascariensis","Accipitridae","Accipitriformes","AVIBASE-5D673E3E",0.350782799,190.8,149.5,180.4,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.43,46.69,476517.51,2,1,0,0,0,0,1,0,0,0,0,0,0,1.299205914,0.623732549,-0.038237683,3,4.11171893,0.077373849,0,34.1,613,1,"Madagascar Sparrowhawk","epervier de Madagascar","Gavilan Malgache",NA,NA,NA,NA,NA,NA
"53",3102,"Accipiter melanochlamys","Accipitridae","Accipitriformes","AVIBASE-1F0322E5",0.552799117,228.6,164.8,265,"Forest",1,1,"Carnivore","Vertivore","Generalist",-10.07,-0.95,-5.31,141.87,115449.94,1,0,0,0,0,0,0,0,0,0,0,0,0,1.683759132,-0.793934904,NA,NA,4.64042026,0.187238513,0,10.3,165,1,"Black-mantled Goshawk","Autour a manteau noir","Gavilan Rufinegro",NA,NA,NA,NA,NA,NA
"54",3127,"Accipiter melanoleucus","Accipitridae","Accipitriformes","AVIBASE-819AB823",0.949349668,302.8,219.4,699,"Forest",1,1,"Carnivore","Vertivore","Generalist",-34.84,18.84,-5.51,25.85,9067092.6,1,0,0,0,0,0,0,0,0,0,0,0,0,2.653680048,3.56963502,-0.092047583,2.8,6.269400457,0.525742226,0,1345.6,25567,1,"Black Goshawk","Autour noir","Azor Blanquinegro",NA,NA,11031,49.69,NA,NA
"55",3129,"Accipiter meyerianus","Accipitridae","Accipitriformes","AVIBASE-87B94C0E",0.985156793,309.5,200,763.5,"Forest",1,1,"Carnivore","Vertivore","Generalist",-10.12,2.29,-4.7,141.36,269144.41,1,0,0,0,0,0,0,0,0,0,0,0,0,2.741942431,0.052476155,-0.038237683,3,5.72110889,0.41180669,0,3.7,59,1,"Meyer's Goshawk","Autour de Meyer","Azor de Meyer",NA,NA,NA,NA,NA,NA
