,Spanish.name
261,Francolin de Hildebrandt
262,Francolin de Ahanta
263,Francolin Escamoso
264,Francolin Angoleno
265,Francolin Gorjiamarillo
266,Francolin del Victoria
267,Francolin Gorjirrojo
268,Francolin de Swainson
269,Francolin de Jackson
270,Francolin Noble
271,Francolin de Camerun
272,Francolin de Swierstra
273,Francolin Cuellicastano
274,Francolin Frentinegro
275,Francolin de Erckel
276,Francolin de Yibuti
277,Francolin Ventrinegro
278,Francolin Pintojo
279,Francolin Chino
286,Francolin Cariblanco
287,Francolin Acollarado
288,Francolin Alirrojo
289,Francolin Aligris
290,Francolin de Finsch
291,Francolin Etiope
293,Francolin de Shelley
295,Francolin del Orange
296,Bambusicola Montana
297,Bambusicola China
298,Bambusicola de Formosa
299,Gallo Bankiva
300,Gallo Gris
301,Gallo de Ceilan
302,Gallo de Java
303,Perdiz Faisan Gorjioscura
304,Perdiz Faisan Gorjiclara
305,Monal Colirrojo
306,Monal Coliblanco
307,Monal Coliverde
308,Tragopan Dorsigris
309,Tragopan Satiro
310,Tragopan de Blyth
311,Tragopan Cariazul
312,Tragopan Chino
313,Faisan Ensangrentado
314,Faisan Koklas
315,Faisan de Elliot
316,Faisan de Hume
317,Faisan Mikado
318,Faisan Cobrizo
319,Faisan Venerado
320,Faisan Dorado
321,Faisan de Lady Amherst
322,Faisan Vulgar
324,Faisan Orejudo Blanco
325,Faisan Orejudo Gris
326,Faisan Orejudo Pardo
327,Faisan Orejudo Azul
328,Faisan Chir
329,Faisan Kalij
330,Faisan Plateado
331,Faisan de Edwards
332,Faisan de Swinhoe
333,Faisan Sencillo
334,Faisan Colicanelo
336,Faisan Noble de Borneo
338,Faisan Siames
339,Faisan Coliblanco
340,Perdiz Pardilla
341,Perdiz Daurica
342,Perdiz Tibetana
343,Guajolote Gallipavo
344,Guajolote Ocelado
345,Grevol Engolado
348,Lagopodo Comun
349,Lagopodo Alpino
350,Lagopodo Coliblanco
351,Gallo Oscuro
352,Gallo Fuliginoso
353,Gallo Siberiano
356,Urogallo Comun
357,Urogallo Piquinegro
358,Gallo Lira Comun
359,Gallo Lira Caucasiano
360,Gallo de Las Artemisas Grande
361,Gallo de Las Artemisas Chico
362,Gallo de Las Praderas Rabudo
363,Gallo de Las Praderas Grande
364,Gallo de Las Praderas Chico
365,Chaja Anuma
366,Chaja Chicaguire
367,Chaja Comun
368,Ganso Urraca
369,Suiriri Cariblanco
370,Suiriri Piquirrojo
371,Suiriri Moteado
372,Suiriri Yaguaza
373,Suiriri Bicolor
374,Suiriri Australiano
375,Suiriri Capirotado
376,Suiriri de Java
377,Pato Dorsiblanco
378,Pato Rinconero
379,Malvasia Enmascarada
380,Malvasia Canela
381,Malvasia Andina
382,Malvasia Argentina
383,Malvasia Australiana
384,Malvasia Maccoa
385,Malvasia Cabeciblanca
386,Malvasia Papuda
387,Pato Pachon
388,Pato Pecoso
389,Ganso Cenizo
390,Cisne Coscoroba
391,Cisne Cuellinegro
392,Cisne Negro
393,Cisne Vulgar
394,Cisne Trompetero
395,Cisne Cantor
396,Cisne Chico
397,Barnacla Carinegra
398,Barnacla Cariblanca
399,Barnacla Cuellirroja
400,Barnacla Canadiense Chica
401,Barnacla Canadiense Grande
402,Barnacla Nene
403,ansar Emperador
404,ansar Nival
405,ansar de Ross
406,ansar Indio
407,ansar Comun
409,ansar Campestre de La Taiga
410,ansar Piquicorto
411,ansar Careto
412,ansar Chico
413,Pato Havelda
414,eider de Anteojos
415,eider Real
416,eider Comun
417,eider Menor
418,Negron Careto
419,Negron Especulado
420,Negron Siberiano
421,Negron Aliblanco
422,Negron Comun
423,Negron Americano
424,Porron Albeola
425,Porron Osculado
426,Porron Islandico
427,Serreta Chica
428,Serreta Capuchona
429,Serreta Grande
430,Serreta China
431,Serreta Mediana
432,Serreta Brasilena
433,Pato Arlequin
436,Cauquen Comun
437,Cauquen Caranca
438,Cauquen Cabecigris
439,Cauquen Colorado
440,Tarro Raja
441,Ganso del Nilo
442,Tarro Blanco
443,Tarro Canelo
444,Tarro Sudafricano
445,Tarro Australiano
446,Tarro Maori
447,Tarro Crestado
448,Ganso Espolonado
449,Pato Criollo
450,Pato Crestudo Americano
451,Pato Crestudo Afroasiatico
452,Gansito Africano
453,Gansito Asiatico
454,Gansito Australiano
455,Pato Acollarado
456,Pato Joyuyo
457,Pato Mandarin
458,Pato de Crin
459,Pato Azul
460,Pato Torrentero
461,Pato de Hartlaub
462,Ganso Aliazul
463,Cerceta Pardilla
464,Pato de Jungla
465,Pato Colorado
466,Pato Picazo
467,Pato Morado
468,Porron Europeo
469,Porron Americano
470,Porron Coacoxtle
471,Porron Australiano
472,Porron Malgache
473,Porron de Baer
474,Porron Pardo
475,Porron Maori
476,Porron Acollarado
477,Porron Monudo
478,Porron Bastardo
479,Porron Bola
480,Pato Cabecirrosado
481,anade de Papua
482,Quetro Volador
483,Quetro Cabeciblanco
484,Quetro Austral
485,Quetro de Malvinas
486,anade Juarjal
487,anade Anteojillo
488,Pato Brasileno
489,Cerceta Carretona
490,Cerceta Joi
491,Cerceta de La Puna
492,Cerceta Capuchina
493,Cuchara Argentino
494,Cuchara de El Cabo
495,Cuchara Australiano
496,Cuchara Comun
497,Cerceta Colorada
498,Cerceta Aliazul
499,Cerceta del Baikal
500,Cerceta de Alfanjes
501,anade Friso
502,Silbon Europeo
503,Silbon Americano
504,Silbon Overo
505,anade Negro
506,anade Picolimon
507,anade Malgache
508,anade Cejudo
509,anade Filipino
510,anade Picopinto Chino
511,anade Picopinto Indio
512,anade de Laysan
513,anade Azulon
514,anade Sombrio
515,anade Moteado
516,anade Hawaiano
517,Cerceta de Andaman
518,Cerceta de La Sonda
519,Cerceta Gris
520,Cerceta Castana
521,Cerceta Maori
522,Cerceta de Auckland
523,Cerceta de Campbell
524,Cerceta Malgache
525,Cerceta de El Cabo
526,anade Gargantillo
527,anade Piquirrojo
528,anade Rabudo
529,anade Subantartico
530,anade Maicero
531,Cerceta Comun
533,Cerceta Andina
534,Cerceta Barcina
535,Zampullin Comun
536,Zampullin Australiano
537,Zampullin Malgache
538,Zampullin Macacito
539,Zampullin Picogrueso
540,Zampullin Pimpollo
541,Zampullin del Titicaca
542,Zampullin Canoso
543,Zampullin Maori
544,Somormujo Macachon
545,Somormujo Cuellirrojo
546,Somormujo Lavanco
547,Zampullin Cuellirrojo
548,Zampullin Cuellinegro
550,Zampullin Plateado
551,Zampullin del Junin
552,Zampullin Tobiano
553,Achichilique Comun
554,Achichilique de Clark
555,Flamenco Comun
556,Flamenco Rojo
557,Flamenco Chileno
558,Flamenco Enano
559,Parina Grande
560,Parina Chica
561,Rabijunco Etereo
562,Rabijunco Colirrojo
563,Rabijunco Menor
564,Kagu
565,Tigana
566,Mesito Pechiblanco
567,Mesito Unicolor
568,Mesito Monias
569,Paloma Bravia
570,Paloma Rupestre
571,Paloma Nival
572,Paloma de Guinea
573,Paloma Etiope
574,Paloma Zurita
575,Paloma del Turquestan
576,Paloma Somali
577,Paloma Torcaz
578,Paloma de Madeira
579,Paloma Turque
580,Paloma Rabiche
581,Paloma del Congo
582,Paloma Ojigualda
583,Paloma del Camerun
584,Paloma de Santo Tome
585,Paloma de Las Comoras
586,Paloma de Hodgson
587,Paloma Nuquialba
588,Paloma Cenicienta
589,Paloma de Los Nilgiris
590,Paloma de Ceilan
591,Paloma Purpurea
592,Paloma Plateada
593,Paloma de Andaman
594,Paloma Japonesa
595,Paloma Gorjiblanca
596,Paloma Blanquinegra
597,Paloma Cabeciclara
598,Paloma de Delegorgue
599,Paloma Nuquibronceada
600,Paloma de Malherbe
602,Tortola Europea
603,Tortola Oscura
604,Tortola del Camerun
605,Tortola Oriental
606,Tortola Bicollar Filipina
607,Tortola Bicollar de La Sonda
608,Tortola Turca
610,Tortola Rosigris
611,Tortola de Reichenow
612,Tortola Enganosa
613,Tortola Ojirroja
614,Tortola de El Cabo
615,Tortola Vinosa
616,Tortola Cabecigris
621,Paloma Rosada
622,Tortola Cuco Unchal
623,Tortola Cuco de Andaman
624,Tortola Cuco Indonesia
625,Tortola Cuco Filipina
626,Tortola Cuco de Flores
627,Tortola Cuco Grande
628,Tortola Cuco de Tanimbar
629,Tortola Cuco Pechirrosa
630,Tortola Cuco Parda
631,Tortola Cuco Chica
632,Tortola Cuco Piquinegra
633,Tortola Cuco de Mackinlay
634,Paloma Cariblanca
635,Tortola Cuco de Sula
636,Paloma de Timor
637,Paloma Rabuda Papu
638,Paloma Rabuda de Nueva Bretana
639,Paloma Rabuda Crestada
640,Paloma Coronita
641,Paloma Islena
642,Paloma Escamosa
643,Paloma Aliblanca
644,Paloma Picazuro
645,Paloma Moteada Comun
647,Paloma Torcaza
649,Paloma Araucana
650,Paloma Jamaicana
651,Paloma Colorada
652,Paloma Piquirroja
653,Paloma Peruana
654,Paloma Boba
655,Paloma Plomiza
656,Paloma Vinosa
657,Paloma Piquicorta
658,Paloma Oscura
659,Paloma Perdiz Cubana
660,Paloma Perdiz Purpurea
661,Paloma Perdiz Zafiro
662,Paloma Perdiz Jamaicana
663,Paloma Perdiz Camao
664,Paloma Perdiz Dominicana
665,Paloma Perdiz Comun
666,Paloma Perdiz Violacea
667,Paloma Perdiz Barbiqueja
668,Paloma Perdiz de Martinica
669,Paloma Perdiz de Veragua
670,Paloma Montaraz Comun
671,Paloma Montaraz Jamaicana
672,Paloma Montaraz Pechigris
673,Paloma Montaraz de Tolima
674,Paloma Montaraz Ventriocre
675,Paloma Montaraz Cabecigris
677,Paloma Montaraz Frentiblanca
678,Paloma Montaraz de Granada
679,Paloma Montaraz Palida
680,Paloma Montaraz de Las Yungas
681,Paloma Perdiz de Veracruz
682,Paloma Perdiz Costarricense
683,Paloma Perdiz de Lawrence
684,Paloma Perdiz Cariblanca
685,Paloma Perdiz Gorjiblanca
686,Paloma Perdiz Embridada
687,Paloma Perdiz de Chiriqui
688,Paloma Perdiz de Goldman
689,Zenaida Aliblanca
690,Zenaida Peruana
691,Zenaida Caribena
692,Zenaida de Galapagos
693,Zenaida Torcaza
694,Zenaida Huilota
695,Zenaida de Socorro
696,Tortolita Mexicana
697,Tortolita Escamosa
698,Columbina Comun
699,Columbina Menuda
700,Columbina Ecuatoriana
701,Columbina Colorada
702,Columbina Picui
703,Columbina Quiquagua
704,Columbina Ojiazul
705,Tortolita Azulada
706,Tortolita Pechimorada
707,Tortolita Alipurpura
708,Palomita Cascabelita
709,Palomita de Moreno
710,Palomita Alinegra
711,Palomita Aimara
712,Columbina Colilarga
713,Paloma Bronce Frentiblanca
714,Paloma Bronce de Nueva Bretana
715,Paloma Apunalada de Luzon
716,Paloma Apunalada de Mindanao
717,Paloma Apunalada de Mindoro
718,Paloma Apunalada de Negros
719,Paloma Apunalada de Tawitawi
720,Paloma Perdiz de Celebes
721,Paloma Perdiz Pechidorada
722,Paloma Perdiz de La Wetar
723,Paloma Perdiz Pechiblanca
724,Paloma Perdiz de Las Carolinas
725,Paloma Perdiz de Las Marianas
726,Paloma Perdiz de Tuamotu
727,Paloma Perdiz de Las Marquesas
728,Paloma Perdiz Pechigris
730,Paloma Perdiz de Las Palau
731,Paloma Perdiz de Santa Cruz
732,Paloma Perdiz de Las Fiyi
733,Paloma Wonga
734,Paloma Roquera Alirrufa
735,Paloma Roquera Aliblanca
736,Paloma Plumifera Ventriblanca
737,Paloma Escrita
738,Paloma de Smith
739,Paloma Bronce Comun
740,Paloma Bronce Elegante
741,Paloma Bronce Arlequin
742,Paloma Bronce Crestada
743,Tortolita Diamante
744,Tortolita Estriada
745,Tortolita Placida
746,Tortolita de Timor
747,Tortolita Humeral
748,Paloma Perdiz Picogorda
750,Paloma Faisan Cuelliverde
753,Gura Occidental
754,Gura de Sclater
755,Gura de Scheepmaker
756,Gura de Victoria
757,Paloma de Nicobar
758,Paloma Manumea
759,Palomita Esmeralda Cabecigris
760,Palomita Esmeralda Cabeciparda
761,Palomita Esmeralda Dorsiparda
762,Palomita Aliverde
763,Palomita Saheliana
764,Palomita Aliazul
765,Palomita Tamborilera
766,Palomita Cabeciazul
767,Tortolita Rabilarga
768,Vinago Pardo de Luzon
771,Vinago Pardo Amatista
774,Vinago Pardo de Mindanao
775,Vinago Pardo de Tawitawi
776,Vinago Cabecirrufo
777,Vinago Chico
778,Vinago Cuellirrosa
779,Vinago Bicinta
780,Vinago del Himalaya
781,Vinago de Los Ghats
782,Vinago de Ceilan
783,Vinago de Andaman
784,Vinago Axilar
785,Vinago de Buru
786,Vinago Piquigrueso
787,Vinago Carigris
788,Vinago de Sumba
789,Vinago de Flores
790,Vinago de Timor
791,Vinago Grande
792,Vinago Patigualdo
793,Vinago Waalia
794,Vinago de Las Comoras
795,Vinago Malgache
