,keyword,spa_count,spa_mean
179,Cardenal Pardo,2742,12.35
180,Carpintero Amarillo,4604,20.74
181,Carpintero Bellotero,2311,10.41
182,Carpintero Blanco,4892,22.04
183,Carraca Abisinia,782,3.52
184,Carraca Europea,2429,10.94
185,Carraca Lila,813,3.66
186,Carrao,11192,50.41
187,Carricerin Cejudo,499,2.25
188,Carricero Comun,1733,7.81
189,Carricero Tordal,548,2.47
190,Casuario Comun,814,3.67
191,Cauquen Colorado,3160,14.23
192,Cauquen Comun,1353,6.09
193,Cerceta Aliazul,446,2.01
194,Cerceta Carretona,873,3.93
195,Cerceta Comun,1151,5.18
196,Cerceta Pardilla,1659,7.47
197,Cernicalo Americano,4071,18.34
198,Cernicalo Patirrojo,538,2.42
199,Cernicalo Primilla,3614,16.28
200,Cernicalo Vulgar,2747,12.37
201,Chara Azul,1233,5.55
202,Chara Enana,1781,8.02
203,Chara Pinta,1644,7.41
204,Chara Verde,3391,15.27
205,Chara Yucateca,1411,6.36
206,Charran artico,1466,6.60
207,Charran Comun,2430,10.95
208,Charran de Forster,245,1.10
209,Charran Elegante,979,4.41
210,Charran Inca,1089,4.91
211,Charran Patinegro,461,2.08
212,Charran Sombrio,679,3.06
213,Chiricoca,3962,17.85
214,Chocha Perdiz,2010,9.05
215,Chopi,12324,55.51
216,Chorlitejo Chico,844,3.80
217,Chorlitejo Grande,922,4.15
218,Chorlitejo Patinegro,795,3.58
219,Chorlito Gris,862,3.88
220,Chotacabras Cuellirrojo,1235,5.56
221,Chotacabras Europeo,726,3.27
222,Chotacabras Orejudo,199,0.90
223,Chova Piquigualda,1114,5.02
224,Chova Piquirroja,1769,7.97
225,Cisne Cantor,686,3.09
226,Cisne Coscoroba,1785,8.04
227,Cisne Negro,853.5,3.84
228,Cisne Trompetero,1022,4.60
229,Codorniz China,3477,15.66
230,Codorniz Comun,2555,11.51
231,Codorniz Japonesa,2674,12.05
232,Cogujada Comun,1277,5.75
233,Cogujada Montesina,2670,12.03
234,Colibri Abejorro,2709,12.20
235,Colibri Coliblanco,292,1.32
236,Colibri Cometa,1532,6.90
237,Colibri de Anna,1389,6.26
238,Colibri de Arica,1981,8.92
239,Colibri de Costa,4250,19.14
240,Colibri Gargantilla,116,0.52
241,Colibri Gigante,2970,13.38
242,Colibri Golondrina,2579,11.62
243,Colibri Morado,2953,13.30
244,Colibri Negro,5405,24.35
245,Colibri Real,6191,27.89
246,Colibri Rufo,172,0.77
247,Colibri Tijereta,1315,5.92
248,Colibri Topacio,334,1.50
249,Colibri Violeta,2740,12.34
250,Colibri Zunzuncito,1941,8.74
251,Colimbo del Pacifico,141,0.64
252,Colimbo Grande,1187,5.35
253,Colin de California,1757,7.91
254,Colin de Gambel,985,4.44
255,Colirrojo Tizon,3228,14.54
256,Collalba Desertica,757,3.41
257,Collalba Gris,1413,6.36
258,Collalba Negra,962,4.33
259,Columbina Picui,1407,6.34
260,Combatiente,3314,14.93
261,Condor Andino,3196,14.40
262,Condor Californiano,3426,15.43
263,Copeton Rufo,963,4.34
264,Coqueta Adornada,183,0.82
265,Coqueta de Guerrero,1949,8.78
266,Cormoran Grande,3117,14.04
267,Cormoran Imperial,1840,8.29
268,Cormoran Mancon,485,2.18
269,Corneja Negra,1227,5.53
270,Correcaminos Grande,1891,8.52
271,Corredor Indio,2243,10.10
272,Corredor Sahariano,675,3.04
273,Correlimos Canelo,951,4.28
274,Correlimos Comun,1748,7.87
275,Correlimos Cuchareta,201,0.91
276,Correlimos Gordo,576,2.59
277,Correlimos Grande,1270,5.72
278,Correlimos Menudo,1593,7.18
279,Correlimos Oscuro,1087,4.90
280,Correlimos Pectoral,823,3.71
281,Cortarramas Chileno,485,2.18
282,Cortarramas Peruano,636,2.86
283,Cotorra Argentina,6519,29.36
284,Cotorra Serrana Occidental,1127,5.08
285,Cotorra Serrana Oriental,814,3.67
286,Cotorrita Amazonica,505,2.27
287,Crialo Europeo,1023,4.61
288,Cua Azul,4744,21.37
289,Cuco Comun,2923,13.17
290,Cuco Grande,2442,11.00
291,Cuco Negro,3172,14.29
292,Cuco Terrestre de Sumatra,203,0.91
293,Cuervo Americano,2917,13.14
294,Cuervo Cubano,2198,9.90
295,Cuervo de Flores,2727,12.28
296,Cuervo de Torres,2940,13.24
297,Cuervo Grande,4654,20.96
298,Cuervo Gris,2901,13.07
299,Cuervo Hawaiano,1973,8.89
300,Cuervo Picogordo,471,2.12
301,Cuitlacoche Rojizo,628,2.83
302,Culebrera Europea,1556,7.01
303,Curruca Capirotada,2917,13.14
304,Curruca Mosquitera,993,4.47
305,Diamante Cebra,1023,4.61
306,Diamante de Gould,9121,41.09
307,Diamante Escarlata,1400,6.31
308,Diamante Moteado,2215,9.98
309,Diamante Tricolor,2059,9.27
310,Dromas,3631,16.36
311,Ducula Bicolor,647,2.91
312,Egotelo de Nueva Caledonia,929,4.18
313,eider Real,1202,5.41
314,Elanio Comun,631,2.84
315,Elanio Tijereta,840,3.78
316,Eminia,4061,18.29
317,Emu,8370,37.70
318,Escribano Aureolado,428,1.93
319,Escribano Cerillo,1886,8.50
320,Escribano de Smith,248,1.12
321,Escribano Hortelano,2966,13.36
322,Escribano Lapon,853,3.84
323,Escribano Montesino,1864,8.40
324,Escribano Nival,1129,5.09
325,Escribano Palustre,1369,6.17
326,Escribano Sahariano,526,2.37
327,Escribano Triguero,947,4.27
328,Esmerejon,3528,15.89
329,Espatula Real,916,4.13
330,Espatula Rosada,2799,12.61
331,Espinero Chico,425,1.91
332,Espinero Grande,1377,6.20
333,Espolonero de Borneo,406,1.83
334,Estornino Amatista,909,4.09
335,Estornino de Bali,693,3.12
336,Estornino Negro,2681,12.08
337,Estornino Pinto,2969,13.37
338,Estornino Rosado,911,4.10
339,Faisan de Lady Amherst,853,3.84
340,Faisan Dorado,10315,46.46
341,Faisan Kalij,674,3.04
342,Faisan Plateado,2362,10.64
343,Faisan Venerado,1110,5.00
344,Falaropo Picogrueso,637,2.87
345,Federal,15114,68.08
346,Flamenco Chileno,3160,14.23
347,Flamenco Comun,2464,11.10
348,Flamenco Enano,892,4.02
349,Flamenco Rojo,4728,21.30
350,Focha Americana,1178,5.31
351,Focha Comun,3138,14.14
352,Focha Cornuda,838,3.77
353,Focha Moruna,929,4.18
354,Frailecillo Coletudo,487,2.19
355,Fumarel Cariblanco,552,2.49
356,Gallineta Americana,805,3.63
357,Gallineta Comun,1707,7.69
358,Gallito Arena,1962,8.84
359,Gallito de Las Rocas Guayanes,278,1.25
360,Gallito de Las Rocas Peruano,2107,9.49
361,Gallo Bankiva,2117,9.54
362,Gallo Gris,3263,14.70
363,Ganga Iberica,945,4.26
364,Ganga India,8993,40.51
365,Ganga Ortega,2074,9.34
366,Ganso del Nilo,2885,13.00
367,Ganso Espolonado,1377,6.20
368,Ganso Urraca,389,1.75
369,Garceta Azul,1404,6.32
370,Garceta Comun,2818,12.69
371,Garceta Grande,1750,7.88
372,Garcilla Bueyera,2510,11.31
373,Garcilla Cangrejera,867,3.91
374,Garza Agami,268,1.21
375,Garza Azulada,595,2.68
376,Garza Chiflona,1891,8.52
377,Garza Cuca,1503,6.77
378,Garza Goliat,655,2.95
379,Garza Imperial,1958,8.82
380,Garza Real,9531,42.93
381,Gaucho Chico,4783,21.55
382,Gaucho Grande,7555,34.03
383,Gavilan Comun,2264,10.20
384,Gavilan Japones,747,3.36
385,Gavilan Pio,2353,10.60
386,Gavion Atlantico,1376,6.20
387,Gaviota Argentea,1675,7.55
388,Gaviota Cangrejera,1066,4.80
389,Gaviota Cocinera,1956,8.81
390,Gaviota Mexicana,3191,14.37
391,Gaviota Patiamarilla,2864,12.90
392,Gaviota Sombria,1201,5.41
393,Golondrina Azul,2841,12.80
394,Golondrina Comun,1804,8.13
395,Golondrina Daurica,1316,5.93
396,Golondrina Negra,1562,7.04
397,Gorrion Alpino,1087,4.90
398,Gorrion Chillon,1082,4.87
399,Gorrion Comun,4895,22.05
400,Gorrion Molinero,905,4.08
401,Gorrion Moruno,1079,4.86
402,Graja,8668,39.05
403,Graveteiro,957,4.31
404,Grevol Engolado,332,1.50
405,Grulla Comun,1784,8.04
406,Grulla Coronada Cuelligris,660,2.97
407,Grulla Damisela,1031,4.64
408,Grulla del Paraiso,312,1.41
409,Grulla Siberiana,708,3.19
410,Grulla Trompetera,203,0.91
411,Guacamayo de Lear,1148,5.17
412,Guacamayo de Spix,512.5,2.31
413,Guacamayo Glauco,2155,9.71
414,Guacamayo Jacinto,4806,21.65
415,Guacamayo Macao,1718,7.74
416,Guacamayo Militar,1717,7.73
417,Guacharo,3582,16.14
418,Guajolote Ocelado,1466,6.60
419,Guardabosques Griton,301,1.36
420,Guion de Codornices,714,3.22
421,Gura Occidental,700,3.15
422,Halcon Borni,373,1.68
423,Halcon Gerifalte,1560,7.03
424,Halcon Gris,3906,17.59
425,Halcon Mexicano,2155,9.71
426,Halcon Negro,6689,30.13
427,Halcon Peregrino,8539,38.46
428,Halcon Reidor,1921,8.65
429,Halcon Sacre,1806,8.14
430,Halconcito Africano,587,2.64
431,Herrerillo Canario,2590,11.67
432,Herrerillo Capuchino,1535,6.91
433,Herrerillo Comun,3121,14.06
434,Hihi,4507,20.30
435,Hoazin,3837,17.28
436,Hormiguero Negro,3816,17.19
437,Ibis Blanco,5106,23.00
438,Ibis Calvo,1464,6.59
439,Ibis Eremita,2145,9.66
440,Ibis Escarlata,1191,5.36
441,Ibis Hadada,2437,10.98
442,Ibis Nipon,1324,5.96
443,Ibis Oriental,3466,15.61
444,Ibis Sagrado,2287,10.30
445,Ibis Verde,9331,42.03
446,Ifrita,1646,7.41
447,Iiwi,3676,16.56
448,Inca Arcoiris,1341,6.04
449,Inca Negro,7167,32.28
450,Indicador Grande,3488,15.71
451,Indicador Menor,2588,11.66
452,Inseparable de Fischer,1072,4.83
453,Jabiru Africano,1496,6.74
454,Jacana Africana,815,3.67
455,Jacana Crestada,341,1.54
456,Jilguero Europeo,1638,7.38
457,Jilguero Lugano,2007,9.04
458,Jilguero Negro,2717,12.24
459,Jilguero Rojo,2437,10.98
460,Junquero,1985,8.94
461,Kagu,10147,45.71
462,Kaka,4970,22.39
463,Kakapo,5081,22.89
464,Kea,5927,26.70
465,Lagopodo Comun,878,3.95
466,Lavandera Blanca,4653,20.96
467,Lavandera Boyera,2971,13.38
468,Lechuza Comun,5352,24.11
469,Llanero,1931,8.70
470,Loica Comun,1663,7.49
471,Loica Pampeana,2212,9.96
472,Lori Arcoiris,3658,16.48
473,Lori Rojo,893,4.02
474,Lorito Senegales,378,1.70
475,Loro Barranquero,3028,13.64
476,Loro Cacique,1750,7.88
477,Loro Choclero,766,3.45
478,Loro Morado,2537,11.43
479,Loro Negro,5652,25.46
480,Loro Yaco,6190,27.88
481,Maluro Esplendido,357,1.61
482,Malvasia Cabeciblanca,1803,8.12
483,Mango Dominicano,3584,16.14
484,Marabu Africano,1074,4.84
485,Marabu Argala,411,1.85
486,Martin Pescador Enano,472,2.13
487,Martineta Comun,768,3.46
488,Martinete Comun,1206,5.43
489,Microloro Pusio,527,2.37
490,Mielero Regente,162,0.73
491,Milano Negro,7035,31.69
492,Milano Real,9700,43.69
493,Mina Dorado,2969,13.37
494,Mina Grande,10432,46.99
495,Mina Indio,3595,16.19
496,Minero Grande,4154,18.71
497,Minero Peruano,4142,18.66
498,Mirlo Capiblanco,854,3.85
499,Mirlo Comun,4216,18.99
500,Mito Comun,6576,29.62
501,Mochuelo Boreal,718,3.23
502,Mochuelo Chico,814,3.67
503,Mochuelo de Madriguera,1962,8.84
504,Mochuelo Europeo,1293,5.82
505,Mochuelo Peludo,382,1.72
506,Mochuelo Tamaulipeco,507,2.28
507,Momoto Mexicano,557,2.51
508,Monal Colirrojo,210,0.95
509,Monarca de Flores,2088,9.41
510,Monarca Negro,3317,14.94
511,Monarca Nuquinegro,1137,5.12
512,Monja Negra,4965,22.36
513,Monjita Blanca,1920,8.65
514,Monjita Chocolate,969,4.36
515,Monterita Canela,857,3.86
516,Morito Comun,1705,7.68
517,Mosquero Cardenal,2115,9.53
518,Mosquero Real,610,2.75
519,Mosquitero Bilistado,1255,5.65
520,Mosquitero Canario,452,2.04
521,Mosquitero Comun,3884,17.50
522,Mosquitero Musical,2786,12.55
523,Mosquitero Papialbo,1652,7.44
524,Mosquitero Silbador,994,4.48
525,Mulato Azul,2566,11.56
526,Nictibio Colilargo,385,1.73
527,Nictibio Grande,216,0.97
528,Nictibio Jamaicano,283,1.27
529,Nictibio Urutau,486,2.19
530,Obispo Colilargo,534,2.41
531,Obispo Negro,2522,11.36
532,Obispo Rojo,3089,13.91
533,Ocotero,987,4.45
534,Oropendola Europea,786,3.54
535,Ou,12778,57.56
536,Pagaza Piconegra,1659,7.47
537,Pajaro Capuchino,2273,10.24
538,Pajaro Militar,2607,11.74
539,Palmero,4950,22.30
540,Paloma Bravia,3529,15.90
541,Paloma de Nicobar,854,3.85
542,Paloma Peruana,3414,15.38
543,Paloma Rabiche,1827,8.23
544,Paloma Rosada,2090,9.41
545,Paloma Torcaz,4961,22.35
546,Paloma Torcaza,6064,27.32
547,Paloma Zurita,3933,17.72
548,Papamoscas Cerrojillo,1858,8.37
549,Papamoscas Gris,1702,7.67
550,Pardela Balear,3254,14.66
551,Pardela Cenicienta,2094,9.43
552,Pardela Culinegra,160,0.72
553,Pardela de Townsend,1238,5.58
554,Pardela Pichoneta,628,2.83
555,Pardillo Comun,5900,26.58
556,Pato Arlequin,1245,5.61
557,Pato Azul,4064,18.31
558,Pato Colorado,4213,18.98
559,Pato Criollo,5306,23.90
560,Pato Joyuyo,1855,8.36
561,Pato Mandarin,3528,15.89
562,Pato Morado,4034,18.17
563,Pato Picazo,2583,11.64
564,Pava Aliblanca,1064,4.79
