,keyword,mean
186,Carrao,50.41441441
187,Carricerin Cejudo,2.247747748
188,Carricero Comun,7.806306306
189,Carricero Tordal,2.468468468
190,Casuario Comun,3.666666667
191,Cauquen Colorado,14.23423423
192,Cauquen Comun,6.094594595
193,Cerceta Aliazul,2.009009009
194,Cerceta Carretona,3.932432432
195,Cerceta Comun,5.184684685
196,Cerceta Pardilla,7.472972973
197,Cernicalo Americano,18.33783784
198,Cernicalo Patirrojo,2.423423423
199,Cernicalo Primilla,16.27927928
200,Cernicalo Vulgar,12.37387387
201,Chara Azul,5.554054054
202,Chara Enana,8.022522523
203,Chara Pinta,7.405405405
204,Chara Verde,15.27477477
205,Chara Yucateca,6.355855856
206,Charran artico,6.603603604
207,Charran Comun,10.94594595
208,Charran de Forster,1.103603604
209,Charran Elegante,4.40990991
210,Charran Inca,4.905405405
211,Charran Patinegro,2.076576577
212,Charran Sombrio,3.058558559
213,Chiricoca,17.84684685
214,Chocha Perdiz,9.054054054
215,Chopi,55.51351351
216,Chorlitejo Chico,3.801801802
217,Chorlitejo Grande,4.153153153
218,Chorlitejo Patinegro,3.581081081
219,Chorlito Gris,3.882882883
220,Chotacabras Cuellirrojo,5.563063063
221,Chotacabras Europeo,3.27027027
222,Chotacabras Orejudo,0.896396396
223,Chova Piquigualda,5.018018018
224,Chova Piquirroja,7.968468468
225,Cisne Cantor,3.09009009
226,Cisne Coscoroba,8.040540541
227,Cisne Negro,3.844594595
228,Cisne Trompetero,4.603603604
229,Codorniz China,15.66216216
230,Codorniz Comun,11.50900901
231,Codorniz Japonesa,12.04504505
232,Cogujada Comun,5.752252252
233,Cogujada Montesina,12.02702703
234,Colibri Abejorro,12.2027027
235,Colibri Coliblanco,1.315315315
236,Colibri Cometa,6.900900901
237,Colibri de Anna,6.256756757
238,Colibri de Arica,8.923423423
239,Colibri de Costa,19.14414414
240,Colibri Gargantilla,0.522522523
241,Colibri Gigante,13.37837838
242,Colibri Golondrina,11.61711712
243,Colibri Morado,13.3018018
244,Colibri Negro,24.34684685
245,Colibri Real,27.88738739
246,Colibri Rufo,0.774774775
247,Colibri Tijereta,5.923423423
248,Colibri Topacio,1.504504505
249,Colibri Violeta,12.34234234
250,Colibri Zunzuncito,8.743243243
251,Colimbo del Pacifico,0.635135135
252,Colimbo Grande,5.346846847
253,Colin de California,7.914414414
254,Colin de Gambel,4.436936937
255,Colirrojo Tizon,14.54054054
256,Collalba Desertica,3.40990991
257,Collalba Gris,6.364864865
258,Collalba Negra,4.333333333
259,Columbina Picui,6.337837838
260,Combatiente,14.92792793
261,Condor Andino,14.3963964
262,Condor Californiano,15.43243243
263,Copeton Rufo,4.337837838
264,Coqueta Adornada,0.824324324
265,Coqueta de Guerrero,8.779279279
266,Cormoran Grande,14.04054054
267,Cormoran Imperial,8.288288288
268,Cormoran Mancon,2.184684685
269,Corneja Negra,5.527027027
270,Correcaminos Grande,8.518018018
271,Corredor Indio,10.1036036
272,Corredor Sahariano,3.040540541
273,Correlimos Canelo,4.283783784
274,Correlimos Comun,7.873873874
275,Correlimos Cuchareta,0.905405405
276,Correlimos Gordo,2.594594595
277,Correlimos Grande,5.720720721
278,Correlimos Menudo,7.175675676
279,Correlimos Oscuro,4.896396396
280,Correlimos Pectoral,3.707207207
281,Cortarramas Chileno,2.184684685
282,Cortarramas Peruano,2.864864865
283,Cotorra Argentina,29.36486486
284,Cotorra Serrana Occidental,5.076576577
285,Cotorra Serrana Oriental,3.666666667
