"","date","hits","keyword","geo","time","gprop","category"
"1",2004-01-01,0,"Petit Fournier","world","all","web",0
"2",2004-02-01,51,"Petit Fournier","world","all","web",0
"3",2004-03-01,0,"Petit Fournier","world","all","web",0
"4",2004-04-01,0,"Petit Fournier","world","all","web",0
"5",2004-05-01,0,"Petit Fournier","world","all","web",0
"6",2004-06-01,0,"Petit Fournier","world","all","web",0
"7",2004-07-01,0,"Petit Fournier","world","all","web",0
"8",2004-08-01,0,"Petit Fournier","world","all","web",0
"9",2004-09-01,38,"Petit Fournier","world","all","web",0
"10",2004-10-01,0,"Petit Fournier","world","all","web",0
"11",2004-11-01,0,"Petit Fournier","world","all","web",0
"12",2004-12-01,0,"Petit Fournier","world","all","web",0
"13",2005-01-01,63,"Petit Fournier","world","all","web",0
"14",2005-02-01,34,"Petit Fournier","world","all","web",0
"15",2005-03-01,0,"Petit Fournier","world","all","web",0
"16",2005-04-01,0,"Petit Fournier","world","all","web",0
"17",2005-05-01,27,"Petit Fournier","world","all","web",0
"18",2005-06-01,0,"Petit Fournier","world","all","web",0
"19",2005-07-01,0,"Petit Fournier","world","all","web",0
"20",2005-08-01,0,"Petit Fournier","world","all","web",0
"21",2005-09-01,0,"Petit Fournier","world","all","web",0
"22",2005-10-01,23,"Petit Fournier","world","all","web",0
"23",2005-11-01,23,"Petit Fournier","world","all","web",0
"24",2005-12-01,23,"Petit Fournier","world","all","web",0
"25",2006-01-01,20,"Petit Fournier","world","all","web",0
"26",2006-02-01,0,"Petit Fournier","world","all","web",0
"27",2006-03-01,18,"Petit Fournier","world","all","web",0
"28",2006-04-01,19,"Petit Fournier","world","all","web",0
"29",2006-05-01,0,"Petit Fournier","world","all","web",0
"30",2006-06-01,36,"Petit Fournier","world","all","web",0
"31",2006-07-01,37,"Petit Fournier","world","all","web",0
"32",2006-08-01,0,"Petit Fournier","world","all","web",0
"33",2006-09-01,0,"Petit Fournier","world","all","web",0
"34",2006-10-01,30,"Petit Fournier","world","all","web",0
"35",2006-11-01,14,"Petit Fournier","world","all","web",0
"36",2006-12-01,0,"Petit Fournier","world","all","web",0
"37",2007-01-01,13,"Petit Fournier","world","all","web",0
"38",2007-02-01,41,"Petit Fournier","world","all","web",0
"39",2007-03-01,0,"Petit Fournier","world","all","web",0
"40",2007-04-01,0,"Petit Fournier","world","all","web",0
"41",2007-05-01,0,"Petit Fournier","world","all","web",0
"42",2007-06-01,0,"Petit Fournier","world","all","web",0
"43",2007-07-01,0,"Petit Fournier","world","all","web",0
"44",2007-08-01,0,"Petit Fournier","world","all","web",0
"45",2007-09-01,0,"Petit Fournier","world","all","web",0
"46",2007-10-01,0,"Petit Fournier","world","all","web",0
"47",2007-11-01,9,"Petit Fournier","world","all","web",0
"48",2007-12-01,28,"Petit Fournier","world","all","web",0
"49",2008-01-01,17,"Petit Fournier","world","all","web",0
"50",2008-02-01,34,"Petit Fournier","world","all","web",0
"51",2008-03-01,16,"Petit Fournier","world","all","web",0
"52",2008-04-01,8,"Petit Fournier","world","all","web",0
"53",2008-05-01,16,"Petit Fournier","world","all","web",0
"54",2008-06-01,0,"Petit Fournier","world","all","web",0
"55",2008-07-01,0,"Petit Fournier","world","all","web",0
"56",2008-08-01,0,"Petit Fournier","world","all","web",0
"57",2008-09-01,0,"Petit Fournier","world","all","web",0
"58",2008-10-01,19,"Petit Fournier","world","all","web",0
"59",2008-11-01,7,"Petit Fournier","world","all","web",0
"60",2008-12-01,13,"Petit Fournier","world","all","web",0
"61",2009-01-01,6,"Petit Fournier","world","all","web",0
"62",2009-02-01,0,"Petit Fournier","world","all","web",0
"63",2009-03-01,23,"Petit Fournier","world","all","web",0
"64",2009-04-01,18,"Petit Fournier","world","all","web",0
"65",2009-05-01,28,"Petit Fournier","world","all","web",0
"66",2009-06-01,17,"Petit Fournier","world","all","web",0
"67",2009-07-01,17,"Petit Fournier","world","all","web",0
"68",2009-08-01,6,"Petit Fournier","world","all","web",0
"69",2009-09-01,0,"Petit Fournier","world","all","web",0
"70",2009-10-01,20,"Petit Fournier","world","all","web",0
"71",2009-11-01,10,"Petit Fournier","world","all","web",0
"72",2009-12-01,15,"Petit Fournier","world","all","web",0
"73",2010-01-01,5,"Petit Fournier","world","all","web",0
"74",2010-02-01,10,"Petit Fournier","world","all","web",0
"75",2010-03-01,13,"Petit Fournier","world","all","web",0
"76",2010-04-01,5,"Petit Fournier","world","all","web",0
"77",2010-05-01,9,"Petit Fournier","world","all","web",0
"78",2010-06-01,14,"Petit Fournier","world","all","web",0
"79",2010-07-01,9,"Petit Fournier","world","all","web",0
"80",2010-08-01,8,"Petit Fournier","world","all","web",0
"81",2010-09-01,8,"Petit Fournier","world","all","web",0
"82",2010-10-01,8,"Petit Fournier","world","all","web",0
"83",2010-11-01,15,"Petit Fournier","world","all","web",0
"84",2010-12-01,4,"Petit Fournier","world","all","web",0
"85",2011-01-01,10,"Petit Fournier","world","all","web",0
"86",2011-02-01,7,"Petit Fournier","world","all","web",0
"87",2011-03-01,13,"Petit Fournier","world","all","web",0
"88",2011-04-01,3,"Petit Fournier","world","all","web",0
"89",2011-05-01,10,"Petit Fournier","world","all","web",0
"90",2011-06-01,3,"Petit Fournier","world","all","web",0
"91",2011-07-01,17,"Petit Fournier","world","all","web",0
"92",2011-08-01,10,"Petit Fournier","world","all","web",0
"93",2011-09-01,0,"Petit Fournier","world","all","web",0
"94",2011-10-01,12,"Petit Fournier","world","all","web",0
"95",2011-11-01,9,"Petit Fournier","world","all","web",0
"96",2011-12-01,6,"Petit Fournier","world","all","web",0
"97",2012-01-01,0,"Petit Fournier","world","all","web",0
"98",2012-02-01,8,"Petit Fournier","world","all","web",0
"99",2012-03-01,13,"Petit Fournier","world","all","web",0
"100",2012-04-01,8,"Petit Fournier","world","all","web",0
"101",2012-05-01,10,"Petit Fournier","world","all","web",0
"102",2012-06-01,5,"Petit Fournier","world","all","web",0
"103",2012-07-01,0,"Petit Fournier","world","all","web",0
"104",2012-08-01,5,"Petit Fournier","world","all","web",0
"105",2012-09-01,5,"Petit Fournier","world","all","web",0
"106",2012-10-01,14,"Petit Fournier","world","all","web",0
"107",2012-11-01,14,"Petit Fournier","world","all","web",0
"108",2012-12-01,12,"Petit Fournier","world","all","web",0
"109",2013-01-01,11,"Petit Fournier","world","all","web",0
"110",2013-02-01,12,"Petit Fournier","world","all","web",0
"111",2013-03-01,4,"Petit Fournier","world","all","web",0
"112",2013-04-01,8,"Petit Fournier","world","all","web",0
"113",2013-05-01,4,"Petit Fournier","world","all","web",0
"114",2013-06-01,13,"Petit Fournier","world","all","web",0
"115",2013-07-01,2,"Petit Fournier","world","all","web",0
"116",2013-08-01,4,"Petit Fournier","world","all","web",0
"117",2013-09-01,6,"Petit Fournier","world","all","web",0
"118",2013-10-01,10,"Petit Fournier","world","all","web",0
"119",2013-11-01,6,"Petit Fournier","world","all","web",0
"120",2013-12-01,10,"Petit Fournier","world","all","web",0
"121",2014-01-01,11,"Petit Fournier","world","all","web",0
"122",2014-02-01,10,"Petit Fournier","world","all","web",0
"123",2014-03-01,16,"Petit Fournier","world","all","web",0
"124",2014-04-01,13,"Petit Fournier","world","all","web",0
"125",2014-05-01,100,"Petit Fournier","world","all","web",0
"126",2014-06-01,6,"Petit Fournier","world","all","web",0
"127",2014-07-01,8,"Petit Fournier","world","all","web",0
"128",2014-08-01,12,"Petit Fournier","world","all","web",0
"129",2014-09-01,8,"Petit Fournier","world","all","web",0
"130",2014-10-01,7,"Petit Fournier","world","all","web",0
"131",2014-11-01,9,"Petit Fournier","world","all","web",0
