"","species","English.name","X","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","winglength_ok"
"1","Struthio molybdophanes","Somali Ostrich",3382,2,"Struthionidae","Struthioniformes","AVIBASE-40329BB6",3,0,1,2,2,89.2,52,46.7,23.6,466.7,510.5,0.3,510.2,0.1,291.7,111000,"DataFromSplit",NA,"NO",NA,NA,"Shrubland",3,1,"Herbivore","Omnivore","Terrestrial",-3.61,11.62,5.53,43.23,1079016.7,22732795,3,1,1,0,0,0,0,1,0,0,0,0,0,0,3.07519201,7.115486409,1.442941947
"2","Rhea americana","Greater Rhea",3379,3,"Rheidae","Struthioniformes","AVIBASE-00986B24",5,2,2,1,4,86.5,35.6,27.2,17.2,308,604.5,0.3,604.2,0.1,62,23000,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Omnivore","Omnivore","Terrestrial",-41.17,-4.65,-21.37,-53.45,6537549.66,22678073,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4.87670427,5.541450419,1.828724
"3","Rhea pennata","Lesser Rhea",3380,4,"Rheidae","Struthioniformes","AVIBASE-BA52A675",5,2,2,1,4,68.6,33.1,24.7,16.3,292.5,629.5,0.4,629.1,0.1,56.8,23900,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Herbivore","Omnivore","Terrestrial",-53.54,-35.63,-44.99,-69.08,660510.26,22728199,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2.58439923,5.579834669,1.931325611
"4","Rhea tarapacensis","Puna Rhea",3381,5,"Rheidae","Struthioniformes","AVIBASE-499B75D1",1,1,0,0,0,75.6,35,25.1,14.6,296,607,0.4,629.1,0.1,65,23900,"DataFromSplit",NA,"YES","Kipp's Distance; Secondary1; Hand-Wing Index","Rhea pennata","Grassland",3,1,"Herbivore","Omnivore","Terrestrial",-28.79,-16.21,-22.22,-67.75,424810.53,22728206,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.14302983,5.579834669,1.838984161
"5","Nothocercus nigrocapillus","Hooded Tinamou",3390,8,"Tinamidae","Struthioniformes","AVIBASE-68E763AE",9,5,3,1,4,35.3,9.1,4.6,5.8,63.5,187,27.5,159.5,14.8,56,540,"Updated_literature","BoW","NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-18.19,-5.26,-12.3,-72.24,206296.78,22678160,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.42070238,1.789770069,0.115277112
"6","Tinamus tao","Grey Tinamou",3399,9,"Tinamidae","Struthioniformes","AVIBASE-346D16D5",11,5,4,2,4,45.5,13.6,6.5,6.8,79.7,278.7,47.3,229.2,17.1,125.6,1600.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-17.32,11.55,-9.07,-59.84,3810389.02,22678135,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.33687314,2.876022335,0.491619818
"7","Tinamus solitarius","Solitary Tinamou",3398,10,"Tinamidae","Struthioniformes","AVIBASE-67E5E0FA",6,2,1,3,4,37.9,11.4,5.8,6,73.1,261.5,35.1,223.7,13.7,156.2,1386.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-29.81,-7.93,-22.1,-47.4,1069608.94,22678139,2,0,1,0,1,0,1,1,0,0,0,0,0,0,3.06643495,2.732666667,0.42102991
"8","Tinamus osgoodi","Black Tinamou",3397,11,"Tinamidae","Struthioniformes","AVIBASE-63C5F122",4,1,3,0,1,45.6,12.9,7.1,7.9,70.6,232,40.5,191.6,17.4,69.7,1285,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-13.91,7.15,-11.05,-72.42,28701.74,22678145,3,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.55165568,2.656714926,0.29996001
"9","Tinamus major","Great Tinamou",3396,12,"Tinamidae","Struthioniformes","AVIBASE-42D72AE1",6,1,2,3,4,38.5,11.4,5.2,5.9,64.4,241,51.3,193.1,20.9,83.2,1026.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-18.07,18.96,-1.53,-66.06,7672718.39,22678148,1,0,1,0,0,1,1,1,0,0,0,0,0,0,5.03681282,2.431818868,0.33689659
"10","Tinamus guttatus","White-throated Tinamou",3395,13,"Tinamidae","Struthioniformes","AVIBASE-0480B7C9",8,4,4,0,4,33.1,10.8,5,5.3,57.6,195.4,50.9,142.1,26.4,75.6,686.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-15.03,4.88,-5.63,-64.54,3971186.8,22678151,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4.37820684,2.029370059,0.149751253
"11","Crypturellus ptaritepui","Tepui Tinamou",3388,16,"Tinamidae","Struthioniformes","AVIBASE-F5F9A63F",1,0,1,0,0,29.6,9,4.6,5.8,51.2,136,10,126,7.4,54.2,443.4,"Inferred",NA,"YES","Tail Length; Body Mass","Crypturellus obsoletus","Forest",1,1,"Herbivore","Omnivore","Terrestrial",5.7,6.02,5.84,-62.19,403.76,22678172,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-4.815548068,1.592673226,-0.094030173
"12","Crypturellus duidae","Grey-legged Tinamou",3384,21,"Tinamidae","Struthioniformes","AVIBASE-D2592D39",4,2,2,0,4,31.2,12.2,5.4,5.6,48.9,162.9,45.5,117.4,27.9,41.5,426,"Dunning",NA,"NO",NA,NA,"Shrubland",1,1,"Herbivore","Omnivore","Terrestrial",-4.01,6.38,1.17,-65.98,131826.56,22678213,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.97287369,1.552640275,0.01636916
"13","Crypturellus erythropus","Red-legged Tinamou",3385,22,"Tinamidae","Struthioniformes","AVIBASE-4E03F38D",5,1,3,1,4,29,10.7,4.9,4.4,47,158.2,48.1,110.6,30.1,48.4,485,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-1.46,11.65,5.09,-62.6,1242529.51,22729569,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3.21629108,1.68234982,-0.002919943
"14","Crypturellus noctivagus","Yellow-legged Tinamou",3387,23,"Tinamidae","Struthioniformes","AVIBASE-7507BE36",5,0,1,4,5,32.9,12.5,6.1,5.3,53.9,182.2,43.9,138.3,24.1,61.8,562,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-30.22,-7.13,-16.47,-43.19,1469564.58,22678217,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.384108,1.829702779,0.095577603
"15","Crypturellus atrocapillus","Black-capped Tinamou",3383,24,"Tinamidae","Struthioniformes","AVIBASE-41631439",9,3,4,2,4,32.3,11.4,5.4,5,52.6,165.7,36.1,129.6,21.6,44.3,453,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-17.84,-11.86,-14.81,-67.39,120601.77,22678220,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.88388053,1.614093054,0.02786054
"16","Crypturellus transfasciatus","Pale-browed Tinamou",3389,27,"Tinamidae","Struthioniformes","AVIBASE-D303E7FF",5,2,2,1,4,26.7,10.8,5.1,4.8,46.4,150.2,36.5,115.2,24,45.6,283,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Herbivore","Omnivore","Terrestrial",-5.74,-0.18,-3,-80.41,41881.22,22678185,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.17377591,1.143647827,-0.035752458
"17","Crypturellus kerriae","Choco Tinamou",3386,29,"Tinamidae","Struthioniformes","AVIBASE-2ED97B54",1,1,0,0,0,31.2,10.6,5.1,4.8,49.6,154.1,33.6,120.5,21.8,54.2,443.4,"Inferred",NA,"YES","Tail Length; Body Mass","Crypturellus obsoletus","Forest",1,1,"Herbivore","Omnivore","Terrestrial",5.95,7.84,7.18,-77.66,6147.23,22678194,3,1,1,0,1,1,1,1,0,0,0,0,0,0,-2.092611857,1.592673226,-0.019746607
"18","Nothoprocta taczanowskii","Taczanowski's Tinamou",3391,38,"Tinamidae","Struthioniformes","AVIBASE-368EC295",4,0,4,0,2,43.6,27.3,9.7,9.1,48.6,181,42.6,135.4,23.8,67,619.3,"Inferred",NA,"YES","Body Mass","Nothoprocta ornata","Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-15.01,-13,-13.82,-72.17,17724.05,22678246,3,1,1,0,0,0,0,1,0,1,0,0,0,0,-1.033690957,1.926790737,0.090652725
"19","Nothura minor","Lesser Nothura",3393,45,"Tinamidae","Struthioniformes","AVIBASE-99D7964C",4,0,0,4,2,19.4,10.3,5,4.1,27,110,28.2,81.8,25.6,47,165.8,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Herbivore","Omnivore","Terrestrial",-23.93,-15.71,-18.92,-48.17,480730.25,22678280,3,1,1,1,0,0,0,0,1,1,1,0,1,0,2.26669287,0.608983172,-0.200735847
"20","Nothura maculosa","Spotted Nothura",3392,47,"Tinamidae","Struthioniformes","AVIBASE-03C3DDFB",11,4,3,4,8,19.7,9.2,5.8,5.2,34.7,124.1,30.9,93.6,24.7,42.5,257.5,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Herbivore","Omnivore","Terrestrial",-41.72,-2.77,-23.64,-54.06,5645223.73,154589710,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4.72995168,1.049220649,-0.142868539
"21","Taoniscus nanus","Dwarf Tinamou",3394,48,"Tinamidae","Struthioniformes","AVIBASE-B62C4561",5,2,2,1,4,14.8,6.3,3.1,3.1,18.4,76.6,16.2,60.8,21.4,34.8,43,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Omnivore","Omnivore","Terrestrial",-20.74,-10.24,-16,-46.65,860857.56,22678286,4,1,1,1,0,0,0,0,0,1,1,0,0,0,2.84931562,-0.740598955,-0.337811598
"22","Casuarius casuarius","Southern Cassowary",3377,53,"Casuariidae","Struthioniformes","AVIBASE-8B9D93D8",7,2,3,2,4,104.8,26.5,14.3,20.6,287.2,300.8,0.2,300.6,0.1,402.5,44000,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-18.93,-0.74,-6.85,140.42,379633.34,22678108,1,0,1,1,1,0,1,1,0,1,0,0,1,0,2.03059246,6.190145839,0.582319641
"23","Casuarius bennetti","Dwarf Cassowary",3376,54,"Casuariidae","Struthioniformes","AVIBASE-7751E0D1",4,1,0,3,4,73.8,19.4,10.8,16.1,260,216.8,0.2,216.6,0.1,318.8,35000,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-10.66,-0.34,-5.06,142.1,396486.38,22678111,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2.07402826,5.961304269,0.237578231
"24","Casuarius unappendiculatus","Northern Cassowary",3378,55,"Casuariidae","Struthioniformes","AVIBASE-32E7303B",5,1,1,3,4,88.1,25,14.3,23.2,303.4,264.5,0.2,264.3,0.1,273.5,46073.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",-5.64,-0.34,-3.26,138.98,185350.58,22678114,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.31363563,6.236202839,0.433342103
"25","Apteryx haastii","Great Spotted Kiwi",3372,59,"Apterygidae","Struthioniformes","AVIBASE-0D8B9E40",9,6,3,0,5,139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1,0.1,0.1,2022.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Terrestrial",-42.84,-40.5,-41.52,172.15,8561.32,22678132,3,1,0,1,0,0,0,0,0,0,0,0,0,0,-1.761359047,3.110389461,-0.651772525
"26","Apteryx owenii","Little Spotted Kiwi",3374,60,"Apterygidae","Struthioniformes","AVIBASE-187706CF",5,2,3,0,4,85.3,2,3.3,3.6,59.6,0.1,0.1,0.1,0.1,0.1,1238.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-41.29,-35.89,-39.53,174.89,35.17,22678129,2,0,0,1,0,0,0,0,0,0,0,0,0,0,-7.256175264,2.619695679,-0.651772525
"27","Apteryx mantelli","North Island Brown Kiwi",3373,61,"Apterygidae","Struthioniformes","AVIBASE-DB55CB8C",4,2,2,0,4,140.6,4.3,4.3,4.5,64,0.1,0.1,0.1,0.1,0.1,2320.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-40.89,-34.77,-37.84,175.51,37689.64,45353580,3,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.27922818,3.247738888,-0.651772525
"28","Apteryx australis","Southern Brown Kiwi",3371,62,"Apterygidae","Struthioniformes","AVIBASE-6BA55EF0",5,1,2,2,4,126.4,2,4.7,5.8,67,0.1,0.1,0.1,0.1,0.1,2320.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-47.29,-43.9,-45.55,167.43,11012.06,22678122,3,1,0,1,0,0,0,0,0,0,0,0,0,0,-1.509622395,3.247738888,-0.651772525
"29","Apteryx rowi","Okarito Kiwi",3375,63,"Apterygidae","Struthioniformes","AVIBASE-D433BDAB",1,1,0,0,1,157,2.4,4.7,5.3,84,0.1,0.1,0.1,0.1,0.1,1924,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-43.33,-43.13,-43.25,170.19,239.4,22732871,3,1,1,1,0,0,1,0,0,0,0,0,0,0,-5.338232917,3.06036256,-0.651772525
"30","Aepypodius bruijnii","Waigeo Brush-turkey",906,66,"Megapodiidae","Galliformes","AVIBASE-638C9A70",1,0,1,0,1,33.6,22.4,13.5,19.9,100,284,55.3,228.7,19.5,98,192,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-0.31,-0.03,-0.16,130.97,839.38,22678559,4,1,0,1,0,0,0,1,0,1,0,0,1,0,-4.083705186,0.755696301,0.513371359
"31","Talegalla cuvieri","Red-billed Brush-turkey",919,67,"Megapodiidae","Galliformes","AVIBASE-9F3603B0",4,2,2,0,4,37.7,24.2,11,19,86.1,275,74.5,200.5,27.1,151.5,1785,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-4.97,-0.34,-2.59,133.79,122104.79,22678564,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.89626618,2.985374623,0.476434779
"32","Leipoa ocellata","Malleefowl",908,70,"Megapodiidae","Galliformes","AVIBASE-BE7FA465",4,0,0,4,3,31.8,16.6,8.9,9.8,71,310.2,96.2,214.1,31,195,1913.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-37.04,-25.52,-32.1,133.02,628981.06,22678646,3,1,1,1,0,0,1,0,0,1,1,0,0,0,2.53548771,3.055099253,0.620897846
"33","Macrocephalon maleo","Maleo",909,71,"Megapodiidae","Galliformes","AVIBASE-7B3B8F2F",5,1,1,3,4,42.5,26,13.4,18.5,82.2,290.8,64.7,228.6,22,132,1563.3,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Terrestrial",-5.7,1.76,-1.66,121.4,146297.35,22678576,5,1,1,1,1,1,1,1,1,1,0,0,0,0,1.07702776,2.85275518,0.541278997
"34","Eulipoa wallacei","Moluccan Scrubfowl",907,72,"Megapodiidae","Galliformes","AVIBASE-9CE98D28",2,1,0,1,2,22.8,11.4,5.1,7.3,51.5,193,64.7,128.3,33.5,65,505,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-3.88,2.23,-1.57,128.35,49330.86,22678632,3,1,1,1,0,1,1,1,0,0,0,0,0,0,-0.01006358,1.722759358,0.139901498
"35","Megapodius nicobariensis","Nicobar Scrubfowl",916,73,"Megapodiidae","Galliformes","AVIBASE-F4042498",4,2,2,0,4,24,12.1,7.2,8,64.2,226.8,45.5,181.2,20.1,62.8,836.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",6.75,8.57,7.37,93.68,1578.46,22678583,3,1,1,1,1,0,1,1,0,0,0,0,1,0,-3.452163743,2.227666512,0.278618875
"36","Megapodius cumingii","Philippine Scrubfowl",911,74,"Megapodiidae","Galliformes","AVIBASE-A3FF8DCA",5,2,3,0,4,24.3,12.1,6.4,7.8,63,213,55.8,157.7,26.1,67.8,1044,"EltonTraits_Model",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Terrestrial",-4.29,19.58,7.52,121.9,457462.43,22678588,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2.21708133,2.449015697,0.221982786
"37","Megapodius bernsteinii","Sula Scrubfowl",910,75,"Megapodiidae","Galliformes","AVIBASE-034D904B",1,0,1,0,1,22.4,11.9,6.2,7.9,60.8,185,48.1,136.9,26,57,768.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",2,1,"Omnivore","Invertivore","Terrestrial",-2.47,-1.15,-1.71,124.51,4283.59,22678593,3,1,1,1,0,0,0,1,0,0,0,0,0,0,-2.453821988,2.142771607,0.107068983
"38","Megapodius tenimberensis","Tanimbar Scrubfowl",918,76,"Megapodiidae","Galliformes","AVIBASE-8A966B18",1,0,1,0,1,27.2,13.5,7.7,8.9,66,253,54.5,198.5,21.5,85,875.8,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Terrestrial",-8.03,-7.11,-7.59,131.41,3225.7,22732420,3,1,0,1,0,0,0,1,0,0,0,0,0,0,-2.73746345,2.273338683,0.386145363
"39","Megapodius layardi","Vanuatu Scrubfowl",915,77,"Megapodiidae","Galliformes","AVIBASE-45EEB735",4,1,3,0,4,24,11.8,6.7,8,70,236,59.6,176.4,25.3,81.8,768.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-17.83,-13.22,-15.68,167.42,6452.14,22678615,3,1,1,0,0,0,0,1,0,0,0,0,1,0,-2.044201572,2.142771607,0.316376268
"40","Megapodius laperouse","Micronesian Scrubfowl",914,78,"Megapodiidae","Galliformes","AVIBASE-E19BE428",5,2,1,2,4,22.3,10.8,5.2,6.8,51.5,167,51.8,113.4,31.4,55.4,308,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Terrestrial",6.89,20.54,11.48,139.7,838.35,22678620,2,0,1,1,1,0,0,1,1,0,0,1,1,0,-4.084933036,1.228300712,0.033195824
"41","Megapodius pritchardii","Tongan Scrubfowl",917,79,"Megapodiidae","Galliformes","AVIBASE-69BBDE32",4,2,2,0,4,24.3,11.6,5.8,6.9,54,177,33.4,143.7,18.8,55.6,365,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Terrestrial",-18.03,-15.57,-15.8,-175.53,56.98,22678625,3,1,0,1,0,0,0,1,0,0,0,1,1,0,-6.773668381,1.398098283,0.074236468
"42","Megapodius freycinet","Dusky Scrubfowl",912,80,"Megapodiidae","Galliformes","AVIBASE-D3A0B18E",10,3,4,3,8,26.7,13.4,6.8,8.2,63.4,210.2,53.4,159,25.1,75.9,642.5,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Terrestrial",-4.08,2.65,-1.29,128.54,59730.5,22678602,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.18122935,1.963567746,0.210491406
"43","Megapodius geelvinkianus","Biak Scrubfowl",913,81,"Megapodiidae","Galliformes","AVIBASE-8252F53B",2,0,2,0,2,28.6,13.2,6.2,8.4,66,212.4,39.4,173,18.5,68.8,642.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-1.53,-0.63,-0.97,135.76,2947.6,22728514,2,0,1,1,1,0,0,1,0,0,0,0,1,0,-2.827622151,1.963567746,0.219520348
"44","Chamaepetes unicolor","Black Guan",872,85,"Cracidae","Galliformes","AVIBASE-8C688594",5,0,2,3,4,37.8,17.3,8.9,10.8,65.5,290.4,43,242.2,15,259.2,1135,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",8.37,10.99,9.43,-83.22,15572.6,22678443,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-1.163100471,2.532588859,0.539637371
"45","Penelopina nigra","Highland Guan",901,87,"Cracidae","Galliformes","AVIBASE-E627D25F",9,0,2,7,4,30.8,14.5,7.8,9.9,70.7,239.7,13.2,221.6,5.7,263.1,890,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",12.91,17.65,15.24,-90.19,103251.96,22678449,3,1,1,0,0,1,0,1,0,0,0,0,1,0,0.72855878,2.289422392,0.331561306
"46","Penelope barbata","Bearded Guan",893,89,"Cracidae","Galliformes","AVIBASE-89605A18",5,1,1,3,4,35.4,14.1,9.2,9.6,55.7,241.9,29.6,212.2,12.6,255.2,665,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-6.99,-3.33,-5.36,-79.22,16461.26,22678357,2,0,1,0,0,1,1,1,0,0,0,0,0,0,-1.107603689,1.99798797,0.340590248
"47","Penelope ortoni","Baudo Guan",896,90,"Cracidae","Galliformes","AVIBASE-BA3D0CC1",4,2,2,0,4,35.7,16.5,8.7,10.3,56.2,267.5,32.8,234.7,12.2,267.5,872,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-0.02,7.43,3.16,-77.71,77623.51,22678360,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0.44325691,2.268990353,0.445654296
"48","Penelope superciliaris","Rusty-margined Guan",900,93,"Cracidae","Galliformes","AVIBASE-28799734",16,8,8,0,4,34.8,16.3,9.9,11,71.8,248.6,34.1,217.8,13.5,286.8,895,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-32.19,-0.58,-13.66,-48.58,5614395.75,22678370,2,0,1,0,0,0,1,1,0,0,0,0,0,0,4.72447582,2.295024647,0.368087479
"49","Penelope purpurascens","Crested Guan",899,96,"Cracidae","Galliformes","AVIBASE-01A38979",7,3,1,3,6,45.8,18.2,10.1,11.2,83.5,379.7,45.7,337.6,12,368.6,2060,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-4.22,24.46,13.31,-85.92,1269425.48,22678376,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.23770627,3.128662191,0.906130323
"50","Penelope perspicax","Cauca Guan",897,97,"Cracidae","Galliformes","AVIBASE-2296FCC4",2,0,1,1,1,40.5,15.5,18.8,10.7,86.2,325,43,309,12.2,333.5,1197,"Updated_literature","BoW","NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",2.43,4.73,3.92,-75.98,107.66,22678379,3,1,1,0,1,0,0,1,0,0,0,0,0,0,-6.137390597,2.585774635,0.681638
"51","Penelope albipennis","White-winged Guan",892,98,"Cracidae","Galliformes","AVIBASE-D10D229A",4,1,2,1,3,40.4,16.7,9.8,11.3,83.7,317.5,52,265.5,16.4,313.5,1750,"Dunning",NA,"NO",NA,NA,"Woodland",1,1,"Herbivore","Omnivore","Insessorial",-6.74,-5.43,-6.07,-79.62,3108.85,22678382,4,1,1,0,0,1,0,1,0,0,0,0,0,0,-2.774360548,2.965571996,0.650857517
"52","Penelope pileata","White-crested Guan",898,100,"Cracidae","Galliformes","AVIBASE-474C532A",7,1,4,2,4,40.7,17.5,9.6,11.8,85.5,322,31,290.6,9.6,358.3,1249.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-10.47,-1.2,-5.26,-54.53,1046616.16,22678392,3,1,1,0,0,0,0,1,0,0,0,0,0,0,3.0447041,2.628939746,0.669325806
"53","Penelope ochrogaster","Chestnut-bellied Guan",895,101,"Cracidae","Galliformes","AVIBASE-1CE8F9FE",8,2,3,3,4,34.1,17.1,10.6,12.1,80.9,320.4,32.3,283.5,10.1,334.8,1249.8,"Inferred",NA,"YES","Body Mass","Penelope pileata","Woodland",1,1,"Herbivore","Frugivore","Insessorial",-18.03,-5.24,-13.81,-50.77,30953.73,22678395,3,1,1,0,0,1,0,1,0,0,0,0,1,0,-0.47611992,2.628939746,0.662759303
"54","Penelope jacucaca","White-browed Guan",894,102,"Cracidae","Galliformes","AVIBASE-7DDADC44",9,5,3,1,4,35.8,16.3,7.9,12.8,70.2,280.4,45.9,240.3,16.2,268.4,1400,"Updated_live.sample","Live sample (museum data)","NO",NA,NA,"Woodland",1,1,"Herbivore","Frugivore","Generalist",-14.69,-4.2,-9.55,-40.41,617593.52,22678398,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2.51721708,2.742428445,0.498596727
"55","Pipile pipile","Trinidad Piping-guan",905,103,"Cracidae","Galliformes","AVIBASE-9D2FC800",4,2,2,0,4,37.6,18.2,9.8,11.1,64,331,63.1,267.9,18.7,280,1816.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",10.2,10.84,10.76,-61.16,502.77,22678401,5,1,1,0,0,0,0,1,0,0,0,0,1,0,-4.596235901,3.00292283,0.706262386
"56","Pipile grayi","White-throated Piping-guan",903,105,"Cracidae","Galliformes","AVIBASE-601C4D19",4,3,1,0,4,31.9,16.8,11.6,13.1,57.3,326.5,19.6,306.9,6,277.5,1239.2,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-22.72,-11.34,-15.63,-61.13,942279.32,22727333,2,0,1,0,1,0,0,1,0,0,0,0,0,0,2.93968832,2.620422218,0.687794096
"57","Pipile cujubi","Red-throated Piping-guan",902,106,"Cracidae","Galliformes","AVIBASE-B261EA96",5,2,2,1,4,36.1,16.6,9,10.9,66.4,347.8,53.7,292.8,15.6,299.6,1195.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-16.67,-0.96,-8.86,-55.21,2677912.48,22678422,3,1,1,0,0,1,1,1,0,1,0,0,1,0,3.98417941,2.584771625,0.775210668
"58","Pipile jacutinga","Black-fronted Piping-guan",904,107,"Cracidae","Galliformes","AVIBASE-DA1A931A",5,3,0,2,4,38.3,17.6,9.4,11.2,67.1,340,66.6,274.6,19.5,285.4,1241,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-28.3,-19.33,-25.01,-50.4,169256.82,22678429,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1.22280378,2.621873714,0.743198966
